title,keyword
(여름버전추가) 투턱 와이드 롱 스웨트 팬츠 [그레이],"편하다, 핏, 예쁘다, 두껍다, 바지, 얇다, 여름, 이쁘다, 사이즈, 괜찮다, 겨울, 크다, 덥다, 두께, 만족하다"
1875663,"예쁘다, 사이즈, 맞다, 비치다, 얇다, 편하다, 적당하다, 길이, 허리, 소재, 핏, 바지"
1944554,"예쁘다, 맞다, 치마, 크다, 짧다, 괜찮다, 두께, 라인, 허리, 편하다, 길이, 작다, 디자인"
1967 JET BLACK JEANS [WIDE STRAIGHT],"바지, 핏, 청, 예쁘다, 수선하다, 이쁘다, 크다, 청바지, 와이드, 사이즈, 허리, 색감, 만족하다"
2551401,"짧다, 바지, 예쁘다, 치마, 무겁다, 디자인, 영원히, 허리, 핏"
42283 루즈핏 워크숏츠 Black,"편하다, 크다, 덥다, 핏, 디자인, 사이즈, 예쁘다, 엉덩이, 다리, 재질"
ASI 포지트 에센셜 피그먼트 후드집업-차콜 그레이,"예쁘다, 후드, 크다, 사이즈, 맞다, 디자인, 두껍다, 두께, 무겁다, 소재, 편하다"
DOODLE HEART HALF T WHITE GREYISH BLUE,"예쁘다, 사이즈, 이쁘다, 스타일, 티셔츠, 무난, 재질, 여름, 시원하다, 두께, 무난, 얇다"
[2PACK] 쿨 콜드 티셔츠 블랙+화이트,"무난, 크다, 두께, 여름, 재질, 예쁘다, 소재, 큼직하다, 편하다"
[SET] 워셔블 케이블 밸크 니트 세트,"얇다, 예쁘다, 스타일, 사이즈, 여름, 편하다, 재질, 가볍다, 디자인"
베겐바우어 트랙탑 - 인디고 IP0418,"예쁘다, 스타일, 맞다, 두껍다, 크다, 만족하다, 재질, 핏, 핏"
파이버트 트랙탑 - 블랙 IJ7058,"예쁘다, 두껍다, 맞다, 얇다, 유행, 편하다, 아디다스"
