Review,Processed_Review,common_keywords_all,common_keywords_3_plus
"아무래도 키가 크다보니 살짝 짧은감은 있지만 입을만합니다
근데 진짜 너무..너무 잘비쳐요..그래서 좀 민망스... 속바지 필수인데 속바지입어도 다리라인 다보입니다",아무래도 키가 크다 보니 살짝 짧은 감은 있지만 입을만합니다 근데 진짜 너무너무 잘 비쳐요 그래서 좀 민망스 속바지 필수인데 속바지 입어도 다리라인 다 보입니다, 크다,"감다, 보이다, 속바지, 짧다, 크다, 키, 필수"
"173cm  상의 55반 하의 66 입는데 적당히 잘 맞습니다~
키가 큰 편이라 미니기장이고 그래도 많이 부담스러운 정도는 아니네요!

다리사이 비침이 조금 있지만 많이 신경쓰이진 않네요

마감 깔끔하고 소재도 시원해보여요😆",cm 상의 반 하의 입는데 적당히 잘 맞습니다 키가 큰 편이라 미니 기장이고 그래도 많이 부담스러운 정도는 아니네요 다리 사이 비침이 조금 있지만 많이 신경 쓰이진 않네요 마감 깔끔하고 소재도 시원해 보여요, 미니,"기장, 깔끔하다, 마감, 미니, 부담스럽다, 비침, 상의, 소재, 이고, 키, 편이, 하의"
생각보다 이쁘긴한데 내가 과연 이걸 입을까...어디갈때 입을라고 산거지 충동구매는 지갑에 좋지않습니다 반성해 나ㅠ 한여름에 한번 입어볼게요 원래 그냥 사는거죠 입을라고 사는건가요,생각보다 이쁘긴 한데 내가 과연 이걸 입을까 어디 갈 때 입을라고 산 거지 충동구매는 지갑에 좋지 않습니다 반성해 나 한여름에 한번 입어볼게요 원래 그냥 사는 거죠 입을라고 사는 건가요, 반성,"건가, 그냥, 반성, 살다, 원래, 입어보다, 지갑"
"일단 지금까지 사서 입었던 원피스 중에서 최고에요
평소 바지 L사이즈 입는 하비라서
M이랑 L 엄청 고민했는데  저랑 비슷하신분들은 엠 하셔도 충분하실겁니다! 키가 있어서 짧을 걱정했는데 길이도 딱 이쁘고 스판끼 입기도 편하네요😆😆
검정색도 바로 살거에욤 다들 고민하지말고 사세여~~",일단 지금까지 사서 입었던 원피스 중에서 최고예요 평소 바지 L 사이즈 입는 하비라서 M이랑 L 엄청 고민했는데 저랑 비슷하신 분들은 엠 하셔도 충분하실 겁니다 키가 있어서 짧을 걱정했는데 길이도 딱 이쁘고 스판기 입기도 편하네요 검은색도 바로 살 거에욤 다들 고민하지 말고 사세여,,"검은색, 겁니다, 고민, 바지, 분, 사서, 사이즈, 스판, 충분하다, 평소"
끝부분이 a라인일 줄 알았는데 살짝 붙는 편이에요 근데 핏 너무 예쁩니당,끝부분이 a 라인일 줄 알았는데 살짝 붙는 편이에요 근데 핏 너무 예쁩니다, 붙다,"끝, 라인, 부분, 붙다, 알다, 편이"
시원해요! 사이즈 딱 좋아요. 어깨가 조금 끼지만 엄청 불편하진 않아요. 생각보다 짧아요. 앉을때 쪼끔 신경쓰이는 정도.,시원해요 사이즈 딱 좋아요 어깨가 조금 끼지만 엄청 불편하진 않아요 생각보다 짧아요 앉을 때 쪼끔 신경 쓰이는 정도," 시원하다,  불편하다","끼, 불편하다, 사이즈, 시원하다, 신경, 쓰이다, 앉다, 어깨, 짧다, 쪼끔"
예뻐용 너무 핏할까봐 엠으로 갔는데 에스 했어도 괜찮았을것 같아요 다른 색도 사고시퍼용,예뻐요 너무 피할까 봐 엠으로 갔는데 에스 했어도 괜찮았을 것 같아요 다른 색도 사고 싶어요, 색도,"가다, 사고, 색도, 에스, 엠, 피"
대부분 폴로 원피스는 너무 짧아서 못 샀는데 길이가 딱 마음에 드네요,대부분 폴로 원피스는 너무 짧아서 못 샀는데 길이가 딱 마음에 드네요,,"길이, 대부분, 원피스, 짧다, 폴로"
"s는 길 것 같아서 xs로 샀더니 길이는 딱 좋아요!
뱃살이 좀 신경쓰이긴 하지만 그래도 너무 편하고 마음에 드네요 남은 여름동안 알차게 입을 수 있을 것 같아요 이런 원피스 엄청 찾아다녔는데 드디어 딱 마음에 드는걸 찾아서 너무 좋아요 허리 라인이 너무 예쁘게 드러나서 더 좋은 것 같아요 :)",s는 길 것 같아서 xs로 샀더니 길이는 딱 좋아요 뱃살이 좀 신경 쓰이긴 하지만 그래도 너무 편하고 마음에 드네요 남은 여름 동안 알차게 입을 수 있을 것 같아요 이런 원피스 엄청 찾아다녔는데 드디어 딱 마음에 드는 걸 찾아서 너무 좋아요 허리 라인이 너무 예쁘게 드러나서 더 좋은 것 같아요,,"드디어, 드러나다, 라인, 뱃살, 신경, 쓰이다, 알차다, 이렇다, 찾다, 찾아다니다"
"소재가 얇아서 여름에두 시원하고 편하게 입을 수 있을거같아요! 네이비 너무 예쁘고 길이도 너무 짧지 않고 적당해서 맘에 쏙 들어용 ㅎ,ㅎ 다른 색도 구매하고싶어요!",소재가 얇아서 여름에 두 시원하고 편하게 입을 수 있을 거 같아요 네이비 너무 예쁘고 길이도 너무 짧지 않고 적당해서 맘에 쏙 들어요 다른 색도 구매하고 싶어요, 소재,"길이, 네이비, 색도, 소재, 시원하다, 얇다, 여름, 적당하다, 편하다, 하고"
"비침이 있어서 속치마랑 같이 입었더니 괜찮았어요!!
허리도 너무 꽉끼지 않고 적당히 잡아줘서 좋아요!",비침이 있어서 속치마랑 같이 입었더니 괜찮았어요 허리도 너무 꽉 끼지 않고 적당히 잡아줘서 좋아요," 허리,  적당하다","비침, 잡다, 적당하다, 치마, 허리"
다른 사이트보다 기장 길어서 좋아요ㅠㅠ 근데 목부분이 쪼끔 답답해요,다른 사이트보다 기장 길어서 좋아요 근데 목부분이 쪼끔 답답해요, 쪼끔,"기장, 답답하다, 부분, 사이트, 쪼끔"
"허리랑 배는 넉넉한데 어깨랑 가슴이 껴용ㅎㅎ
궁뎅이도 껴서 걸으면 올라가서 미니기장이ㅠㅠ
애초에 어깨 작은거 알고 사서 괜찮구요. 라인은 진짜 예뻐용! 다리 사이 비치는 것도 생각보다 심하지 않네요!",허리랑 배는 넉넉한데 어깨랑 가슴이 껴요 궁둥이도 껴서 걸으면 올라가서 미니 기장이 애초에 어깨 작은 거 알고 사서 괜찮고요 라인은 진짜 예뻐요 다리 사이 비치는 것도 생각보다 심하지 않네요,,"가슴, 궁둥이, 기장, 다리, 라인, 미니, 심하다, 어깨, 올라가다, 허리"
"시원하고 예뻐요! 밝은데서는 다리가 좀 비치긴 하는데 그래도 예쁘고 편해서 마음에 들어요 ㅎㅎ 여름에 옷 입기 귀찮을 때 딱 좋을 것 같아요
길이도 너무 짧지않아서 좋아요",시원하고 예뻐요 밝은 데서는 다리가 좀 비치긴 하는데 그래도 예쁘고 편해서 마음에 들어요 여름에 옷 입기 귀찮을 때 딱 좋을 것 같아요 길이도 너무 짧지 않아서 좋아요, 편하다,"귀찮다, 길이, 다리, 밝다, 비치다, 시원하다, 여름, 짧다, 편하다"
"블랙사고 맘에 들어서 네이비도 샀어요
블랙은 m 네이비는 s샀어요
사진 비교해보세요 ㅋ",블랙 사고 맘에 들어서 네이비도 샀어요 블랙은 m 네이비는 s 샀어요 사진 비교해 보세요," 들어서다,  네이비","네이비, 들어서다, 블랙, 비교, 사고, 사진"
"매장에서 입어보고 집으로 배송했는데
시원한 소재에
치마가 너무 짧지 않아서 좋아요",매장에서 입어보고 집으로 배송했는데 시원한 소재에 치마가 너무 짧지 않아서 좋아요," 시원하다,  입어보다,  치마","매장, 배송, 소재, 시원하다, 입어보다, 집, 짧다, 치마"
핏이너무 깔끔하고 천이 시원한 천이라서 여름에 너무 잘 입을거같아요,핏이 너무 깔끔하고 천이 시원한 천이라서 여름에 너무 잘 입을 거 같아요, 여름,"깔끔하다, 라서, 시원하다, 여름, 천이, 핏"
길이 재질 핏 모두 만족합니다 키가 큰편이라 걱정했는데 딱 적당했어요 비침이 좀 있어서 속바지나 속치마는 꼭 입어줘야할 것 같아요,길이 재질 핏 모두 만족합니다 키가 큰 편이라 걱정했는데 딱 적당했어요 비침이 좀 있어서 속바지나 속치마는 꼭 입어줘야 할 것 같아요,,"걱정, 길이, 만족하다, 비침, 속바지, 재질, 적당하다, 치마, 키, 편이"
