Review,Processed_Review,common_keywords_all,common_keywords_3_plus
저희 아들 180센티에 76kg 한테 입힐려고 주문했는데 넘 늦게 왔네요. 취업땜에 지방가서 담주나 되야 입을수 있을듯요 ㅎ 아쉬운데로 제가 착용해봤어요 ㅎ 루즈하니 나쁘지 않은데요. 스타일리쉬해보이고 남친룩으로 좋아요~~^^,저희 아들 센티에 kg한테 입히려고 주문했는데 너무 늦게 왔네요 취업 땜에 지방 가서 담 주나 돼야 입을 수 있을 듯요 아쉬운 대로 제가 착용해 봤어요 로즈 하니 나쁘지 않은데요 스타일리시해 보이고 남자친구 룩으로 좋아요,,"가다, 남자친구, 보이, 스타일리시, 입히다, 지방, 착용, 취업"
사이즈도 좋고 재질도 좋은데 지퍼가 좀 아쉬워요,사이즈도 좋고 재질도 좋은데 지퍼가 좀 아쉬워요, 지퍼,"사이즈, 아쉽다, 재질, 지퍼"
원하던 후드집업을 찾았오요 색감도 너무 예쁘고 기장감도 마음에 듭니다!,원하던 후드집업을 찾았어요 색감도 너무 예쁘고 기장감도 마음에 듭니다, 원하다,"기장감, 색감, 원하다, 집업, 찾다, 후드"
스타일은 잘 잡았지만 얇은게 단점 그리고 지퍼가 스무스하게 내려가진 않음  그래도 이뻐서 자주 입을 듯 합니다 ,스타일은 잘 잡았지만 얇은 게 단점 그리고 지퍼가 스무드하게 내려가진 않음 그래도 이뻐서 자주 입을 듯합니다, 지퍼,"내려가다, 단점, 드하, 스무, 스타일, 얇다, 잡다, 지퍼"
실물이 더 예쁘네요. 제가 원하던 피그먼트 후드집업입니다.,실물이 더 예쁘네요 제가 원하던 피그먼트 후드집업입니다, 피그먼트,"실물, 원하다, 집업, 피그먼트"
원단 자체도 탄탄하고 그냥 막 입어도 엄청 이뻐욤  적당한 오버핏이고 과하지 않아 좋습니당 맘애 들어서 그레이도 주문 했는데 블랙도 있었으면 좋겠어욤,원단 자체도 탄탄하고 그냥 막 입어도 엄청 이뻐요 적당한 온 버핏이고 과하지 않아 좋습니다 맘에 들어서 그레이도 주문했는데 블랙도 있었으면 좋겠어요, 블랙,"그냥, 그레이, 버핏, 블랙, 이고, 자체, 주문, 탄탄하다"
워싱감이 돋보이는 제품으로 가격대비 질감은 괜찮습니다  하지만 후드 각은 잘잡히지않고 지퍼퀄이 좀 아쉽습니다,워싱감이 돋보이는 제품으로 가격 대비 질감은 괜찮습니다 하지만 후드 각은 잘 잡히지 않고 지퍼퀄이 좀 아쉽습니다," 후드,  질감","가격, 대비, 아쉽다, 워싱감, 잡히다, 제품, 질감, 후드"
가격대비 퀄리티가 매우 좋은것 같습니다. 잘 입고 다닐게요,가격 대비 퀄리티가 매우 좋은 것 같습니다 잘 입고 다닐게요," 가격, 퀄리티","가격, 대비, 퀄리티"
오버핏이 정말 예술 생각보다 얇아서 저녁에 걸치고 나가도 덥지 않습니다 르세라핌된기분,온 버핏이 정말 예술 생각보다 얇아서 저녁에 걸치고 나가도 덥지 않습니다 로 세라핌 된 기분, 저녁,"기분, 덥다, 버핏, 얇다, 예술, 저녁, 치고"
비슷한옷 10벌은되지만 피그먼트 느낌 적당하고 소매절개 디테일도 포인트로 예뻐요. 후드 무겁다는분 많아서 고민했는데 그래서 주저앉지않고 전 오히려 살아있어서 좋으네요. 한여름빼고 이너로 아우터로 교복템 될듯합니다. 다른색도  구매예정입니다.,비슷한 옷벌은 되지만 피그먼트 느낌 적당하고 소매 절개 디테일도 포인트로 예뻐요 후드 무겁다는 분 많아서 고민했는데 그래서 주저앉지 않고 전 오히려 살아있어서 좋네요 한여름 빼고 이너로 아우터로 교복템 될듯합니다 다른 색도 구매예정입니다,,"교복, 무겁다, 아우터, 예정, 이너, 절개, 포인트, 피그먼트"
디자인 워싱이 처리된 후드집업이에요. 그래서 블랙-그레이의 오묘한 느낌이 같이 돌아서 막입기 좋아요. 유행타지않고 입기 좋은 느낌이에요. 핏 오버핏이라서 평소 추구하는 이미지의 사이즈보다 한 사이즈 작게가도 충분히 예쁘게 입으실 수 있을 것 같아요 +++ Ykk 투웨이 지퍼라서 어떻게든 매치하기 좋은 느낌이에요. 진짜 추천합니다❤️,디자인 워싱이 처리된 후드집업이에요 그래서 블랙 그레이의 오묘한 느낌이 같이 돌아서 막입기 좋아요 유행타지 않고 입기 좋은 느낌이에요 핏 온 버핏이라서 평소 추구하는 이미지의 사이즈보다 한 사이즈 작게 가도 충분히 예쁘게 입으실 수 있을 것 같아요 Ykk 투웨이 지퍼라서 어떻게든 매치하기 좋은 느낌이에요 진짜 추천합니다,,"디자인, 매치, 사이즈, 오묘하다, 이미지, 추천"
