Review,Processed_Review,common_keywords_all,common_keywords_3_plus
"그래픽도 예쁜데, 이 제품은 핏이 정말 너무 좋습니다. 너무 길지 않은 스트릿한 티셔츠를 찾고 있었는데, 이 제품이 딱이네요! 자주 입을 것 같습니다. ",그래픽도 예쁜데 이 제품은 핏이 정말 너무 좋습니다 너무 길지 않은 스트리트 한 티셔츠를 찾고 있었는데 이 제품이 딱이네요 자주 입을 것 같습니다, 그래픽,"그래픽, 길다, 딱이다, 스트리트, 제품, 찾다, 티셔츠, 핏"
디자인이 너무 예쁘고 그렇게 두껍지도 않아서 한여름에도 입을만 해요,디자인이 너무 예쁘고 그렇게 두껍지도 않아서 한여름에도 입을만해요,,"그렇게, 두껍다, 디자인, 만해, 한여름"
사이즈도 잘맞고 디자인이랑 프린팅 다 너무 마음에 들어요!,사이즈도 잘 맞고 디자인이랑 프린팅 다 너무 마음에 들어요, 프린팅,"디자인, 맞다, 사이즈, 프린팅"
넘 예뻐요! 프린팅이 안 유치해서 마음에 들어요! 잘 입을게요,너무 예뻐요 프린팅이 안 유치해서 마음에 들어요 잘 입을게요,,"유치하다, 프린팅"
커플티로 구매 했는데 너무 이쁘고 흔하지 않아서 더 좋아요 색감도 잘빠지고 프린팅도 잘 벗겨지지 않네요,커플티로 구매했는데 너무 이쁘고 흔하지 않아서 더 좋아요 색감도 잘빠지고 프린팅도 잘 벗겨지지 않네요, 프린팅,"벗겨지다, 색감, 잘빠지다, 커플티, 프린팅, 흔하다"
"세미오버 실루엣을 활용하기 좋으며, 프린팅이 포인트가 되는 것 같습니다.",세미 오버 실루엣을 활용하기 좋으며 프린팅이 포인트가 되는 것 같습니다,,"세미, 실루엣, 오버, 포인트, 프린팅, 활용"
프린팅도 포인트로 너무 이쁘고 핏도 너무 잘나와서 이뻐요! 그리고 재질도 오염에 강한 재질같아서 오래오래 이쁘게 입기.좋을거 같아요!! 여름에.포인트 옷 구매 하실거면 이거 추천드려요!!,프린팅도 포인트로 너무 이쁘고 핏도 너무 잘 나와서 이뻐요 그리고 재질도 오염에 강한 재질 같아서 오래오래 이쁘게 입기 좋을 거 같아요 여름에 포인트 옷 구매하실 거면 이거 추천드려요, 프린팅,"드리다, 여름, 오래오래, 오염, 재질, 추천, 포인트, 프린팅"
프린팅 완전 이쁘고 힙하게 오버핏 느낌도 조금 있음,프린팅 정말 이쁘고 합하게 오버핏 느낌도 조금 있음,,"오버핏, 프린팅, 합"
일단 그래픽이 이쁩니다 매종미네드써있는데 그냥 이쁨  무난하게 어떤 바지랑도 잘 어울립니다 좋아요! 가격도 싸고,일단 그래픽이 이쁩니다 매종미네드써있는데 그냥 이쁨 무난하게 어떤 바지랑도 잘 어울립니다 좋아요 가격도 싸고,,"가격, 그냥, 그래픽, 무난, 미네, 바지, 싸다, 어울리다"
우선 가장 큰 장점은 체형을 잡아줍니다. 옷을 입고 지인들에게 운동 했냐는 말을 제일 많이 들었어요  프린팅 색감 너무 선명하고 시원한 블루 그레이 조합으로 과하지 않고 무난했어요 너무 예쁩니다 ㅠ 개인적으로 진한 블루보다 그레이가 더 취향이네요  세탁 후 변형 및 실밥 트임 등등 없고 변색이나 줄어드는 모습도 안 보였습니다.  핏은 입었을 때 품이 넓어서 시원하게 입을 수 있었고 또 여유롭다 해서 부하지 않습니다. 남성분들 패치 없이 입을 수 있는 두깨로 나왔고 비침 없어서 편하게 입을 수 있어요  배송 너무 빠르게 잘 왔고 꼼꼼하게 잘 신경써주셔서 항상 감사해요 벌써 미네드 제품만 3개네요 미네드 너무 사랑합니다,우선 가장 큰 장점은 체형을 잡아줍니다 옷을 입고 지인들에게 운동했냐는 말을 제일 많이 들었어요 프린팅 색감 너무 선명하고 시원한 블루 그레이 조합으로 과하지 않고 무난했어요 너무 예쁩니다 개인적으로 진한 블루보다 그레이가 더 취향이네요 세탁 후 변형 및 실밥 트임 등등 없고 변색이나 줄어드는 모습도 안 보였습니다 핏은 입었을 때 품이 넓어서 시원하게 입을 수 있었고 또 여유롭다 해서 부하지 않습니다 남성분들 패치 없이 입을 수 있는 두께로 나왔고 비침 없어서 편하게 입을 수 있어요 배송 너무 빠르게 잘 왔고 꼼꼼하게 잘 신경 써주셔서 항상 감사해요 벌써 미네드 제품만 개네요 미네드 너무 사랑합니다,,"개인, 그레이, 변색, 변형, 블루, 사랑, 색감, 운동, 체형"
