Review,Processed_Review,common_keywords_all,common_keywords_3_plus
가성비가 좋고 디자인이 예뻐요. 유행없이 입을수 있어요.,가성비가 좋고 디자인이 예뻐요 유행 없이 입을 수 있어요,,"가성비, 디자인, 없이, 유행"
진짜 완전 이뻐요🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺 핏도 완전 이쁘고 사이즈도 괜찮구 제 최애 티,진짜 정말 이뻐요 핏도 정말 이쁘고 사이즈도 괜찮고 제 최애 티,,"사이즈, 최애, 핏"
옷 가볍고 목 부근이 튼튼한 거 같아서 좋아요 디자인도 심플해서 입기 좋은 것 같습니다,옷 가볍고 목 부근이 튼튼한 거 같아서 좋아요 디자인도 심플해서 입기 좋은 것 같습니다," 가볍다,  디자인","가볍다, 디자인, 부근, 심플, 튼튼하다"
날씨가 갑자기 더워져서 구매 했는데 역시 디자인 최고네여,날씨가 갑자기 더워져서 구매했는데 역시 디자인 최고네요,,"갑자기, 날씨, 더워지다, 디자인, 최고"
운동할때 입을려고 삿어요 그냥저냥 입기 좋은 핏입니다 ,운동할 때 입으려고 샀어요 그냥저냥 입기 좋은 핏입니다,,"그냥, 운동, 핏입니"
핏이랑 디자인 다 넘넘 맘에 들어요!! 재질도 여러번 빨았는데도 짱짱하고 프린팅도 선명해요!! 그냥 휘뚜루마뚜루 입을 수있어서 손이 자주가는 옷입니다!,핏이랑 디자인 다 넘넘 맘에 들어요 재질도 여러 번 빨았는데도 짱짱하고 프린팅도 선명해요 그냥 휘뚜루마뚜루 입을 수 있어서 손이 자주 가는 옷입니다," 프린팅,  재질","가다, 디자인, 선명하다, 여러, 재질, 프린팅, 휘뚜루마뚜루"
재질도 좋고 깔끔해서 무난하게 잘 입을 수 있을 것 같아요,재질도 좋고 깔끔해서 무난하게 잘 입을 수 있을 것 같아요,,"깔끔하다, 무난, 재질"
착용감 좋고 짅자 무슨 색깔 입지 고민하다가 검정으로 삿어용ㅇ생각보다 맘에들고 다른색으로 하나 더 살까 고민즁ㅇ이애여😍 ,착용감 좋고 짅자 무슨 색깔 입지 고민하다가 검정으로 사어용 생각보다 맘에 들고 다른 색으로 하나 더 살까 고민 중이 애여,,"검정, 고민, 살다, 색, 색깔, 애, 입지, 중이, 착용"
아들이 입고싶다고 해서 주문했는데 맘에 들어하네요 여름 면티치고 좀 도톰한 편이고 스판끼가 좀 있는 느낌이예요 폴리가 조금 섞여있어으면 하는 바램이 드네요.,아들이 입고 싶다고 해서 주문했는데 맘에 들어 하네요 여름 면 티치고 좀 도톰한 편이고 스판기가 좀 있는 느낌이에요 폴리가 조금 섞여있었으면 하는 바람이 드네요,,"도톰하다, 바람, 아들, 주문, 치고, 티, 편이"
배송 빠르게왔습니다. 재질 디자인 마음에 들어요. ,배송 빠르게 왔습니다 재질 디자인 마음에 들어요," 재질,  배송","디자인, 배송, 빠르다, 오다, 재질"
아니 일단 포장부터 브브 로고 너무 이쁘고 내 스펙에 s 가 진짜 찰떡 ㅜㅜ 스투시 하위호환 가태요,아니 일단 포장부터 브브 로고 너무 이쁘고 내 스펙에 s 가 진짜 찰떡 스투시 하위 호환 같아요,,"로고, 브브, 스펙, 찰떡, 투시, 포장, 호환"
총기장이 길어도 m사이즈핏이 예뻐요~~프린트도 선명하니 깔끔하고 면이 좋아서 세탁 후에도 걱정없겠어요!! 선물용으로 구매했다가 예뻐서 제가 입습니다^^,총기장이 길어도 m사이즈핏이 예뻐요 프린트도 선명하니 깔끔하고 면이 좋아서 세탁 후에도 걱정 없겠어요 선물용으로 구매했다가 예뻐서 제가 입습니다," 프린트,  선물,  세탁","걱정, 깔끔하다, 선명하다, 선물, 세탁, 총기장, 프린트"
역시 한국의 스투시... 등판 그래픽 기가막히고 원단도 얇지만 탄탄하니 좋습니다,역시 한국의 스투시 등판 그래픽 기가 막히고 원단도 얇지만 탄탄하니 좋습니다,,"그래픽, 등판, 막히다, 원단, 탄탄하다, 투시, 한국"
배송 빨라요 그리고 너무 이뻐요 근데 길이가 조금 길어요ㅜ,배송 빨라요 그리고 너무 이뻐요 근데 길이가 조금 길어요, 배송,"길이, 배송, 빠르다"
재질도 좋고 깔끔해서 무난하게 잘 입을 수 있을 것 같아요 널널한 핏이여서 여름에 입기 좋은 반팔이에요,재질도 좋고 깔끔해서 무난하게 잘 입을 수 있을 것 같아요 널찍한 핏이어서 여름에 입기 좋은 반팔이에요,,"깔끔하다, 무난, 여름, 재질, 팔이"
생각한데로 업청 편하고 오버핏으로 한사이즈 크게 샀는데 좋습니다 ,생각한 데로 엄청 편하고 온 버핏으로 한 사이즈 크게 샀는데 좋습니다,,"버핏, 사이즈, 크게, 편하다"
넉넉해요. 비침 없어요 두께 적당해요 디자인 맘에 들어요.,넉넉해요 비침 없어요 두께 적당해요 디자인 맘에 들어요, 디자인,"넉넉하다, 두께, 디자인, 비침, 없다, 적당하다"
