Review,Processed_Review,common_keywords_all,common_keywords_3_plus
어머님 사드렸는데 약간 수선하시더니 잘 입고 다니십니다~,어머님 사드렸는데 약간 수선하시더니 잘 입고 다니십니다, 어머님,"드리다, 수선하다, 어머님"
"165도 귀엽게 만들어주는 바지 (๑>᎑<๑)ｰ☆ 
은근 소재가 단단해서 핏 잡혀있어요
냄새는 조금 났지만 배송 빨랐고 아주 귀엽다잉!!",도 귀엽게 만들어주는 바지 은근 소재가 단단해서 핏 잡혀있어요 냄새는 조금 났지만 배송 빨랐고 아주 귀엽다잉," 냄새,  소재","귀엽다, 나다, 냄새, 단단하다, 만들다, 바지, 배송, 빠르다, 소재, 은근, 잡히다"
제가 밥먹으면 배가 나와서 항상 바지를 살 때 고민을 엄청 하는데 이번에 산 바지는 정말 허리에 딱맞고 기장도 너무너무너무 좋아요!!!! 이번 여름에는 이 바지만 입고싶어요..핏 장난 아니고요 약간 뚜꺼운 느낌이 나는데 막 덥거나 무겁거나 하지는 않아요 색도 예쁘구요 개인적으로 블루 추천드려요!!,제가 밥 먹으면 배가 나와서 항상 바지를 살 때 고민을 엄청 하는데 이번에 산 바지는 정말 허리에 딱 맞고 기장도 너무너무너무 좋아요 이번 여름에는 이 바지만 입고 싶어요 피트 장난 아니고요 약간 뚜꺼운 느낌이 나는데 막 덥거나 무겁거나 하지는 않아요 색도 예쁘고요 개인적으로 블루 추천드려요, 먹다,"개인, 나오다, 덥다, 먹다, 무겁다, 바지, 블루, 색도, 아니다, 에는, 피트, 항상"
가성비 좋은거 같아요 만족하고 잘 입고다녀요 주머니도 포인트 되고 좋아요,가성비 좋은 거 같아요 만족하고 잘 입고 다녀요 주머니도 포인트 되고 좋아요, 가성비,"가성비, 만족하다, 주머니, 포인트"
여즘 오버핏에 관심이 생겨서 구매햇는데 너무 기여어요 보드탈 때 자주 입을 것 같아요 제 키가 작아서 옷이 엄청 커보이지만 키 크신분들한테는 별로 안 클 것 같네요 옷은 편하고 좋아요!!,요즘 온 버핏에 관심이 생겨서 구매했는데 너무 기대어요 보드 타 때 자주 입을 것 같아요 제 키가 작아서 옷이 엄청 커 보이지만 키 크신 분들한테는 별로 안 클 것 같네요 옷은 편하고 좋아요,,"관심, 기대다, 버핏, 별로, 보드, 보이, 작다, 크다, 키, 편하다"
"힙하고 예뻐여 여름에 잘 입었어요!!
엄청 두꺼운 재질은 아니지만 지금날씨에도 입고다닐수있어용
색도 넘 예쁜데 튀지않는스탈이라 어떤 옷에도
코디 쌉가능이에요!",히프하고 예뻐요 여름에 잘 입었어요 엄청 두꺼운 재질은 아니지만 지금 날씨에도 입고 다닐 수 있어요 색도 너무 예쁜데 튀지 않는 스탈이라 어떤 옷에도 코디 쌉가능이에요, 스탈,"가능, 날씨, 색도, 스탈, 싸다, 아니다, 어떻다, 여름, 재질, 코디, 히프"
"제 체형분들 한사이즈 크게 사십쇼. 안그러면..
밥먹고… 바지단추 풀고 다닐수있는사람 될거임.
옷은 너무 이쁩니다! 소식하는날 입을게요 응응..",제 체형분들 한 사이즈 크게 사십쇼 안 그러면 밥 먹고 바지 단추 풀고 다닐 수 있는 사람 될 거임 옷은 너무 이쁩니다 소식하는 날 입을게요 응응,,"거임, 단추, 먹다, 분들, 사람, 사십, 소식, 쇼, 응응, 체형, 크게"
"너무 큰 줄 알았는데 골반에 걸쳐져서 더 예쁜 핏입니당
완전 20세기 감성이에요ㅎㅎ",너무 큰 줄 알았는데 골반에 걸쳐져서 더 예쁜 핏입니다 완전 세기 감성이에요,,"감성, 걸치다, 골반, 세기, 알다, 핏입니"
"여름에 입기엔 조금 두껍긴 하지만 기장과 핏부터 워싱이랑 카고 디테일까지 다 너무 예쁜 청반바지,,🌀",여름에 입기엔 조금 두껍긴 하지만 기장과 핏부터 워싱이랑 카고 디테일까지 다 너무 예쁜 청 반바지," 여름,  기장","기장, 두껍다, 디테일, 반바지, 여름, 워싱, 핏"
바지핏 예쁘고 여기저기 코디하기 좋아요 근데 좀 두꺼워서 한여름엔 더울 것 같아요,바지핏 예쁘고 여기저기 코디하기 좋아요 근데 좀 두꺼워서 한여름엔 더울 것 같아요," 코디,  한여름","덥다, 두껍다, 바지, 여기저기, 코디, 한여름"
