Review,Processed_Review,common_keywords_all,common_keywords_3_plus
고민하다가 샀는데 진짜 예뻐요 길이감 어깨사이즈 팔 모두 맞춤 정장같이 잘 맞네요  아 그리고 엄청 시원합니다!!,고민하다가 샀는데 진짜 예뻐요 길이감 어깨 사이즈 팔 모두 맞춤 정장같이 잘 맞네요 아 그리고 엄청 시원합니다, 사이즈,"고민, 길이감, 맞다, 사이즈, 시원하다, 어깨, 정장"
깔끔하고 시원해서 데일리에 입고다니기 좋은것같네요,깔끔하고 시원해서 데일리에 입고 다니기 좋은 것 같네요,,"깔끔하다, 데일리, 시원하다"
생각보다 두껍고 아빠 정장 느낌나요 ㅋㅋ 원래 쿨탠다드가 이런가 ? 근데 나뿌지않음,생각보다 두껍고 아빠 정장 느낌 나요 원래 쿨탠다드가 이런가 근데 나쁘지 않음," 원래,  두껍다","나쁘다, 나요, 두껍다, 런가, 아빠, 원래, 정장"
쫀쫀하고 좋습니다. 합리적으로 구매해서 잘입고다닙니다,쫀쫀하고 좋습니다 합리적으로 구매해서 잘 입고 다닙니다,,"쫀쫀, 합리"
무탠다드 답게 퀄리티도 좋고 쿨소재라 초여름까지 입을 수 있을 것 같아요 :-) 사이즈는 세미 오버핏이라 한 사이즈 더 업해도 좋았을 것 같아요 !,무탠다드 답게 퀄리티도 좋고 클 소재라 초여름까지 입을 수 있을 것 같아요 사이즈는 세미 온 버핏이라 한 사이즈 더 업해도 좋았을 것 같아요, 소재,"버핏, 사이즈, 세미, 소재, 업, 초여름, 퀄리티, 크다"
여름에 구매해서 후기를 지금에야 쓰네요 ㅎㅎ;; 이 블레이저 대학 면접 때 입고가서 최초합으로 붙었습니다. 무거운 자리에 좋은 인상 풍겨주기게 충분한 블레이저라 생각이 들구요. 여름에 입어도 바람 살짝 불면 바로 시원함을 느낄 정도로 좋았습니다,여름에 구매해서 후기를 지금에야 쓰네요 이 블레이저 대학 면접 때 입고 가서 최초 합의로 붙었습니다 무거운 자리에 좋은 인상 풍겨주기가 충분한 블레이저라 생각이 들고요 여름에 입어도 바람 살짝 불면 바로 시원함을 느낄 정도로 좋았습니다,,"대학, 면접, 무겁다, 바람, 블레이저, 인상, 풍기다, 합의"
와이드팬츠랑도 잘 어울리지만. 테이퍼드핏에도 입을 수 있어요. 그렇지만 와이드에 더 잘 어울리는 핏입니다. 전체적으로 여유가 많아요.,와이드 팬츠랑도 잘 어울리지만 테이퍼드핏에도 입을 수 있어요 그렇지만 와이드에 더 잘 어울리는 핏입니다 전체적으로 여유가 많아요, 여유,"많다, 어울리다, 여유, 와이드, 전체, 테이, 팬츠, 퍼드, 핏입니"
노멀한 핏이고 셋업으로 입고다니시기에 좋습니다 안에 후드로 매치시켜도 이뻐요,노멀 한 핏이고 셋업으로 입고 다니시기에 좋습니다 안에 후드로 매치시켜도 이뻐요," 셋업,  노멀","노멀, 매치, 셋업, 이고, 핏, 후드"
아들의 첫 자켓입니다 바지구입후 너무 마음에 들어 자켓도 구입했습니다 적당한 핏에 길이감도 적당하고 가격도 착하고 만족합니다 ,아들의 첫 재킷입니다 바지 구입 후 너무 마음에 들어 재킷도 구입했습니다 적당한 핏에 길이감도 적당하고 가격도 착하고 만족합니다,,"가격, 길이감, 만족하다, 바지, 아들, 재킷, 적당하다, 착하다"
xl사이즈랑 l사이즈랑 고민한 결과 저는 두 사이즈 다 구매 해보았습니다. 저랑 비슷한 신체사이즈 이신 분들은 제가 두 제품 착장 모두 올려드렸으니 꼭 한 번 비교해보시고 선택의 고민을 덜어보시기 바랍니다. 왼쪽 네이비는 L사이즈 오른쪽 블랙은 XL사이즈 입니다 ,xl 사이즈랑 l 사이즈랑 고민한 결과 저는 두 사이즈 다 구매해 보았습니다 저랑 비슷한 신체 사이즈 이신 분들은 제가 두 제품 착장 모두 올려드렸으니 꼭 한 번 비교해 보시고 선택의 고민을 덜어보시기 바랍니다 왼쪽 네이비는 L 사이즈 오른쪽 블랙은 XL 사이즈입니다,,"xl, 결과, 고민, 덜다, 보시, 비교, 사이즈, 선택, 신체, 오른쪽, 왼쪽, 이신, 제품, 착"
