Review,Star
"XS사려다 S샀는데 XS살걸ㅠㅜㅜ
우선 다른 피케원피스보다 기장이 길었고
시원한 재질이여서 손이 잘 가요!
단정한 느낌도 줘서 굿~!",5.0
"키가 매우매우 크기 때무네 저에게는 미니기장이긴 한데 짧을건 이미 예상하고 구매했습니다! 근데도 너무 예뻐요ㅠ상체 퉁퉁이인데 팔뚝살 잘 감춰주고 단추 오픈해서 입으면 그나마 덜 퉁퉁이로 보여서 너무 좋아요ㅠㅜ 얇아서 좀 비치긴 하지만 속바지 or 속치마 입으면 갠춘합니당ㅎㅎ다른색도 살까 고민중이에요ㅜㅠ너무 예뻐,,",5.0
"네이비랑 블랙 고밈하다가 블랙구매했어요 
허리 잘록하게 잘들어가고 핏이뻐요 
다만 많이 비치는거같아서 신경써야할거같아요",5.0
"처음에 s살까 xs살까 고민하다가 xs샀어요!!!
질도 좋고 예뻐요 네이비도 살까봐여,,,",5.0
"많이 짧지도 않고 깔끔한 핏에 허리라인이 살짝 들어가서 예뻐요.
옷감이 얇아서 밝은데서 보면 원피스 속 다리 라인이 비쳐보여서 속치마를 입는게 좋을듯 해요!
다른 컬러도 살예정ㅋㅋ",5.0
"통통한 편인데 엠사이즈 잘맞아요
딱 기본 스타일이라서 매우 맘에 듭니다",5.0
키가 있어서 M살지 L 살지 고민했는데 후기 보고 M 샀어요 제 체형이라면 M은 사진 참고하시면 될 거 같아요 딱 깔끔하게 예쁜 느낌이고 앞태가 진짜 예뻐요!!,4.0
"소재가 얇고 시원해서 땀도 잘 흡수해줘요
근데.. 단점은 허벅지부분이 다 비쳐요🥹
속바지보다는 속치마 입어야 좀 안 비칠 것 같아요
저도 리뷰 꼼꼼하게 봤는데, 이렇게까지 비칠 줄 몰랐어요 ㅠ 햇빛 비치면 그냥 다 보입니다..!! 
주의하시고 예쁜 옷 사세요 !!",3.0
"77반 88에게 타이트하게 맞아요ㅋㅋ 이쁘고 핏하고 시원하지만 계속 숨참고 있어야 한다는 게 단점..ㅎ_ㅎ입니다
그래도 잘 입고 다니고 있어요! 키는 163입니다",5.0
요즘 나오는 피케이 원피스들은 너무 달라붙거나 짧아서 입지를 못하는데 이건 제 키 기준 딱 이쁜 길이에요. 허리도 적당히 라인이 들어가서 날씬해보입니다. 약간 비침이 있어서 속바지는 입는게 좋아요,5.0
동생사줬는데 키에 비해 기장 짧지도 않고 스판끼 있어서 편하다고 하네여~~ 다른 색상도 있으면 좋겠대요😆,5.0
편하게 입고 나가기 좋을거 같아요 기장은 저는 짧은걸 더 선호해서 수선할 예정입니다!,5.0
허리에 라인이 살짝 들어가 있어 심심하지 않고 편안한 원피스에 여성스러움까지 느낄 수 있어요! 기장도 괜찮고 어깨가 넓은편인데 어깨도 딱 맞았어요! 만족스러운 소비입니다.,5.0
초딩딸에게 xs사이즈 딱 예쁘게 맞아요~두껍지않아 시원하다구 합니다.,5.0
"귀여워귀여웡 161/48이고 XS예쁘게맞아용
어깨 넓은편인데 괜차나용
가슴도 좀 있는데 괜차나용
다른 색 마니 ㄴㅏ왔으면 조켔어여
딸기우유색 같은거!!
글구 가슴팍에 로고 하나 박아도 예쁠듯 ㅎㅎ
무탠다드 로고 기깔나게 함 뽑아봐용...",5.0
너무너무 마음에 들어요~~ 저랑 비슷한 스펙이시면 m 추천드립니당,5.0
뱃살이좀있는편이라 허리라인이 들어간 원피스 찾고있었는데 진짜 맘이들어요 ㅎㅎ 스타일후기도 올려봅니다 핏참고하세요 160/63정도입니다,5.0
사이즈도 굿 딱 원라던 핏인데 기장이 길어서 잘랏어여,5.0
"예뻐요! 길이가 정말 맘에 들어요
몸매보정이 잘되는 옷이네요",5.0
예뻐요 생각했던 핏입니다 이런 스타일 옷 찾고 있었는데 좋아요,5.0
"보통 m입는데 다들 s시켰길래 작은걸로 시켰는데 딱맞아요 ! 164인데 기장도 안짧아서 좋아요.
허리쪽은 좀 남지만 궁댕쓰쪽에 많이 안붙어서 오히려 좋아~ 소재도 시원한 소재에요 대신에 좀 비칠 수 있으니 속바지 필수입니데이",5.0
기장도 안짧고 이쁜데 다른분들 후기대로 원단이 엄청 얇아서 블랙색상인데도 비치네요 ㅠㅠ 하지만 원단은견고하네요,4.0
"기본템으로 무난합니다!
다만 어두운 색임에도 불구하고 비침이 있어요ㅠ
조금 얇아서 아쉽긴하네여!",4.0
편하게 입기 좋아요 많이 짧지 않고 넉넉해서 좋아요~~,5.0
길이가 다른 원피스들에 비해 긴 편이에요. 엄마가 좋아하는 길이ㅋㅋ 그래도 허리 라인 잡혀있어서 예뻐요,5.0
굳굳 완전휘뚜루마뚜루템임 짱편하구 짧지도않음,5.0
"사이즈 적당히 맞아요
역시 키가 작아서 허리가 우글우글하긴 하네요
기장도 한 2.5센티미터 더 짧으면 좀더 이쁠 거 같아요
수선하려구용 그래도 가격대비 만족합니다",5.0
어깨 좁다는 평이 있어서 좀 걱정했는데 잘 맞아요. 길이도 적당해서 활동성 좋고 몸매 완전 좋아보여요! 여름에 잘 입고 다닐 듯!!,5.0
키도 있고 덩치도 있는데 길이도 괜찮고 허리도 적당히 라인이 들어가 있어서 괜찮은 것 같아요,5.0
"사이즈 탁월하네요
안성맞춤형 사이즈에요 딱맞음",5.0
