Review,keyword_1,keyword_2,keyword_3,keyword_4,common_keywords_all,common_keywords_3_plus,Answer
예쁘고 질 좋아요 추천합니다! 무진장 세일때 잘 샀어요,"['무진장', '추천', '세일', '질']","['무진장', '추천', '세일']","['추천', '무진장', '세일']","['무진장', '세일', '추천']",,"무진장,   추천,   세일","무진장, 추천, 세일, 질"
기본치마입니당 속옷색 주의하면 될거같아여요,"['주의', '기본', '속옷', '색', '치마']","['치마', '주의', '요요', '기본', '속옷']","['주의', '치마', '요요', '속옷', '기본']","['요요', '주의', '속옷', '기본', '치마']", 속옷,"주의,   기본,   속옷,   치마,   요요","주의, 기본, 속옷, 치마"
너무 하얀색아니고 적당한 크림색이라 좋습니다,"['하얀색', '크림색']","['크림색', '적당하다', '아니다', '하얀색']","['크림', '색', '아니다', '적당하다', '하얀색']","['하얀색', '아니다', '적당하다', '크림']",,"하얀색,   적당하다,   아니다","적당하다, 크림색, 하얀색, 아니다"
"매장에서 입어보고
무신사 스토어에서 바로 구매
배송받고 바로 입고
나갔어요
완죤 조아요","['물다', '입어보다', '스토어', '매장', '배송받다']","['매장', '입어보다', '스토어', '물다', '배송받다']","['배송', '받다', '입어보다', '매장', '스토어', '물다']","['스토어', '받다', '매장', '입어보다', '물다', '배송']", 물다,"물다,   입어보다,   스토어,   매장","입어보다, 스토어, 매장, 배송"
크지도 않고 작지도 않고 딱 맞네요. 구김이 두드러지는건 흰색이라 어쩔 수 없는 것 같아요. 어디에나 잘 어울려서 자주 입을 것 같아요.,"['크다', '어울리다', '맞다', '두드러지다', '구김', '흰색', '작다']","['두드러지다', '어울리다', '크다', '흰색', '구김', '없다']","['흰색', '어울리다', '맞다', '구김', '에나', '두드러지다', '어쩔']","['두드러지다', '어쩔', '에나', '구김', '어울리다', '흰색', '없다', '크다', '맞다']", 구김,"어울리다,   두드러지다,   구김,   흰색,   크다,   맞다","맞다, 구김, 두드러지다, 흰색, 어울리다"
사이즈 맞고 핏도 예쁘고 잘샀어요..원단도 탄탄하고 좋아요.,"['원단', '사이즈', '탄탄하다', '핏']","['탄탄하다', '원단', '사이즈', '핏', '맞다']","['맞다', '핏', '원단', '사이즈', '탄탄하다']","['원단', '탄탄하다', '맞다', '사이즈']", 사이즈,"원단,   사이즈,   탄탄하다,   핏,   맞다","원단, 사이즈, 탄탄하다, 핏, 맞다"
"음...저는 약간 살짝 끼어요.
몸이 불편하진 않은데 보기에는 조금 불편할 수 있을 것 같아서 한 사이즈 더 크게 살 걸 그랬나 생각은 했습니다.
하지만, 색감도 예쁘구요, 신축성이 좀 있어서 편해요. 만족합니다.",['끼'],"['만족하다', '신축', '보기', '불편하다', '음서', '사이즈', '색감', '몸']","['색감', '만족하다', '사이즈', '편하다', '보기', '에는', '불편하다']","['불편하다', '음서', '보기', '끼다', '그렇다', '크게', '에는', '신축', '색감', '만족하다']", 보기,"만족하다,   보기,   불편하다,   색감","만족하다, 보기, 불편하다, 색감, 사이즈, 색감, 신축성, 편하다, 만족하다"
"s사이즈는 허리가 작아서 m샀는데 좀 크네용.
여름엔 좀 춥고 봄,가을이 젤 좋을 것 같아요~","['m', '춥다', '크다', '허리', '봄', 's사이즈', '작다', '여름', '가을']","['여름', '사이즈', '작다', '허리', '크다', '추다']","['추다', '여름', '작다', '크다', 's', '사이즈', '허리']","['추다', '작다', '여름', '크다', '허리', '사이즈']"," 크다,  허리,  사이즈","크다,   허리,   작다,   여름,   사이즈,   추다","사이즈, 허리, 봄, 가을, 작다, 크다"
"77반 88에게 타이트하게 맞아요ㅋㅋ 이쁘고 핏하고 시원하지만 계속 숨참고 있어야 한다는 게 단점..ㅎ_ㅎ입니다
그래도 잘 입고 다니고 있어요! 키는 163입니다","['계속', '한다는', '시원하다', '맞다', '핏', '타이트', '단점', '키', '숨', '참고']","['키', '단점', '시원하다', '참고', '타이트']","['시원하다', '타이트', '맞다', '단점']","['한다는', '계속', '단점', '참고', '타이트', '하고', '맞다', '시원하다']",,"시원하다,   타이트,   단점,   맞다,   참고","시원하다, 타이트, 맞다, 단점"
예뻐요 생각했던 핏입니다 이런 스타일 옷 찾고 있었는데 좋아요,"['스타일', '찾다', '이렇다', '핏']","['스타일', '이렇다', '핏입니', '찾다']","['핏입니', '스타일', '이렇다', '찾다']","['핏입니', '이렇다', '찾다', '스타일']",,"스타일,   찾다,   이렇다,   핏입니","스타일, 핏"
길이가 다른 원피스들에 비해 긴 편이에요. 엄마가 좋아하는 길이ㅋㅋ 그래도 허리 라인 잡혀있어서 예뻐요,"['허리', '엄마', '원피스', '라인', '길이']","['원피스', '길이', '편이', '허리', '길이', '라인', '엄마', '비다']","['엄마', '편이', '잡히다', '원피스', '비다', '좋아하다', '허리', '라인']","['엄마', '비다', '길이', '좋아하다', '잡히다', '편이', '원피스', '라인', '허리']",,"허리,   엄마,   원피스,   라인,   길이,   편이,   비다","허리, 엄마, 라인, 길이, 원피스"
여름 내 잘 입었어요 딱 맞게 입고싶어 xs할까 고민하다가 s구입한건데 어깨가 딱 맞더라구요.,"['고민', 's', '맞다', '내', '어깨', '여름', 'xs']","['고민', '어깨', '싶다', '맞다', '맞다']","['맞다', '고민', '어깨', '건데']","['맞다', '건데', '어깨', 'xs', '고민', '여름']",,"맞다,   고민,   어깨","여름, 맞다, 고민, 어깨"
편하고 좋아여 흰색도 살 예정이에여 라인도 잡아쥼!!,"['잡아쥼', '살', '편하다', '흰색', '예정', '라인']","['편하다', '잡아쥼', '흰색', '라인', '예정']","['라인', '예정', '편하다', '잡아쥼', '흰색']","['잡아쥼', '흰색', '예정', '이에요', '라인', '편하다']",,"잡아쥼,   편하다,   흰색,   예정,   라인","편하다, 라인, 흰색"
pk원피스는 처음인데 진짜 맘에들어요. 근데 좀 짧긴해요. 아랫배 부각도 있긴있어요. 그래도 이뻐요... 스트레이트 체형이라면 도전하십쇼!!,"['도전쇼', '짧다', '처음', '원피스', '스트레이트', '체형라면', '부각', '아랫배']","['도전쇼', '체형라면', '스트레이트', '원피스', '처음', '부각']","['체형', '라면', '도전', '쇼', '부각']","['스트레이트', '아랫', '도전', '부각', '라면', 'pk', '체형', '처음', '근데', '인데']",,"부각,   처음,   스트레이트","부각, 처음, 스트레이트, 체형, 짧다, 원피스, 아랫배"
얇아서 여름에 입기 시원 할 듯.. 허리가 잘록하게 들어 가 있어서 핏되는 게 예쁩니다,"['잘록하다', '시원하다', '허리', '들어가다', '여름', '얇다', '핏되']","['잘록하다', '시원하다', '허리', '들어가다', '여름', '얇다', '핏되']","['잘록하다', '여름', '얇다', '핏되', '들어가다', '시원하다', '허리']","['잘록하다', '핏되', '들어가다', '여름', '허리', '시원하다', '얇다']",,"잘록하다,   시원하다,   허리,   들어가다,   여름,   얇다,   핏되","허리, 잘록하다, 시원하다, 여름, 얇다, 핏되다"
편하게 휘뚜루마뚜루 입고 다닐 수 있어 좋습니다 진짜 얇아서 시원해요,"['편하다', '휘뚜루마뚜루', '얇다', '시원']","['시원하다', '편하다', '얇다']","['얇다', '시원하다', '편하다', '휘뚜루마뚜루']","['휘뚜루마뚜루', '편하다', '시원하다', '얇다']",,"편하다,   얇다,   휘뚜루마뚜루,   시원하다","편하다, 얇다, 시원하다"
162/52 하비인데 S사이즈 딱 좋아요. 핏 예뻐서 손이 자주 가요. 다만 얇아서 비치는감이 있어 속치마 꼭 입어줍니다.,"['비침', '핏', 's사이즈', '가요', '속치마', '하비', '얇다', '손']","['줍다', '사이즈', '치마', '비치다', '하비', '손', '가요']","['줍다', '얇다', '하비', '비치다', '손', '가요']","['줍다', '하비', '가요', '인데', '치마', '비치다', '사이즈', '얇다']",,"가요,   하비,   얇다,   손,   줍다,   비치다","하비, 사이즈, 핏, 얇다, 비치다, 속치마"
"사이즈도 좋구요
재질이 부드럽네요
무게도 너무 가볍","['부드럽다', '사이즈', '재질', '가볍다', '무게']","['가법', '사이즈', '부드럽다', '재질', '무게']","['부드럽다', '무게', '사이즈', '재질', '가법']","['가법', '무게', '부드럽다', '재질', '사이즈']", 사이즈,"부드럽다,   사이즈,   재질,   무게,   가법","부드럽다, 사이즈, 재질, 무게, 가볍다"
너무 맘에 들어요! 배송도 빠르고 시원한 재질이에요,[''],"['재질', '배송', '시원하다', '빠르다']","['재질', '배송', '시원하다', '빠르다']","['이에요', '빠르다', '재질', '배송', '시원하다']",,"재질,   배송,   시원하다,   빠르다","배송, 빠르다, 재질, 시원하다"
"어느날 갑자기 신랑이 무신사에 대한 사랑이 생겨서 저도 한번 볼까나 하고 어플도 깔고 집근처에 가서 보기도 했는데 너무 좋더라구요.
너무 시원하고 바느질도 꼼꼼 진짜 이런 신세계가 있나 싶을정도에요. 그리고 스타일도 너무 좋아서 알림 신청 해놓고 괜찮은거있으면 바로 살거에요","['알림', '시원', '살', '물다', '집', '신랑', '근처', '바느질', '스타일', '앱']","['신청', '생기다', '신랑', '사랑', '시원하다', '사', '이렇다', '바느질', '갑자기', '근처']","['신세계', '스타일', '보기', '갑자기', '가다', '바느질']","['바느질', '생기다', '근처', '신청', '신세계', '꼼꼼', '대한', '알림', '보기', '갑자기']",,"바느질,   갑자기,   근처","바느질, 시원하다, 꼼꼼하다, 스타일"
너무길어서 살짝 잘랏더니 더 이뿌네요 엄청얇아서 좋긴한데 밝은데 가면 다리라인이 다 보일정돓 비치긴해요!! 저는 걍 청반바지 입고 입어요,"['반바지', '청', '비치', '얇다', '밝다', '다리라인']","['다리라인', '비치다', '반바지', '가면']","['반바지', '얇다', '자르다', '밝다', '가면']","['일정', '반바지', '가면', '자르다', '밝다', '그냥', '다리', '비치다', '라인', '얇다']",,"반바지,   얇다,   밝다,   가면","반바지, 얇다, 밝다, 비치다, 길다"
