title,keyword
[SET] 워셔블 케이블 반팔 니트 세트,"사이즈, 색감, 여름, 가성 비, 재질, 가격, 배송, 니트, 만족하다, 시원하다"
DOODLE HEART HALF T WHITE GREYISH BLUE,"프린팅, 디자인, 사이즈, 이쁘다, 들다, 편하다, 배송, 예쁘다, 재질, 생각"
[2PACK] 쿨 코튼 티셔츠 블랙+화이트,"사이즈, 편하다, 시원하다, 재질, 여름, 배송, 티, 적당하다, 가격, 가성 비"
아우터3. ASI 포시즌 에센셜 피그먼트 후드집업_차콜 그레이,"색감, 사이즈, 배송, 생각, 지퍼, 편하다, 디자인, 이쁘다, 적당하다, 무겁다"
아우터2. 파이어버드 트랙탑 - 블랙  IJ7058,"사이즈, 편하다, 배송, 아디다스, 적당하다, 이쁘다, 만족하다, 크다, 져지, 디자인"
42283 루즈핏 워크쇼츠 Black_reviews.csv,"사이즈, 허리, 디 키즈, 재질, 바지, 크다, 만족하다, 업 하다, 기장, 핏"
(여름버전추가) 투턱 와이드 롱 스웨트 팬츠 [그레이]_reviews,"편하다, 여름, 기장, 바지, 배송, 사이즈, 핏, 시원하다, 이쁘다, 만족하다"
아우터1. 베켄바우어 트랙탑 - 인디고  IP0418,"사이즈, 아디다스, 편하다, 색감, 예쁘다, 만족하다, 이쁘다, 실물, 역시, 기장"
1967 JET BLACK JEANS [WIDE STRAIGHT]_reviews,"기장, 바지, 사이즈, 색감, 만족하다, 적당하다, 브랜디 드, 핏, 이쁘다, 허리"
reviews_1875663,"시원하다, 길이, 사이즈, 편하다, 적당하다, 비치다, 원피스, 배송, 재질, 라인"
reviews_1944554,"사이즈, 허리, 적당하다, 길이, 치마, 편하다, 배송, 크다, 만족하다, 색상"
reviews_2551401,"편하다, 바지, 사이즈, 허리, 길이, 예쁘다, 만족하다, 엉덩이, 적당하다, 기장"
