Star,Review,Processed_Review
5.0,두툼합니다! 사이즈도 적당하고 무엇보다 재질이 정말 좋습니다. 시보리부분이 완전 탄탄해요,두툼합니다 사이즈도 적당하고 무엇보다 재질이 정말 좋습니다 시보리 부분이 완전 해요
5.0,기장감 좋고 품 좋고 78cm에 마른체형입니다 L사이즈 딱 좋아요,기장감 좋고 품 좋고 에 마른 체형입니다 사이즈 딱 좋아요
5.0,"일주일동안 환불2번하면서 후드집업 난민으로 살았는데 이번 후드집업 대만족합니다. 키 172, 몸무게 63이고 평소 L사이즈, 오버하게입는거 좋아해서 XL도 자주입습니다. 이너와 아우터 둘다 활용할수있게 적당히 오버핏에 기모가 없는 후드집업을 원했습니다. 여태까지 샀던 제품들과 비교를 해보자면 1. 멜란지마스터 스탠다드 XL 사이즈 면이 탄탄하고 후드각도 잘잡히는데 저에게 기장이 엄청 깁니다. 실측 70cm라고 해서 샀더니만 78cm정도 나오는 것 같습니다. 오버핏입으려고 크게사기보다는 완전 이너용으로 딱맞게 가면 좋을듯 합니다. 2. 무탠다드 헤비웨이트 L사이즈 기대를 많이했는데 실망스러웠습니다. 면은 정말 짱짱하지만 무게가 무겁다보니 후드각이 동그랗게 잡히는게 아니라 스스로에 무게에 무너져내리는 느낌입니다.  핏역시도 어깨사이즈는 넓은데 가슴품은 그만큼 넓지않아서(어깨는 XL, 품은 L느낌) 어딘가 언밸런스합니다. 오히려 말라보이는 느낌을 줘서 저처럼 마르신분들에겐 오히려 비추드립니다. 3. 토피 M사이즈 셋중 가장 색이 밝고 가장 얇습니다. 근데 위에 두개가 엄청 두껍기때문에 오히려 봄에입기에는 적당하다고 느꼈습니다. 후드각도 잘 살고 기장이 짧아(무탠다드L보다 3~4cm정도 짧습니다) 제가 생각하는 가장 이쁜핏이 나왔습니다. 단점이있다면 소매가 확실히 깁니다. 어깨와 품이 생각보다도 넉넉해서 L시켰으면큰일날뻔했네요. 정리하면 제생각에는 핏하게 이너로 입으실 분들은 멜란지  무게 상관안하시고 가을에 아우터로 입으실 형님들은 무탠다드 헤비웨이트 봄에 이너와 아우터로 활용할수있는 가벼운 오버핏 후드집업을 원하시면 토피 사시면 될듯합니다.",
5.0,"조금 무거운감이 있지만 역시 예쁘네요, 옆이 조금 오버핏이에요",조금 무거운 감이 있지만 역시 예쁘네요 옆이 조금 오버핏이에요
5.0,자크 다 잠궈서 안 예쁘게 나왔네요 사진처럼 투웨이 잘 살려서 입으면 충분히 가격값합니다,자크 다 잠궈서 안 예쁘게 나왔네요 사진처럼 투웨이 잘 살려서 입으면 충분히 가격값합니다
5.0,싸게 잘 샀어요!! 그리고 제가 키가 작아서 제일 작은 사이즈로 샀는데 m사도 괜찮았을거 같아요!! S사니까 길이는 엉덩이 가릴 정도고 소매는 딱 맞았어욯 예쁘게 잘 입겠습니당ㅎ,싸게 잘 샀어요 그리고 제가 키가 작아서 제일 작은 사이즈로 샀는데 사도 괜찮았을 거 같아 요 사니까 길이는 엉덩이 가릴 정도 고 소매는 딱 맞았어 욯 예쁘게 잘 입겠습니당
5.0,가끔 실내에서 추울때 입기 너무 좋아용 아래 지퍼도 살짝 올리면 이쁘구요,가끔 실내에서 추울 때 입기 너무 좋아용 아래 지 퍼도 살짝 올리면 이쁘구요
5.0,"총장이 짧고 팔은 길어서 입었을때 귀여워요 근데 지퍼가 잘안올라가고 품이 좀 큰게 아쉬버요,, 그래도  기본템으로 딱 좋습니다",총장이 짧고 팔은 길어서 입었을 때 귀여워요 근데 지퍼가 잘 안 올라가고 품이 좀 큰 게 아쉬버 요 그래도 기 본템으로 딱 좋습니다
5.0,생각했던 것보다 괜찮았어요! 두께도 나름 두껍고 손목 시보리도 너무 널널하지 않고 딱 적당해서 근데 저는 개인적으로 시보리가 완전 짱짱한 걸 좋아해서 밑단 시보리가 널널해서 살짝 아쉬웠어요 🥺 손목 시보리는 만족해요!,생각했던 것보다 괜찮았어요 두께도 나름 두껍고 손목 시보리도 너무 하지 않고 딱 적당해서 근데 저는 개인적으로 시보리가 완전 한 걸 좋아해서 밑단 시보리가 해서 살짝 아쉬웠어요 손목 시보리는 만족해요
5.0,일단 멜란지마스터와의 큰 차이점 세가지 핏이 다르다 (토피가 더 기장짧고 벙벙한 핏) 지퍼가 다르다 (멜란지는ykk 얘네는 국산) 원단 두께가 다르다 (멜란지가 약간 더 두꺼움) 핏 자체는 토피가 이상적이지만 지퍼같은 부자재나 원단에 있어서는 멜란지가 아주조금 더 나은편 그렇다고해서 후드 각이 안잡히는건 아님 멜란지만큼의 두께가 아닐뿐 각은 잡힘 토피는 지퍼 안쪽에 원단이랑 맞물리는곳에 마감을 해주긴했지만 제대로 신경쓰진않은듯,일단 멜란지 마스터와의 큰 차이점 세 가지 핏이 다르다 토피가 더 기장 짧고 한 핏 지퍼가 다르다 멜란지는 얘네는 국산 원단 두께가 다르다 멜란지가 약간 더 두꺼움 핏 자체는 토피가 이상적이지만 지퍼 같은 부자재나 원단에 있어서는 멜란지가 아주 조금 더 나은 편 그렇다고 해서 후드 각이 안 잡히는 건 아님 멜란지만큼의 두께가 아닐 뿐 각은 잡힘 토피는 지 퍼 안쪽에 원단이 랑 맞물리는 곳에 마감을 해주긴 했지만 제대로 신경 쓰진 않은 듯
