Review,Star,Processed_Review
"허리가 커요
뭔가 알 수 없지만 시크하고 세쿠시하고 좋아요
내 pose 때문일지도..",5.0,허리가 커요 뭔가 알 수 없지만 시크하고 세쿠시하고 좋아요 내 때문일지도
편안하고 가격도 저렴해서 너무좋아용 자주입을듯 ㅎ,5.0,편안하고 가격도 저렴해서 너무 좋아용 자주 입을 듯
바지 길이 제가 원하던 길이에요! 두께도 지금 날씨에 입기 좋은 두께 이구요 핏 짱이에요!!,5.0,바지 길이 제가 원하던 길이에 요 두께도 지금 날씨에 입 기 좋은 두께 이구요 핏 짱이에요
잘입고 입습니다. 운동할때도 좋아요. 한여름에는 입기 힘들거 같아요.,5.0,잘 입고 입습니다 운동할 때도 좋아요 한 여름에는 입기 힘들 거 같아요
"너무 편해서 맨날 입고 댕김
집앞 슈퍼 나갈 때 입어도 편하고
꾸안꾸로 입고 나갈 때도 좋음^.^*",5.0,너무 편해서 맨날 입고 댕 김 집 앞 슈퍼 나 갈 때 입어도 편하고 꾸안꾸로 입고 나갈 때도 좋음
루룰루룰룰루랄라랄 즐거운 산책 모르는게 상책~~,4.0,루룰루루랄 라랄 즐거운 산책 모르는 게 상책
너무 편하고 스타일 코디도 쉽게 할수있어요 너무 마음에 들어요,5.0,너무 편하고 스타일 코디도 쉽게 할 수 있어요 너무 마음에 들어요
가성비 갑 스웨팬츠 고민되시면 바로 구매하세요,5.0,가성비 갑 스웨 팬츠 고민되시면 바로 구매하세요
"여자친구 사줬는데 저보다 잘어울리네요ㅎ
가을에도 제로에서 바지 사야겠러요",5.0,여자친구 사줬는데 저보다 잘 어울리네 요 가을에도 제로에서 바지 사야겠러요
전 딱 7부 핏으로 잘 떨어지고 너무 편해서 많이 입었어요!!,5.0,전 딱 부 핏으로 잘 떨어지고 너무 편해서 많이 입었어요
"반바지를 잘 안입는데..이거 무슨 교복인가요
맨날 입게 된다구요!!!! 킹아",5.0,반바지를 잘 안입는데 이거 무슨 교복 인가요 맨날 입게 된다구요 킹아
저렇게 위에 오버핏이랑 입으면 이쁩니다 바지가 이쁘네여,5.0,저렇게 위에 오버핏이랑 입으면 이쁩니다 바지가 이 쁘네여
일본 여행 가서 예쀼게 입었숩니당 사이즈도 넉넉하고 조아여ㅋ,5.0,일본 여행 가서 예쀼게 입었숩니 당 사이즈도 하고 조아여
운동 할때 입으려고 샀는데 편하고 무엇보다 이뻐요,5.0,운동 할 때 입으려고 샀는데 편하고 무엇보다 이 뻐요
너무 편하고 이뻐요 데일리템입니다! 꼭 다들 사시고 입으셨으면 좋겠습니다!,5.0,너무 편하고 이 뻐요 데일리 템입니다 꼭 다들 사시 고 입으셨으면 좋겠습니다
길이랑 핏에 비해 허리고무줄이 짱짱한 느낌이에요 제 뱃살때문같아요 마음에 들어요~.~,5.0,길이랑 핏에 비해 허리 고무줄이 한 느낌이에요 제 뱃살 때문 같아 요 마음에 들어요
"생각보다 길이가 많이 길어요. 그리고 핏이 예쁘려면 특정 자세를 취해야 하고, 그냥 일자로 서있으면 항아리 같은 핏이 나와요 (2번째 사진처럼) 두께가 많이 두꺼운 데다가 검은색이라 지금 입어도 덥긴 합니다.",4.0,생각보다 길이가 많이 길어요 그리고 핏이 예쁘려면 특정 자세를 취해야 하고 그냥 일자로 서 있으면 항아리 같은 핏이 나와 요 번째 사진처럼 두께가 많이 두꺼운 데다가 검은색이라 지금 입어도 덥긴 합니다
"- 회색 잘 입고 있고 검정색도 한 번 사봤습니다.
- 재구매하면서 다른 사이즈 구매해봤는데 확실히 차이가 있네요.
- 참고하시라고 같은 자세 비슷한 코디로 올려봅니다ㅎㅎ
- 검정은 미디움, 회색은 라지입니다ㅎㅎ",5.0,회색 잘 입고 있고 검정색도 한 번 사봤습니다 재구매하면서 다른 사이즈 구매해봤는데 확실히 차이가 있네요 참고하시라고 같은 자세 비슷한 코디로 올려봅니다 검정은 미디움 회색은 라지입니다
"162/48 통은 마음에 드는데
길이는 조금 길어서 수선 맡겼어요!
휘뚜루마뚜루 입기 좋아요!",5.0,통은 마음에 드는 데 길이는 조금 길어서 수선 맡겼어요 휘뚜루 마 뚜루 입 기 좋아요
헬스하시는 분들은 장만하시면 아주 요긴하게 사용하실것 같아요.,5.0,헬스하시는 분들은 장만 하시면 아주 요긴하게 사용하실 것 같아요
"따악 제가 원하던 기장의 바지에여
넘넘 맘에 듭니댱 히히

무릎 밑으로 살짝 내려와서
편하게 입기 좋은 바지에오

핀턱있어서 귀여워요",5.0,따악 제가 원하던 기장의 바지에 여 맘에 듭니 댱 무릎 밑으로 살짝 내려와서 편하게 입 기 좋은 바지에 오 핀 턱 있어서 귀여워요
여기 브랜드 바지 네번째 구매에요 너무 좋아요 최고,5.0,여기 브랜드 바지 네 번째 구매에 요 너무 좋아요 최고
"친구한테 회색 빼앗기고 검정색으로 살아남았는데
이럴수가!! 내 진정한 사랑은 검정이었습니다,,
길이는 무릎을 슬쩍슬쩍 덮을까~~? 말까! 하는 밀당 길이입니다. 길이조차 완벽하다고 할 수 있죠^-^
그 어떤 티를 입든 조용히 받쳐주고 소화시켜주는 아리따운 아이입니다!! 제가 대통령이 된다면 국민 여러분께 한 장씩 드리고 싶을 정도로!! 공익을 위해!! 소중한 아이템 공개하는!! 그런 수고를 하더라도 모두에게 이 바지를 알리고 싶은!!
예쁜 바지라는 말입니다
샐깔은 그냥 엄청난 검정입니다. 그렇지만 완벽한 사이즈! 완벽한 길이! 완벽한 디자인! 무난하게 하나 갖고 있으면 계속 손이가는 새우깡 느낌의 바지입니다. 그냥 구매하셨으면 좋겠네요",5.0,친구한테 회색 빼앗기고 검정색으로 살아남았는데 이럴 수가 내 진정한 사랑은 검정이었습니다 길이는 무릎을 슬쩍슬쩍 덮을까 말까 하는 밀당 길이입니다 길이조차 완벽하다고 할 수 있죠 그 어떤 티를 입든 조용히 받쳐주고 소화시켜주는 아리따운 아이입니다 제가 대통령이 된다면 국민 여러분께 한 장씩 드리고 싶을 정도로 공익을 위해 소중한 아이템 공개하는 그런 수고 를 하더라도 모두에게 이 바지를 알리고 싶은 예쁜 바지라는 말입니다 샐깔은 그냥 엄청난 검정입니다 그렇지만 완벽한 사이즈 완벽한 길이 완벽한 디자인 무난하게 하나 갖고 있으면 계속 손이 가는 새우 깡 느낌의 바지입니다 그냥 구매하셨으면 좋겠네요
나쁘지않고 무난무난하게 입을수있는아이템입니닷,5.0,나쁘지 않고 무난무난하게 입을 수 있는 아이템입니닷
퀄리티 괜찮고 가격도 좋고 여름까지 입을수 있을거 같아서 좋아요! 흔한 느낌도 없어서 더 좋네용,5.0,퀄리티 괜찮고 가격도 좋고 여름까지 입을 수 있을 거 같아서 좋아요 흔한 느낌도 없어서 더 좋네용
생각했던 것 보다 오버핏이고 두께감 있는 원단이라 좋아요..!,4.0,생각했던 것 보다 오버핏이고 두께감 있는 원단이라 좋아요
"딱 제가 원하던 스타일의 스웻팬츠 입니다. 무릎에 걸치는 기장에 원턱, 바지색과 동일한 색상의 스트링! 옷 너무 이뻐요!!",5.0,딱 제가 원하던 스타일의 스웻팬츠 입니다 무릎에 걸치는 기장에 원턱 바지색과 동일한 색상의 스트링 옷 너무 이 뻐요
싸게 잘샀어요 가성비 좋아요 막 입고 다니기도 편하고 좋아요,5.0,싸게 잘 샀어요 가성비 좋아요 막 입고 다니기도 편하고 좋아요
너무 예뻐요 넘 편하고~ 기장도 너무 적당!! 잘입을듯,5.0,너무 예뻐요 넘 편하고 기장도 너무 적당 잘 입을 듯
ㅎㅎ 이뻐여 사이즈 딱 좋고 근데 한번 빨고 나니까 색감이 조금 빠졌어여,5.0,이 뻐여 사이즈 딱 좋고 근데 한 번 빨 고 나니까 색감이 조금 빠졌어여
바지가 편해서 운동할때 자주 입게되네요 추천드립니다,4.0,바지가 편해서 운동할 때 자주 입게 되네요 추천 드립니다
"귀여우니까 다들 당장 사시길
빨리빨리 체고 짱짱",5.0,귀여우니까 다들 당장 사시 길 빨리빨리 체 고
넉넉하고 편해서 좋아요 시원해서 여름에도 입을꺼같아요,4.0,하고 편해서 좋아요 시원해서 여름에도 입을 꺼 같아요
