Review,Star,Processed_Review
"만족해요
크게 입는거 추천
농구선수가 입는 바지 느낌 나용",5.0,만족해요 크게 입는 거 추천 농구선수가 입는 바지 느낌 나용
와이드핏으로 크게 입을수있어요 흐흐 시웡해요 흐흐,5.0,와이드핏으로 크게 입을 수 있어요 시 웡해요
사이즈가 클 줄 알았는데 생각보다 안 크고 허리가 짱짱해서 좋습니댜 근데 걷다보면 살짝 내려가는 감이 없지 안한 있어 허리는 한 번 접어 입는 게 젛았어요오,5.0,사이즈가 클 줄 알았는데 생각보다 안 크고 허리가 해서 좋습니댜 근데 걷다 보면 살짝 내려가는 감이 없지 안 한 있어 허리는 한 번 접어 입는 게 젛았어요 오
몸무게가 많이 나가 작진 않을까 했는데 너무 잘 맞내요,5.0,몸무게가 많이 나가 작진 않을까 했는데 너무 잘 맞내요
첨엔 생각보다 안이뻐보여서 실망했는데 입다보니 푹 빠져버렸어요 너무좋아요,5.0,첨엔 생각보다 안이 뻐보여서 실망했는데 입 다 보니 푹 빠져버렸어요 너무 좋아요
"너무 편하고 허리도 짱짱해서 개미허리이신분들도 입을
수 있어요!",5.0,너무 편하고 허리도 해서 개미 허리이신 분들도 입을 수 있어요
흑흑 ~ 넘 귀여워용 입어보고 며칠 후에 다른 색도 삿어용 버뮤다 핏 같이 나와서 좋아요,5.0,넘 귀여워용 입어보고 며칠 후에 다른 색도 삿어용 버뮤다 핏 같이 나와서 좋아요
So good~~~~~~~~~~~~~~~~~~~~~~~~ to use very very good goods 정말정말 편하고 스타일 있어보이고 이쁘고 삼위일체,5.0,정말 정말 편하고 스타일 있어 보이고 이 쁘고 삼 위일체
너무 만족스러운 바지 입니다 꾸안꾸 무드 낼때 최고네요,5.0,너무 만족스러운 바지 입니다 꾸안 꾸 무드 낼 때 최고네요
바지 너무 이쁘다 본인 평소 사이즈 보다 크게 사셔서 버뮤다팬츠느낌으로 입으시면 완젼 굳 입니다. 너무 편하고 요즘 더워서 이친구한테만 손이가서 저는 블랙 컬러도 구매할려고 합니다 ㅎㅎ 다달 겟하세요,5.0,바지 너무 이쁘다 본인 평소 사이즈 보다 크게 사셔서 버뮤다 팬츠 느낌으로 입으시면 완젼 굳 입니다 너무 편하고 요즘 더워서 이 친구한테만 손이 가서 저는 블랙 컬러도 구매할려고 합니다 다달 겟하세요
무릎까지 오는 기장이 마에 들고 편하고 좋습니다,5.0,무릎까지 오는 기장이 마에 들고 편하고 좋습니다
예부다요 다리 굵어보인다고 해서 걱정했는데 저는 그런거 없음,5.0,예부다 요 다리 굵어 보인다고 해서 걱정했는데 저는 그런 거 없음
"기장도 적절하고 봄 여름 가을에 입기 좋아요!!
추천합니다",5.0,기장도 적절하고 봄 여름 가을에 입 기 좋아요 추천합니다
"좋네요 길이도 적당하고 가성비가 좋섭니다
원단고 탄튼하니 맛집 인정!",5.0,좋네요 길이도 적당하고 가성비가 좋섭니 다 원단 고 탄튼 하니 맛집 인정
"저와 같은 신체 스펙을 가지신 분들이라면
구매 사이즈가 딱 원하는 기장 나올것 같구요
제로는 가성비 맞춤 브랜드인듯 합니다
자주 입게 되니 구매 강추~!",5.0,저와 같은 신체 스펙을 가지 신 분들이라면 구매 사이즈가 딱 원하는 기 장 나올 것 같구 요 제로는 가성비 맞춤 브랜드인 듯 합니다 자주 입게 되니 구매 강추
"진짜 s살까 m살까 한참 고민 하다가 
요즘 힙한거에 빠져서 m 샀는데 최고의 선택
저랑 스팩이 비슷하시다면 m추천 !!",5.0,진짜 살까 살까 한참 고민 하다가 요즘 힙 한 거에 빠져서 샀는데 최고의 선택 저랑 스팩이 비슷하시다면 추천
"162/48 통은 마음에 드는데
길이는 조금 길어서 수선 맡겼어요!
휘뚜루마뚜루 입기 좋아요!",5.0,통은 마음에 드는 데 길이는 조금 길어서 수선 맡겼어요 휘뚜루 마 뚜루 입 기 좋아요
무릎가리는 반바지를 한참 찾았었는데 이 바지 .. 정말 딱 제가 원하는 반바지에요 너무 길어서 여름에 더울꺼 같다가도 통이 넓어서 바람이 쇽쇽 잘 드와서 시원시원합니다 힙쟁이 반바지 추천추천합니다 !!! 꼭 사세요,5.0,무릎 가리는 반 바지를 한 참 찾았었는데 이 바지 정말 딱 제가 원하는 반 바지에 요 너무 길어서 여름에 더울꺼 같다가도 통이 넓어서 바람이 잘 드와 서 시 원시원합니다 힙쟁이 반바지 추천추천합니다 꼭 사세요
"길이가 애매해서 허리에 입으면 무릎 반절까지 오고 골반에 걸쳐입으면 무릎 다 덮게 입을 수 있어요! 대신 허리에 입으려면 좀 꽉 조여야 하는데, 허리도 짱짱해요. 두께도 후기들 보니까 여름에 입긴 더울 것 같다던데 못 입을 정도는 아니예요. 편하게 박스티랑 입어도 좋고 쪼금 드레스업 해서 입어도 좋아요! 잘 입고 다닐 것 같아요!",4.0,길이가 애매해서 허리에 입으면 무릎 반절까지 오고 골반에 걸쳐 입으면 무릎 다 덮게 입을 수 있어요 대신 허리에 입으려면 좀 꽉 조여야 하는데 허리도 해요 두께도 후기들 보니까 여름에 입긴 더울 것 같다던데 못 입을 정도는 아니예 요 편하게 박스티랑 입어도 좋고 쪼금 드레스업 해서 입어도 좋아요 잘 입고 다닐 것 같아요
처음 입어보았을때는 억수로 컸지만 계속 입다보니 적응되서 이쁘게 입고다녀요ㅎㅎ 가격도 저렴해서 자주 입을듯합니다ㅎㅎ,5.0,처음 입어 보았을 때는 억수로 컸지만 계속 입 다 보니 적응되서 이쁘게 입고 다녀 요 가격도 저렴해서 자주 입을 듯합니다
소재도 좋고 핏도 야무지게 잘빠져서 여름에 잘 입을꺼 같습니다!,5.0,소재도 좋고 핏도 야무지게 잘 빠져서 여름에 잘 입을 꺼 같습니다
"버뮤다팬츠 찾다가 후기가 괜찮아서 사봤는데
너무 이쁜걸료..두께감이 조금 있지만 괜찮았어요!
착용감도 편하고 좋았습니다👍저의 키에 허리 맞춰서 입으면 사진상 길이고 짧게 입고 싶으시면 한번 걷어올려서 입으면 무릎은 보였어요",5.0,버뮤다 팬츠 찾다가 후기가 괜찮아서 사봤는데 너무 이쁜 걸료 두께감이 조금 있지만 괜찮았어요 착용 감도 편하고 좋았습니다저의 키에 허리 맞춰서 입으면 사진상 길이고 짧게 입고 싶으시면 한번 걷어 올려서 입으면 무릎은 보였어요
오버하고 여름에 남들관 좀 다른 코디가 가능하네요,5.0,오버하고 여름에 남들 관 좀 다른 코디가 가능하네요
원하던 핏감입니다. 두께도 적당하고 제가 찾던 제품입니다,5.0,원하던 핏 감입니다 두께도 적당하고 제가 찾던 제품입니다
너무 맘에 들어요! 왕크니까 왕 귀야운 느낌! 히 다들 사세야,5.0,너무 맘에 들어 요 왕크니까 왕 귀야운 느낌 히 다들 사 세야
"골반걸치면 무릎밑으로 떨어져소
저는 그렇게 내려입어요!!
그게 더 힙스럽거든쿄>_<",5.0,골반걸치면 무릎 밑으로 떨어져 소 저는 그렇게 내려 입어요 그게 더 힙스럽거든 쿄
"오~히려귀여웡ㅋ
길이 이렇게 애매한거 삘받아서 삿는디
너무 귀엽잖아
물론 내가~",5.0,오히려 귀여웡 길이 이렇게 애매한 거 삘 받아서 삿는 디 너무 귀엽잖아 물론 내가
176입니다!! L사이즈를 샀는데 허리가 엄청 남아요🥺 길이 생각해서 주문하실꺼면 L 사는게 좋고 딱 맞게 입고 싶으시면 M추천합니다,5.0,입니다 사이즈를 샀는데 허리가 엄청 남아 요 길이 생각해서 주문하실 꺼면 사는 게 좋고 딱 맞게 입고 싶으시면 추천합니다
두꺼워서 가을까지 잘 입을 수 있을 거 같고 기장이랑 통이 너무 맘에 들어요… 아 근데 생각보다 뭐 묻으면 잘 안지워지니 다들 조심해서 입으세요 아 그리고 제 체격이시면 무조건 s 하세요 허리 안 그래도 커서 꽉 조여 입어야하는데 m 사이즈 사면 정말 그냥 흘러 내릴 거 같아요 다들 s 사고 휘뚤마뚤템 정착하세요 ~~,5.0,두꺼워서 가을까지 잘 입을 수 있을 거 같고 기장이랑 통이 너무 맘에 들어 요 아 근데 생각보다 뭐 묻으면 잘 안 지워지니 다들 조심해서 입으세요 아 그리고 제 체격이시면 무조건 하세요 허리 안 그래도 커서 꽉 조여 입어야 하는데 사이즈 사면 정말 그냥 흘러 내릴 거 같아 요 다들 사고 휘뚤마뚤 템 정착하세요
"요즘엔 바지를 이렇게 입는다면서요,,,
유행 겨우 따라가기",5.0,요즘엔 바지를 이렇게 입는다면서 요 유행 겨우 따라가기
저희 어머니가 입으셨는데 잘 어울리셔서 어머니 드렸습니다 옷 이쁘네요,5.0,저희 어머니가 입으셨는데 잘 어울리셔서 어머니 드렸습니다 옷 이쁘네요
"부담스럽지않은 와이드 핏!! 생각보다 쪼오끔 두꺼웠는데 한여름 빼고는 입을 수 있을거같네용 
핏 너무 이쁘고 여기서 사길 잘했네요 ㅎㅎ",5.0,부담스럽지 않은 와이드 핏 생각보다 쪼오끔 두꺼웠는데 한 여름 빼고는 입을 수 있을 거 같네용 핏 너무 이 쁘고 여기서 사길 잘했네요
와일드하게 잘 떨어지구 턱 부분이 위에서부터 이어졌으면 더 좋았을 것 같아요! 상품은 예뻐요,5.0,와일드하게 잘 떨어지구 턱 부분이 위에서부터 이어졌으면 더 좋았을 것 같아 요 상품은 예뻐요
학교 여자애가 입은 거 보고 귀여워서 샀는데 내가 입어도 귀엽네요,5.0,학교 여자애가 입은 거 보고 귀여워서 샀는데 내가 입어도 귀엽네요
"엄청 얇지도 엄청 두껍지도 않아요
되게 여유있고 편안합니다 ㅎ 허리 얇은편인데도
하리 잘 맞네요",5.0,엄청 얇지도 엄청 두껍지도 않아 요 되게 여유 있고 편안합니다 허리 얇은 편인데도 하리 잘 맞네요
"바지 너무 맘에 들어요 뽀잉 뽀잉~
160인 저에게 s사이즈 딱 조아요~~",5.0,바지 너무 맘에 들어 요 뽀잉 뽀잉 인 저에게 사이즈 딱 조아요
버뮤다팬츠 찾고 있어서 구매했는데 완전 만족합니다,5.0,버뮤다 팬츠 찾고 있어서 구매했는데 완전 만족합니다
"아주아주 만족🤍🤍
핏이 이쁘고 아주 편해서 매일 입어요🤍",5.0,아주 아주 만족 핏이 이 쁘고 아주 편해서 매일 입어요
두껍지 않아서 여름에 입기 좋고 핏이 너무 예뻐요,5.0,두껍지 않아서 여름에 입 기 좋고 핏이 너무 예뻐요
무릎덮이는 기장이에요 m사이즈 시킬걸 죄끔 후회되지만 핏좋고 예뻐요 잘입구 다닐 것 같아옹,5.0,무릎 덮이는 기장이에요 사이즈 시킬 걸 죄끔 후회되지만 핏 좋고 예뻐요 잘 입구 다닐 것 같아옹
긴버전 마음에 들어서 반바지버전으로도 샀는데 원하는 느낌 그대로예요!,5.0,긴 버전 마음에 들어서 반바지 버전으로도 샀는데 원하는 느낌 그대로예요
너무 이쁩니다 살까말까 고민을 했는데 고민한 시간이 아깝네요,4.0,너무 이쁩니다 살까 말까 고민을 했는데 고민한 시간이 아깝네요
기장굿..소재굿..사이즈굿..생각보다 두꺼운데 막상 입으니 덥진 않네요 다만 건조기 세탁시 수축현상 좀 있읍니다 참고하시길..!,5.0,기장굿소재 굿 사이즈 굿 생각보다 두꺼운데 막상 입으니 덥진 않네요 다만 건조기 세탁 시 수축 현상 좀 있읍니다 참고하시길
야무지고 아삭아삭하고 탱글탱글한게 맛도리네요,5.0,야무지 고 아삭아삭하고 탱글탱글한 게 맛도 리네요
사이즈도 정말 너무 적당하고 가격도 너무 착해요 추천,5.0,사이즈도 정말 너무 적당하고 가격도 너무 착해요 추천
크기도 널널하고 재질 좋아요 두께감 있어서 한여름엔 더울 거 같아요,5.0,크기도 하고 재질 좋아요 두께감 있어서 한 여름엔 더울 거 같아요
"얇아서 여름에도 입기에 충분합니다.
원래 입던 사이즈보다 한 사이즈 업해서 입는거 추천드려요",5.0,얇아서 여름에도 입기에 충분합니다 원래 입던 사이즈보다 한 사이즈 업해서 입는 거 추천 드려요
"버뮤다 팬츠 처음 사보는데 생각했던 것보다 너무 예뻐서 놀랐습니다,,, 다양한 코디에 적용할 수 있을 것 같아요!!!",5.0,버뮤다 팬츠 처음 사보는데 생각했던 것보다 너무 예뻐서 놀랐습니다 다양한 코디에 적용할 수 있을 것 같아요
"✅164/60/mesh M사이즈
✔️버뮤다 스웻팬츠를 찾다가 너무 유명한 제품이라서 제로 제품으로 결정했는데 가격도 싸고 안감이 메쉬+두께도 일반 면보다 얇아서 시원하게 잘 입었습니다!
✔️밴딩이 되게 촘촘하고 기장감은 약간 올려입으면 저 사진정도고 그냥 입으면 무릎보다 약간 내려옵니다!
S랑 고민했는데 저처럼 와이드 좋아하시면 m 사이즈 추천드려요!
✔️메쉬 소재라서 핏이 덜 이쁘면 어쩌나 생각했는데 더 이쁜 것 같아요..☺️
✔️그냥 반팔티랑 입어도 이쁘고 무지티에 반팔셔츠 열어입어도 이쁘더라구요!제가 산 제품중에 활용도가 제일 좋아요☺️",5.0,사이즈 버뮤다 스웻팬츠를 찾다가 너무 유명한 제품이라서 제로 제품으로 결정했는데 가격도 싸고 안감이 메쉬 두께도 일반 면보다 얇아서 시원하게 잘 입었습니다 밴딩이 되게 하고 기장감은 약간 올려입으면 저 사진 정도 고 그냥 입으면 무릎보다 약간 내려옵니다 랑 고민했는데 저처럼 와이드 좋아하시면 사이즈 추천 드려요 메쉬 소재라서 핏이 덜 이 쁘면 어쩌나 생각했는데  더 이 쁜 것 같아 요 그냥 반팔 티랑 입어도 이 쁘고 무지티에 반팔 셔츠 열어 입어도 이 쁘더라구요제가 산 제품 중에 활용도가 제일 좋아요
다들 메쉬사세요 훨씬 시원하고 편해요 다만 보풀이 금방 일어남ㅜ,4.0,다들 메쉬 사세요 훨씬 시원하고 편해요 다만 보풀이 금방 일어남
"진짜 짱 시원해요 

매쉬소재로 가는 것을 추천합니다

일반소재랑 겉보기에 다른게 없으니 더 시원한게 낫지 않을까요.",5.0,진짜 짱 시원해 요 매쉬 소재로 가는 것을 추천합니다 일반 소재랑 겉보기에 다른 게 없으니 더 시원한 게 낫지 않을까요
