Review,Star,Processed_Review
이너티로 입을려고 샀는데 단독으로 입어도 이뻐서 완전 맘에 쏙..🩷 후기에 S사이즈도 길다는 분이 계셔서 XS로 샀는데 제 현명한 선택이였어요 제 기준 엉덩이 반 정도 오는 기장이에요!! 재질도 너무 좋구요 이 제품은 특히 넥라인이  목에 딱 맞는 스타일이라 늘어나지 않을 것 같아요 짱짱해요 로고도 심플하니 너무 예쁩니다😍😍,5.0,이너티로 입을 려고 샀는데 단독으로 입어도 이 뻐서 완전 맘에 쏙 후기에 사이즈도 길다는 분이 계셔서 로 샀는데 제 현명한 선택이였어요 제 기준 엉덩이 반 정도 오는 기장이에요 재질도 너무 좋구요 이 제품은 특히 넥라인이 목에 딱 맞는 스타일이라 늘어나 지 않을 것 같아 요 해요 로고도 심플하니 너무 예쁩니다
이너티로도 되게 단단하고 여름에 그냥 이거 하나만 입기에도 시웡하고 이쁜거같아요!,5.0,이너티로도 되게 하고 여름에 그냥 이 거 하나만 입기에도 시웡하고 이쁜 거 같아요
"옷이 되게 크게 나왔나봐요 ...! 평소에 s 아니면 m으로 사는 편인데 다른 후기들 보고 xs로 샀습니다 ! 근데 그러길 너무 잘한거 같아요 ,, xs인데도 엉덩이를 다 가릴 정도로 깁니다 재질도 좋고 목도 잘 안 늘어날 것 같아요 !!",5.0,옷이 되게 크게 나왔나 봐요 평소에 아니면 으로 사는 편인데 다른 후기들 보고 로 샀습니다 근데 그러길 너무 잘한 거 같아 요 인데도 엉덩이를 다 가릴 정도로 깁니다 재질도 좋고 목도 잘 안 늘어날 것 같아 요
휘뚜루 마뚜루 입기에는 커버낫 기본이 최고예요,5.0,휘뚜루 마 뚜루 입기에는 커버낫 기본이 최고예요
두 번째 주문. 편함. 재질 부드러움. 박음질 튼튼함. 흰색은 아주 약간 노란끼 있지만 깔끔함. 사이즈 약간 널널한 편. 만족도 높음,5.0,두 번째 주문 편함 재질 부드러움 박 음질 함 흰색은 아주 약간 노란끼 있지만 깔끔함 사이즈 약간 한 편 만족도 높음
옷 재질이 여름에 입기 너무 좋아요 목 둘레가 여유롭고 스판기 있어서 입고 벗기 너무 편합니다 적당히 얇은 재질이라 가볍고 여름에 입기 시원해요 면 재질이 부드러워서 착용감도 겁나 좋네요 어깨선도 딱 맞고 팔 길이도 적당해서 핏이 예뻐요 총 길이도 적당해서 넣입했을때 잘 안 빠지고 빼서 입었을 때도 괜찮아요 기본 티라서 코디 가리지 않고 다 잘 어울리는 편이라 활용도가 좋네요 꼭 필요한 흰검 조합에 가격도 저렴하니 가성비 대박입니다 반팔티 고민하고 계시다면 꼭 구매하세요👍🏻,5.0,옷 재질이 여름에 입 기 너무 좋아요 목 둘레가 여유롭고 스판 기 있어서 입고 벗기 너무 편합니다 적당히 얇은 재질이라 가볍고 여름에 입 기 시원해 요 면 재질이 부드러워서 착용 감도 겁나 좋네요 어깨선도 딱 맞고 팔 길이도 적당해서 핏이 예뻐요 총 길이도 적당해서 넣입했을 때 잘 안 빠지고 빼서 입었을 때도 괜찮아요 기본 티라서 코디 가리지 않고 다 잘 어울리는  편이라 활용도가 좋네요 꼭 필요한 흰 검 조합에 가격도 저렴하니 가성비 대박입니다 반팔티 고민하고 계시다면 꼭 구매하세요
포장안쪽에 기름같은게 묻어서 오긴했는데.내용물는 다행이 괜찮습니다. 이너나 단독으로 입기 젤 무난할듯 하네요,5.0,포장 안쪽에 기름 같은 게 묻어서 오긴 했는데 내용물는 다행이 괜찮습니다 이 너나 단독으로 입 기 젤 무난할 듯 하네요
부드러운 원단이긴한데 많이 얇아요  흰색은 안이 다비치네요 이너로 입어야겠네요 많이 아쉬워요,3.0,부드러운 원단이긴 한데 많이 얇아 요 흰색은 안이 다비치네요 이너로 입어야겠네요 많이 아쉬워요
가격도 저렴하고 잘 입을 것 같ㅇㅏ요 포장도 깔끔해서 맘에 듭니댱,5.0,가격도 저렴하고 잘 입을 것 같요 포장도 깔끔해서 맘에 듭니댱
입고 등산 갔는데 땀흡수도 잘되고 좋았 습니다 사이즈도 적당해요,5.0,입고 등산 갔는데 땀 흡수도 잘 되고 좋았 습니다 사이즈도 적당해요
