Review,Star,Processed_Review
163 기준 여자가 입었을 때 많이 커요 오버핏으로 입으려고 했는데 핏으로 크게 입은 게 아니라 그냥 큰 느낌! 체구 작으신 분들 사실 때 참고하시면 좋을 것 같아요 저는 디자인이랑 색감 재질 모든 면에서 완벽하게 제 취향이라 사이즈 무시하고 입었습니다 .. 아주아주 만족해요 ( ⚯̫ ),5.0,기준 여자가 입었을 때 많이 커요 오버핏으로 입으려고 했는데 핏으로 크게 입은 게 아니라 그냥 큰 느낌 체구 작으신 분들 사실 때 참고하시면 좋을 것 같아 요 저는 디자인이랑 색감 재질 모든 면에서 완벽하게 제 취향이라 사이즈 무시하고 입었습니다 아주 아주 만족해요
배송은 예약배송이라 조금 걸렸지만 얇아서 지금 입기에도 적당하고 핏도 예뻐서 만족스럽습니다! ,5.0,배송은 예약 배송이라 조금 걸렸지만 얇아서 지금 입기에도 적당하고 핏도 예뻐서 만족스럽습니다
옷이 얇고 가볍고 낭낭한 핏이라 편하고 시원해서 손이 자주 가네요,5.0,옷이 얇고 가볍고 한 핏이라 편하고 시원해서 손이 자주 가네요
주머니 짝짝이인 불량 상품 예약배송으로 받았는데  기다린 만큼 바로 입으려고 세탁하고 발견했습니다 애초에 불량인 상품인데 교환환불 안해주겠다네요 쪽팔려서 입지도 못하겠어요 다시는 파르티멘토 안살거 같아요 여러분도 구매하실때 다시 생각해보세요 불량 받아도 환불 못 받으니까요^^,1.0,주머니 이인 불량 상품 예약 배송으로 받았는데 기다린 만큼 바로 입으려고 세탁하고 발견했습니다 애초에 불량인 상품인데 교불 안 해주겠다네요 쪽 팔려서 입지도 못하겠어요 다시는 파르 티멘토 안 살 거 같아 요 여러분도 구매하실 때 다시 생각해보세요 불량 받아도 환불 못 받으니까요
각 잡힌 셔츠가 안 어울리는 편인데 이거는 후들후들한 소재감 덕분인지 잘 어울리더라구요. 단추 풀어서 입으나 잠가서 입으나 핏 다 예쁩니다. 활용도가 엄청 높은 셔츠!!,5.0,각 잡힌 셔츠가 안 어울리는 편인데 이거는 후들 후들한 소재 감 덕분인지 잘 어울리더라구요 단 추 풀어서 입으나 잠가서 입으나 핏 다 예쁩니다 활용도가 엄청 높은 셔츠
왜 안사요???? 얼른 사세요 다들 너무 이뻐요 여름에도 이쁜옷 입어보아요,5.0,왜 안사요 얼른 사 세요 다들 너무 이 뻐요 여름에도 이쁜 옷 입어 보아요
겨울에도 패딩 안에 반팔입고 다니는 열많은인간이라 여름옷이 아주 골ㅊㅣ아팠던 터였다죠 .. 그러던 중 이걸 샀는데 개얇고 나풀나풀한데 후줄그레하진 않고 너무 좋은 겁니다   (여름옷의 숙명 : 시원하면 후줄그레. 단정하면 개더움)  여름옷의 숙명을 드디어 벗어던졌어요.  괜찮은 다른 컬러 있으면 바로 살 겁니다,5.0,겨울에도 패딩 안에 반 팔 입고 다니는 열 많은 인간이라 여름옷이 아주 골아팠던 터였다 죠 그러던 중 이걸 샀는데 개얇고 나 풀나풀한데 후 줄 그레하진 않고 너무 좋은 겁니다 여름옷의 숙명 시원하면 후 줄 그레 단정하면 개더움 여름옷의 숙명을 드디어 벗어던졌어요 괜찮은 다른 컬러 있으면 바로 살 겁니다
원하던 반팔셔츠라 기대하고 구매했는데 딱 원하는 스타일이네요,5.0,원하던 반팔 셔츠라 기대하고 구매했는데 딱 원하는 스타일이네요
약간 까슬한 면이고 두께는 얇아요! 그치만 엄청 시원한 소재까지는 아닌것 같아요! 딱 원하던 핏이어서 맘에 듭니다~,5.0,약간 까슬한 면이 고 두께는 얇아 요 그치만 엄청 시원한 소재까지는 아닌 것 같아 요 딱 원하던 핏이어서 맘에 듭니다
요즘 체크패턴 셔츠 정말 가지고 싶었는데 에구머니나 마침 이렇게 이쁜 제품 발견! 한여름에도 입을수있는 얇기에요 안에 이너 없이 맨살에 입는거 추천추천 막 추천,5.0,요즘 체크 패턴 셔츠 정말 가지고 싶었는데 에 구머니나 마침 이렇게 이쁜 제품 발견 한 여름에도 입을 수 있는 얇기에 요 안에 이너 없이 맨 살에 입는 거 추천 추천 막 추천
