Star,Review,Processed_Review
5.0,이옷을살까말까고민했던하루가아깝습니다정말예쁘고흔하지도않습니다제스펙에L시켰더니딱오버핏느낌으로좋았습니다당장구매하십시오,이 옷을 살까 말까 고민했던 하루가 아깝습니다 정말 예쁘고 흔하지도 않습니다 제스펙에 시켰더니 딱 오버핏 느낌으로 좋았습니다 당 장 구매하십시오
5.0,흰색 포인트가 들어가서 다른 져지랑은 색다름을 줄 수 있어 너무 예쁩니다. 봄.가을에 아우터용으로 입으면 좋고 검정색이라서 무난하게 모든 바지랑 다 잘어울려용~,흰색 포인트가 들어가서 다른 져지랑은 색 다름을 줄 수 있어 너무 예쁩니다 봄 가을에 아우터용으로 입으면 좋고 검정색이라서 무난하게 모든 바지랑 다 잘 어울려 용
5.0,와투케 Zㅣ조N 에여. 아디다스 너무 이쁘다 이뻐요,와투케 조 에 여 아디다스 너무 이쁘다 이 뻐요
5.0,베켄바우어 블랙 화이트는 이미 가지고 있어 안 사려 했지만 포인트가 너무 예뻐서 사게 만드는 🥺 일단 넥라인이 예쁘고 아디다스답게 지퍼가 부드럽네용... 지퍼 디테일도 깔끔해요 투웨이인데 걸림 없습니다 팔이랑 전체 기장이 조금만 짧았더라면 하는 아쉬움이 있지만... 사이즈 미스 난 제 탓도 있으니 사이즈표 보면서 구매하는 거 추천드려요 품이 여유롭긴하나 평소에 입던 빈티지 베켄바우어 보다는 좀 더 슬림하다고 느껴졌어요 ,베켄바우어 블랙 화이트는 이미 가지고 있어 안 사려 했지만 포인트가 너무 예뻐서 사게 만드는 일단 넥라인이 예쁘고 아디다스답게 지퍼가 부드럽네 용 지퍼 디테일도 깔끔해요 투웨이인데 걸림 없습니다 팔이랑 전체 기장이 조금만 짧았더라면 하는 아쉬움이 있지만 사이즈 미스 난 제 탓도 있으니 사이즈 표 보면서 구매하는 거 추천 드려요 품이 여유롭긴 하나 평소에 입던  빈티지 베켄바우어 보다는 좀 더 슬림하다고 느껴졌어요
5.0,헤헤 탄탄하고 예뽀요 안흔해서 좋음 !!!!! 근데 좀 길고 밑단 시보리 하얀색인거까진 제 취향이 아니러소 걍 접고 다뇨욤 아 기여워 내옷,하고 예뽀요 안 흔해서 좋음 근데 좀 길고 밑단 시보리 하얀색인 거까진 제 취향이 아니러 소 걍 접고 다뇨욤 아 기여워 내 옷
5.0,예뻐용~빳빳한 재질입니다(교복 받쳐 입으면 좀 낄 거 같은 그런 느낌~) m사이즈 클 줄 알았는데 그냥 약간 세미 긴팔원숭이 되는 그런 느낌만 들고 소매 걷어 올리면 예쁜 핏 됩니다. 그라믄 즐거운 쇼핑 되세요,예뻐용 한 재질입니다 교복 받쳐 입으면 좀 낄 거 같은 그런 느낌 사이즈 클 줄 알았는데 그냥 약간 세미 긴 팔 원숭이 되는 그런 느낌만 들고 소매 걷어 올리면 예쁜 핏 됩니다 그라믄 즐거운 쇼핑 되세요
5.0,옷 이뻐여 귀엽고 옷 재질도 그냥 져지보다 탄탄하게느껴져서 좋았으요 살짝 슬림하게 입고싶었는데 그냥 평범한 핏이라 m살껄 그랬네요 그냥 반품비 아깝고 귀찮고 나름 괜찮아서 그냥 입으려구요 제가 길이가 감이 안와서 고민을 많이했기에 사진 다양하게 첨부합니다,옷 이 뻐여 귀엽고 옷 재질도 그냥 져지보다 하게 느껴져서 좋았으요 살짝 슬림하게 입고 싶었는데 그냥 평범한 핏이라 살 껄 그랬네요 그냥 반품비 아깝고 귀찮고 나름 괜찮아서 그냥 입으려구요 제가 길이가 감이 안 와서 고민을 많이 했기에 사진 다양하게 첨부합니다
5.0,ADIDAS IS 신뢰에요. 재빠르게 구매 완료에요.,신뢰에 요 재 빠르게 구매 완료에요
5.0,으아악 개이쁨요  하루만에와서 어제입고나갔다가 얼어죽을뻔했어요 투웨이라는게 진짜맘에들고 팔이약간? 긴느낌이있지만 이뻐서만족합니당,으아 악 개이쁨요 하루 만에 와서 어제 입고 나갔다가 얼어 죽을 뻔했어요 투웨이라는 게 진짜 맘에 들고 팔이 약간 긴 느낌이 있지만 이 뻐서 만족합니당
4.0,이뻐서 사고싶었는데 사이즈가 2XL밖에 없어서 사긴 샀는데 너무 크네야ㅠ 저희 집 강아지 너구리에요! 이 날 첫산책 했어요 지금은 제 옆에서 자고 있어요! ,이 뻐서 사고 싶었는데 사이즈가 밖에 없어서 사긴 샀는데 너무 크네야 저희 집 강아지 너구리에 요 이 날 첫 산책 했어요 지금은 제 옆에서 자고 있어요
5.0,밑에 시보리가 생각보다 짱짱해요 길이는 짧을줄 알았는데 생각보다 길어용 엉덩이 한 3/4 정도 덮는 듯 ?? 처음 입었을때는 아 약간 잘못샀네 싶었는데 입고 보니 예쁘더라고요ㅎ홓 투웨이라서 지퍼잠구기가 좀 어렵지만 투웨이라서 예쁩니다.. 안 흔한거 원하면 사세용,밑에 시보리가 생각보다 해요 길이는 짧을 줄 알았는데 생각보다 길어 용 엉덩이 한 정도 덮는 듯 처음 입었을 때는 아 약간 잘못 샀네 싶었는데 입고 보니 예쁘더라고요 홓 투웨이라서 지 퍼잠구기가 좀 어렵지만 투웨이라서 예쁩니다 안 흔한 거 원하면 사 세용
