Review,Star,Processed_Review
술 먹고 샀는지 몰래온 택배가 이리 맘에 드나여ㅋㅋ 잘 입고 다닙니다 워싱 디테일 좋아여 근데 허리가 커서 뒷부분만 한 번 접고 다님니다,5.0,술 먹고 샀는지 몰래 온 택배가 이 리 맘에 드나 여 잘 입고 다닙니다 워싱 디테일 좋아 여 근데 허리가 커서 뒷부분만 한 번 접고 다님니다
"허리 크지만 뒤에 끈묶어서 야무지게 입기좋음
허리가 24반인데 m사이즈 이쁘게 입었슴당
여름에 야물딱지게 입기 좋아서 블랙컬러까지 구매할려구영ㅎ
커플로 입어도 찰떡입네당",5.0,허리 크지만 뒤에 끈 묶어서 야무지게 입기 좋음 허리가 반인데 사이즈 이 쁘게 입었슴 당 여름에 야물 딱지게 입 기 좋아서 블랙 컬러까지 구매할려구 영 커플로 입어도 찰떡 입네당
허리는 딱 골반에 들어와서 완전 딱 맞아요. 기장감이 조금 길긴한데 뒷 허리 반만 접으면 이쁘네요. 색감도 괜찮고 냄새도 안나고 완전 가성비 굿이네요.,5.0,허리는 딱 골반에 들어와서 완전 딱 맞아요 기장감이 조금 길긴 한데 뒷 허리 반만 접으면 이쁘네요 색감도 괜찮고 냄새도 안 나고 완전 가성비 굿이네요
엄청 커요 너무 커서 치마같을 정도?? 가랑이끼리 자꾸 펄럭거리면서 부딪혀요ㅋㅋ 근데 색감도 그렇고 핏도 원하던 느낌으로 예뻐서 잘 입을 것 같네용,4.0,엄청 커요 너무 커서 치마 같을 정도 가랑이 끼리 자꾸 펄럭거리면서 부딪혀 요 근데 색감도 그렇고 핏도 원하던 느낌으로 예뻐서 잘 입을 것 같네용
첫 버뮤다여서 기대가 컸는데 기대 이상이라서 완전 만족합니다,5.0,첫 버뮤다여서 기 대가 컸는데 기 대 이상이라서 완전 만족합니다
끄아 너무 예뻐요 주변에서 친구들한테 칭찬도 엄청 들엇어요 엄마랑 이모가 탐내요ㅋ.ㅋ 버뮤다 팬츠 입으려고 산건데 색감도 워싱도 핏도 아쥬맛도링 아 허리는 어엄청 큰데 수선할 생각으로 산거기도 하고 수선 안해도 벨트 꽈악 매서 정리하고 입으면 예뻐서 잘 입고있어요!,5.0,끄아 너무 예뻐요 주변에서 친구들한테 칭찬도 엄청 들 엇어요 엄마랑 이모가 탐내요 버뮤다 팬츠 입으려고 산 건데 색감도 워싱도 핏도 아쥬맛도링 아 허리는 어 엄청 큰데 수선할 생각으로 산 거기도 하고 수선 안해도 벨트 꽈악 매서 정리하고 입으면 예뻐서 잘 입고 있어요
버뮤다 팬츠 입문자 입니다ㅏ 이번에 첨 사는데 뭘 사야할까 고민 엄청하다가 트릴리온 제품으로 선택했습니다! 바지는 되게 이쁜데 아직 제가 어색해서 코디를 어떻게 해여 할지 모르겠군요.. 그래도 잘 입겠습니다!!,5.0,버뮤다 팬츠 입문자 입니다 이번에 첨 사는 데 뭘 사야 할까 고민 엄청하다가 트릴리온 제품으로 선택했습니다 바지는 되게 이 쁜데 아직 제가 어색해서 코디를 어떻게 해 여 할지 모르겠군 요 그래도 잘 입겠습니다
"사이즈 딱좋구 기장도 알맞아요 
재질도 짱짱한거ㅜ같구 가볍고 편합니다",5.0,사이즈 딱 좋구 기장도 알맞아요 재질도 한 거 같구 가볍고 편합니다
허리가 좀 큰거 빼고는 색감도 이쁘고 핏도 잘나와서 최고에요,5.0,허리가 좀 큰 거 빼고는 색감도 이 쁘고 핏도 잘 나와서 최고에요
"클거라고 생각은 했는데 생각보다 더 커여
걍 완전 로우라이주 쌉가눙
바지 자체는 여름 바지 치고는 살짝 두껍고 핏은 예버용
버뮤다 빠져있는데 가성비로 하나 사셔도 조을거 같아요",5.0,클 거라고 생각은 했는데 생각보다 더 커 여 걍 완전 로우 라이주 쌉가눙 바지 자체는 여름 바지 치고는 살짝 두껍고 핏은 예버용 버뮤다 빠져 있는데 가성비로 하나 사셔도 조을 거 같아요
"제가 생각했던 것 보단 길이가 살짝 짧은데 괜찮은 것 같고요
컬러 매치만 잘해주면 이쁜 코디가 될 것 같습니다!",5.0,제가 생각했던 것 보단 길이가 살짝 짧은데 괜찮은 것 같고 요 컬러 매치만 잘해주면 이쁜 코디가 될 것 같습니다
"말해무ㅏ해 트릴리온입니다! 최근 산 버뮤다중에서 가장
이뻐요!",5.0,말해 무해 트릴리온입니다 최근 산 버뮤다 중에서 가장 이 뻐요
컬러감 예쁘구요 사이즈 허리는 딱 맞고 다른부분은 여유 있어요,5.0,컬러감 예쁘구요 사이즈 허리는 딱 맞고 다른 부분은 여유 있어요
"무신사 버뮤다 팬츠 중에 핏 가장 좋음
기장도 딱이고 만족스러움 
블랙도 구매할 예정
하비 강추",5.0,무신사 버뮤다 팬츠 중에 핏 가장 좋음 기장도 딱이 고 만족스러움 블랙도 구매할 예정 하비 강추
"사진과 같이 서있으면
허벅지 앞 부분은 붕 뜨고
뒷 부분은 허벅지에 딱 달라붙어서
핏이 조금 애매하긴한데
그래도 전체적으로 나쁘지않아요",4.0,사진과 같이 서 있으면 허벅지 앞 부분은 붕 뜨고 뒷 부분은 허벅지에 딱 달라붙어서 핏이 조금 애매하긴 한데 그래도 전체적으로 나쁘지 않아요
굉장히 귀엽습니당 가벼운 편인것 같구요 허리가 오지게 커서 흘러내리기 직전인데 완전 로우로우로우라이즈로 입고있어요,5.0,굉장히 귀엽습니 당 가벼운 편인 것 같구요 허리가 오지게 커서 흘러내리기 직전인데 완전 로우로우로우 라이즈로 입고 있어요
허리가 좀 작았습니다 바지는 너무 예뻐요!! 색감도 사진이랑 똑같고 기장감도 괜찮아요,4.0,허리가 좀 작았습니다 바지는 너무 예뻐요 색감도 사진이랑 똑같고 기장감도 괜찮아요
너무 이쁘고 소재도 좋고 가격도 좋네요 좋은 제품 앞으로도 부탁드립니다~,5.0,너무 이 쁘고 소재도 좋고 가격도 좋네요 좋은 제품 앞으로도 부탁드립니다
"적힌 사이즈보단 작은거 같아요 다른 브랜드랑 단면 사이즈 똑같은거 시켰는데 훨씬 작네요 ㅠ 아쉬워요 
엉덩이랑 사타구니가 많이 끼네요 다른 브랜드들 보단",4.0,적힌 사이즈보단 작은 거 같아 요 다른 브랜드 랑 단면 사이즈 똑같은 거 시켰는데 훨씬 작네요 아쉬워요 엉덩이랑 사타구니가 많이 끼네요 다른 브랜드들 보단
허리는 어차피 클거같아서 M 사이즈로 구매했는데 딱 원하는 기장이에요! 휘뚜루마뚜루 입으려고 샀는데 상의 색 안타고 잘 입을 수 있을거같아요 옷 자체를 들었을 땐 무거운데 입으면 소재가 얇아서 오히려 가볍게 입을 수 있어서 좋습니당,5.0,허리는 어차피 클 거 같아서 사이즈로 구매했는데 딱 원하는 기장이에요 휘뚜루마 뚜루 입으려고 샀는데 상의 색 안타고 잘 입을 수 있을 거 같아 요 옷 자체를 들었을 땐 무거운데 입으면 소재가 얇아서 오히려 가볍게 입을 수 있어서 좋습니당
