Review,Star,Processed_Review
이뻐요 최고 꾸미고 나갈 때 진짜 자주 입음 무난꾸안꾸,5.0,이뻐요 최고 꾸미고 나갈 때 진짜 자주 입음 무난꾸안꾸
"딸아이가 맘에들어합니다
160초반에 48킬로
딱맞습니다
기본디자인이고
만듬세 좋아요
가격대비 훌륭",5.0,딸아이가 맘에 들어 합니다 초반에 킬로 딱 맞습니다 기본 디자인이고 만듬세 좋아요 가격 대비 훌륭
"생각보다 짧아서 당황했지만
두께감 적당하고 허리 들뜸 없어서 너무 좋아요!",5.0,생각보다 짧아서 당황했지만 두께감 적당하고 허리 들뜸 없어서 너무 좋아요
허리는 맞는데 골반이 너무 껴요 ㅠㅠ 길이는 딱 좋은데 입고벗기 불편해요,4.0,허리는 맞는데 골반이 너무 껴요 길이는 딱 좋은데 입고 벗기 불편해요
오랜만에 짧은청치마 원하던스타일이에요~날씨가 따뜻해서 외출복으로 픽했어요,5.0,오랜만에 짧은 청치마 원하던 스타일이에요 날씨가 따뜻해서 외출복으로 피했어요
"제가 원하던 디자인이라 너무 맘에들어요
흑청치마 사고싶어서 웬만한데 다 뒤졌는데 이게 젤 예쁨미다
다만 s인데 허리가 많이커요
그래도 위에 큰 후드나 맨투맨입으면 신경안쓰이는데 크롭이랑 같이 입으려면 줄여야할듯 헐렁해보여요.",5.0,제가 원하던 디자인이라 너무 맘에 들어요 흑청치마 사고 싶어서 웬만한데 다 뒤졌는데 이게 젤 예쁨이다 다만 s인데 허리가 많이 커요 그래도 위에 큰 후드나 맨투맨 입으면 신경 안 쓰이는데 크롭이랑 같이 입으려면 줄여야 할 듯 헐렁해 보여요
"키가 좀 커서 짧을까봐 걱정했는데 그렇게 짧진 않았어요!
옷도 이뻐서 잘입고 다닐것 같아요~!",5.0,키가 좀 커서 짧을까 봐 걱정했는데 그렇게 짧진 않았어요 옷도 이뻐서 잘 입고 다닐 것 같아요
예뻐용 근데 이거 허리 진짜 커서.... 줄여서 입어야할 것 같아여,5.0,예뻐요 근데 이거 허리 진짜 커서 줄여서 입어야 할 것 같아요
길이도 적당하고 재질이랑 핏도 너무 좋은 것 같아요!!,5.0,길이도 적당하고 재질이랑 핏도 너무 좋은 것 같아요
무신사 스탠다드 치마 맛집 ㄹㅇ루다가 ㅇㅈ하는 부분입니다,5.0,무신사 스탠더드 치마 맛집 루다가 하는 부분입니다
기장이 딱 예뻐요 다른 쇼핑몰 기본 데님치마보다 싸기두 하고요,5.0,기장이 딱 예뻐요 다른 쇼핑몰 기본 데님 치마보다 싸기도 하고요
생각보다 허리가 엄청 큽니다! 저 수선집 아주머니가 29인치라고 하셨어요! 저는 수선 맡겼는데 많이 줄여야 해서 돈 더 나왔어요… 6천원 달라고 하셨어요… 저 허리 얇은 편 아니고 보통인데 이 옷이 크게 나옵니다 만만하게 보시면 안돼요 !!,5.0,생각보다 허리가 엄청 큽니다 저 수선집 아주머니가 인치라고 하셨어요 저는 수선 맡겼는데 많이 줄여야 해서 돈 더 나왔어요 천원 달라고 하셨어요 저 허리 가는 편 아니고 보통인데 이 옷이 크게 나옵니다 만만하게 보시면 안 돼요
"예.뻐.요. 존예탱구리~ 잘입겠습니다~
허리 잘 맞고, 색감 생각한 흑청색깔이에요
여름에 진작 살 걸 그랬네 싶습니다. 반팔이랑 입어도 예쁠 것 같아요",5.0,예뻐요 존예탱구리 잘 입겠습니다 허리 잘 맞고 색감 생각한 흑천 색깔이에요 여름에 진작 살 걸 그랬네 싶습니다 반팔이랑 입어도 예쁠 것 같아요
핏은 정핏으로 예쁩니다 데일리룩으로 잘 활용할거같아여,5.0,핏은 정에 핏으로 예쁩니다 데일리룩으로 잘 활용할 거 같아요
"무난한 디자인이라 아무데나 매칭해서 편하게 입으려고 구매했어요! 바지 26입는데 M사이즈는 살짝 큰편입니다. 그래도 입을만한 크기에요, 검정이라 아무데나 입기 좋아서 활용도 좋아요!",4.0,무난한 디자인이라 아무 데나 매칭해서 편하게 입으려고 구매했어요 바지 입는데 M사이즈는 살짝 큰 편입니다 그래도 입을만한 크기에요 검정이라 아무 데나 입기 좋아서 활용도 좋아요
허리가 좀 커요! 대신 키가 큰 편인데 기장감도 적당하고 힙도 너무 불편하지 않고 딱 맞습니다. 색깔은 말 그대로 딱 워시드 블랙이라 여기저기 캐주얼하게 매치하기 좋을거같아요!,5.0,허리가 좀 커요 대신 키가 큰 편인데 기장감도 적당하고 히프도 너무 불편하지 않고 딱 맞습니다 색깔은 말 그대로 딱 워시드 블랙이라 여기저기 캐주얼하게 매치하기 좋을 거 같아요
"허리 24 입는데 조금 커요
품도 조금 너무 커서 잘 안 입게 됨",5.0,허리 입는데 조금 커요 품도 조금 너무 커서 잘 안 입게 됨
사진이랑 똑같아요. 아무 옷이랑 입어도 잘 어울려서 잘 입고 있어요.,5.0,사진이랑 똑같아요 아무 옷이랑 입어도 잘 어울려서 잘 입고 있어요
xs살 걸 그랬어요. 밑단 단면 사이즈가 아쉽네요ㅠㅠ 살짝 벙벙한 느낌이에요,5.0,xs 살 걸 그랬어요 밑단 단면 사이즈가 아쉽네요 살짝 벙벙한 느낌이에요
두께감은 살짝 있어요 허리 잘 잡아주고 길이는 너무 짧지도 않고 적당해요,5.0,두께감은 살짝 있어요 허리 잘 잡아주고 길이는 너무 짧지도 않고 적당해요
아주 좋습니다요 좋아요 근데 허리가 좀 작음요ㅜㅜ흑,5.0,아주 좋습니다 좋아요 근데 허리가 좀 작음요 흑
"기본흑청치마 하나쯤 가지고 싶어서 구매했습니당

색은 예쁜데, 핏이 좀 애매해요 후기가 다 허리가 크다는데 실제로도 허리를 딱 잡아주지는 못해요
넣입하면 좀 애매한 느낌이고, 벨트하면 좀 괜찮아요

그래도 무탠다드 가성비도 좋고 배송도 빠르고 옷감도 탄탄해서 마음에 듭니다~!",5.0,기본흑청치마 하나쯤 가지고 싶어서 구매했습니다 색은 예쁜데 핏이 좀 애매해요 후기가 다 허리가 크다는데 실제로도 허리를 딱 잡아주지는 못해요 넣입하면 좀 애매한 느낌이고 벨트 하면 좀 괜찮아요 그래도 무탠다드 가성비도 좋고 배송도 빠르고 옷감도 탄탄해서 마음에 듭니다
