Review,Star,Processed_Review
저는 m사이즈 하니까 제가 원하는 길이 핏 딱 나오더라고요 저랑 같은 스펙이신분들 참고하세요,5.0,저는 m사이즈 하니까 제가 원하는 길이 핏 딱 나오더라고요 저랑 같은 스펙이신 분들 참고하세요
맛도리 바지에요 가성비 미쳤고 기장감 워싱감도 좋고 데일리 가성비 버뮤다 찾으신다면 강추입니다,5.0,맛 도리 바지예요 가성비 미쳤고 기장감 워싱감도 좋고 데일리 가성비 버뮤다 찾으신다면 강추입니다
너무 잘만드신거 같아요 무계는 보통이고 구매한이유는 유향 따라갈려고용 ㅎㅎ 재질은 떡좋습니다 감사합니다,5.0,너무 잘 만드신 거 같아요 무계는 보통이고 구매한 이유는 유향 따라가려고요 재질은 떡 좋습니다 감사합니다
생각보다 좀 크고 핏감이 아쉽긴한데 하나쯤은 싸게가지고있기좋아요,4.0,생각보다 좀 크고 핏 감이 아쉽긴 한데 하나쯤은 싸게 가지고 있기 좋아요
이뻐요 ㅎㅎ 평히게 입을 수 있을 거 같구 핏도 귀욥 뽀짝해요 좋라요!,5.0,이뻐요 평이게 입을 수 있을 거 같고 핏도 귀 욥 뽀짝 해요 좋아요
"버뮤다팬치 입문으로는 딱입니다.
아래로 갈 수록 퍼지는 라인이 좋습니다.",5.0,버뮤다 펜치 입문으로는 딱입니다 아래로 갈수록 퍼지는 라인이 좋습니다
생각한 것 처럼 핏이 잘 나와서 좋고 여름에 자주 손이 갈 거 같아요,5.0,생각한 것처럼 핏이 잘 나와서 좋고 여름에 자주 손이 갈 거 같아요
너무너무커요.. 벨트 무조건 해야댐.ᐟ.ᐟ S로 시킬까 하지만 그래도 짱예뻥요💖,5.0,너무너무 커요 벨트 무조건 해야 댐 S로 시킬까 하지만 그래도 짱예뻥요
제 스펙에 M했는데 허리가 진짜진짜작습니다 다른분들 어떻게 입으셨는지 모르겠어요 L로 교환했습니다 저렴하게삿는데 교환비아쉽 근데 배송은 엄청느림,5.0,제 스펙에 M 했는데 허리가 진짜 진짜 작습니다 다른 분들 어떻게 입으셨는지 모르겠어요 L로 교환했습니다 저렴하게 샀는데 교환 비아 쉽 근데 배송은 엄청 느림
"화면이랑 색감, 디자인 똑같아요! 28 사이즈 입는데 허리 널널해서 벨트는 해야하지만 무릎 딱 가려서 좋아요 다른 곳에서도 버뮤다 몇번 사봤는데 트릴리온 바지가 가성비도 좋고 제일 만족합니다 다만 바지가 일자가 아닌 A자로 퍼지는 형태라 취향이 아니신 분은 참고하시면 좋을 것 같아요",5.0,화면이랑 색감 디자인 똑같아요 사이즈 입는데 허리 널찍해서 벨트는 해야 하지만 무릎 딱 가려서 좋아요 다른 곳에서도 버뮤다 몇 번 사봤는데 트릴리니 온 바지가 가성비도 좋고 제일 만족합니다 다만 바지가 일자가 아닌 A자로 퍼지는 형태라 취향이 아니신 분은 참고하시면 좋을 것 같아요
S사이즈가 없어서 M사이즈 샀는데 허리가 조금 많이 크네요ㅜ 근데 입어보니까 핏은 괜찮지만 저보다 마르시거나 키가 작으시면 진짜 클 거 같아요,4.0,S사이즈가 없어서 M사이즈 샀는데 허리가 조금 많이 크네요 근데 입어보니까 핏은 괜찮지만 저보다 모르시거나 키가 작으시면 진짜 클 거 같아요
"역시 트릴리온 바지는 믿고 구매합니다
사이즈도 좋고 적당한 기장감과 핏감이 매우 만족입니다
가격도 착해서 가성비도 매우 굿",5.0,역시 트릴리니 온 바지는 믿고 구매합니다 사이즈도 좋고 적당한 기장감과 핏 감이 매우 만족입니다 가격도 착해서 가성비도 매우 굿
워싱 있는 버뮤다팬츠 필요했는데 이 가격이면 너무너무 좋은 상품입니다! 무릎까지 오는 기장이고 여름에 입기 제격입니다데님 버뮤다 필요하시면 정말 추천 드립니다!,5.0,워싱 있는 버뮤다팬츠 필요했는데 이 가격이면 너무너무 좋은 상품입니다 무릎까지 오는 기장이고 여름에 입기 제격입니다 데님 버뮤다 필요하시면 정말 추천드립니다
무진장 할인 할때 구매했는데 트릴리온 제품은 믿고 살만합니다 ㅎㅎ 모든 티에 어울리고 기장도 딱 무릎 정도 까지고 오고 다만 허리가 사이즈표 보다 살짝 작은 느낌이긴 한데 그래도 만족 합나다 !,5.0,무진장 할인할 때 구매했는데 트릴리니 온 제품은 믿고 살만합니다 모든 티에 어울리고 기장도 딱 무릎 정도 까지고 오고 다만 허리가 사이즈 표 보다 살짝 작은 느낌이긴 한데 그래도 만족합니다
핏도 좋고 색깔도 이뻐서 코디하기에도 좋고 시원해서 여름에도 잘 입고 다닐 것 같습니다,5.0,핏도 좋고 색깔도 이뻐서 코디하기에도 좋고 시원해서 여름에도 잘 입고 다닐 것 같습니다
"일단 동생이 마음에 들어하고, 177이 M사이즈입었는데
기장은 적당한데 허리가 조금 크네효
워싱이 넘넘 이뻐효~",5.0,일단 동생이 마음에 들어 하고 이 M사이즈 입었는데 기장은 적당한데 허리가 조금 크네 효 워싱이 넘넘 이뻐 효
