Star,Review
4.0,저희 아들 180센티에 76kg 한테 입힐려고 주문했는데 넘 늦게 왔네요. 취업땜에 지방가서 담주나 되야 입을수 있을듯요 ㅎ 아쉬운데로 제가 착용해봤어요 ㅎ 루즈하니 나쁘지 않은데요. 스타일리쉬해보이고 남친룩으로 좋아요~~^^
5.0,사이즈도 좋고 재질도 좋은데 지퍼가 좀 아쉬워요
5.0,원하던 후드집업을 찾았오요 색감도 너무 예쁘고 기장감도 마음에 듭니다!
5.0,스타일은 잘 잡았지만 얇은게 단점 그리고 지퍼가 스무스하게 내려가진 않음  그래도 이뻐서 자주 입을 듯 합니다 
5.0,실물이 더 예쁘네요. 제가 원하던 피그먼트 후드집업입니다.
5.0,원단 자체도 탄탄하고 그냥 막 입어도 엄청 이뻐욤  적당한 오버핏이고 과하지 않아 좋습니당 맘애 들어서 그레이도 주문 했는데 블랙도 있었으면 좋겠어욤
5.0,워싱감이 돋보이는 제품으로 가격대비 질감은 괜찮습니다  하지만 후드 각은 잘잡히지않고 지퍼퀄이 좀 아쉽습니다
5.0,가격대비 퀄리티가 매우 좋은것 같습니다. 잘 입고 다닐게요
5.0,오버핏이 정말 예술 생각보다 얇아서 저녁에 걸치고 나가도 덥지 않습니다 르세라핌된기분
5.0,비슷한옷 10벌은되지만 피그먼트 느낌 적당하고 소매절개 디테일도 포인트로 예뻐요. 후드 무겁다는분 많아서 고민했는데 그래서 주저앉지않고 전 오히려 살아있어서 좋으네요. 한여름빼고 이너로 아우터로 교복템 될듯합니다. 다른색도  구매예정입니다.
5.0,디자인 워싱이 처리된 후드집업이에요. 그래서 블랙-그레이의 오묘한 느낌이 같이 돌아서 막입기 좋아요. 유행타지않고 입기 좋은 느낌이에요. 핏 오버핏이라서 평소 추구하는 이미지의 사이즈보다 한 사이즈 작게가도 충분히 예쁘게 입으실 수 있을 것 같아요 +++ Ykk 투웨이 지퍼라서 어떻게든 매치하기 좋은 느낌이에요. 진짜 추천합니다❤️
