Review,Star
가성비가 좋고 디자인이 예뻐요. 유행없이 입을수 있어요.,5.0
진짜 완전 이뻐요🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺 핏도 완전 이쁘고 사이즈도 괜찮구 제 최애 티,5.0
옷 가볍고 목 부근이 튼튼한 거 같아서 좋아요 디자인도 심플해서 입기 좋은 것 같습니다,5.0
날씨가 갑자기 더워져서 구매 했는데 역시 디자인 최고네여,5.0
운동할때 입을려고 삿어요 그냥저냥 입기 좋은 핏입니다 ,5.0
핏이랑 디자인 다 넘넘 맘에 들어요!! 재질도 여러번 빨았는데도 짱짱하고 프린팅도 선명해요!! 그냥 휘뚜루마뚜루 입을 수있어서 손이 자주가는 옷입니다!,5.0
재질도 좋고 깔끔해서 무난하게 잘 입을 수 있을 것 같아요,5.0
착용감 좋고 짅자 무슨 색깔 입지 고민하다가 검정으로 삿어용ㅇ생각보다 맘에들고 다른색으로 하나 더 살까 고민즁ㅇ이애여😍 ,5.0
아들이 입고싶다고 해서 주문했는데 맘에 들어하네요 여름 면티치고 좀 도톰한 편이고 스판끼가 좀 있는 느낌이예요 폴리가 조금 섞여있어으면 하는 바램이 드네요.,4.0
배송 빠르게왔습니다. 재질 디자인 마음에 들어요. ,5.0
아니 일단 포장부터 브브 로고 너무 이쁘고 내 스펙에 s 가 진짜 찰떡 ㅜㅜ 스투시 하위호환 가태요,5.0
총기장이 길어도 m사이즈핏이 예뻐요~~프린트도 선명하니 깔끔하고 면이 좋아서 세탁 후에도 걱정없겠어요!! 선물용으로 구매했다가 예뻐서 제가 입습니다^^,5.0
역시 한국의 스투시... 등판 그래픽 기가막히고 원단도 얇지만 탄탄하니 좋습니다,5.0
배송 빨라요 그리고 너무 이뻐요 근데 길이가 조금 길어요ㅜ,4.0
재질도 좋고 깔끔해서 무난하게 잘 입을 수 있을 것 같아요 널널한 핏이여서 여름에 입기 좋은 반팔이에요,5.0
생각한데로 업청 편하고 오버핏으로 한사이즈 크게 샀는데 좋습니다 ,5.0
넉넉해요. 비침 없어요 두께 적당해요 디자인 맘에 들어요.,5.0
선물줄려고 주문했어요. 생일날 맞춰서 배송도 빠르게 왔고 오버핏으로 사이즈도 잘맞을거같아요. 면이 좋아요!! 프린트도 선명하고 깔끔해서 여름에 잘입겠어요.,5.0
역시 한국의 스투시... 그래픽 기가막히고 원단도 탄탄하니 좋습니다,5.0
예뻐요 해외여행시갈때 편하게 레깅스랑 티만 입고 갔는데 티가 멋스러워서 꾸안ㄲ스트로 편하게 다녀왔러요,5.0
옷이 엄청 이쁘고 편하게 입기 좋아요. 살까말까 고민중이면 사세요,5.0
깔끔하고 좋습니다. 쿠폰적용해서 저렴하게 구매했네요.,5.0
배송도 빠르고 옷 뒤가 너무 이뻐서 마음에 들어요 근데 조금 길어요ᅲ,4.0
운동할때 입으려고 샀는데 색깔도 선명하고 핏도 잘 맞고 여러모로 합리적으로 잘 산거 같아요. 맨들맨들한 면 반팔티 입니다! 여러가지로 모으고 싶네요 !,4.0
길이가 좀 길어서 엉덩이를 덮고도 남아요 재질은 좋아요,5.0
단독으로만 입어도 좋고 얇은 셔츠에 레이어드해서 입어도 좋습니다. 등쪽 프린팅이 커서 포인트되는것도 예뻐욥 오버핏 좋아해서 크게샀어요(엉덩이 다덮고 살짝 더 내려감),5.0
깔끔하니 편하게 입기에 너무 좋습니다! 사이즈도 오버핏이라 넉넉하니 좋구 디자인이 맘에들어요!^^,5.0
옷 예쁘고 좋아요! M사이즈 클까봐 걱정했는데 딱 좋아요,5.0
배송은 4일 정도 걸렸습니다  디자인은 뒷면에 크게 박힌 브라운브레스 로고가 포인트이고 예쁩니다 디자인은 화면과 같구요 핏도 예뻐요 아쉬운 점은 가격에 비해 질이 그렇게 좋진 않은거 같아요 생각보다 얇고 잘 늘어 날거 같아요 그래도 디자인은 예뻐요!,4.0
배송  일단 배송이 빨리 와서 좋았어요 주말 사이에 끼고 3~4일 만에 온거 같아요! 디자인  디자인은 깔끔하고 뒷 부분에 있는 큰 브라운브레스 로고가 포인트 인거 같아요  어디든 무난하게 잘 어울리고 편하고 예뻐서 손이 많이 가요!  데일리 꾸안꾸룩으로 너무 예쁜 제품이에요,4.0
옷 질감이 좋고 평상시에 입고 다니기 좋은거 같아요 사이즈도 살짝 오바핏인거같아요,5.0
오버핏으로 와이프 사주었는데  잘어울리게 이쁘게 잘입을거같네요  👏🏻,5.0
사고싶어서 한달넘게 고민하다가 샀는데 고민한 시간이 너무 아까웠어요! 프린팅 너무 이쁘고 재질도 아주 살짝 비치는 재질이지만 거의 안 비쳐요! 저한테는 사이즈가 좀 커서 건조기 돌려서 입었더니 딱 맞았어요 마감처리가 조금 별로긴 했는데 신경을 잘 안쓰는 편이라 전 괜찮았어요 가을되면 후드티도 사려구요 너무이뻐여 진짜,5.0
뒤에 로고가 유니크하고 하나만 입어도 스타일이 사는 느낌이네용 원단이 좋아보여서 목늘어남 1도 없이 깔끔합니당~~,5.0
엄청 잘입고 있어요 !! 많이 입은 탓이라 그런지 엉덩이 쪽에 보풀이 생기는거 빼고는 색상 착용감 다 좋아요 구매할맛 납니다 !!,5.0
믿고 보는 브라운브레스 굿입니다 깔끔하고 이뻐요!,5.0
재질좋고 무난합니다 올여름용으로 입을라구요 ㅎㅎ,5.0
재질도 좋고 입어보니 더 멋진것 같아요~^^ 가족티로 맞추니 예쁘네요,5.0
두께감 적당하면서 디자인도 이정도면 괜찮은거 같아요,5.0
세탁하니 보풀이 일어났어요 질은 생각만큼 좋지않아요 신축성있어 입기는 편합니다,4.0
옷 사이즈가 적당하고 색감이 선명해요 착용감이 좋아요,5.0
친구들 많이 입어서 샀는데 무난한 티로 좋은것 같고 다른 색도 도전해보고 싶네요 ,5.0
제가 입었을때 상상했던 핏 그대로였는데 약간 마른사람한테는 별로 추천 안해요 약간 어벙벙핏? 그래도 굉장히 예뻐서 잘 입고 다니고 있어요,5.0
사이즈 딱 맘에 듭니당 로고가 이뻐영 자주 입게될거같습니다,5.0
디자인 예쁘고 힙해요 제가 키가 작은 편이라서 사이즈는 큰데 엉덩이 덮는 기장입니다 오버핏으로 예쁘게 입을 수 있어요,5.0
예약배송이라 걍 기다리려했는데 바로 오더라고요..? 반팔티 치곤 좀 비싸긴 한데 할인해서 그나마 싸게 샀어요.. 그래도 너무 이뻐서 산거 후회는 안합니당 목도 짱짱해요 근데 살짝 목 답답함 세탁하면 목 살짝 쭈글해짐,5.0
가볍고 재질이 좋아요. 디자인도 무척 마음에 들어요.,5.0
아니MI틴.. 브라운브레스 너무 이쁨.. 뒷면 로고 간지..🤍🤍 진짜 맨날 입어욯ㅎ 너무이뿌ㅜㅠㅠ,5.0
배송도 빨라서 좋았습니다 근데 티가 생각보디 커서 다음엔 한치수 작은걸로 사야겠네요,4.0
글씨 선명해요 색감 밝아요 얇고 가벼워요 사이즈가 크긴한데 원래 구매하는 사이즈로 구매하면 이쁠거에요,5.0
너무 예쁘고 살작 비치긴한데 디자인이 너무 예쁨니다..ෆ˃̶͈̑.˂̶͈̑ෆ,5.0
사이즈 S 주문했는데 정당히 넉넉합니다. 169m 62kg 인데 넉넉해서 보통여성분들은 S사이즈면 이쁠 거 같아요.,4.0
완전 만족이고 잘 입고 있습니다! 빨래망에 넣고 세탁하는 것을 추천합니다,5.0
일단 제가 키가작아서 클걸예상했지만 좀 컸엇지만  그런데도 불구하고 겁나 이뻣습니다유후 이건 제생각에 어디에나 입어도 잘 오울릴것 가ㅏㅌ요~!!,5.0
옷 이쁘고 좋네요 사이즈 좀 작게 사세요 젛아요 굿,5.0
진짜 너무 이뻐요 계속 볼때마다 설레요😽 진짜 제가 조아하는 브랜드 여서 재구매 많이합니다!!,5.0
평소에 박스티를 자주 입어서 구매했어요 배송 적당했고 건조기 한번 돌려봐야 알 거 같은데 그냥 세탁했을때 줄어들거나 그러진 않았네요,5.0
마른체형에 m사이즈가 넉넉히맞네요. L사이즈 선택했다 후기봐서 사이즈 골랐어요.,5.0
어깨 넓이가 넓어보이고 좋아요 뒤에 프린팅도 진해서 이뻐요 계속 입을것같네요 배송도 완전 빠릅니다,5.0
조금 덥기는했는데 핏이 예뻐서 잘 입을거같구 화면과 색은 비슷했구요 세탁후에 변형같은건 없었구 배송은 2일정도안에 온거같아요! 디자인은 역시나 예뻐여,4.0
너무 이쁘고 편하고 로고도 마음에 들고 다음에도 구매의향 있을거같아요,5.0
요즘유행해서 샀는데 역시 예쁩니당!! 👍😎 m샀다가 조금 커서 s로 교환했는데 s도 조큼조큼 크네요 그래도  만족합니당😁🐖,5.0
엉덩이 다 덮을 정도 사이즈에용 생각했던 핏은 아니지만 그래도 예쁩니다,5.0
프린팅 이뻐성 구매햇어요! 근데 제가 키도 큰편인디 m사이즈가 너무너무 커가지고 오빠 줄려구요 엉덩이 거의다 덮어요..오버핏 좋아하시면 s 사셔도 이쁡듯 근데 재질이 ㄹㅈㄷ 좋아요 완전 목도 안늘어날것 같고 프린팅도 싼 프린팅이아님.. ,4.0
가격대비 옷 상태도 좋고 이뻐요 딱 기본이 완벽한 제품!,5.0
딱 원하던 핏 그대로고 완전 힙해보임ㅠㅠ고민하지맣고 그냥 바로 사셈ㅠㅠㅜ진짜 이쁘다 매일 입을거임ㅠ 무조건 사셈,5.0
배송도 빠르고 상품은 사이즈도 생각했던것처럼 딱맞고 제질도 좋아서 가성비 좋은거같아요! 추천합니다,5.0
가격대가 있는만큼 옷감도 탄탄하고 프린팅도 튼튼하게 잘 되어있구 디자인은 뭐 말 안 해도 너무 이뻐서 이번 여름에 주구장창 입을것 같아용! 길이감은 엉덩이 다 덮는정도이긴 한데 면이라 빨면 딱 알맞게 줄을것 같은 느낌..?,5.0
조금 오버핏이라 정핏으로 사면 핏 이쁘게 잘 나올듯요,5.0
에o블리 보다 훨씬 사서 바로 무신사로 구매했어요! 레터링도 선명해서 예쁘고 자주자주 손이 갈 것 같아요 소매 통이 크긴하지만 옷 전체 길이가 마음에 들어서 자주 입을 것 같아용,5.0
배송이 좀 걸리긴했지만 만족스러워요 특히 원단이 늘어지는 면이 아니여 더 좋습니다,5.0
얇지 않고 적당히 도톰해서 비치지 않아 좋아요 세탁하고 건조기 돌려도  많이 줄지 않는것 같아요,5.0
두께는 얇지도 두껍지도 않은 딱 좋았고 배송도 온다고 한 날짜보다 빨리 와서 좋았음 나랑 키 몸무게 비슷하면 S로 사셈,5.0
백프린트가 아주 힙하고 마음에 들어요 핏좋고 소재도 좋습니다~,5.0
남자친구랑 커플로 입을려고 샀는데 너무 맘에 들어용 생각보다 넉넉한 사이즈라서 한 단계 큰 사이즈로 안 사도 될 것 같습니다,5.0
브라운브레스 두번째 구매입니다  레이어드하기에도 좋고 단독으로 코디도 좋습니다ㅎ,5.0
브라운 브레스 스테디셀러 로고 티셔츠라 힙하면서 기본티보다 예쁘네요,5.0
뒷면의 로고도 선명하고 아주 맘에드네요. 예쁩니다 ,5.0
사이즈때문에 고민많았는데 다른분들이 후기를 잘남겨주셔서 원하는 핏 얻었습니다~~ 이제 마실 나갈때 편하게 가겠네용,5.0
사이즈도 적당하고 두깨도 너무 얇지 않고 적당해요☺️,5.0
깔끔하게 입기 좋았어요 헐렁하고 얇은데 비치지 않아서 굿굿,5.0
배송도빠르게오고 티재질이좋은거같아요. 빨았는데 목늘어짐없고 디자인이쁘고 심플하니 여름반팔티로좋아요. 비침없고 길이감길어요. 사이즈충분해서 붙지않아요,5.0
옷 너무 맘에 들고요 사이즈 적당하고 옷 너무 예뻐요 너무 추천드립니다,5.0
오버핏으로 입으려고 한사이즈 크게 샀는데 많이 크네요 그래도 이뻐요,5.0
소재탄탄하고 핏도 이쁘고 완전맘에 듬 잘입을듯ㅋ,5.0
재질이 너무 좋음 시원하고 깔끔하고 틀어지지않고 로고도 너무 이쁨,5.0
진짜 겁나 예뻐요 사이즈도 딱 제가 원하는 사이즈여서 엄청 좋았어요 ㅎㅎ,5.0
예쁘게 잘 입어요~~~^^ 사이즈도 딱 예뻐요 다른색으로 또 구입하고 싶어요,4.0
디자인도 예쁘고 아들이 좋아합니다~~^^ 예쁘게 잘 입을게요~~대박나세요,5.0
그냥 청바지에 츄리닝에 휘뚜루마뚜루 입기 좋아요,5.0
넘귀엽고아무때나입기좋은옷이에요!!! 근데 제 스펙이는 s가 맞을 것 같아욤~~😘,5.0
맘에 들어요 넉넉한 사이즈지만 입었을때 예뻐요,5.0
핏도 좋고 재질도 좋습니다 사이즈도 딱 맞고 디자인 예뻐요!!,5.0
디자인도 맘에 들고 편하게 입을수있어 좋다고하네요.,4.0
사이즈잘맞게왔고요사진이랑 같습니다생각보다,5.0
여름이라 빨래를 많이했는데도 늘어짐 없고 잘입고있어요,5.0
사이즈 아주 잘 맞구요 세탁기 돌려도 짱짱하고 좋아요!,5.0
원단 짱짱하고 좋습니다 핏도 나쁘지 않네요 무난하게 잘 입을듯 합니다,5.0
포인트 있는 티셔츠인데 너무 이쁘고 편하고 손이 많이 가용,5.0
고등학생 아들 살이 없는편이라 m으로 입으니 딱 맞아요. 깔끔하고 재질도 좋아요.,5.0
핏이 딱 예뻐요 오래 입을것같은 소재에요 아무바지나 다 잘어울려요!,5.0
중등 딸아이가 픽한 옷이에요. 얇지 않아 형태가 잘 잡혀 좋네요.,5.0
170/67 넉넉하게 잘맞아요 핏도 이쁘고 타이트하지 않아 좋네요,5.0
색깔별로 모으고 있음 프린팅이 너무 예뻐요 롱슬리브도 사야지,5.0
옷 이쁘고 좋습니다 편해서 자주 입고 다니는것 같네유,5.0
사이즈 가격 디자인까지 완벽하게 맘에들었어요 감시헤여,5.0
세탁 후에도 변형이 없이 예쁘게 입을 수 있어 좋습니다.,5.0
가격대비 재질도 괜찮고 예뻐요 어디에든 매치 가능이에요!,5.0
s 사면 작을까 걱정했는데 딱 적당한 핏이에요 오버핏 원하시는 분은 더 큰 사이즈 입어야할 것 같아요 주변에 같은 옷 다른 색이 엄청 많은 점 빼곤 다 좋아요 ㅋ ㅋ,5.0
원단도 좋고 손이 많이 가는 것 같아요 ㅎㅎ 진짜 등판이 너무 예쁘다구요오 ㅎㅎ,5.0
방송댄스 때 입으려고 구매 이참에 엠쥐되보려고ㅋ 두께는 얇지도 두껍지도 않고 기장은 긴편 뒤가 보이게 찍어야는데 팔이 안돌아감 ,5.0
디자인이 좋고 옷 재질도 좋고 사이즈도 딱맞아요,5.0
프린팅도 너무 이쁘고 어디에 입든 잘 맞아서 행복합니다,5.0
아주 맘에 듭니다 ㅎㅎ 페인트도 이쁘고 흰티로 딱맞춤이에요,5.0
핏도 이쁘고 재질도 좋아서 자주 잘 입고 다니고 있어요!,5.0
요즘 필수아이템이죠. 세미오버핏으로 정사이즈로 사면 될거 같앙ᆢㄷ,5.0
디자인이 특이하고 면이라 소재도 좋아요. 잘입고 있어요.,5.0
박시한 스타일 좋아하는데 편한하고 이쁘네요 요기저기 코디 괜찮아요~,5.0
기장이 엄청 길게 나온 것 외에는 다 좋은거 같아요 ~,5.0
이뻐여 무난무난하게 입을 수 잇을거같아요 조아요 갠차나요,5.0
재질도 좋고 뒷면이 이쁘고 귀여워요 많이 입고다닐거갗아여,5.0
믿고 사는 브라운브레스 기본티 입니다. 레터링 티셔츠의 정석이죠!,5.0
정말 예쁘고 편하게 입을수있어서 좋아요 추천해요,5.0
길긴 하지만 이쁘게 잘 입고 있네요 브라운 브레스 짱,4.0
얇고 가볍고 예뻐요 단점은 길가다보면 입고 있는 사람이 왕왕 있다는거,5.0
예뻐요 핏이 조금 이상하깈 한데 건조기로 약간 줄여 입으니까 야무지네여,5.0
캐트릿에 아주 깔끔하고 무난하게 좋아요 가격대도 엄청 저렴해서 컬러별로 디자인별로 몇벌 더 구매하고싶음!,5.0
예뻐서 블랙도 구매하려고 해요 커플분들은 커플티로 입어도 정말 예쁠거같아요 목이 밴딩이라서 짱짱하고 안 늘어나요 배송도 빠르고 가격도 착해서 좋은거같아요 오버핏을 좋아해서 보통은 반팔은 M시키는데 이번에 처음 S 시켰는데 너무 마음에 들어요,4.0
티가 조금 길다. 어깨가 많이 크다. 흘러내리는 핏임,4.0
이쁘고 편해서 자주 입습니다 이뻐서 색별로 삿어요,5.0
편해서 잘 입고 다니고 있습니다! 어느 코디에나 다 잘어울려요,5.0
아이가 입었는데 사이즈도 적당하고 예쁩니다. 로고가 예쁘네요,4.0
사이즈 디자인 다맘에 든어요~어떤옷에도 캐주얼히게 다잘어울려오~,5.0
선물용으로 구매했는데 친구가 너무 마음에 들어해서 한장 더 샀습니다!,5.0
다들 스투시 짝퉁이니 뭐니 하는데 알빠노임 개이뻐요 딱 엉덩이 절반 정도 걸쳐지는데 진짜 핏하게 이쁘고 로고 뒤에 팍 써있는것도 이뻐요 사세요,5.0
재질도 좋고 디자인도 예뻐서 어디에 매치해도 무난하니 낭낭합니다 ,5.0
역시 브브 예뻐욤! 작년부터 한 4~5개 정도 반팔티 사 입었는데 만족합니다! 흰티는 겨울에 이너로도 진짜 잘입구 막입고 막 세탁해도 여전해요 👍🏻,5.0
디자인이 너무 예뻐서 잘 입었고 핏도 딱 예쁜 거 같아요 그리고 세세한 부분이 잘 돼어있어요! ,5.0
재질이 생각보다 다르긴한데 이쁘네요 잘입을거 같아요,5.0
예뻐요ㅠㅠㅁ장짱❤️❤️❤️기장도 오버핏으로 너무 마음에 들어료,5.0
항상즐겨입는브라운브레스~핏도이쁘고굿입니다,5.0
편하고 예뻐여. 학원갈때나 어디 놀러갈때 입기좋아요. 이거 하나만 걸쳐도 힙해보이고 짱편함,5.0
이번 여름에 잘 입고 다니고 있습니다!! 긴 기장감과 비교적 소매가 길다는 점이 마음에 들고 검은색 하의와 매치했을 때 특히 더 잘 어울리는 것 같아요! 다만 목 입구가 좁아 벗을 때마다 늘어날 것 같고 세탁 후 목이 늘어난 느낌이라 아쉽습니다ㅠ,4.0
저아용 사이즈미스지만 널널하게 잘 입을듯해요,4.0
173 63~65 한테 L는 너무커서 m이 딱 맞지도 않고 좋습니다,4.0
로고가 맘에 들어서 구입했어요  자꾸 손이 가는 옷입니다,5.0
프린팅이 너무 이뻐서 샀는데 막상 받아보니까 화면에서 본 것 보다 더 예뻐서 화들짝 놀랐어요!! 요즘 너무 잘 잊고있는 중 입니다~,5.0
디자인이 심플해서 좋고 얇아서 여름에 입기 좋아요,5.0
남칭구선물이엇는데 핏이조으네요 브라운브레슨데 뭔 할말이잇습니까..  그냥 사세용,5.0
크기는 좀 큰데 옷은 진짜 이뻐요 완전 사길 잘한 것 같아요!,5.0
깔끔하고 예뻐요 몇번 빨았는데 늘어짐도 없고 좋네요,4.0
"편안함,멋스러움,세련미....맘에드는 기본티로 딱입니다^^~",5.0
이뻐요 깔끔하고 재질도 되게 좋은 편 입니다 추천합니다 ,5.0
재질이랑 핏 너무 좋습니다 편하게 입기는 좋아요,5.0
옷이생각보다크고 핏이생각이상으로 잘나와서 놀랐어요,5.0
좋아요 같은 티셔츠 다른 색상이 맘에 들어서 또 샀어요 다양한 색깔 만들어주세요 보라색 원해요,5.0
힙하고 편하게 입기 좋습니당ㅎㅎ 자주 입고 다녀요오,5.0
엄청 좋아요 🥰🥰🥰 최애 티셔츠됨 디자인 깔끔해서 많이 입게 되네요 무지티 없어서 샀는데 잘 산거같아요,5.0
데일리로 입기 너무 좋아요 m시켰다가 좀 커서 다시 주문 했는데 너무너무 잘 입고 있습니다 깔끔해서 손이 많이 가요,5.0
편한 버뮤다 팬츠랑도 잘 어울리고 데님 팬츠에도 잘 어울려서 잘 입고있습니다!!,5.0
매우 편하고 좋아요. 옷도 예뻐서 다른 바지랑 매치하는데 좋네요,5.0
너무 예뻐요 사이즈도 괜찮고 잘 산것 같아요 무난하게 입기도 좋고 포인트 될수도 있고 아주 좋네요~^^😎😎,4.0
사이즈 오버핏으로 딱 잘맞고 재질이나 프린팅 디자인 너무 마음에 들어요🖤🖤,5.0
핏도 이쁘고 목도 짱짱해서 안 늘어나요 입으면 깔끔해보이고. 키 158 s사이즈로 샀는데 사이즈도 잘 맞아요 약간 어버핏 딱 제가 원하던 핏입니다 나중에 레이어드티로도 잘 활용힐것같습니다 ,5.0
임산부라 사이즈 걱정했는데 잘 맞아요! 흰색이 깔끔해보이고 애리도 잘 안늘어날거같아용,5.0
