Review,Star
어머님 사드렸는데 약간 수선하시더니 잘 입고 다니십니다~,5.0
"165도 귀엽게 만들어주는 바지 (๑>᎑<๑)ｰ☆ 
은근 소재가 단단해서 핏 잡혀있어요
냄새는 조금 났지만 배송 빨랐고 아주 귀엽다잉!!",5.0
제가 밥먹으면 배가 나와서 항상 바지를 살 때 고민을 엄청 하는데 이번에 산 바지는 정말 허리에 딱맞고 기장도 너무너무너무 좋아요!!!! 이번 여름에는 이 바지만 입고싶어요..핏 장난 아니고요 약간 뚜꺼운 느낌이 나는데 막 덥거나 무겁거나 하지는 않아요 색도 예쁘구요 개인적으로 블루 추천드려요!!,5.0
가성비 좋은거 같아요 만족하고 잘 입고다녀요 주머니도 포인트 되고 좋아요,5.0
여즘 오버핏에 관심이 생겨서 구매햇는데 너무 기여어요 보드탈 때 자주 입을 것 같아요 제 키가 작아서 옷이 엄청 커보이지만 키 크신분들한테는 별로 안 클 것 같네요 옷은 편하고 좋아요!!,5.0
"힙하고 예뻐여 여름에 잘 입었어요!!
엄청 두꺼운 재질은 아니지만 지금날씨에도 입고다닐수있어용
색도 넘 예쁜데 튀지않는스탈이라 어떤 옷에도
코디 쌉가능이에요!",5.0
"제 체형분들 한사이즈 크게 사십쇼. 안그러면..
밥먹고… 바지단추 풀고 다닐수있는사람 될거임.
옷은 너무 이쁩니다! 소식하는날 입을게요 응응..",5.0
"165도 귀엽게 만들어주는 바지 (๑>᎑<๑)ｰ☆ 
은근 소재가 단단해서 핏 잡혀있어요
냄새는 조금 났지만 배송 빨랐고 아주 귀엽다잉!!",5.0
제가 밥먹으면 배가 나와서 항상 바지를 살 때 고민을 엄청 하는데 이번에 산 바지는 정말 허리에 딱맞고 기장도 너무너무너무 좋아요!!!! 이번 여름에는 이 바지만 입고싶어요..핏 장난 아니고요 약간 뚜꺼운 느낌이 나는데 막 덥거나 무겁거나 하지는 않아요 색도 예쁘구요 개인적으로 블루 추천드려요!!,5.0
가성비 좋은거 같아요 만족하고 잘 입고다녀요 주머니도 포인트 되고 좋아요,5.0
여즘 오버핏에 관심이 생겨서 구매햇는데 너무 기여어요 보드탈 때 자주 입을 것 같아요 제 키가 작아서 옷이 엄청 커보이지만 키 크신분들한테는 별로 안 클 것 같네요 옷은 편하고 좋아요!!,5.0
"힙하고 예뻐여 여름에 잘 입었어요!!
엄청 두꺼운 재질은 아니지만 지금날씨에도 입고다닐수있어용
색도 넘 예쁜데 튀지않는스탈이라 어떤 옷에도
코디 쌉가능이에요!",5.0
"제 체형분들 한사이즈 크게 사십쇼. 안그러면..
밥먹고… 바지단추 풀고 다닐수있는사람 될거임.
옷은 너무 이쁩니다! 소식하는날 입을게요 응응..",5.0
"너무 큰 줄 알았는데 골반에 걸쳐져서 더 예쁜 핏입니당
완전 20세기 감성이에요ㅎㅎ",5.0
"여름에 입기엔 조금 두껍긴 하지만 기장과 핏부터 워싱이랑 카고 디테일까지 다 너무 예쁜 청반바지,,🌀",4.0
바지핏 예쁘고 여기저기 코디하기 좋아요 근데 좀 두꺼워서 한여름엔 더울 것 같아요,5.0
왕 너무 이쁘요 편하고 바지는 쪼까큰데 대신에 뱃살 안접히니까 조와요 ^^ 고밈말고 구매하길 잘햇어여 배송만 늦어집니당 ><,5.0
"저는 엠 입어보고 커서 스몰 샀는데 딱 제가 원하던 핏이였어요! 
위에 크게 입어도 예쁘고 작게 입어도 예뻐요
이거 입으면 항상 힙하다는 소리 들어요ㅋㅋ
여름에 산 바지 중에 제일 마음에 드는 바지!",5.0
"바지 완잔 귀여워요! 화면이랑 색감도 똑같아요
큰 거 알고 샀지만.. 어쨌든 좀 커요
그리고 좀 무겁긴 해요",4.0
"휘뚜루마뚜루 잘 입고 있습니당 어느 옷에 입어도 이뻐요 주머니가 깊고 넓어서 와랄라 다 들어갑니다 아주 굿! 
저는 s를 입어보았는데 아침밥을 안 먹어야 허리가 딱 맞드라구여,, 뱃살, 하비인데 저랑 체형이 비슷하신 분들은 m 추천해요 암튼 왕이쁨..",5.0
완전 느낌 최고 세일할때 삿는데 다들 이쁘다고 어디서 삿냐고 물어봤어요! 빈티지한 감성 미쳣음!!,5.0
"저는 엠 입어보고 커서 스몰 샀는데 딱 제가 원하던 핏이였어요! 
위에 크게 입어도 예쁘고 작게 입어도 예뻐요
이거 입으면 항상 힙하다는 소리 들어요ㅋㅋ
여름에 산 바지 중에 제일 마음에 드는 바지!",5.0
"바지 완잔 귀여워요! 화면이랑 색감도 똑같아요
큰 거 알고 샀지만.. 어쨌든 좀 커요
그리고 좀 무겁긴 해요",4.0
"휘뚜루마뚜루 잘 입고 있습니당 어느 옷에 입어도 이뻐요 주머니가 깊고 넓어서 와랄라 다 들어갑니다 아주 굿! 
저는 s를 입어보았는데 아침밥을 안 먹어야 허리가 딱 맞드라구여,, 뱃살, 하비인데 저랑 체형이 비슷하신 분들은 m 추천해요 암튼 왕이쁨..",5.0
완전 느낌 최고 세일할때 삿는데 다들 이쁘다고 어디서 삿냐고 물어봤어요! 빈티지한 감성 미쳣음!!,5.0
하.. 너무 이뻐서 택배 뜯자마자 새벽에 별안간 패션쇼 해버렸습니다..ㅋㅋ 솔직히 한번도 도전해보지 않았던 스타일이라(사시사철 가디건이나 티샤쓰만 입는 기본템 인간 나야나)사면서 긴가민가했거든요ㅠ 그래도 즐겨보던 유튜버님이 추천해주셔서 한번 질러봤는데 너무너어무 만족스럽습니다🤭 이거 하나 입었는데 완전 포인트되면서 아방한 느낌이 확 살아나서 신기해용ㅎ.ㅎ~ 워낙에 무채색을 좋아해서 그런지 색깔은 가지고 있던 대부분의 상의랑 아주 잘 매치됩니닷 다른 분들 후기처럼 s치고는 허리가 크게 나오긴 했는데 흘러내리지 않고 골반에 걸쳐지는 정도라 전 딱 적당한 것 같어욥! 다만.. 확실히 버뮤다팬츠는 상의를 크롭한거나 좀 슬림하게 떨어지는 걸 입어야 이쁜 핏이 연출되는 것 같습니당 자칫 잘못하면 난쟁이가 되어버리더군뇨.. 예쁘게 잘입겠습니당 유명한 템에는 다 이유가 있네요호옹 ~,5.0
평범하면서도 포인트 줄 수 있게 예쁘게 잘 나왔어요!! 옷장에있는 아무반팔로 코디해도 웬만하면 다 잘 어울릴 것 같아요!! 버뮤다핏으로 잘 떨어져서 여름에 꾸안꾸정도로 혹은 다른 포인트도 주면서 개성있게도 입을 수 있을것같습니다!!! 예쁘게 잘 입을게욤😁👍🏻,5.0
"너무너무 이뻐용 이렇게 큰 바지 갖고싶었는데 무진장 어쩌고 통해서 저렴하게 구입해서 기분이 좋네요
당연히 키가 작으니.. 더 큰거 같기도 하지만 여튼 이뻐요 크롭이나 오버핏 둘 다 잘어울릴 것 같고 허리사이즈 26정도 입는데 넉넉하게 맞습니다~ 허리도 그렇고 총 장도 그렇고 한 번 접어서 입을 여유는 돼요!",5.0
"배송 완전 빠르게 왔고
170인 저도 입으면 뭔가 귀여워지는 듯한 느낌 ㅎㅎ
만족해요!",5.0
너무너무 마음에 들어요 일단 착용해봤을때 바지가 쫌 큰 감이 없지 않지만 그런 아방한 핏이 예뻐서 산 거니까 정말 만족합니다 위에 박시한 핏 나는 티랑 같이 걸쳐주면 정말 귀엽게 입을 수 있어요 !! :),5.0
양말 길게 신거나 위에 오버핏 셔츠 같이 입어주면 이뻐요~!! 요즘 이것만 입고 나갑니다!,5.0
힙.합.이.니.깐.얼.른.구.매.하.는.게.좋.을.걸.무.조.건.추.천.티.비,5.0
"제 키가 156이지만 누구나 입을 수 있는 그런 바지 !! 
바지가 꽤 무겁지만 전 괜찮았어요 !! 
카고 반바지 입고 싶어서 찾던 도중 예뻐서 구매했고 
저랑 잘 어울려요 . (뻔뻔)",5.0
인생바지 만난거 같습니다 ㅠㅠ 너무 힙하고 예뻐요! 아무 옷에나 잘 어울려서 자주 입고있어요!,5.0
아무데나 휘뚜루마뚜루템이에요 근데 기장 너무 긴 상의랑 입으면 그냥 호빗돼서 조심해야 합니다..,5.0
힙.합.이.니.깐.얼.른.구.매.하.는.게.좋.을.걸.무.조.건.추.천.티.비,5.0
"제 키가 156이지만 누구나 입을 수 있는 그런 바지 !! 
바지가 꽤 무겁지만 전 괜찮았어요 !! 
카고 반바지 입고 싶어서 찾던 도중 예뻐서 구매했고 
저랑 잘 어울려요 . (뻔뻔)",5.0
인생바지 만난거 같습니다 ㅠㅠ 너무 힙하고 예뻐요! 아무 옷에나 잘 어울려서 자주 입고있어요!,5.0
아무데나 휘뚜루마뚜루템이에요 근데 기장 너무 긴 상의랑 입으면 그냥 호빗돼서 조심해야 합니다..,5.0
이바지 정말 잘입고 있어요 근데 허리 생각보다 작으니 조근 크게입어도 되요,5.0
반바지를 잘 안 입었는데 데일리로 잘 입고 있습니다!,5.0
이런 디자인 처음 입어봤는데 생각보다 귀엽고 힙스터 같긴한데 남녀공용이라 저한테는 너무 커서 허리를 줄였는데도 커요ㅠㅠ 스타일 자체는 맘에 들어서 남자친구랑 커플로 입고싶어요,4.0
디자인과착용감은 편하고 색상이많이 이뻐요.추천,5.0
태어나서 반바지 처음 입어보는데 너무 예뻐요 진짜 만족스러워요ㅠㅠ,5.0
어머니가 반바지가 필요하다고 하셔서 시켜드렸어요 감사해요,5.0
요즘 스타일 코디 가능!! 편하고 허리도 안뜨고 잘 맞아요,5.0
이런스타일 바지는 처음이네요 아방귀욤해졌습니당,5.0
"살짝 크지만 디자인 , 핏이 너무 마음에 들어서 자주 입어요",5.0
"길이감은 진짜 미쳤구요 허리는 살짝 작은 감 있는 것 같고 (그래도 골반에 걸쳐 입을 순 있어서 다행..) 핏이 진짜진짜 예뻐요
배송 좀 기다렸는데 만족도는 최상 ! !",5.0
요즘 스타일 코디 가능!! 편하고 허리도 안뜨고 잘 맞아요,5.0
이런스타일 바지는 처음이네요 아방귀욤해졌습니당,5.0
"살짝 크지만 디자인 , 핏이 너무 마음에 들어서 자주 입어요",5.0
"길이감은 진짜 미쳤구요 허리는 살짝 작은 감 있는 것 같고 (그래도 골반에 걸쳐 입을 순 있어서 다행..) 핏이 진짜진짜 예뻐요
배송 좀 기다렸는데 만족도는 최상 ! !",5.0
너무 예뿝니다 .. 워싱도 이쁘고 길이는 무릎 좀 넘는 거 같아용 허리크기도 저한테는 딱 맞앗어용 첫 버뮤다 팬츠 성공적 ...,5.0
어반드레스는 다 좋은데 항상 보면 바지 허리 둘레가 표기보다 좀 작은듯 해요. 매번 허리둘레 보고 맞춰서 사는데 다른 브랜드보다 좀 작은느낌.? 참고해주세용,5.0
배송 정말정말 늦었지만 그만큼 예뻐서 참았네요 핏감 예쁘고 포켓 주머니 디테일 귀여워요 사이즈 잘 맞아서 좋았고 색감도 정말 예쁩니다 옷 자체는 너무 훌륭합니다 봄 여름 가을 내내 정말 자주 입을 것 같아요 :),5.0
"초등6학년아들이에요
무신사에 폭 빠져 멋을부리기시작했어요
이팬츠또한 아이가골랐구요
너무예쁩니다!",5.0
S 샀다가 작아서 M 으로 교환했어요... 허리가 정보보다 2센치 정도 차이 나더라구요 너무 대충 재신듯;; 문의했는데 안바꿔줘. 돌아가. 이러길래 걍 배송비 내고 삿어욥... 할인할때 산건데 배송비 땜에 원가로 삼 이잉... 좀 짱나긴 했는데 핏이 너무 이뻐서 그냥 용서해주기로 했어요 맨날 입고 다녀요 근데 카고라 조금 두꺼운 느낌이 없지 않아서 한여름에 오래 앉아있다간 궁둥이가 축축해질듯 하네여 참고하세요,4.0
허리 커서 흘러내릴 줄 알았는데 웬걸 •• 안 줄이고도 입을만 해요 고민하지말고 구매 바로 하세요 후회 절대 안 함 ㅜ,5.0
세일할때 잘 샀습니다. 하의 30 입는데 L사이즈 컸습니다. 스판은 없고 옷 만듦새는 좋지만 옷 자체가 무겁습니다.,5.0
이 후기사진을 보고 사고싶어하는 사람이 있을런진 모르겠지만 일단 너무 만족합니다 솔직히 말해서 저 바지만 입고 다니고싶어요 그럼 사람들은 절 그지로 보겠죠 그냥 그지가 되고싶네요,5.0
"워싱이 너무 고급지고 이쁘게 빠져서 대만족!!
무엇보다 기장감도 y2k 그 자체~",5.0
"사이즈는 M으로 시켰는데 공용이라 그런지 허리는 살짝 큰 느낌이 있는데 전체적인 핏, 길이는 너무너무 만족스러워서 휘뚤마뚤템입니다! 두께는 살짝 두껍지만 그럼에도 봄, 여름, 가을 모두 입기 좋아요!!! 맨투맨, 반팔, 후드 어디에든 예쁘게 입을 수 있는 존예템입니다:) 제기 입은거 보고 남찡구도 예쁘다고 같은 색으로 구매했음당ㅋㅎㅋㅎㅋ",5.0
세일할때 잘 샀습니다. 하의 30 입는데 L사이즈 컸습니다. 스판은 없고 옷 만듦새는 좋지만 옷 자체가 무겁습니다.,5.0
이 후기사진을 보고 사고싶어하는 사람이 있을런진 모르겠지만 일단 너무 만족합니다 솔직히 말해서 저 바지만 입고 다니고싶어요 그럼 사람들은 절 그지로 보겠죠 그냥 그지가 되고싶네요,5.0
"워싱이 너무 고급지고 이쁘게 빠져서 대만족!!
무엇보다 기장감도 y2k 그 자체~",5.0
"사이즈는 M으로 시켰는데 공용이라 그런지 허리는 살짝 큰 느낌이 있는데 전체적인 핏, 길이는 너무너무 만족스러워서 휘뚤마뚤템입니다! 두께는 살짝 두껍지만 그럼에도 봄, 여름, 가을 모두 입기 좋아요!!! 맨투맨, 반팔, 후드 어디에든 예쁘게 입을 수 있는 존예템입니다:) 제기 입은거 보고 남찡구도 예쁘다고 같은 색으로 구매했음당ㅋㅎㅋㅎㅋ",5.0
"바지 너무 귀여워요
근데 허리가 조금 작게 나온 것 같아서 아쉬워요
그래도 귀여워요",4.0
기여버 누가? 내가!! 앙큼해! 누가!? 내가!🤭 잘 입고 있는데 바지가 체감상 거의 5키로!,5.0
"너무너무 커엽습니다
저한텐 허리가 살짝쿵 컸다네요",4.0
"아 개예뻐요 원단도 두껍고 ..
스껄 ...
친구도 따라삼
많이 파세요 🤍🤍",5.0
색도 예쁘고 디자인도 마음에 들어요 아들 딸 다 잘어울려요,5.0
허벅지에 살이 가득한데 가려줘서 너무너무 마음에 들어요! 무릎 윗쪽까지 오는 핏이라 종아리가 굵어보이면 어쩌나 걱정했는데 그런거 하나도 없어요 혹시나 사진보고 종아리가굵어보인다 느끼셨다면 실제로 대빵굵기때문입니다ㅜㅡㅜ 두껍다는 후기가 있어 더우면 어쩌나 걱정했는데 그렇게 안두껍습니다 여름에입기 조아용 짱,5.0
에스 시켰으면 허리 작을 뻔 했어요 허벅지는 통이 큰데 허리가 작게 나온 제품 같습니다 여자분들 엠 시키셔도 충분해요 조금 여유있게 남아서 생각하던 핏이라 잘 산거같어요,5.0
포켓이 너무 귀여워요..! 장꾸룩을 위한 최고의 바지,5.0
배송도 은근 빨리오고 바지가 너무 예뻐요 ㅜㅜ 잘 입을게요,5.0
블루에 이어 블랙도 구매했네요 저는 오버하게 입으려고m 구매 했어요 아무래도 버뮤다는 커야 이쁘니까요 제 체형이랑 비슷하신 분중에 취향이 같은 분은 미듐 사이즈 추천드립니다.,5.0
에스 시켰으면 허리 작을 뻔 했어요 허벅지는 통이 큰데 허리가 작게 나온 제품 같습니다 여자분들 엠 시키셔도 충분해요 조금 여유있게 남아서 생각하던 핏이라 잘 산거같어요,5.0
포켓이 너무 귀여워요..! 장꾸룩을 위한 최고의 바지,5.0
