Review,Star
여름에 꼭 가지고 있어야 템 중 하나 입니다 원플원임에도 불구하고 퀄리티랑 핏이 너무 괜찮아요 어디가서 이런 가격으로 이런 퀄리티 내기 쉽지 않습니닿 재질도 부드러운 니트 소재라 안에 아무것도 안 입어도 피부가 자극을 받지 않아요 사이즈는 정사이즈로 구매하시거나 제 체형 참고하고 구매하시면 될 것 같아요 배송은 나쁘지 않았고 포장도 잘 되어 있어서 기분 좋게 받을 수 있었답니다,5.0
여름에 입기 딱 좋은 두께에요 부드러워서 맨 몸에 입어도 괜찮아요,5.0
시원한 느낌이라 좋습니다 부드러워 편하네요 카라와 단추 라인이 예쁘게 잘 나왔습니다 적당히 풀고 닫고 하기 좋아요,5.0
무신사 매장까지 방문해서 재질확인후이 구매하였습니다 여름에 입기 좋은 두께감입니다 핏도 몸통밑으로 갈수록 좁아져서 몸에 촥 감깁니다 너무 맘에 들어요,5.0
최고에요 사이즈 살짝 오버핏인데 그냥 너무 좋야요 제 스펙이랑 비슷하시면 m 사세요,5.0
색감이 너무 취향이라 구매했습니다 하늘색을 좋아하는데 실물이 더 예뻤어요 가성비 좋은 반팔 니트입니다 한계절 무난하게 입고 다니기 좋을 것 같아요 마른 편이라 체형이 드러나는얇고 붙는 옷을 선호하지 않는데 입었을 때 괜찮았어요 저는 안에 여름용 나시 입었습니다 아직 계절이 안풀려서 자켓 안에 입었는데 괜찮았어요,5.0
키몸무게에 비해 운동을 해서 상체가 조금 두께감이 있는 편입니다 저스트하게 맞는듯합니다 조금 헐렁하게 너프하게 입고싶은분들은 한치수 업해도 이쁠꺼같아요,5.0
니트의 색감이 내가 생각한 것과 좀 다르면 어쩌지 생각했었는데 막상 받아서 입어보니 핏도 너무 예쁘고 색감도 제가 생각한대로라서 너무 만족스러워요 사이즈도 딱 좋고 가벼워서 여름에 입고 다니기 좋을 것 같아요 시보리 디테일도 ,5.0
촉감도 부드럽고 색감도 이쁘네요 사이즈는한사이즈작은게맞을듯요,5.0
작년에도 사고 또 사서 너무 만족스럽네요 카라없는것도 구매 예정입니다,5.0
길이도 괜찮고 편한느낌이어서 좋아요그리고 색도 예쁘고 특히 가벼워서 여름에도 부담없이 입을 수 있을 것 같아서 좋습니다,5.0
작년에 사고 너무 맘에 들어서 다른 색으로 더 장만했슴다 그냥 핏이며 소재며 관리며 최고입니다 이거 안사는 이유를 모르겠어요 가격도 매우 저렴하고요 일반 머슬핏보다 더 머슬핏이에요 최고입다 엘그레이 색이 생각보다 더 맛도리네요,5.0
아이보리는 거의 흰색에 가깝네요 통풍도 잘되고 시원하게 잘 입을 거 같습니다,5.0
여름에도 입을 수 있는 얇은 니트를 처음 구매해봤습니다 비슷한 스타일의 제품이 여러 브랜드에서 출시 되고 있음에도 첫 구매라 자세한 비교는 어려웠지만 수아레 브랜드에 선호도가 있어서 결정하였습니다 종합적으로는 그냥 가격값에 준하는 옷이라고 느껴졌습니다  제 체형에 제품 사이즈는 적당한 기장을 가지고 있는데 사람에 따라 길이가 좀 애매하다고 느껴질 수 있습니다 저는 처음 구매해 본 거라서 한 눈에 예쁘다는 느낌보다는 이게 맞나 싶은 긴가민가함이 있습니다 다만 총장은 넣어 입을 때에 더 잘 어울릴 것 같았습니다  전체적인 핏이나 디자인은 무난하고 적합하고 취향에 따라 한 사이즈 작게 가서 정핏으로 착용하는 것도 추천합니다 아이보리의 경우 살짝의 비침이 있어서 패치를 이용하는 편이 좋습니다 넥 라인 마감 봉제선이 한쪽으로 처리되어있어서 아쉬웠습니다  변형 틀어짐이 당장 크지 않지만 오래 입기보다 전투적으로 활용하는 편이 좋겠습니다,5.0
보통옷을 XL 사이즈로 구매하고 살짝 오버핏으로 입는데 이옷은 L사이즈가 딱 맞는것같네요,5.0
수아레의 역작이네요 매년 수아레를 구매하는 것 같은데 이번 니트반팔은 참 예쁘네요 잘 입을게요,5.0
색감이 너무 좋네요 재질도 안거치고 부드러워요,5.0
여기 제품은 기장이 길지 않아 키작은 사람들에게 아주 좋아요,5.0
예쁘긴한디 세탁한번 하니 보풀이 테이프로 싹 다 떼줫는데 세탁시마다 이러면 감당이,4.0
m시켯다가 l로 바꿧는데 사이즈 찰떡입니다  가성비짱,5.0
반팔니트 첨 사보는데 생각보다 얇아서 한여름 전까지는 입을만 할거 같아요 아이보리가 진짜 너무 이뻐요 스카이블루는 생각한 것보다는 좀 쨍한 느낌 가성비로 잘 입고 다닐거 같네용,5.0
네이비 라운드 M  그린 카라 L 시켰는데 캐주얼하게 입을거면 L 정핏으로 입을거면 M이 맞네요 수아레는 니트류 몇번 사봤다가 대부분 반품했는데 이번 케이블니트는 대만족입니다 촉감도 좋고 색감도 너무 쨍하지 않아 좋아요,5.0
믿고사는 수아레입니다  저번에 이어 이번이 2번째 구매인데 역시 핏과 색감 모두 좋습니다 한가지 아쉬운점은 마감인데 신경쓰일 정도는 아니네요,5.0
와우 옷이 너무 예뻐서 감탄했어요 다음에도 또 살게요 여름에 잘 입을 것 같아요 감사합니다,4.0
핏이랑 색감이 너무 예뻐요 단추 풀어 입어도 예쁩니다 두껍지 않아서 여름에 입기도 좋을거 같아요 추천합니다,5.0
진짜 기본 제품이라 어느 룩에도 잘 어울리네요 그냥 입어도 되고 자켓이랑 입어도 되고 ,5.0
남자친구 선물로 주려고 샀는데 아직 한달이나 남아서 제가 입었네요 부드러운 얇은 니트라 여름에 아주 잘 입을 것 같고 사이즈도 남자친구 체형에 아마 여유로울 것 같아요  예쁜 쨍한 초록색이라 청바지나 흰바지 검은바지 다 잘어울릴거같아요 원플원이라 제가 하나 가질까 고민돼요 ,5.0
너무 좋습니가 수아레 제품 또 사려고요  카라랑 라운드 등 다르게 선택하는 것과 가격까지 모두 좋습니드,5.0
생각보다 얇아서 시원하고 몸이 커보이는 효과가 있어서 좋습니다 완전여름되면 어렵긴 하겠지만 요새 날씨에는 추천 드립니다 제 신체스펙이랑 비슷한 분은 엑스라지 추천드려요,5.0
핏 죽이네요 몸도 더 좋아보이고 얇아서 더 좋아요,5.0
폴로 꽈배기보다 조금 더 얇은데 부드럽고 탄탄해요 기본템으로 아주 좋아요 아주 추천합니다,5.0
사진 그대로 색감은 화면과 비슷했습니다 너무 나풀나풀게 여름에 딱 일 것 같습니다 가성비 좋구 세탁후 변형은 있을 것 같아은 느낌인데 물빨래 가능 소재라고 하니 너무 좋아요,5.0
넘 이뻐요  여름에 입기 딱 좋습니다   제 스펙이면 xl 추천드립니다 ,5.0
사이즈는 저랑 비슷하시면 m으로 가시면 될 것 같구요 재질은 여름에 시원하게 코디하기 좋게 적당히 얇은 부드러운 니트라 좋았어요 코디는 은근 와이드 흑청이랑 생지데님 아니면 사진처럼 버뮤다 팬츠도 괜찮은것 같아요 감사합니다 ,5.0
가성비 갑 디자인도 넘 이쁘고 전혀 저렴해 보이지 않습니다 블루랑 두 칼라 구매하길 잘한듯요 사이즈는 하나 작게 입었습니다,5.0
아이보리네이비 색상 예쁘네요 보이기엔 보풀 잘 안생길듯한데 입어봐야 알겠죠,5.0
너무 좋습니다 앞으로 다시 구매할 수 있을 것 같아요,5.0
니트류지만 얇아서 지금 입기에 덥지 않습니다 색감 예쁘고 좋네요,5.0
소재도 좋고 핏도 아주 마음에 듭니다 오랜만에 좋은 옷 구매한 것 같아서 기분 좋습니다 고민하시는 분들에게 강추입니다,5.0
색감은 사진 그대로고 사이즈는 약간 루즈핏 니트치고 얇은 편이지만 그래도 니트는 니트라 한여름 날씨에 입기에는 답답하고 더울듯,5.0
L사이즈긴 하지만 생각보다 훨씬 더 넉넉한 사이즈입니다,5.0
배송도 빠르고 무엇보다 재질이 시원해요 땀이 많은데 잘입을수있겠어요,5.0
일단 배송이 빨리 와서 좋았습니다 한여름에 입기에는 두껍긴 하지만 정말 합리적인 가격으로 예쁜 옷 산 것 같아요 검정은 화면이랑 똑같은데  아이보리 색은 생각보다 밝아서 화이트에 가깝습니다 저랑 신체 사이즈 비슷한 분들은 M 하시면 딱입니다,5.0
요즘 반팔니트 유행이라길래 두벌 장만했는데 좋아요 ,5.0
광고에 이벤트보고 구매했는데 가격도 맘에들고 워셔블이라 더더욱 구매 흥미가 생겼어요  받아보니 후회없이 출근적으로 잘입고 있습니다 ,5.0
너무 맘에 드네요 사이즈도 딱이고 핏도 너무 맘에 들어요,5.0
평소 2xl 사이즈입구요 구매사이즈xl 사이즈 오버핏이라 여유있고 체형을 한층 옆으로 넓어보이게 해주는 핏감 두껍지 않은 케이블 니트소재 인생핏 만나서 추가로 아이보리 그린컬러 구매하였습니다,5.0
M사이즈 잘 맞아요 색감도 예쁘네요 여름에 입기 좋은 두께입니다 한여름은 좀 힘들거 같아요,5.0
저렴하게 좋은상품 구매해서 너무좋아요 재질도 나므지않아서 여름에 잘 입을것 같아요 감사합니당,5.0
가성비좋고배송도만족입니다 촉감이 좋고 신축성도 좋아요,5.0
시원하고 막입기 좋아요 재질도 좋은것 같습니다 세탁하면 어떻게될지 궁금하지만 만족합니다,5.0
생각보다 커요 팔 길이가 애매하게 길어서 핏이 어정쩡해보여요 어쩔 수 없지만 접어서 입어야할 듯 합니다,5.0
그린이랑 베이지 두벌 구매했는데 옷 너무 예뻐요 팔 통도 크지 않아서 머슬핏 잘 나옵니다 출근룩이나 데이트 시 좋을 것 같아요,5.0
비슷한 다른제품으로 꽈배기 니트가 있는데 이 제품은 그것뷰단 얇아요 색상은 보이는대로 선명한 편이긴 합니다 지금 한창 입기 좋은거 같아요,5.0
블랙이 좀 더 잘 받는 거 같고 이쁜 거 같네요 만족함,5.0
딥그린이랑 엘그레이 시켰는데 딥그린이랑 아이보리가 왔어요  색상 이뻐서 그냥 입으려구요,5.0
여름에 입기 딱이네요 폼도 넉넉해서 시원해보여요,5.0
수아레 라는 브랜드를 처음 구매해봤습니다 면 재질의 반소매 니트인데 우선 첫인상은 괜찮네요 마른 체형은 아니라서 가슴어깨 쪽이 약간 끼는 듯한 느낌은 있지만 L은 컸을 것 같고 M 정도가 맞는 듯 합니다,5.0
색감이나 디자인 그리고 가성비 부분이 다른 니트 반팔에 비해 괜찮지만 너무 얇은 탓인지 살짝 흐물흐물한 느낌이 있어 세탁 후 변형이 쉽게 될 거 같습니다,4.0
일단 속은 비치지않습니다 니트소재여서 한여름에 입기에는 덥습니다 하지만 스타일은 굿입니다,5.0
가성비있게 구매했습니다 편하게입기 좋은거 같아요,5.0
색감좋고 핏좋고 재질 괜찮고 굿굿 네이비도 하나 더샀어요,5.0
니트라 좀 더울 줄 알았는데 구멍 사이로 바람이 솔솔 들어오니 시원하네요 색감도 이쁘고 맘에 들어요 ,5.0
랭킹에 올라와있길래 시켜봤는데  가격대비 매우 높은 품질에 놀랐습니다 한번 더 시킬지 고민중입니다,5.0
옷 재질도 좋고 배송도 빨리와서 좋았습니다 여행가서도 편하게 입구다님,5.0
재질 좋고 몇번 빨았는데 보풀도 잘 안생기는거 같아요,5.0
