Review,Star
진짜 너무 예쁩니댜. ㅠㅠ 요즘 여름은 맨날 글로니만 입어요,5.0
현존하는 러플스커트 중 제일 예쁩니다. 사실 로고때문에 주문했는데 퀄리티도 마음에 들어서 잘 입을 수 있을 것 같습니다. 한여름에도 입을 수 있는 재질에 착용했을때 너무 편해서 입은 것 같지도 않아요🩵 사실 이거 사려다가 다른거 사봤는데 그건 입지도 못하고 박아뒀습니다. 핏이 안예뻐서요🥹 허리 26인데 예쁘게 로우라이즈로 떨어져서 더 마음에 듭니다. 진작 살걸..왜 지금 샀을까요? 뒷북이지만 그래도..여러분..사세요.,5.0
S사이즈 적당히 편해요 사이즈가 여유있게 나온거 같아요 밑단 마무리가 좀 아쉽긴하지만 치마는 이뻐요,5.0
s사이즈보다 m사이즈가 허리선이 더 예쁘게 떨어지는 것 같아요!,5.0
예쁘고 시원하고 편하고 완존 만족하는 소비입니다,5.0
작년부터ㅠ사고싶었는데 사게 되어서 기뻐요 기본 스타일인데 다양하게 스타일링 할수 있어서 좋아요 그리고 너무 이뻐요,5.0
아아악 넘 많이 기다렸는데 재고 있는거보고 걍 바로 질렀어여 ㅋ 169기준 길이 딱예쁩니다 깔꼼한 양말 신고 포인트 되는 신발신어주면 그날은 내가 퀸 체형상^^..제니깔은 안나오지만 얘뻐여 ㅋ,5.0
S사이즈 적당히 편해요 사이즈가 여유있게 나온거 같아요 밑단 마무리가 좀 아쉽긴하지만 치마는 이뻐요,5.0
s사이즈보다 m사이즈가 허리선이 더 예쁘게 떨어지는 것 같아요!,5.0
예쁘고 시원하고 편하고 완존 만족하는 소비입니다,5.0
작년부터ㅠ사고싶었는데 사게 되어서 기뻐요 기본 스타일인데 다양하게 스타일링 할수 있어서 좋아요 그리고 너무 이뻐요,5.0
아아악 넘 많이 기다렸는데 재고 있는거보고 걍 바로 질렀어여 ㅋ 169기준 길이 딱예쁩니다 깔꼼한 양말 신고 포인트 되는 신발신어주면 그날은 내가 퀸 체형상^^..제니깔은 안나오지만 얘뻐여 ㅋ,5.0
사이즈가 작을까봐 고민했는데 실측보다 허리가 넉넉하게 나온거같아요 그리고 너무 예뻐요 타 브랜드에서도 비슷하게 많이 나오는데 글로니가 젤 예쁜거 같습니다 🩵,5.0
