Review,Star
"일단 왕창 큽니다!
여자 163 44사이즈 기준으로 엄청 크고 길어요
밑단 엄청 접어서 핀으로 고정했는데 다니는데 불편함은 없었고 흘러내리는 핏이나 색감이 예뻐서 만족했어요
특히 색감이 정말 마음에 들었습니다
너무 밝거나 푸른 색이 튀지 않고 빈티지하고 흐릿한 색감이라 딱 찾고있던 데님 색상이었어요

그리고 제 체형 기준으로는 꾸안꾸 데일리느낌 보단 정말 짱큰바지로 스트릿한 무드 내고 싶으신 분들께 잘 맞을 것 같아요",5.0
남자 바지라 정말 크네요!! M은 남자친구 주고 저는 s로 바꿨어요.. 후기 사진은 170기준 m사이즈입니다.. 그래도 넘 예쁘고 얇아서 여름에 잘 입을거같아요!,5.0
50대인 우리 아부지 젊은 스타일로 입히고 싶어서 생신선물로 구입했어요. 30년전 울아버지 대학다닐때 유행하던 스타일이라 옛날 생각나신다고 좋아라하시고 생각보다 잘 어울리셔서 깜짝놀랐어요. 두께도 적당하고 편해서 좋다고하심요. 20대인 울오빠도 사서 같이 입고다니고라고 하려구요!,5.0
허리에 딱 맞고 허벅지도 편안하게 움직일 수 있어서 좋습니다. 어디에든 어울리는 색감도 마음에 들어요.,5.0
"아 바지 쥰내 맛있다
필루미네이트
클났다 이제 ㅋㅋ
매달 월급 꼬라박을게요",5.0
재질이 얇아서 여름에도 입기 좋을것같고 색감이 밝아서 시원해보입니다,5.0
"바지 103.5센치면 저한테 딱 좋아서 입어봤는데
발등에도 안 닿길래 길이 재봤더니 100센치도 안나와요 ㅠㅠㅜㅜㅠㅜㅠ 길이좀 잘 적어주세요
m으로 교환하고 싶었는데 s도 허리가 크고 번거로워서 안했어요
짧으니까 핏이 이상해서 상의 짧은거 못 입고 최대한 내려입어요 구냥 교환할걸..",3.0
남자 바지라 정말 크네요!! M은 남자친구 주고 저는 s로 바꿨어요.. 후기 사진은 170기준 m사이즈입니다.. 그래도 넘 예쁘고 얇아서 여름에 잘 입을거같아요!,5.0
50대인 우리 아부지 젊은 스타일로 입히고 싶어서 생신선물로 구입했어요. 30년전 울아버지 대학다닐때 유행하던 스타일이라 옛날 생각나신다고 좋아라하시고 생각보다 잘 어울리셔서 깜짝놀랐어요. 두께도 적당하고 편해서 좋다고하심요. 20대인 울오빠도 사서 같이 입고다니고라고 하려구요!,5.0
허리에 딱 맞고 허벅지도 편안하게 움직일 수 있어서 좋습니다. 어디에든 어울리는 색감도 마음에 들어요.,5.0
"아 바지 쥰내 맛있다
필루미네이트
클났다 이제 ㅋㅋ
매달 월급 꼬라박을게요",5.0
재질이 얇아서 여름에도 입기 좋을것같고 색감이 밝아서 시원해보입니다,5.0
"바지 103.5센치면 저한테 딱 좋아서 입어봤는데
발등에도 안 닿길래 길이 재봤더니 100센치도 안나와요 ㅠㅠㅜㅜㅠㅜㅠ 길이좀 잘 적어주세요
m으로 교환하고 싶었는데 s도 허리가 크고 번거로워서 안했어요
짧으니까 핏이 이상해서 상의 짧은거 못 입고 최대한 내려입어요 구냥 교환할걸..",3.0
"바지 너무 마음에 들어요
색감도 스크레치 디테일도 완전 예쁩니다😏",5.0
"뭣도 모르고 시켰는데 이렇게 맘에 들 줄 몰랐습니다
주변에서 이쁘다고 말 많이 들었습니다!! 
사진이 흐릿하지만 실물 진짜 짱짱입니두",5.0
크게 입으려고 샀는데 핏도 너무 좋지만 색감이 너무 좋아요👍👍 제가 산 바지 중에서 제일 좋은 거 같아요👻,5.0
인생 바지 찾았네요.. 핏이 일단 너무 이쁩니다!! 색은 실제로 보면 더 빈티지한 맛이 강해요 새로운 데님 사고 싶으시면 추천 드립니다!,5.0
워싱도 잘 되어있고 핏도 예쁩니다 가격도 착해요,5.0
사진 핏보고 구매했는데 첨에 딱 입어보자마자 제 인생바지임을 바로 알았습니다.. 기장감이며 워싱 핏 모든게 완벽했어요.!! 원단도 얇은편이라 여름에도 충분히 입을 수 있을거 같습니다,5.0
바지 진짜 인생바지에요 진짜 통커서 산건데 실제로 받아보니 더커서 좋았고 허리가 살짝 크긴했는데 벨트하고 입으니 너무이뻐용 색감도 워싱 이쁘게 잘들어가있구 중간중간 포인트로 박혀있는거도 이뻐요! 이가격대에 이런바지 못구함!,5.0
"원래 M사이즈 시켰다가 너무 커서 S사이즈로 교환했는데
길이도 마음에 들고 핏도 마음에 들어요
워싱이 독특해서 진짜 이쁩니다",5.0
워싱도 잘 되어있고 핏도 예쁩니다 가격도 착해요,5.0
사진 핏보고 구매했는데 첨에 딱 입어보자마자 제 인생바지임을 바로 알았습니다.. 기장감이며 워싱 핏 모든게 완벽했어요.!! 원단도 얇은편이라 여름에도 충분히 입을 수 있을거 같습니다,5.0
바지 진짜 인생바지에요 진짜 통커서 산건데 실제로 받아보니 더커서 좋았고 허리가 살짝 크긴했는데 벨트하고 입으니 너무이뻐용 색감도 워싱 이쁘게 잘들어가있구 중간중간 포인트로 박혀있는거도 이뻐요! 이가격대에 이런바지 못구함!,5.0
"원래 M사이즈 시켰다가 너무 커서 S사이즈로 교환했는데
길이도 마음에 들고 핏도 마음에 들어요
워싱이 독특해서 진짜 이쁩니다",5.0
