Review,Star
생각보다 늦게 왔지만  맘에 드는 체크무늬랑 색감이고 크기도 적당해요 재질도 여름에 입어도 될 것 같아용 남자가 입음 좀 짧을수도 ?,5.0
기장이랑 핏이 아주 좋네요 가성비 훌륭한 셔츠인것 같아요,5.0
편하게 입기도 좋고 웨이트하는 사람이 입어도 충분히 잘 맞네요,5.0
안흔한 체크셔츠 찾다가 괜찮아보이길랴 구매했어요. 색감이쁘고 핏도 좋고 재질도 부드럽고 좋은데 단추가 너무 하얀색인게 좀 아쉬웠지만 만족합니다!!,5.0
이 색상의 체크가 예뻐서 샀는데 유행인지 돌아 다니면 하루에 5명은 마주침..ㅠ 근데 예뻐서 포기할 수가 없음. 여름에 햇빛때문에 셔츠를 많이 입는데 부드럽고 가벼워서 계속 입고 출근하러갑니다..!  가격이 아쉽긴 하지만 그래도 만족합니다:),5.0
원단이 얇아 여름에 입기 좋고 색감과 체크무늬가 마음에듭니다. 총장도 크게 길지않은점도 좋습니다.,5.0
마감은 너무 별로예요... 좀 충격적일정도로 실밥이... 팔 접어서 올리는데 깜짝 놀랐네요. 크롭한 기장과 두께감 모두 좋은데 마감은 좀 신경쓰셔야 할 것 같아요. ,3.0
잠궈서 입으면 뭔가 덩치가 커보이는 핏이여서 오픈해서 이쁘게 입고 다닐 거 같습니다,5.0
"평소 105착용 약간널널~딱 맞음 세탁 한번 했는데 구김이 잘 생기고 카라가 말림 핏과 색상 맘에 들어요 다만 가격이 좀 쌘편,, 4만원 초반대였으면 여러벌 사서 돌려입어도 좋을듯",4.0
에어컨 많이 가동하는 곳에서 가끔 입는데 너무 이쁘고 적당히 얇아서 좋아요!,5.0
막 입을 셔츠 치고 가격이 높아서 고민했는데 입어보고 너무너무 만족스러웠습니다. 다른 색상으로도 또 갖고싶네요,5.0
색깔은 괜찮은데 실밥 마감이 좀 아쉬워요! 그래도 얇아서 좋아요,5.0
안흔한 체크셔츠 찾다가 괜찮아보이길랴 구매했어요. 색감이쁘고 핏도 좋고 재질도 부드럽고 좋은데 단추가 너무 하얀색인게 좀 미쓰인 것 같아요.,5.0
"빈티지한 오버셔츠 찾다가 눈에 확 들어와서 특가에 들인 후크의 네이비셔츠!  이번에 눈팅하다가 후크란 브랜드를 접하고 쭉 둘러보며 겟한 친구중에 하나!  실물봤을 때 딱 든 생각이 오케이 색감 패턴 워싱 빈티지함 모두 성공. 내가 원하는 느낌으로 스타일링 할 수 있겠다.   하지만, 딱 착용하는데 깜짝 놀랬다. 생각보다 엄청커서ㅋㅋ 110인 분들도 세미오버나올 듯. 품이 엄청나다.  그레도 그 널널하고 툭 떨어지는 맛에 원하는 느낌내기가 용이할 거 같지만! 원단은 얇아서 부담없이 걸치기 좋을거같다. 두꺼우면 계절을 더 신경써야되니깐. 무튼 너무 잘 구매했고 예쁘게 스타일링해서 입어보겠습니다. 후크 무서운 신성이네요!",5.0
색상도 좋고 봄가을에 입기 좋아요!! 다만 기장감이 생각보다 더 짧긴 합니당..ㅎ,5.0
생각보다 체크 배색이 남색보다 베이지 비중이 더 큰거 같아요. 좀 더 어두운 톤의 체크라고 생각했는데 실제로는 좀 화사하고 확 튀네요. 그래도 빈티지하고 흔한 체크색상이 아니라서 만족합니다. 꽤 가벼워서 여름에도 입기 좋을 거 같아요,4.0
무더위가 좀 풀리면 입기 좋을거 같습니다. 디자인이 이쁩니다,5.0
기장은 짧은데 오히려 좋고 좋은 가격에 잘 샀어요,5.0
평소 L 입는데 커보여서 M 시켰는데 잘 시킨 것 같아요!,5.0
사이즈가 딱 좋습니다. 옷이 두껍지도 않아서 팔 접어서 입으면 좋습니다.  날씨가 좀 더 선선해지면 티에 입어도 좋을 것 같아요. ,5.0
너무 잘 맞고 예쁘네여 앞으로도 많이 구매할게요 감사합니다,5.0
남편이랑 옷 같이입기 좋아요 만족합니다 가을이왔으면,5.0
색감이 너무 유니크 합니다! 아주 멋져요👍🏻 기장이 약간 짧은 느낌이긴한데 그래도 너무 이뻐서 자꾸 손이갑니다!,5.0
걍이쁨 워싱데님이 더 잘 어울리는 바지같음 자주 입을듯,5.0
엉덩이 덮는 충분한 사이즈입니다! (프리사이즈인줄 알았는데 미디엄이랑 라지 나뉘어져 있어서 고민했었네요),5.0
날씨가 더워져서 자주는 못입겠지만 너무 이쁩니다,5.0
사이즈도 잘맞고 배송도 빨리왔어요 다양한 코디에 입을듯,5.0
생각보다 색이 밝은데 사진에서 보는것만큼 예쁘네요 조금 다른쪽으로 다르긴하지만 만족스럽습니다,5.0
실제로 입어보니 체형보완도 되는것같고 스타일도 괜찮네요 ,5.0
간절기에 입기 좋아요 체크셔츠인데 흔하지않고 색도 마음에 드네요 ,5.0
두껍지 않아서 마음에 듭니다.  가을에 입기 좋을 것 같습니다.,5.0
생각보다 훨씬 예뻐요 저렴하게 잘 구입했어어요,4.0
그냥 제가 생각한 사이즈 핏 입니다 너무 이쁘네요,5.0
이쁩니다 체크셔츠 살려했는데 잘 산거같아요 굿,5.0
너무 이뻐요 핏이 작살남 어디든 이쁠거 같고 여름에도 얇아서 입는거 가능,5.0
가성비 너무 좋고 핏도 좋고 이뻐요. 색상별로 구입하고싶네요,5.0
얇고 탄탄해보여서 좋습니다 가볍게 입기 좋은거같아요,5.0
색감이 생각보다 빈티지하고 밝아요 얇아서 여름에 딱입니다 ,5.0
평소 xxl입는데 잘맞고 이쁜거같아요. 잘입겠습니다.,5.0
실물보니 이뻤고 가볍습니다 얇은 재질입니다 디자인 만족합니다,5.0
너무커요 특히 팔뚝부분 통이 너무 넓어요 전체폼도 크고 많이 오버핏입니다. 색감은 이뻐요 면도 얇고 다시 주문한다면 한치수 작게 주문할거 같네요ㅠ,4.0
"시원해 보이는 색이 마음에 듭니다. 다만 상품설명보단 물 빠진 색인데, 그게 더 마음에 드네요.",5.0
핏이 좋게 나와요.! 얇아서 여름에 실내에서 입기 좋습니다!!!!!,5.0
예뻐요.그리고 얇아서 팔 걷어올리고 여름에 입으면 됩니다.첫 셔츠 성공이요.,5.0
"가격대비 너무 이뻐버리고, 후배 여동생이랑 밥 맛잇게 먹고 왓슴다 ^0^",4.0
깔끔하고 핏이 예쁩니다. 흰색 부분인줄 알았는데 베이지? 붉은 느낌이 조금 들어가 있습니다,5.0
"체크셔츠 하나만 살 생각으로샀어요, 데일리하면서도 이쁜 체크는 이걸로하세요",5.0
핏 좋고 색감 이뻐요 자주 입고 있습니다 날 조금더 풀리면 너무 자주 입을거같아요,5.0
M 사이즈인데 생각보다 많이 크네요  오버핏 셔츠는 처음이라 유튜브 보고 코디 좀 보고 입어봐야겠네요  색감  넘 이쁩니다~,5.0
색이 예쁘고 편하게 잘 입을수 있을것 같아요 체크셔츠 갖고싶었는데 좋아요,5.0
배송 매우 빠릅니다 포장 되게 꼼꼼하게 해서 옵니다,5.0
"사이즈는 크고, 기장이 조금 짧은데 충분히 요즘 느낌으로 입을 수 있을 것 같아요! ",4.0
가성비 최고 색도 사진이랑같애요  가을 자주입을것같숩니다  좋은제품 입니다 ,5.0
얇아서 여름에도 입을 만한 것 같아요 개인적으로 굉장히 만족합니다 질감이 두껍지 않으면서도 흐물흐물하진 않아서 맘에 들어요,5.0
이뻐요 색감이 빈티지하면서 네이비 색이 시원한 느낌을 을줘거 코디 난이도도 그리 높지않고 여름에 입이좋아요,5.0
완전이 이뿌고 색감도 좋아서 편하게 입을수 있겠어요,5.0
타임세일때 구매해서 엄청 저렴하게 샀어요 날이 조금더 선선해지면 입을 수 있겠어요,5.0
옷 색감이나 핏이 너무 이뻐요  이번가을에 엄청 입고 다닐거 같아요 감사합니다,4.0
문의글에 배송이 무슨 일주일~이주 못 받고 계신분들이 있어서 월요일 결제하고 금요일까지 받아야했는데 월요일 결제 화요일 도착했네요;; 쿠팡인줄 역시 대한통운에 빠른 출고와 빠른 도착 감사합니다!! 저는 170 65 크게 입어서 100-105 입습니다 L 주문했고요 엉덩이 덮는 기장 좋아서 크게 삼 엉덩딱 덮고 좋움 세일할때 사소 더좋윰,5.0
괜찮네여 가을에 입기에는 많이많이 얇음 에어콘 있는 실내에서 추울 정도,5.0
기장 핏 오버하고 넉넉히 좋아요 가을이 기다려지네요,5.0
옷이 편하고 이뻐서 자주 입을 것 같아요 감사합니다.,5.0
이 가격에 싼게 미안해 질 정도로 잘 만들어진 예쁜 옷입니다.,5.0
체크셔츠 색감이랑 너무 마음에 드네여 근데 조금 사람들이 많이 입나봐요..,5.0
퀄리티는 솔직히 가격 생각하면 기대 안하는게 좋을 것 같지만 나쁘진 않아요! 하지만 핏과 디자인이 너무 이쁘네요 가격대비 너무 좋은 제품 같습니다 횔용도도 높고 가을에 휘뚜루마뚜루 꽤 많이 입을 것 같아요!,5.0
"너무 얇지도 두껍지도 않은 적당한 두께라 암때나 입기좋을 것 같아요 핏도 제기준 오버핏으로 이뻐요 네이비랑 베이지?색이 들어가있어서 연청,흑청,회색, 검정 베이지 등등 아무 바지 입어도 다 잘 어울립니다!",5.0
무난무난합니다. 좋은 가격에 잘 샀어요. 좋습니다.,5.0
예전부터 사고싶었는데 세일하길래 바로 샀어요,5.0
다른 부분보다 가슴폭이 넓습니다. 재질은 얇지만 한여름에는 별로일 것 같네요~,4.0
색감이 너무 이뻐서 마음이 들어요. 자주 입을거 같네요.,5.0
색깔이 생각보다 너무 이뻐서 너무 맘에 듭니다 다른 분에게도 추천합니다,5.0
좋은 가격에 좋은 퀄리티입니다. 자주 입을 것 같습니다,5.0
얇아서 걸쳐입기좋네요 가을때 자주 입을거같네요,5.0
여행 갈때 입으려고 샀는데요  완전 이쁘네요~~색감도 딱 좋아요,4.0
