Star,Review
5.0,얇고 활동하기에 무지 편합니다 착한가격까지 만족합니다
5.0,"177/60 마른 편입니다 사이즈 L 피팅했는데 기장감, 아웃핏 전부 마음에 드네요 두껍지 않은 나일론 소재라 더운 여름에도 반팔 위에 데일리하게 걸쳐서 포인트를 줄 수 있을것 같아요 상품 만족합니다"
5.0,입으면 살짝 스포티해보이고 엄청 슬림해보이는 것 같아요~
5.0,나일론재질이긴 한데 빳빳하지 않고 부드럽게 떨어지는 핏이라서 마음에 들어요! 합리적인 가격에 잘샀어여 보통체격인데도 S사이즈 넉넉해서 여성분들은 S하시면될듯 스트링 조이는거보다 푸는게 더예뿌요
5.0,이런 옷은 처음 입어보는데 사이즈 딱 맞고 좋아요
5.0,S사이즈로 샀는데 딱 몸에 맞아서 이쁜 핏으로 나와요! 지퍼가 약간 별로구 후드가 약간 큰 감이 있긴 한데 나름대로 엄청 이쁘고 힙하보여요 흰 반팔티에 간단하게 입어도 엄청 간지나서 진짜 최고 아이템 될 듯 합니다 ㅠ 다만 한여름엔 바람이 막혀서 좀 덥다는 점만 감안하면 진짜 살만한 제품입니다!
5.0,사이즈는 s지만 넉넉해서 좋아요 안입은거 처럼 가볍고 얇아서 여름에 입기 딱이네요 주머니 없는옷 입을때 걸쳐야겠어여 딱 찾는 옷인데 세일기간에 사서 만족합니다
5.0,너무 예쁘지 않나요 제 눈에만 그런건가요..? ㅠㅠ 너무 만족하고 이걸 왜 이제 샀나 싶었습니다 오래 기다린 만큼 만족도 높아요! 아 역시 갓르티멘토 절 실망시키지 않는군뇨
5.0,여름용 아우터로 얇아서 포인트 주기에 정말 좋아요
4.0,얇은 베스트 찾고 있었는데 파르티멘토 가성비 너무 좋 아요! 시원합니당
5.0,중간에 배송 좀 걸리긴했지만 그래도 싼가격에 입문용으로 좋은거같아요
5.0,베스트 처음 구매해보는데 괜찮네용 다만 끈이 너무 깁니다
3.0,나쁘진않은데 줄이 너무 길고 지퍼가 구림 한 번 입고 고장났는데 어거지로 끼워 쓰고읶어여
5.0,어깨부분이 살짝 찢여져 있는데 찢여진건지 그렇게 온건지 모르겠네요 티는 안나서 그냥 입었어요 여름에 입기 좋아요
5.0,요즘같은 날씨에 입기 매우 좋고 레이어드해서 입었을때 매우 귀엽습니다 나중에 아우터 이너로도 매우 좋을거같아요
5.0,스타일 내기 좋고 그렇게 덥지는 않습니다 코디할때 포인트주기 좋습니다
5.0,가성비 최고 나일론 조끼에요 짱짱 맨날 입고 다닐거야요
