Star,Review
5.0,굿 확실히 듣던 대로 시보리가 자기주장이 강하네요 어릴 때 이 져지를 입은 형한테 삥뜯긴 기억이 납니다
5.0,사이즈 정사이즈로 딱 맞고 시보리도 짱짱해서 좋아요 ! 크게사도 이뻤겠지만 만족합니당  입고 다니면 너무 자주보이는게 단점 ㅜ
5.0,L사이즈 구매했다가 너무 커서 S사이즈로 교환했어요 만족합니다 S사이즈도 넉넉해요 이번옷이 크게 나온거같아요 착용감은 부드럽고 좋아요 입고싶었던거라 좋아요
5.0,파이어버드 갖고 싶었는데 매일 입고다닐 것 같어용
5.0,사이즈도 좀 큰가 했는데 넉넉하니 너무좋구 핏도 이뻐요!!!!
5.0,입기 편합니다. 좋아요 가성비 좋구요 디자인 좋습니다 
5.0,역시 아디다스는 항상 실망시키질 않아서 좋아요 엄청 예쁘고 마감도 좋아요
5.0,XL갔다가 L로 교환했는데 교환하길 잘함 흰티에 입어도 묻어나는거 딱히 없는것같음 시보리 많이 조임
5.0,갑자기 트랙 위아래로 입고 다니고 싶어서!!! 샀어요 편하다!
5.0,대박 예쁨 그냥 근본 그 자체 크게 입으니까 넘 예쁨 ㅠ
4.0,"평소에 휘뚜루 마뚜루 입기도 좋고, 포인트 주기도 좋습니다. 재질이 흐물거려서 핏이 이쁜데 밑단 시보리 때매 배 부분이 좀 뜨는게 아쉽네요. 기장은 좀 긴편입니다."
5.0,깔끔한 기본 아디다스 져지입니다! 총기장이랑 소매 길이도 적당하고 마음에 들어요!
5.0,키 154인데 s도 입어봤거든요 근데 m이 핏이 더 맘에 들더라구요 s도 오버핏인데 시보리 접어입으니 품도 그렇고 기장감이 뭔가 맘에 안들어서.. m으로 바꿨어요 s는 오버핏인데 뭔가.. 딱맞는 오버핏 느낌...? 길이는 s나m이나 지퍼 열먼 겁나 긴데 차피 접어입을거라 상관 안하고 걍 m으로 바꿈! 시보리 접어입으면 기장 ㅂㄹ 안길어요 밑에 시보리가 길고 쪼여서 접어도 절대 안내려옴 근데 팔이 겁나 길어요ㅎ.. 줄넘기 가능할듯? 이상 팔다리 짧고 상체 긴 호빗의 후기~ 비슷한분들 참고하셈~
5.0,"가을에 입기 좋고, 천 질감, 디자인 다 괜찮네요. 만족합니다."
5.0,배송은 일반 배송이랑 똑같이 왔어요 한사이즈 작게 입으면 더 좋을 거 같긴한데 기다리기 귀찮아서 걍 입어요 너무 귀여움
5.0,초등학생 때 이후로 다시 처음 사네요 그때랑 비슷한 거 같습니다 핏은 훨씬 트렌디하게 나왔네요 야무지게 아무 데나 걸쳐도 예쁜 템입니다 같은 옷 입은 사람 하루에 스무 명 이상 마주치지만요 ..
5.0,매장에서 입어보고 무신사에서 저렴하게 구입했어요 너무 맘에 듭니다
