,title,keyword
1,Deep One Tuck Sweat Shorts [Grey],"바지, 사이즈, 여름, 기장, 버뮤다, 길이, 무릎, 팬츠, 허리, 반바지"
2,바이오워싱 카펜터 버뮤다 데님 팬츠_라이트블루,"사이즈, 허리, 바지, 색감, 여름, 버뮤다, 기장, 팬츠, 가격, 디자인"
3,데미지 워시드 데님 팬츠-미디엄 블루(Cool Air),"바지, 사이즈, 여름, 허리, 색감, 기장, 길이, 워싱, 와이드, 배송"
4,Wide Cargo Half Denim Pants - 5COL,"바지, 허리, 사이즈, 색감, 여름, 기장, 배송, 길이, 반바지, 무릎"
5,Deep One Tuck Sweat Shorts [Black],"사이즈, 바지, 여름, 제로, 기장, 재질, 버뮤다, 회색, 가성비, 길이"
6,[쿨탠다드] 세미 와이드 히든 밴딩 슬랙스 [블랙],"여름, 사이즈, 와이드, 슬랙스, 세미, 기장, 바지, 재질, 허리, 소재"
7,버뮤다 와이드 원턱 스웨트 쇼츠 [그레이],"사이즈, 여름, 바지, 가격, 운동, 버뮤다, 재질, 가성비, 기장, 길이"
8,캣 브러쉬 워시드 버뮤다 데님 쇼츠 (SAND BLUE),"색감, 사이즈, 바지, 허리, 버뮤다, 배송, 기장, 워싱, 가격, 디자인"
9,캣 브러쉬 워시드 버뮤다 데님 쇼츠 (NORMAL BLACK),"사이즈, 바지, 허리, 색감, 배송, 디자인, 워싱, 기장, 가격, 버뮤다"
10,Deep One Tuck Sweat Pants [Grey],"바지, 사이즈, 허리, 기장, 길이, 와이드, 여름, 팬츠, 제로, 처음"
