title,keyword
Deep One Tuck Sweat Shorts [Grey],"편하다, 바지, 여름, 사이즈, 크다, 버뮤다, 길이, 기장, 팬츠, 허리"
바이오워싱 카펜터 버뮤다 데님 팬츠_라이트블루,"사이즈, 허리, 바지, 크다, 버뮤다, 여름, 색감, 편하다, 팬츠, 기장"
데미지 워시드 데님 팬츠-미디엄 블루(Cool Air),"바지, 크다, 여름, 사이즈, 허리, 편하다, 색감, 얇다, 기장, 길이"
Wide Cargo Half Denim Pants - 5COL,"바지, 허리, 사이즈, 맞다, 크다, 여름, 편하다, 색감, 길이, 두껍다"
Deep One Tuck Sweat Shorts [Black],"편하다, 바지, 여름, 사이즈, 두껍다, 제로, 재질, 기장, 버뮤다, 회색"
[쿨탠다드] 세미 와이드 히든 밴딩 슬랙스 [블랙],"시원하다, 여름, 얇다, 사이즈, 와이드, 슬랙스, 편하다, 세미, 맞다, 바지"
버뮤다 와이드 원턱 스웨트 쇼츠 [그레이],"편하다, 사이즈, 여름, 바지, 가격, 얇다, 크다, 버뮤다, 재질, 시원하다"
캣 브러쉬 워시드 버뮤다 데님 쇼츠 (SAND BLUE),"색감, 사이즈, 바지, 허리, 버뮤다, 크다, 배송, 편하다, 작다, 가격"
캣 브러쉬 워시드 버뮤다 데님 쇼츠 (NORMAL BLACK),"사이즈, 바지, 허리, 색감, 작다, 맞다, 워싱, 배송, 크다, 버뮤다"
Deep One Tuck Sweat Pants [Grey],"편하다, 바지, 크다, 사이즈, 와이드, 허리, 길이, 기장, 원하다, 팬츠"
