title,keyword_1,keyword_2,keyword_3,keyword_4,common_keywords_3_plus
[무료반품]베켄바우어 트랙탑 - 인디고_IP0418,"['아디다스', ' 핏', ' 사이즈', ' 색감', ' 져지', ' 가을', ' 크게', ' 디자인', ' 배송', ' 실물']","['사이즈', ' 아디다스', ' 배송', ' 편하다', ' 색감', ' 저지', ' 재질', ' 가을', ' 만족하다', ' 디자인']","['사이즈', ' 아디다스', ' 핏', ' 편하다', ' 배송', ' 색감', ' 만족하다', ' 저지', ' 크다', ' 빠르다']","['사이즈', ' 아디다스', ' 색감', ' 편하다', ' 저지', ' 배송', ' 가을', ' 디자인', ' 빠르다', ' 트랙']"," 색감,  디자인,  가을,  배송,  저지, 사이즈,  편하다,  아디다스"
파이어버드 트랙탑 - 블랙_IJ7058,"['사이즈', ' 핏', ' 배송', ' 아디다스', ' 시보리', ' 편하다', ' 오버핏', ' 져지', ' 디자인', ' 크게']","['사이즈', ' 배송', ' 편하다', ' 아디다스', ' 저지', ' 핏', ' 시보리', ' 크다', ' 적당하다', ' 빠르다']","['사이즈', ' 편하다', ' 배송', ' 핏', ' 아디다스', ' 빠르다', ' 저지', ' 크다', ' 맞다', ' 만족하다']","['사이즈', ' 편하다', ' 배송', ' 아디다스', ' 저지', ' 크다', ' 빠르다', ' 맞다', ' 크게', ' 시보리']"," 시보리, 사이즈,  핏,  편하다,  배송,  아디다스,  저지,  크다,  빠르다"
ASI 포시즌 에센셜 피그먼트 후드집업_차콜 그레이,"['색감', ' 핏', ' 지퍼', ' 배송', ' 사이즈', ' 가격', ' 디자인', ' 오버핏', ' 편하다', ' 후드집업']","['색감', ' 사이즈', ' 지퍼', ' 배송', ' 편하다', ' 가격', ' 핏', ' 디자인', ' 적당하다', ' 무겁다']","['색감', ' 사이즈', ' 배송', ' 핏', ' 편하다', ' 지퍼', ' 후드', ' 가격', ' 디자인', ' 집업']","['색감', ' 사이즈', ' 지퍼', ' 배송', ' 편하다', ' 후드', ' 가격', ' 디자인', ' 집업', ' 빠르다']"," 지퍼, 색감,  가격,  핏,  편하다,  사이즈,  디자인,  배송"
[무료반품]베켄바우어 트랙탑 - 블랙화이트_II5763,"['사이즈', ' 핏', ' 배송', ' 포인트', ' 디자인', ' 투', ' 아디다스', ' 크다', ' 빠르다', ' 저지']","['사이즈', ' 배송', ' 디자인', ' 아디다스', ' 저지', ' 핏', ' 포인트', ' 흔하다', ' 시보리', ' 빠르다']","['사이즈', ' 배송', ' 핏', ' 디자인', ' 빠르다', ' 크다', ' 흰색', ' 흔하다', ' 맞다', ' 편하다']","['사이즈', ' 배송', ' 디자인', ' 빠르다', ' 포인트', ' 크다', ' 아디다스', ' 저지', ' 맞다', ' 흔하다']"," 저지,  크다,  빠르다, 사이즈,  핏,  포인트,  디자인,  배송,  아디다스,  흔하다"
2WAY 스웻 후드 집업 (MELANGE GREY),"['핏', ' 사이즈', ' 지퍼', ' 편하다', ' 후드집업', ' 투', ' 크다', ' 기장', ' 오버핏', ' 레이어드']","['사이즈', ' 지퍼', ' 편하다', ' 핏', ' 적당하다', ' 후드 집업', ' 기장', ' 레이어드', ' 무난', ' 짧다']","['핏', ' 사이즈', ' 편하다', ' 후드', ' 집업', ' 적당하다', ' 짧다', ' 지퍼', ' 기장', ' 크다']","['사이즈', ' 편하다', ' 후드', ' 지퍼', ' 적당하다', ' 집업', ' 크다', ' 짧다', ' 기장', ' 레이어드']"," 크다,  레이어드,  편하다,  기장,  지퍼,  적당하다,  짧다"
[유튜버 PICK]FR-40S 프렌치 워크 5P 자켓_Military Navy,"['사이즈', ' 재킷', ' 크다', ' 핏', ' 디자인', ' 오버핏', ' 편하다', ' 배송', ' 워크다', ' 간절기']","['사이즈', ' 디자인', ' 크다', ' 편하다', ' 만족하다', ' 핏', ' 배송', ' 어울리다', ' 간절기', ' 재킷']","['사이즈', ' 재킷', ' 크다', ' 디자인', ' 편하다', ' 만족하다', ' 핏', ' 배송', ' 버핏', ' 맞다']","['사이즈', ' 크다', ' 재킷', ' 버핏', ' 디자인', ' 편하다', ' 만족하다', ' 간절기', ' 배송', ' 어울리다']"," 재킷,  크다, 사이즈,  간절기,  핏,  편하다,  디자인,  배송,  만족하다"
[쿨탠다드] 릴렉스드 베이식 블레이저 [블랙],"['여름', ' 사이즈', ' 핏', ' 블레이저', ' 얇다', ' 시원하다', ' 가격', ' 배송', ' 가성비', ' 편하다']","['사이즈', ' 여름', ' 시원하다', ' 블레이저', ' 가격', ' 얇다', ' 배송', ' 핏', ' 편하다', ' 가성비']","['여름', ' 시원하다', ' 사이즈', ' 얇다', ' 핏', ' 가격', ' 배송', ' 편하다', ' 맞다', ' 블레이저']","['여름', ' 시원하다', ' 사이즈', ' 얇다', ' 블레이저', ' 가격', ' 가성비', ' 맞다', ' 편하다', ' 배송']","여름,  얇다,  가성비,  가격,  시원하다,  핏,  편하다,  블레이저,  사이즈,  배송"
시어 후드 베스트 블랙,"['얇다', ' 여름', ' 가볍다', ' 사이즈', ' 가격', ' 편하다', ' 재질', ' 티', ' 배송', ' 반팔']","['여름', ' 얇다', ' 사이즈', ' 편하다', ' 가볍다', ' 가격', ' 재질', ' 덥다', ' 배송', ' 걸치다']","['얇다', ' 여름', ' 가볍다', ' 사이즈', ' 편하다', ' 재질', ' 덥다', ' 가격', ' 배송', ' 팔']","['얇다', ' 여름', ' 사이즈', ' 편하다', ' 가볍다', ' 가격', ' 재질', ' 덥다', ' 배송', ' 포인트']","얇다,  배송,  가격,  가볍다,  편하다,  사이즈,  재질,  여름,  덥다"
[SAINT YEAR] 세미 오버 핏 셋업 수트_GREY,"['핏', ' 사이즈', ' 셋업', ' 가격', ' 바지', ' 가성비', ' 얇다', ' 결혼식', ' 맞다', ' 색감']","['사이즈', ' 핏', ' 가격', ' 바지', ' 가성비', ' 적당하다', ' 결혼식', ' 셋업', ' 얇다', ' 색감']","['핏', ' 사이즈', ' 얇다', ' 바지', ' 가격', ' 셋업', ' 맞다', ' 결혼식', ' 가성비', ' 색감']","['사이즈', ' 가격', ' 셋업', ' 얇다', ' 바지', ' 가성비', ' 맞다', ' 결혼식', ' 색감', ' 적당하다']"," 셋업,  색감,  바지,  결혼식,  얇다,  맞다,  가성비,  가격"
MATIN KIM LOGO COATING JUMPER IN BLACK,"['배송', ' 사이즈', ' 핏', ' 얇다', ' 재질', ' 빠르다', ' 디자인', ' 마뗑킴', ' 오버핏', ' 편하다']","['배송', ' 사이즈', ' 재질', ' 디자인', ' 핏', ' 빠르다', ' 얇다', ' 편하다', ' 마뗑킴', ' 만족하다']","['배송', ' 사이즈', ' 재질', ' 얇다', ' 빠르다', ' 핏', ' 디자인', ' 마뗑킴', ' 편하다', ' 맞다']","['배송', ' 사이즈', ' 재질', ' 얇다', ' 빠르다', ' 마뗑킴', ' 디자인', ' 맞다', ' 크다', ' 가을']"," 얇다,  디자인,  핏,  편하다,  마뗑킴,  사이즈,  빠르다,  재질, 배송"
