Review,Star
옷은 이쁜 것 같은데 팔을 못들정도로 치마가 너무 짧아서 투피스로 수선해버렸어요 훨씬좋네요:),4.0
이뻐요 끈조절로 다리짧은 저에게 다리길이를 선물하는 옷! 부담스럽게 딱붙지않아서 좋아요 굳굳,5.0
아놔 핏 에바요 날씬하게 핏되네요 여름 돼서 얼른 입구 싶어용,5.0
뱃살 없는데 바스트랑 힙은 있는 분 추천 드립니다. 키 때문에 주름셔링 많이는 못줄이겠어요. 그래선가 허리라인 살짝 뜨네요. 한치수 줄여서 살걸 그랬네여,4.0
예뻐욤 힙해짐 ㅋㅎㅋㅎㅋㅋ 생일선물로 칭구들이 사줬오요 감사함니다 크리스탈님과 웨스트실버님😄 같이 신을 신발을 사야겠군요 허리를 거의 안 잡아줘서 아쉽지만 5252 와타시는 요정도야 커버쌉가능,5.0
짧다는 후기가 많아서 어느 정도 예상은 했지만 진짜진짜진짜 너무 짧아요ㅜㅜ 앞에서 봤을땐 괜찮은데 뒤에가 너무 짧아서 입고 걸으면 속옷 다 보여요.. 옷 자체는 너무 예쁜데 짧아서 아쉽네요 키 160이상이시면 한사이즈 업하는거 추천드려요,4.0
아놔 핏 에바요 날씬하게 핏되네요 여름 돼서 얼른 입구 싶어용,5.0
뱃살 없는데 바스트랑 힙은 있는 분 추천 드립니다. 키 때문에 주름셔링 많이는 못줄이겠어요. 그래선가 허리라인 살짝 뜨네요. 한치수 줄여서 살걸 그랬네여,4.0
예뻐욤 힙해짐 ㅋㅎㅋㅎㅋㅋ 생일선물로 칭구들이 사줬오요 감사함니다 크리스탈님과 웨스트실버님😄 같이 신을 신발을 사야겠군요 허리를 거의 안 잡아줘서 아쉽지만 5252 와타시는 요정도야 커버쌉가능,5.0
짧다는 후기가 많아서 어느 정도 예상은 했지만 진짜진짜진짜 너무 짧아요ㅜㅜ 앞에서 봤을땐 괜찮은데 뒤에가 너무 짧아서 입고 걸으면 속옷 다 보여요.. 옷 자체는 너무 예쁜데 짧아서 아쉽네요 키 160이상이시면 한사이즈 업하는거 추천드려요,4.0
허리라인이 펑퍼짐한게 아쉽지만 예뻐요 많이 짧습니다ㅠㅠ 트코나 블루종과 매칭이 좋아요,4.0
길이가 짧아서 셔링은 못 하겠어요~~ 저렴해서 가격대비는 무난해요,4.0
너무 마음에 들어요 길이가 좀 짧긴 하지만 스트링 잘 조절해서입으면 돼요,5.0
다 좋은데 생각보다 많이 짧아요ㅠ 키는 158입니두,5.0
