Review,Processed_Review,keyword_1,common_keywords_all,common_keywords_3_plus,Answer
예쁘고 질 좋아요 추천합니다! 무진장 세일때 잘 샀어요,예쁘고 질 좋아요 추천합니다 무진장 세일 때 잘 샀어요,"['세일', ' 질', ' 추천', ' 무진장']",,"무진장, 세일, 추천","질, 추천, 세일"
기본치마입니당 속옷색 주의하면 될거같아여요,기본 치마입니다 속옷 색 주의하면 될 거 같아 요요,"['색', ' 여요', ' 주의', ' 당', ' 속옷', ' 치마']", 속옷,"기본, 속옷, 요요, 주의, 치마","기본, 속옷, 주의"
너무 하얀색아니고 적당한 크림색이라 좋습니다,너무 하얀색 아니고 적당한 크림색이라 좋습니다,"['크림색', ' 하얀색']",,"아니다, 적당하다, 하얀색","적당하다, 크림색"
"매장에서 입어보고
무신사 스토어에서 바로 구매
배송받고 바로 입고
나갔어요
완죤 조아요",매장에서 입어보고 무신사 스토어에서 바로 구매 배송받고 바로 입고 나갔어요 완전 좋아요,"['입어보다', ' 완', ' 배송', ' 죤', ' 물다', ' 스토어', ' 매장']", 물다,"매장, 물다, 받다, 배송, 스토어, 입어보다",배송
크지도 않고 작지도 않고 딱 맞네요. 구김이 두드러지는건 흰색이라 어쩔 수 없는 것 같아요. 어디에나 잘 어울려서 자주 입을 것 같아요.,크지도 않고 작지도 않고 딱 맞네요 구김이 두드러지는 건 흰색이라 어쩔 수 없는 것 같아요 어디에나 잘 어울려서 자주 입을 것 같아요,"['어울림', ' 구김', ' 없다', ' 수', ' 맞다', ' 두드러지다', ' 크다', ' 흰색', ' 어쩔', ' 작다']", 구김,"구김, 두드러지다, 맞다, 어울리다, 어쩔, 없다, 에나, 크다, 흰색","맞다, 구김, 흰색, 어울리다"
사이즈 맞고 핏도 예쁘고 잘샀어요..원단도 탄탄하고 좋아요.,사이즈 맞고 핏도 예쁘고 잘 샀어요 원단도 탄탄하고 좋아요,"['원단', ' 핏', ' 사이즈']", 사이즈,"맞다, 사이즈, 원단, 탄탄하다, 핏","사이즈, 맞다, 핏, 원단, 탄탄하다"
"음...저는 약간 살짝 끼어요.
몸이 불편하진 않은데 보기에는 조금 불편할 수 있을 것 같아서 한 사이즈 더 크게 살 걸 그랬나 생각은 했습니다.
하지만, 색감도 예쁘구요, 신축성이 좀 있어서 편해요. 만족합니다.",음서는 약간 살짝 끼어요 몸이 불편하진 않은데 보기에는 조금 불편할 수 있을 것 같아서 한 사이즈 더 크게 살 걸 그랬나 생각은 했습니다 하지만 색감도 예쁘고요 신축성이 좀 있어서 편해요 만족합니다,"['불편하다', ' 끼다', ' 걸', ' 색감', ' 수', ' 크게', ' 신축성', ' 보기', ' 사이즈', ' 불편', ' 만족하다', ' 편하다', ' 살', ' 그렇다']", 보기,"그렇다, 끼다, 만족하다, 보기, 불편하다, 사이즈, 색감, 신축, 에는, 음서, 크게, 편하다","끼다, 사이즈, 색감, 신축성, 편하다, 만족하다"
"s사이즈는 허리가 작아서 m샀는데 좀 크네용.
여름엔 좀 춥고 봄,가을이 젤 좋을 것 같아요~",s사이즈는 허리가 작아서 m 샀는데 좀 크네요 여름엔 좀 춥고 봄가을이 젤 좋을 것 같아요,"['가을', ' 허리', ' 사이즈', ' 춥다', ' 여름', ' 봄', ' 크다']"," 크다,  허리,  사이즈","사이즈, 여름, 작다, 추다, 크다, 허리","사이즈, 허리, 봄, 가을"
"77반 88에게 타이트하게 맞아요ㅋㅋ 이쁘고 핏하고 시원하지만 계속 숨참고 있어야 한다는 게 단점..ㅎ_ㅎ입니다
그래도 잘 입고 다니고 있어요! 키는 163입니다",반에 타이트하게 맞아요 이쁘고 핏하고 시원하지만 계속 숨 참고 있어야 한다는 게 단점입니다 그래도 잘 입고 다니고 있어요 키는입니다,"['원피스', ' 컬러', ' 핏', ' 속치마', ' 허리라인']",,"단점, 맞다, 시원하다, 참고, 타이트","타이트, 핏하다, 시원하다, 키"
예뻐요 생각했던 핏입니다 이런 스타일 옷 찾고 있었는데 좋아요,예뻐요 생각했던 핏입니다 이런 스타일 옷 찾고 있었는데 좋아요,"['원피스', ' 여성스럽다', ' 허리', ' 만족스럽다소비', ' 라인', ' 어깨', ' 기장']",,"스타일, 이렇다, 찾다, 핏입니","핏, 스타일"
길이가 다른 원피스들에 비해 긴 편이에요. 엄마가 좋아하는 길이ㅋㅋ 그래도 허리 라인 잡혀있어서 예뻐요,길이가 다른 원피스들에 비해 긴 편이에요 엄마가 좋아하는 길이 그래도 허리 라인 잡혀있어서 예뻐요,"['사이즈', ' 기장', ' 핏']",,"길이, 라인, 비다, 엄마, 원피스, 잡히다, 좋아하다, 편이, 허리","길이, 허리, 라인"
여름 내 잘 입었어요 딱 맞게 입고싶어 xs할까 고민하다가 s구입한건데 어깨가 딱 맞더라구요.,여름 내 잘 입었어요 딱 맞게 입고 싶어 xs 할까 고민하다가 s 구입한 건데 어깨가 딱 맞더라고요,"['편하다', ' 벙벙', ' 재질', ' 핏']",,"건데, 고민, 맞다, 어깨","여름, 맞다, xs, s, 어깨"
편하고 좋아여 흰색도 살 예정이에여 라인도 잡아쥼!!,편하고 좋아요 흰색도 살 예정이에요 라인도 잡아쥼,"['말고', ' S사이즈', ' 딱이다', ' 고민', ' 오']",,"라인, 예정, 잡아쥼, 편하다, 흰색","편하다, 라인"
pk원피스는 처음인데 진짜 맘에들어요. 근데 좀 짧긴해요. 아랫배 부각도 있긴있어요. 그래도 이뻐요... 스트레이트 체형이라면 도전하십쇼!!,pk 원피스는 처음인데 진짜 맘에 들어요 근데 좀 짧긴 해요 아랫배 부각도 있긴 있어요 그래도 이뻐요 스트레이트 체형이라면 도전하십쇼,"['편하다', ' 핏']",,"도전, 라면, 부각, 처음","원피스, 짧다, 아랫배, 부각, 스트레이트, 체형"
얇아서 여름에 입기 시원 할 듯.. 허리가 잘록하게 들어 가 있어서 핏되는 게 예쁩니다,얇아서 여름에 입기 시원할 듯 허리가 잘록하게 들어가 있어서 핏되는 게 예쁩니다,"['S사이즈', ' 활동', ' 길이', ' M', ' 반바지']",,"들어가다, 시원하다, 얇다, 여름, 잘록하다, 핏되, 허리","얇다, 여름, 시원하다, 허리, 핏되다"
편하게 휘뚜루마뚜루 입고 다닐 수 있어 좋습니다 진짜 얇아서 시원해요,편하게 휘뚜루마뚜루 입고 다닐 수 있어 좋습니다 진짜 얇아서 시원해요,"['시원', ' 얇다', ' 굿', ' 몸매']",,"시원하다, 얇다, 편하다","편하다, 얇다, 시원하다"
162/52 하비인데 S사이즈 딱 좋아요. 핏 예뻐서 손이 자주 가요. 다만 얇아서 비치는감이 있어 속치마 꼭 입어줍니다.,하비인데 S사이즈 딱 좋아요 핏 예뻐서 손이 자주 가요 다만 얇아서 비치는 감이 있어 속치마 꼭 입어줍니다,"['시원', ' 선물', ' 여자친구']",,"가요, 비치다, 사이즈, 손, 얇다, 줍다, 치마, 하비","하비, 사이즈, 핏, 얇다, 비치다, 속치마"
