Review,keyword
이뻐요 최고 꾸미고 나갈 때 진짜 자주 입음 무난꾸안꾸,"최고, 꾸다 꾸다, 꾸미다"
딸아이가 맘에들어합니다 초반에 킬로 딱맞습니다 기본디자인이고 만듬세 좋아요 가격대비 훌륭,"디자인, 가격 대비, 만듬세, 킬로, 초반, 훌륭, 딸아이, 맞다"
생각보다 짧아서 당황했지만 두께감 적당하고 허리 들뜸 없어서 너무 좋아요 ,"적당하다, 허리, 없다, 들뜨다, 두께, 당황, 짧다"
허리는 맞는데 골반이 너무 껴요 길이는 딱 좋은데 입고벗기 불편해요,"허리, 불편하다, 골반, 길이, 벗기다, 맞다, 끼다"
오랜만에 짧은청치마 원하던스타일이에요 날씨가 따뜻해서 외출복으로 픽했어요,"원하다 스타일, 날씨, 픽했어, 짧다 청 치마, 외출 복, 따뜻하다"
제가 원하던 디자인이라 너무 맘에들어요 흑청치마 사고싶어서 웬만한데 다 뒤졌는데 이게 젤 예쁨미다 다만 s인데 허리가 많이커요 그래도 위에 큰 후드나 맨투맨입으면 신경안쓰이는데 크롭이랑 같이 입으려면 줄여야할듯 헐렁해보여요 ,"헐렁하다 보이다, 투맨, 청 치마, 신경안 쓰이다, 크롭, 디자인, 원하다, 허리"
키가 좀 커서 짧을까봐 걱정했는데 그렇게 짧진 않았어요 옷도 이뻐서 잘입고 다닐것 같아요 ,"커서, 키, 짧다, 짧다"
예뻐용 근데 이거 허리 진짜 커서 줄여서 입어야할 것 같아여,"줄, 커서, 허리, 야하다"
길이도 적당하고 재질이랑 핏도 너무 좋은 것 같아요 ,"적당하다, 재질, 길이, 핏"
무신사 스탠다드 치마 맛집 루다가 하는 부분입니다,"부분, 물다, 루다, 스탠다드, 치마, 맛집"
기장이 딱 예뻐요 다른 쇼핑몰 기본 데님치마보다 싸기두 하고요,"데님 치마, 쇼핑몰, 싸다, 기장, 기본"
생각보다 허리가 엄청 큽니다 저 수선집 아주머니가 인치라고 하셨어요 저는 수선 맡겼는데 많이 줄여야 해서 돈 더 나왔어요 천원 달라고 하셨어요 저 허리 얇은 편 아니고 보통인데 이 옷이 크게 나옵니다 만하게 보시면 안돼요 ,"아주머니, 나오다, 아니다, 크다, 인치, 선집, 보시, 허리"
예 뻐 요 존예탱구리 잘입겠습니다 허리 잘 맞고 색감 생각한 흑청색깔이에요 여름에 진작 살 걸 그랬네 싶습니다 반팔이랑 입어도 예쁠 것 같아요,"팔이, 진작, 허리, 여름, 색감, 청 색깔, 존예 구리"
핏은 정핏으로 예쁩니다 데일리룩으로 잘 활용할거같아여,"일리, 핏, 정핏, 활용"
무난한 디자인이라 아무데나 매칭해서 편하게 입으려고 구매했어요 바지 입는데 M사이즈는 살짝 큰편입니다 그래도 입을만한 크기에요 검정이라 아무데나 입기 좋아서 활용도 좋아요 ,"매칭, 크다 편입, 사이즈, 디자인, 검정"
허리가 좀 커요 대신 키가 큰 편인데 기장감도 적당하고 힙도 너무 불편하지 않고 딱 맞습니다 색깔은 말 그대로 딱 워시드 블랙이라 여기저기 캐주얼하게 매치하기 좋을거같아요 ,"여기저기, 캐 주얼, 불편하다, 매치, 적당하다, 크다, 블랙, 기장 감다, 허리, 키"
허리 입는데 조금 커요 품도 조금 너무 커서 잘 안 입게 됨,"커서, 크다, 허리, 품다"
사진이랑 똑같아요 아무 옷이랑 입어도 잘 어울려서 잘 입고 있어요 ,"어울리다, 사진, 똑같다"
xs살 걸 그랬어요 밑단 단면 사이즈가 아쉽네요 살짝 벙한 느낌이에요,"살, 벙하다, 사이즈, 아쉽다, 밑단, 그렇다, 단면"
