Review,keyword
저희 아들 센티에 kg 한테 입힐려고 주문했는데 넘 늦게 왔네요 취업땜에 지방가서 담주나 되야 입을수 있을듯요 아쉬운데로 제가 착용해봤어요 루즈하니 나쁘지 않은데요 스타일리쉬해보이고 남친룩으로 좋아요 ,"입히다, 남친, 방가, 루즈, 센티, 담다, 아들"
사이즈도 좋고 재질도 좋은데 지퍼가 좀 아쉬워요,"재질, 사이즈, 지퍼, 아쉽다"
원하던 후드집업을 찾았오요 색감도 너무 예쁘고 기장감도 마음에 듭니다 ,"후드 집업, 기장 감다, 듭니, 원하다, 색감, 찾다"
스타일은 잘 잡았지만 얇은게 단점 그리고 지퍼가 스무스하게 내려가진 않음 그래도 이뻐서 자주 입을 듯 합니다 ,"내려가다, 지퍼, 스타일, 스, 단점"
실물이 더 예쁘네요 제가 원하던 피그먼트 후드집업입니다 ,"후드 집업, 피그먼트, 실물, 원하다"
원단 자체도 탄하고 그냥 막 입어도 엄청 이뻐욤 적당한 오버핏이고 과하지 않아 좋습니당 맘애 들어서 그레이도 주문 했는데 블랙도 있었으면 좋겠어욤,"적당하다, 들어서다, 자체, 탄하, 블랙, 그레이, 맘애"
워싱감이 돋보이는 제품으로 가격대비 질감은 괜찮습니다 하지만 후드 각은 잘잡히지않고 지퍼퀄이 좀 아쉽습니다,"워싱감, 가격 대비, 지퍼 퀄, 질감, 제품, 후드, 잡히다, 아쉽다"
가격대비 퀄리티가 매우 좋은것 같습니다 잘 입고 다닐게요,"퀄리티, 가격 대비"
오버핏이 정말 예술 생각보다 얇아서 저녁에 걸치고 나가도 덥지 않습니다 르세라핌된기분,"걸, 덥다, 저녁, 예술, 얇다, 르 세라핌 되다 기분"
비슷한옷 벌은되지만 피그먼트 느낌 적당하고 소매절개 디테일도 포인트로 예뻐요 후드 무겁다는분 많아서 고민했는데 그래서 주저앉지않고 전 오히려 살아있어서 좋으네요 한여름빼고 이너로 아우터로 교복템 될듯합니다 다른색도 구매예정입니다 ,"적당하다, 아우 터, 피그먼트, 디테 일도, 포인트, 무겁다 분, 소매 절개, 색도"
디자인 워싱이 처리된 후드집업이에요 그래서 블랙 그레이의 오묘한 느낌이 같이 돌아서 막입기 좋아요 유행타지않고 입기 좋은 느낌이에요 핏 오버핏이라서 평소 추구하는 이미지의 사이즈보다 한 사이즈 작게가도 충분히 예쁘게 입으실 수 있을 것 같아요 Yk 투웨이 지퍼라서 어떻게든 매치하기 좋은 느낌이에요 진짜 추천합니다 ,"이미지, 매치, 추천, 후드 집업, 막, 충분하다, 사이즈, 오묘하다, 사이즈"
원단워싱해서 그런지 칼라가 빈티지 스럽고 예뻐요 두께감도 간절기에 휘뚜르마뚜르 막 입기 좋고 적당한 오버핏도 마음에 듭니다 배송좀 늦은거 빼고는 다 좋아요 ,"워싱, 간절, 그렇다, 듭니, 적당하다, 스럽다, 배송, 빈티"
색감이 예쁘게 잘 나와서 봄 가을에 자주 입을 거 같아요,"색감, 나오다, 가을"
마음에 들어서 회색이랑 차콜색 두개 샀습니다 키 cm 기준으로 엉덩이 위까지 오는 기장감이고 하단부분 지퍼를 올릴수 있어서 좋습니다 적당한 길이감에 소매가 길어서 좋고 가볍지 많고 후드도 크고 탄합니다 ,"기장, 엉덩이, 적당하다, 가볍다, 길이, 소매, 들어서다"
피그먼트 후드집업은 처음 시켜보는데 디테일이랑 피그먼트 특유의 느낌이 진짜 좋네요 편하게 입고 나가면 범죄자같다고 친구들이 놀리지만 좀 깔끔하게 입으면 너무 이뻐서 맘에 듭니다 자주 입고 다닐 거 같아요 ,"후드 집 업다, 피그먼트, 친구, 디테 일이, 듭니, 놀리다"
힙한 무드 나와서 좋습니다 시보리가 좀 약하긴 하지만 저는 개의치 않아서 상관없네요,"개 의치, 나오다, 보리, 힙, 무드, 약하다"
여유있는 핏감에 옷핏 나쁘지않습니다 아쉬운건 원단이 탄하지가 않아 후드모양이 각이 안잡혀서 이쁘지가 않네요 ,"잡히다, 원단, 핏감, 옷핏, 여유"
사이즈는 딱 적당하고 약간 무게감 있는편이고 빈티지한 피그먼트 워싱감이 아주 좋습니다 이 가격에 이정도 퀄리티라 만족합니다 ,"만족하다, 적당하다, 빈티, 사이즈, 워싱감, 이정, 피그먼트, 퀄리티, 무게, 가격"
기대했던 핏은 아니지만 옷 자체는 예뻐요 색깔도 맘에 들고요,"아니다, 자체, 핏, 색깔, 기대하다"
다른 집업이랑 고민했었는데 요거 사길 잘한것같아요 옷 넘 예쁘고 맘에들어요 옷이 탄해서 루즈해보이는데 모양이 잡혀있어요,"집업, 루즈, 잡히다"
진짜 어떤바지에 입어도 잘 어울림 젤 잘입고다니는중,"중, 어울림, 바지"
저는 일 걸렸는데 최근 좋은 가격때의 배송이슈 치고는 빨리 받은것 같네요 안전배송에 감사드리고 제품 상태도 좋은 편이였어요 정사이즈에 가깝고 간절기 레이어드하기 좋은 아이템이라 만족합니다 ,"만족하다, 레이어 드하, 간절, 안전 배송, 정사 이즈, 배송 이슈, 감사 드리다, 아이템"
사진보다 조오금 연해요 많이 두껍지도 얇지도 않아서 찐봄이나 초가을쯤에 잘 입고 다닐 것 같아요,"연해, 사진, 오금, 초가을, 찌다 봄, 얇다"
예액배송이라 배송이 늦게온게 아쉬워요 벌써 더워져서 많이 못입을거같아요 그래도 옷이 색도 빈티지한게 이쁘고 크게나와서 오히려 좋았어요,"벌써, 빈티, 크게 나오다, 배송, 더워지다"
챠콜 후드집업 찾으시는 분들 중에서 이거보다 이쁜 가 찾기 힘드실겁니다 너무 이뻐요 ,"후드 집업, 힘들다 겁니다, 중, 챠콜, 찾다, 찾기"
중딩 딸이 픽해서 사줬어요 예약구매로 일 이후에 출고 된다 하였는데 빨리 입고가 되었는지 생각보다 배송이 무척 빨랐어요 진한 다크그레이 컬러에 물빠진 워싱이 자연스럽고 이후에 물이빠져도 더 빈티지하고 이쁠거 같구요 생각보다 무게감이 있고 도톰해요 오버사이즈로 샀는데 맘에들어요 ,"자연스럽다, 오버 사이즈, 빈티 지하, 배송, 픽해, 도톰하다, 무척"
일교차가 큰 요즘에도 아침저녁으로 잘 입고 있습니다 암홀이 깊어서 살짝 가오리핏인가 싶기도 한데 그냥 뭐 괜찮구요 다만 신경쓰이는건 세탁을 번이나 했는데 뭔가 이 옷에서 나는 특유의 냄새가 안빠지네요 세탁 번에도 처음 컨디션 그대로 유지하는건 대 만족 ,"신경 쓰이다, 유지, 아침 저녁, 교차, 컨디션, 번, 뭔가, 번, 만족"
쿠폰으로 저렴하게 구매했어요 만족합니당 조아요,"만족하다, 저렴하다, 쿠폰"
이런 스타일 후드 하나 사고 싶었는데 지금부터 가볍게 걸쳐서 입기 좋은 후드 입니다 지퍼 양방향도 좋습니다 새 옷 냄새도 없고 여기저기 잘 어울릴 것 같아요 m 사이즈 사서 작으면 다른 사람 주려고 했는데 적당한 것 같습니다 소재는 좀 무거운 편이며 핏 예쁩니다 배송은 세일때 사서 그런가 좀 느린 편이에요 ,"걸치다, 여기저기, 적당하다, 어울리다, 배송, 무겁다, 사이즈, 지퍼, 지금, 스타일"
L 사이즈 치고 작게 나온 편입니다 키 크신 분들한테는 짧을 거 같아요,"분 늘다, 사이즈, 편입, 나오다, 크다, 작다, 짧다"
느낌 좋네요 모자가 너무 힘 없이 떨어지는감이 있긴한데 개의친 않아요 ,"개 친, 모자, 떨어지다"
빈티지한 느낌에 사이즈도 딱맞아서 아주 맘에 듭니다,"사이즈, 빈티, 듭니, 맞다"
색감이 마음에 들어서 주문했는데 딱 화면에서 보던 느낌 그대로의 옷이네요 겉으로 입나 안으로 입나 여기저기 입기 좋을꺼같아요 너무 맘에드네요,"에드, 색감, 여기저기, 들어서다, 화면, 그대로"
이거 정말 예쁘고 디자인도 좋아요 배송도 빠르고 색감도 좋았습니다 사이즈도 딱 알맞게 산거 같아요 ,"사이즈, 디자인, 배송, 색감"
색깔 이쁘고 핏 오버하게 헐렁하게 이쁜 후드입니다 두텁고 무거워서 봄 가을에 입는게 낫고 여름이라면 밤에 편의점 갈 때 반바지랑 입으면 입어질 것 같습니다 품이 오버해서 이너를 따뜻하게 입으면 초겨울에도 입어지 않을까 싶을 정도로 두텁습니다 ,"두텁다, 오버, 편의점, 두텁다, 헐렁하다, 무거워"
색감이 이뻐서 샀는데 기름냄새때문에 세탁기돌리니 색가임 더 빠졌어요 ,"색감, 색, 세탁기 돌리다, 빠지다, 기름 냄새 때문"
옷은 상당히 이쁜데 마감처리가 아쉽네요 핏은좋아요,"마감 처리, 상당하다, 핏, 아쉽다"
올해 제일 잘산템임 진짜 원단도 짱하고 세탁기 막돌려도 걱정이 안될정도로 너무좋음 가을에도 잘입을듯 ,"걱정, 막 돌리다, 가을, 잘살다 템임, 올해, 세탁기, 원단, 제일, 짱하다"
생각보다 너무너무너무 마음에 들고요 샀던 후드집업중에 제일 맘에 들어요 빈티지한 느낌도 있고 어디다가 걸치든 너무 예쁘고 잘어울려요 배송이 늦은건 조금 아쉬웠지만 예뻐서 용서됩니당,"어울리다, 걸치다, 후드 집업, 배송, 다가, 빈티"
 입기에 좀 크긴 했는데 오버핏으로 입기 딱 좋아요 엉덩이 가려지는 정도 이거 입으면 순간 내가 밤양갱이 되는 기분 ,"엉덩이, 가려지다, 크다, 기분, 순간"
워싱된 후드 집업 사고 싶었는데 좋은가격에 잘구매했습니다 핏 좋구요 무게감이 살짝있어서 쌀한 초봄가을에 입기 좋을듯 합니다 지퍼가 생각보다 뻣해서 아쉽네요 ,"무게, 초, 후드, 집업, 지퍼, 사고, 쌀"
집업도 너무 이쁘다 전 줄빼고 입었습니다 나이가 있어서 ,"집 업도, 나이, 줄 빼다"
날씨가 더워져서 좀 늦게 산 감이 있지만 밤산책용으로 잘입고 있어요 마감 좋다는 후기를 봤는데 제옷은 별로였어요 다른 후기들처럼 지퍼도 잘 안올라가요 하지만 가격이 저렴해서 만족합니다 ,"날씨, 밤 산책, 올라가다, 후기, 만족하다, 더워지다, 저렴하다, 가격, 마감"
키가 작아서 팔은 좀 길지만 오버핏이 딱 원하던 느낌이라 좋네요 ,"길, 원하다, 키, 작다, 팔, 오버핏"
