Review,keyword
"허리가 커요
뭔가 알 수 없지만 시크하고 세쿠시하고 좋아요
내 pose 때문일지도..","때문, 일지, 없다, 시크, 하고, 세쿠시, 크다, 뭔가, 허리"
편안하고 가격도 저렴해서 너무좋아용 자주입을듯 ㅎ,"저렴하다, 편안하다, 가격"
바지 길이 제가 원하던 길이에요! 두께도 지금 날씨에 입기 좋은 두께 이구요 핏 짱이에요!!,"두께, 짱, 이에요, 날씨, 원하다, 길이, 지금, 이구"
잘입고 입습니다. 운동할때도 좋아요. 한여름에는 입기 힘들거 같아요.,"여름, 에는, 운동, 힘들다"
"너무 편해서 맨날 입고 댕김
집앞 슈퍼 나갈 때 입어도 편하고
꾸안꾸로 입고 나갈 때도 좋음^.^*","편하다, 꾸안꾸, 맨날"
루룰루룰룰루랄라랄 즐거운 산책 모르는게 상책~~,"루룰, 루루, 랄, 모르다, 즐겁다, 산책, 라랄, 상책"
너무 편하고 스타일 코디도 쉽게 할수있어요 너무 마음에 들어요,"편하다, 코, 디도, 스타일, 쉬다"
가성비 갑 스웨팬츠 고민되시면 바로 구매하세요,"고민, 되다, 팬츠, 가성비, 스웨"
"여자친구 사줬는데 저보다 잘어울리네요ㅎ
가을에도 제로에서 바지 사야겠러요","사주다, 바지, 어울리다, 제로, 가을, 여자친구"
전 딱 7부 핏으로 잘 떨어지고 너무 편해서 많이 입었어요!!,"편하다, 핏, 떨어지다, 많이"
"반바지를 잘 안입는데..이거 무슨 교복인가요
맨날 입게 된다구요!!!! 킹아","되다, 킹, 인가요, 반바지, 맨날, 교복"
저렇게 위에 오버핏이랑 입으면 이쁩니다 바지가 이쁘네여,"오버핏, 이랑, 쁘네, 저렇게, 위, 바지"
일본 여행 가서 예쀼게 입었숩니당 사이즈도 넉넉하고 조아여ㅋ,"입었숩, 예쀼, 가다, 사이즈, 여행, 일본"
운동 할때 입으려고 샀는데 편하고 무엇보다 이뻐요,"편하다, 운동"
너무 편하고 이뻐요 데일리템입니다! 꼭 다들 사시고 입으셨으면 좋겠습니다!,"편하다, 데일리, 사시"
길이랑 핏에 비해 허리고무줄이 짱짱한 느낌이에요 제 뱃살때문같아요 마음에 들어요~.~,"이에요, 비다, 고무줄, 핏, 길이, 뱃살, 허리"
"생각보다 길이가 많이 길어요. 그리고 핏이 예쁘려면 특정 자세를 취해야 하고, 그냥 일자로 서있으면 항아리 같은 핏이 나와요 (2번째 사진처럼) 두께가 많이 두꺼운 데다가 검은색이라 지금 입어도 덥긴 합니다.","검은색, 사진, 처럼, 덥다, 자세, 길이, 두껍다"
"- 회색 잘 입고 있고 검정색도 한 번 사봤습니다.
- 재구매하면서 다른 사이즈 구매해봤는데 확실히 차이가 있네요.
- 참고하시라고 같은 자세 비슷한 코디로 올려봅니다ㅎㅎ
- 검정은 미디움, 회색은 라지입니다ㅎㅎ","검정색, 회색, 검정, 사보다, 재다, 해봤다, 사이즈"
"162/48 통은 마음에 드는데
길이는 조금 길어서 수선 맡겼어요!
휘뚜루마뚜루 입기 좋아요!","맡기다, 통, 휘뚜루, 뚜루, 길이"
헬스하시는 분들은 장만하시면 아주 요긴하게 사용하실것 같아요.,"요긴, 헬스, 분, 장만, 사용"
"따악 제가 원하던 기장의 바지에여
넘넘 맘에 듭니댱 히히

무릎 밑으로 살짝 내려와서
편하게 입기 좋은 바지에오

핀턱있어서 귀여워요","귀엽다, 편하다, 내려오다, 밑, 바지, 원하다, 듭"
여기 브랜드 바지 네번째 구매에요 너무 좋아요 최고,"바지, 번째, 브랜드, 최고"
"친구한테 회색 빼앗기고 검정색으로 살아남았는데
이럴수가!! 내 진정한 사랑은 검정이었습니다,,
길이는 무릎을 슬쩍슬쩍 덮을까~~? 말까! 하는 밀당 길이입니다. 길이조차 완벽하다고 할 수 있죠^-^
그 어떤 티를 입든 조용히 받쳐주고 소화시켜주는 아리따운 아이입니다!! 제가 대통령이 된다면 국민 여러분께 한 장씩 드리고 싶을 정도로!! 공익을 위해!! 소중한 아이템 공개하는!! 그런 수고를 하더라도 모두에게 이 바지를 알리고 싶은!!
예쁜 바지라는 말입니다
샐깔은 그냥 엄청난 검정입니다. 그렇지만 완벽한 사이즈! 완벽한 길이! 완벽한 디자인! 무난하게 하나 갖고 있으면 계속 손이가는 새우깡 느낌의 바지입니다. 그냥 구매하셨으면 좋겠네요","께, 검정, 사랑, 소중하다, 검정색, 길이, 위해, 갖다"
나쁘지않고 무난무난하게 입을수있는아이템입니닷,"아이템, 닷, 나쁘다"
퀄리티 괜찮고 가격도 좋고 여름까지 입을수 있을거 같아서 좋아요! 흔한 느낌도 없어서 더 좋네용,"없다, 여름"
생각했던 것 보다 오버핏이고 두께감 있는 원단이라 좋아요..!,"오버핏, 이고, 원단, 두께감"
"딱 제가 원하던 스타일의 스웻팬츠 입니다. 무릎에 걸치는 기장에 원턱, 바지색과 동일한 색상의 스트링! 옷 너무 이뻐요!!","바지, 색, 스타일, 기장, 색상, 무릎, 걸치다, 원하다"
싸게 잘샀어요 가성비 좋아요 막 입고 다니기도 편하고 좋아요,"편하다, 싸다, 기도, 가성비"
너무 예뻐요 넘 편하고~ 기장도 너무 적당!! 잘입을듯,"편하다, 적당, 기장"
ㅎㅎ 이뻐여 사이즈 딱 좋고 근데 한번 빨고 나니까 색감이 조금 빠졌어여,"빠지다, 근데, 색감, 사이즈"
바지가 편해서 운동할때 자주 입게되네요 추천드립니다,"편하다, 드리다, 되다, 운동, 바지, 추천"
"귀여우니까 다들 당장 사시길
빨리빨리 체고 짱짱","빨리, 귀, 여우, 체고, 사시"
넉넉하고 편해서 좋아요 시원해서 여름에도 입을꺼같아요,"시원하다, 편하다, 여름"
"여자친구가 싫어해요
하지만 전 좋아요
헤히호후","싫어하다, 헤히호후, 여자친구"
"바지 질도 좋고 두껍고 길이도 좋아유 ㅠㅠ
여름에 입기 하나도 안부담","여름, 두껍다, 바지, 하나, 길이, 부담, 질도"
야무지게 입을 수 있는 기본템으로 충분한듯합니다,"야무지다, 충분하다"
완전 오버한 느낌의 반바지를 원한다면 이거 추천 드립니다..,"반바지, 오버, 드리다, 원하다, 추천"
역시 스웻팬츠류는 제로가 짱이네요 요즘 매일 입게되네요:),"스웻팬츠류, 짱, 되다, 제로, 매일"
헬스를 좋아해서 버뮤다 팬츠 많이 사입는데 벌써 제로에서만 4번째 구매네요 항상 믿고 사는 제로 :),"제로, 에서만, 사, 좋아하다, 믿다, 번째, 항상, 많이, 벌써"
원하던 오버핏이구요~~면도 좋고 허리고무줄밴딩도 완전 편해요 배송도 빠르구요,"오버핏, 구, 요면, 편하다, 원하다, 고무줄, 빠르다, 배송, 밴딩, 허리"
귀여워요!!!😍😍 그리고 긴 양말에 신으면 더 귀여운느낌?? 이 나용 만족합니당,"귀엽다, 만족하다, 신다, 양말"
처음 입어보고 너무 커서 별로라고 생각했는데 입다보니까 편하고 예뻐요!! 근데 생각보다 통이 많이 넓어서 s를 사도 됐었을듯 해요. 질도 좋고 면도 좋아서 자주 입을것 같아요! 길이는 무릎을 살짝 가릴듯 말듯 합니다~~~~,"무릎, 면도, 넓다, 커서, 길이, 입어보다, 많이"
