Review,keyword
일단 배송 빨리해주셔서 감사드려요 아이보리 넘나 맘에들어서 블래도 구매했네요 날 풀리면 잘입어질거 같아요 ,"들어서다, 감사 드리다, 아이보리, 배송, 블래, 넘다, 풀리다, 해주다"
와 진짜 핏이 너무 좋아서 사진만 분 찍었어요 학생이라 다소 부담스러운 가격이었는데 정말 만족합니다 마뗑킴 사랑해요 이쁜 옷 많이 내주세요 ,"만족하다, 사랑, 사진, 학생, 내주다, 부담스럽다"
남자가 입기에는 작이서 레이어드해서 입어야돼요 근데 코디만 잘 하면 너무너무 이뻐요 비닐같으면서도 싸구려 바스락거리는 비닐도 아닌게 묘하게 매력있어요 솔직히 가격만큼의 퀄리티는 아닌데 마뗑킴 로고 감성과 핏이 트랜드를 잘 아는거같아요 지퍼가 잘 안되는데 잘 푸는 요령만 터득하면 잘되요 샀는데 딱 날씨가 풀려서 기분이 좋아요 결론은 대 만족,"바스락 거리, 터득, 감성, 레이어 드, 가격, 코디, 비닐, 아니다"
예쁜데 냄새가 너무 심해서 놀랬어요 유행 지나서 살까말까 했는데 예뻐요 컬리티는 그냥 그래요 따뜻해지면 더 예쁠듯 ,"컬리 티, 심하다, 유행, 냄새, 그렇다, 지나다"
생각보다 두께랑 사이즈 널해서 놀랏네여 자주입을거같아요,"널, 사이즈, 주입, 두께, 놀랏네"
예뻐요 감사합니다 시큼한 냄새가 나긴해여 입고되서 바로 삿습미다,"나다, 시큼하다, 냄새, 서다, 삿습미"
와이프 선물로 사줬어요 후기는 제가 쓰네요 남녀공용이라 다 잘어울리는것같아요 ,"남녀 공용, 선물, 와이프, 후기, 쓰다, 어울리다, 사주다"
요새 마며들어서 마뗑킴에 스며들어서 마뗑킴 코팅점퍼도 구매했오용 겉으로 보면 레더 점퍼처럼 보이는데 유광 느낌의 얇은 바스락 점퍼입미다 얇아서 오히려 가볍고 힙하고 편해용 번창하세용 ,"번창, 코팅 점퍼, 편하다, 점퍼 밉다, 스며들다, 마 들어서다, 점퍼, 유광, 힙"
남자가 입어도 충분한 사이즈네요 할인받아서 저렴하게 잘 구매했네요,"저렴하다, 사이즈, 충분하다, 남자, 할인 받다"
일단 빠른배송 감사드려요 생각보다 빨리왔더라구요 아이보리 입고 만족스러워서 블랙도 주문했네요 날풀리면 잘 입어질거같아요,"만족스럽다, 아이보리, 날 풀리다, 감사 드리다, 블랙, 주문"
공용사이즈라 너무 클까봐 고민 소재가 비닐 스러울까봐 한참 망설이다가 디자인이 너무 마음에 들어 결국 구해했는데 실물 받아보고 역시 마뗑킴 너무 예쁘네요 요즘은 오버핏으로 입잖아요 너무 과하지않고 저한테는 잘맞네요 마흔 넘은 아주미 한테도 잘어울리는것 같아요 ,"망설이다, 밉다, 마흔, 공용 사이즈, 실물, 디자인, 테, 소재"
정말 잘입은 점퍼입니다 너무 잘입엇어요 근데 같은 옷 명이 함께입고 여행왔어요 요즘 국민템인듯합니다 그래도 이뻐요,"점퍼, 명, 잘입엇어"
봄되면 오래걸릴까봐 월되기전에 구매했어요 요즘 진짜 잘입고 체크셔츠랑 레이어드해주면 진짜 예쁨 스트링조여도 예쁘고 클로징해도 오픈해도 반만오픈해도 예쁨 요즘 교복처럼입고다니는데 개인적으로는 반바지에 무심한듯 입어주는게 진짜 예쁩니댜 진짜 잘산템 일단 간지남 ,"교복, 개인, 오픈 해도, 레이어 드 해주다, 스트 링 조여, 크다 징 해도, 오픈, 반바지"
요즘 대세답게 힙하고 이뻐요 오버핏이고 크기는한데 스트링이 있어서 사이즈 조절이 가능해서 마음에 들어요 가볍고 편해요 뒤에 마뗑킴로고가 별거 아닌거 같은데 너무 이뻐요,"크기 늘다, 가능하다, 스트링, 아니다, 편하다, 조절, 대다, 별거, 사이즈"
재질이 글로시한데 너무 번뜩이지도 않은 적당히 글로시한 느낌 ,"시한, 적당하다, 재질, 번뜩이다"
