Review,keyword
가성비가 좋고 디자인이 예뻐요 유행없이 입을수 있어요 ,"가성비, 디자인, 유행"
진짜 완전 이뻐요 핏도 완전 이쁘고 사이즈도 괜찮구 제 최애 티,"사이즈, 핏, 최애"
옷 가볍고 목 부근이 튼한 거 같아서 좋아요 디자인도 심플해서 입기 좋은 것 같습니다,"심플, 가볍다, 디자인, 부근, 틀다"
날씨가 갑자기 더워져서 구매 했는데 역시 디자인 최고네여,"날씨, 더워지다, 갑자기, 디자인, 최고"
운동할때 입을려고 삿어요 그냥저냥 입기 좋은 핏입니다 ,"운동, 삿어, 핏입니"
핏이랑 디자인 다 넘 맘에 들어요 재질도 여러번 빨았는데도 짱하고 프린팅도 선명해요 그냥 휘뚜루마뚜루 입을 수있어서 손이 자주가는 옷입니다 ,"선명하다, 디자인, 재질, 가다, 프린팅, 번, 손"
재질도 좋고 깔끔해서 무난하게 잘 입을 수 있을 것 같아요,"재질, 깔끔하다"
착용감 좋고 짅자 무슨 색깔 입지 고민하다가 검정으로 삿어용 생각보다 맘에들고 다른색으로 하나 더 살까 고민즁 이애여 ,"검정, 색, 고민, 고민 즁, 이애, 착용, 입지"
아들이 입고싶다고 해서 주문했는데 맘에 들어하네요 여름 면티치고 좀 도톰한 편이고 스판끼가 좀 있는 느낌이예요 폴리가 조금 섞여있어으면 하는 바램이 드네요 ,"면티, 바램, 아들, 도톰하다, 편이"
배송 빠르게왔습니다 재질 디자인 마음에 들어요 ,"디자인, 배송, 재질, 빠르다 오다"
아니 일단 포장부터 브 로고 너무 이쁘고 내 스펙에 s 가 진짜 찰떡 스투시 하위호환 가태요,"스 투시, 포장, 스펙, 가다 태, 아니다, 로고, 하위호환, 찰떡"
총기장이 길어도 m사이즈핏이 예뻐요 프린트도 선명하니 깔끔하고 면이 좋아서 세탁 후에도 걱정없겠어요 선물용으로 구매했다가 예뻐서 제가 입습니다 ,"선명하다, 총기, 선물, 프린트, 세탁, 후"
역시 한국의 스투시 등판 그래픽 기가막히고 원단도 얇지만 탄하니 좋습니다,"막히다, 한국, 그래픽, 스 투시, 탄하, 등판, 원단, 얇다"
배송 빨라요 그리고 너무 이뻐요 근데 길이가 조금 길어요 ,"길이, 배송, 빨르다"
재질도 좋고 깔끔해서 무난하게 잘 입을 수 있을 것 같아요 널한 핏이여서 여름에 입기 좋은 반팔이에요,"팔이, 널, 재질, 여름, 핏이"
생각한데로 업청 편하고 오버핏으로 한사이즈 크게 샀는데 좋습니다 ,"업청, 편하다, 사이즈, 크게, 오버핏"
넉해요 비침 없어요 두께 적당해요 디자인 맘에 들어요 ,"적당하다, 넉, 디자인, 비치다, 없다, 두께"
선물줄려고 주문했어요 생일날 맞춰서 배송도 빠르게 왔고 오버핏으로 사이즈도 잘맞을거같아요 면이 좋아요 프린트도 선명하고 깔끔해서 여름에 잘입겠어요 ,"선명하다, 선물 줄다, 사이즈, 생일 날, 배송, 프린트, 여름, 주문, 오버핏"
역시 한국의 스투시 그래픽 기가막히고 원단도 탄하니 좋습니다,"막히다, 한국, 탄하, 원단, 그래픽, 스 투시"
예뻐요 해외여행시갈때 편하게 레깅스랑 티만 입고 갔는데 티가 멋스러워서 꾸안 스트로 편하게 다녀왔러요,"레깅스, 편하다, 스트로, 티, 티, 해외여행 시 갈다, 멋 스럽다, 다녀오다"
옷이 엄청 이쁘고 편하게 입기 좋아요 살까말까 고민중이면 사세요,"민중, 편하다, 살 까맣다"
깔끔하고 좋습니다 쿠폰적용해서 저렴하게 구매했네요 ,"쿠폰 용하다, 저렴하다, 깔끔하다"
배송도 빠르고 옷 뒤가 너무 이뻐서 마음에 들어요 근데 조금 길어요ᅲ,"배송, 빠르다, 뒤"
운동할때 입으려고 샀는데 색깔도 선명하고 핏도 잘 맞고 여러모로 합리적으로 잘 산거 같아요 맨들맨들한 면 반팔티 입니다 여러가지로 모으고 싶네요 ,"선명하다, 여러가지, 맨 맨, 모로, 합리, 모으다, 티"
길이가 좀 길어서 엉덩이를 덮고도 남아요 재질은 좋아요,"엉덩이, 재질, 길이, 남아, 덮다"
단독으로만 입어도 좋고 얇은 셔츠에 레이어드해서 입어도 좋습니다 등쪽 프린팅이 커서 포인트되는것도 예뻐욥 오버핏 좋아해서 크게샀어요 엉덩이 다덮고 살짝 더 내려감 ,"엉덩이, 프린팅, 레이어 드, 셔츠, 단독, 커서, 내려가다, 크게, 포인트 되다"
깔끔하니 편하게 입기에 너무 좋습니다 사이즈도 오버핏이라 넉하니 좋구 디자인이 맘에들어요 ,"사이즈, 편하다, 디자인, 오버핏"
옷 예쁘고 좋아요 M사이즈 클까봐 걱정했는데 딱 좋아요,"사이즈, 걱정, 크다"
배송은 일 정도 걸렸습니다 디자인은 뒷면에 크게 박힌 브라운브레스 로고가 포인트이고 예쁩니다 디자인은 화면과 같구요 핏도 예뻐요 아쉬운 점은 가격에 비해 질이 그렇게 좋진 않은거 같아요 생각보다 얇고 잘 늘어 날거 같아요 그래도 디자인은 예뻐요 ,"화면, 디자인, 배송, 박히다, 비다, 브라운 브레스, 포인트, 로고, 가격"
