Review,keyword
너모 예뻐요>< 그냥 제가 알던 재질인 줄 알았는데 좀 빳빳한 재질이에요 그리고 안에 기모 비스무르한 안감이 있습니다!!(아 여름엔 못 입을 거 같아요~) s랑 m 둘 다 샀는데 제 키면 고만고만합니다 근데 좀 핫걸이 되고 싶다면 s 추천합니다~,"핫, 걸이, 여름, 추천, 안감, 키, 싶다"
기장에 비해 품은 작고 또 작은 사이즈로 가자니 입기 답답해서 m 사이즈에서 xl로 교환했읍니다 .. 라지로 바꿀 걸 입을 때마다 후회중입니다 너무 기장이 길어요 .. 그래서 원하는 핏이 안 나와서 아쉽습니다 ..,"작다, 작고, 사이즈, 아쉽다, 바꾸다, 후회, 기장"
안에 살짝 기모느낌이 나서 따뜻해요 봄이나 가을에 이것만 걸쳐도될듯 아래 밴딩이 잘 늘어나서 앉아있어도 편해요 완죤 이쁨♡,"봄, 이나, 가을, 편하다, 따뜻하다, 늘어나다, 걸치다, 나서다, 밴딩"
화면보다 색은 어두워요. 그게더이쁜듯 입었을때 착감기는느낌은 아니지만 촤라락 떨어지는감은 있어요. 길이는길지만 밑에시보리 짱짱해서 골반에 걸쳐입음 이쁘네요 흰색바지나 검정바지 같이입음 이쁘고 카고바지 추천해요,"바지, 감기, 골반, 밑, 길, 길이, 떨어지다, 감다"
⭐️너무 예뻐서 사버림~ 약 2주 정도 입고 쓰는중~ ⭐️사이즈 약간 힙-백수 st로 입고싶어서 약간 넉넉하게 삼. 일단 아디다스 특으로 팔이 마니 길고 다 좋은데 밑단 시보리가 생각보다 좁음.. 내려서 입으려 하면 골반에 꽉 끼어있음.. 전형적인 아댜스 남자옷 구조임.. 레귤ㄹㅓ 핏이라 이쁘게 입으려고 크게 사봤으ㅁ ⭐️ ⭐️색감. 인디고임 남색 아님 더 어두움.. 약간 좀 더 차가운 어두운 색감? 남색 인줄 알고 사면 조금 더 어두움! 흰색 포인트 느므 이쁨..⭐️ ⭐️재질  약간 탄탄한 재질임.. 면 느낌은 아니고 그냥 아디다스 느낌은 아닌데 좀 더 재질이 살아있는(?) 느낌 😂 약간 쳐지는 느낌 있는데 심하지는 않음 ⭐️활용  어디 입어도 이쁨.. 운동 할때 레깅스 위에 입어도 슬림 st여서 안부해보임! 길이도 ㄱㅊ함 아래 와이드 입ㅇㅓ도 이쁘고 색도 낭낭하게 포인트여서 아래 무난한 색만 입으면  딱히 색 제한도 없는듯? 약간 색이 그냥 남색은 아니여서 독특하기도 함 좋음 아래 시보리 짱짱한건 투웨이 활용해도 좋고 안으로 넣어버려도 이쁨 ⭐️결론  요즘 져지 많이 입더라.. 불편한 이쁜 옷 못입는데 변주 주고 싶은 인간들.. 당장 사라.. 여자는 약간 작게 사도 이쁘겠다(넉넉해도 스타일에 따라 다를듯?) 남자는 무조건 실측 보고 정사이즈 사라.. 크면 이상하다.. 이쁘게 입으면 남친 여친 쌉가능.. ,"스타일, 쁘겠다, 아니다, 활용, 여친"
존예^^ 아디다스가 아디다스한듯해요  엘사이즈로 딱 맞춤이네여 색깔 진심 너무 이쁘고 핏이 너무이뻐요,"맞춤, 사이즈, 아디다스, 핏, 색깔, 진심"
오버핏으로 입으려고 엑스라지 삿는데 좀 크긴 하네요 ㅜ  배송은 하루만에 왓고 168에 궁둥쓰가 다 덮어용 나중엔 엠으로 하나 사려구용 맘에 들어용 🍦🍦 카고바지나 저런 트레이닝에도 잘 어울려용  ㄹㅎㅎ,"카, 바지, 배송, 크다, 삿는데, 오버핏, 어울리다, 만에, 왓"
배송도 넘 빠르구 해외가서 이뿌게 입었답니다…❤️ 인생샷ㅊ건지게 해주셔서 감사합니다..,"샷건, 지게, 해주다, 이뿌다, 배송, 가다, 빠르다, 인생, 해외"
이뻐요 색감이 진해서 촌스럽지않고 스타일좋아요 사이즈는 정사이즈로 가심될거같아요 스타일 납니다요,"사이즈, 나다, 촌, 스럽지, 진하다, 가시다, 되다, 스타일, 색감"
와우 완전 이뻐요 이거입고 여친 만들었습니다 하핫,"만들다, 와우, 핫"
