Review,keyword
우선 저는 여잔데 크게 입을 각오하고 S주문했어요 예상대로 크긴 큽니당 엄청 커요 소매가 긴데 소매 걷어입으면 안쪽에 코듀로이로 되어있어서 귀여워요 주머니도 무려 개나 달려있어요 쓰진 않겠지만 양쪽다 크게 개씩 총 포켓이라 귀여워요 단추는 똑딱이 단추라 입고 벗기도 편하고 빈티지한 골드버튼이라 멋스러워요 색감은 물빠진 색감일 줄 알았는데 예상보단 선명했어요 폭이 엄청 넉해서 안에 아무리 껴입어도 충분할 거 같아요 여성분들은 그냥 고민 없이 S하시면 될 거 같아요 짧은 바지나 치마랑 코디하면 제가 원했던 느낌이 나와서 만족합니다 남자분들이 자켓으로 입기엔 기장이 길고 코트느낌이라기엔 또 짧은 느낌이에요 오히려 박시한 아우터 좋아하시는 여성분들께 추천드리고 싶어요 와이드 팬츠랑 입으면 힙한무드 연출 가능하고 짧은 옷은 여성스럽고 귀여워질 수 있어요,"추천 드리다, 여성, 만족하다, 코디, 여성 스럽다, 크다, 주머니, 넉, 단추"
포인트 되는 부분들이 귀여워서 샀어요 자켓 느낌으로 입어도 예쁘고 남방 입은 것처럼 입어도 예뻐요 ,"포인트, 부분, 남방, 자켓, 되다"
실측 엄청 크길래 사이즈 다운했습니다 사이즈 다운해도 될 듯 다 좋은데 충격인건 s 버전 나오고나서야 드디어 배송이 옴 ,"충격 건, 배송, 실, 사이즈, 다운, 버전, 크다"
생각보다 색이 어둡습니다 네이비보다 거의 블랙처럼 보여요 입을까 반품할까 고민하다가 입기로 했네요 ,"어둡다, 고민, 블랙, 네이비, 색, 보이다"
디자인 정말 이뻐요 에 키초 S사이즈인데 약간 오버하게 맞아요,"사이즈, 오버, 키초, 디자인, 맞다"
우선 가성비가 정말 좋아요 이가격에 워크 자켓이라니 얇은데 오히려 요즘 날씨에 반팔에 입고 벗기 딱 좋습니다 색감이 어둡고 사이즈는 오버핏이라 커요 ,"크다, 가성비, 가격, 어둡다, 날씨, 팔, 워 크다"
저렴한 가격에 워크자켓을 살 수 있어서 좋네요 배송은 예약배송이라 다소 느렸고 생각보다 꽤나 얇은 두께였지만 오히려 더워지고 있는 날씨에 지금 입기에 딱이에요 ,"배송, 날씨, 가격, 더워지다, 저렴하다, 지금"
워크자켓 대유행으로 데일리착용을 위해 구입해봤습니다 라퍼지스토어 역시 가성비 최고입니다 특히 앞주머니 디테일 대박입니다 ,"일리 착용, 퍼지다 스토어, 대유행, 가성비, 디테일, 대박, 최고, 위해"
 에 키로기준 s사이즈가 정사이즈에서 약간 오버핏으로 잘 맞아요 제가 딱 원한 사이즈감이네요,"정사 이즈, 사이즈, 사이즈 가다, 키 기준, 원한, 오버핏, 맞다"
완전 최고맘에듭니다 주머니 상표등 디테일이 너무과하지않고적당히 절제되어 들어갔으나 아메카지 특유의 야상자켓 느낌이 합쳐저 코디범용성이 넖을것같습니다 좋은소재의 웰메이드 옷 저렴하게 만났네요 카키색도 정말이쁩니다 ,"코디 범용, 카키색, 상표, 합치다, 아메 카, 디테 일이, 저렴하다, 특유, 주머니"
딱 지금 시기에 입기 좋은 두께에요 사이즈는 엄청 크다는 후기 보고 s구매했는데두 약간 긴편이네요 소매는 한번 접어서 입으니 딱입니다 원하는 핏입니다 굿,"사이즈, 편이, 원하다, 소매, 크다, 접다, 시기"
이쁩니다 주머니도 많아서 용이하고 목부분 손목부분 골지패턴도 접었을때 유니크해요 ,"유니크, 용이하다, 골지 패턴, 손목 부분, 주머니, 목 부분, 접다, 많다"
에스입으세영 여자분들 너무이뻐용 박시핏에 기여워 재질도진짜너무좋궁 여기옷마니잇는데 살때마다 품질이 죠아,"에스 세영, 여자, 기여 워, 품질, 죠, 재질 궁, 말다 잇다, 살때, 박시핏"
너무예뻐용 여자박시핏으로 에스가능 반바지에반팔에입으면 너무날씬해보이고조아용 이거사진은 안에 기모맨투맨을입아서 그런거구용 강츄,"날씬하다 보이 고조, 투맨, 반바지 팔, 거구, 사진, 에스 가능, 강츄, 여자 박다 핏"
배송빨리오고 만족합니다 사진과동일한 제품이네요,"사진 동일하다, 만족하다, 제품, 배송 오다"
데일리룩으로 입기 좋아요 착용감도 편하고 핏도 예쁩니다 어느 옷에든 다 잘어울려서 마음에듭니다,"듭니, 어울리다, 착용 감다, 일리, 편하다, 핏"
