Review,keyword
얇고 활동하기에 무지 편합니다 착한가격까지 만족합니다,"만족하다, 활동, 편하다, 무지, 착하다 가격, 얇다"
 마른 편입니다 사이즈 L 피팅했는데 기장감 아웃핏 전부 마음에 드네요 두껍지 않은 나일론 소재라 더운 여름에도 반팔 위에 데일리하게 걸쳐서 포인트를 줄 수 있을것 같아요 상품 만족합니다,"만족하다, 마르다, 사이즈, 걸치다, 편입, 소재, 나일론, 덥다, 데일 리하"
입으면 살짝 스포티해보이고 엄청 슬림해보이는 것 같아요 ,"스포 티, 슬림"
나일론재질이긴 한데 빳하지 않고 부드럽게 떨어지는 핏이라서 마음에 들어요 합리적인 가격에 잘샀어여 보통체격인데도 S사이즈 넉해서 여성분들은 S하시면될듯 스트링 조이는거보다 푸는게 더예뿌요,"보통 체격, 여성, 조이다, 나일론 재다, 넉, 합리, 부드럽다, 스트링, 가격"
이런 옷은 처음 입어보는데 사이즈 딱 맞고 좋아요,"입어보다, 사이즈, 이렇다, 처음, 맞다"
S사이즈로 샀는데 딱 몸에 맞아서 이쁜 핏으로 나와요 지퍼가 약간 별로구 후드가 약간 큰 감이 있긴 한데 나름대로 엄청 이쁘고 힙하보여요 흰 반팔티에 간단하게 입어도 엄청 간지나서 진짜 최고 아이템 될 듯 합니다 다만 한여름엔 바람이 막혀서 좀 덥다는 점만 감안하면 진짜 살만한 제품입니다 ,"힙 보이다, 막히다, 감안, 제품, 살, 나오다, 간지나다, 지퍼"
사이즈는 s지만 넉해서 좋아요 안입은거 처럼 가볍고 얇아서 여름에 입기 딱이네요 주머니 없는옷 입을때 걸쳐야겠어여 딱 찾는 옷인데 세일기간에 사서 만족합니다,"만족하다, 사이즈, 넉, 기간, 주머니, 가볍다, 사서"
너무 예쁘지 않나요 제 눈에만 그런건가요 너무 만족하고 이걸 왜 이제 샀나 싶었습니다 오래 기다린 만큼 만족도 높아요 아 역시 갓르티멘토 절 실망시키지 않는군뇨,"실망, 만족하다, 건가, 만족도, 걸, 이제, 기다리다"
여름용 아우터로 얇아서 포인트 주기에 정말 좋아요,"여름, 아우 터, 포인트, 주기, 얇다"
얇은 베스트 찾고 있었는데 파르티멘토 가성비 너무 좋 아요 시원합니당,"파르티 멘토, 시원하다, 가성비, 베스트, 찾다, 얇다"
중간에 배송 좀 걸리긴했지만 그래도 싼가격에 입문용으로 좋은거같아요,"입문, 중간, 배송, 싸다 가격, 걸리다"
베스트 처음 구매해보는데 괜찮네용 다만 끈이 너무 깁니다,"처음, 베스트, 끈"
나쁘진않은데 줄이 너무 길고 지퍼가 구림 한 번 입고 고장났는데 어거지로 끼워 쓰고읶어여,"어거지, 지퍼, 길다, 줄이다, 구림, 쓰다 읶, 나쁘다, 끼우다"
어깨부분이 살짝 찢여져 있는데 찢여진건지 그렇게 온건지 모르겠네요 티는 안나서 그냥 입었어요 여름에 입기 좋아요,"온건, 안나, 티, 찢다 지다, 찢다 여진 건지다, 어깨 부분"
요즘같은 날씨에 입기 매우 좋고 레이어드해서 입었을때 매우 귀엽습니다 나중에 아우터 이너로도 매우 좋을거같아요,"날씨, 레이어 드, 나중, 아우 터"
스타일 내기 좋고 그렇게 덥지는 않습니다 코디할때 포인트주기 좋습니다,"포인트 주기, 스타일, 덥다, 내기, 코디"
가성비 최고 나일론 조끼에요 짱 맨날 입고 다닐거야요,"가성비, 나일론, 최고, 조끼"
한여름에 입을 수 있을 정도로 확실하게 얇고 가벼워서 다양한 코디가 가능할 것 같고 Y K 느낌 한 스푼 첨가한 것 같아 기분이 좋네요 카고팬츠나 파라슈트 팬츠로 맞춰서 코디해주시면 무난할 것 같아요 지퍼 같은 부자재 퀄리티가 별로여서 빡하다는 게 유일한 단점이에요 월 초 중반까지는 충분히 입을 것 같고 겨울에는 레이어드해서 입을 수 있기 때문에 구매 망설이시는 분들은 고민하지 마시고 지금 건져가세요 ,"망설이다, 코디 해주시, 카 팬츠, 말다, 레이어 드, 확실하다, 건지다, 고민, 단점"
생각보다는 얇고 바람막이 재질이에용 진짜 딱 가볍게 입고 나갈 때 오버핏 티 한 장에 입고 니가몀 찰떡 입니다 ,"니가몀, 재질, 바람막이, 가볍다, 찰떡"
바스락바스락 비닐재질 만원대로 샀는데 가격대비 괜찮아용 사이즈도 적당하구 얇아서 여름에 입기에도 괜찮음 남 m 여 s,"적당하다, 사이즈, 가격 대비, 여름, 만원, 비닐 재질, 얇다"
잊을만 하니까 와서 나름 좋았어요 생각보다 엄청 얇은데 요즘같이 더운 날에도 막 입을 수 있어서 오히려 좋아요 투웨이 집업인데 만원대 갓성비 완전 최고 마감은 많이 아쉬운데 싼마이라 전체적으로 완전 만족이욜,"만족 욜, 마감, 전체, 만원, 덥다, 오다"
베스트 입어보고 싶어서 샀는데 생각보다 넘모 이쁨 얇아서 여름에도 가능이고 베스트 입문 완료 ,"입어보다, 여름, 입문, 베스트, 가능, 완료, 넘다, 얇다"
두꺼운거할까 얇은거할까 많이고민했는데 넘 더워서 얇은거하길 잘한거같아요 얇아도 핏이쁘고 퀄리티좋아요 막입어도 잘 안구겨지는재질이고 많이가벼워요,"구기다 재질, 막, 덥다, 핏이쁘, 퀄리티, 얇다, 얇다, 얇다, 고민"
사이즈가 여자분들한테 딱이네요 예뻐용 얇아서 괜찮네요,"여자, 사이즈, 얇다, 딱이다"
가격대비 많이 아쉬움 재질도 걍 그렇고 만원짜리 같음 하지만 핏은 괜찮 지퍼로 투웨이 연출 가능은 굳,"가격 대비, 재질, 연출, 지퍼, 가능, 핏, 투, 아쉬움"
가볍게 입기 좋아요 스트링 안 쪼이는게 핏이 깔끔하네영,"스트링, 가볍다, 핏, 쪼이다, 깔끔하다"
너무 이쁘고 잘입고 있습니다 재질 좋은 거 같습니다 다음에도 기회가 된다면 이 브랜드 제품을 구매할 거 같습니다,"재질, 제품, 브랜드"
재질이 얇아서 한여름에도 가능해요 사이즈 딱맞고 밑에 스트링으로 줄이면 레이어드 야물 딱져요 근데 힘이 좋아서그런지 지퍼가 고장났네요,"스트링, 재질, 사이즈, 가능하다, 줄이다, 지퍼, 한여름, 레이어 드, 힘"
미듐할지 스몰할지 고민하다 다른분들 리뷰보고 스몰 골랐습니다 생각했던 핏이여서 만족스러워요 ,"만족스럽다, 미듐할, 리뷰 보고, 스몰, 고민, 스몰, 핏이, 고르다"
여름에 포인트 주기 좋은 나일론 베스트 고프코어 룩을 좋아하시거나 저처럼 입문하시는 분들은 한번 쯤 먼저 둘러보고 알아보시는거 추천드립니당 파르티멘토제품 구매하고 후회한 적은 단 한번도 없었어요,"추천 드리다, 알아보다, 입문, 파르티 멘토 제품, 먼저, 둘러보다, 고프다 코어, 한번"
사이즈 딱 맞네요 얇아서 시원하고 여름에도 가능하겠어요,"시원하다, 여름, 사이즈, 얇다, 맞다, 가능하다"
길이도 적당하고 레이어드 티셔츠에 입으면 너뮤 예쁩니당 소재도 가볍고 너무 조아용 손이가요 손이가 ,"적당하다, 손 가요, 가볍다, 티셔츠, 손, 소재, 길이, 레이어 드"
생각보다 아조씨 바막 느낌이 나긴하는데 그 맛이 오히려 스트릿무드를 더 살려줘서 좋은거 같아요 잘입을게요 ,"씨, 살리다, 나다, 바막, 스트릿 무드, 맛"
요즘에 엡기에는 덥더라구요 날씨 좀 풀리면 딱일 것 같아요 ,"엡기, 날씨, 덥다, 풀리다, 딱이다"
무게는 안 입은듯합니다 검은색 톤이랑 잘 어울림,"어울림, 검은색, 톤, 무게"
너무 예뻐요 코디하기도 너무 좋고 핏도 너무 예뻐여,"코디 기도, 핏"
후드 베스트는 첫 구매인데 활용도가 좋아서 자주 입을 것 같네요 더위 많이 타는 편인데 엄청 얇아서 생각보다 덥지 않아요 ,"활 용도, 편, 덥다, 베스트"
여행 내 잘 입었어요 더울때 포인트로 주기 좋은 베스트 ,"포인트, 여행, 베스트, 주기, 덥다"
