Review,keyword
두툼합니다 사이즈도 적당하고 무엇보다 재질이 정말 좋습니다 시보리 부분이 완전 해요,"사이즈, 적당하다, 재질, 부분, 시보리"
기장감 좋고 품 좋고 에 마른 체형입니다 사이즈 딱 좋아요,"사이즈, 체형, 마르다, 기장감"
nan,nan
조금 무거운 감이 있지만 역시 예쁘네요 옆이 조금 오버핏이에요,"옆, 오버핏, 이에요, 무겁다"
자크 다 잠궈서 안 예쁘게 나왔네요 사진처럼 투웨이 잘 살려서 입으면 충분히 가격값합니다,"가격, 값, 사진, 처럼, 잠그다, 나오다, 살리다, 자크, 충분하다, 투"
싸게 잘 샀어요 그리고 제가 키가 작아서 제일 작은 사이즈로 샀는데 사도 괜찮았을 거 같아 요 사니까 길이는 엉덩이 가릴 정도 고 소매는 딱 맞았어 욯 예쁘게 잘 입겠습니당,"작다, 사이즈, 니당다, 싸다, 엉덩이, 키"
가끔 실내에서 추울 때 입기 너무 좋아용 아래 지 퍼도 살짝 올리면 이쁘구요,"실내, 추다, 올리다, 가끔, 퍼"
총장이 짧고 팔은 길어서 입었을 때 귀여워요 근데 지퍼가 잘 안 올라가고 품이 좀 큰 게 아쉬버 요 그래도 기 본템으로 딱 좋습니다,"귀엽다, 올라가다, 품, 팔, 근데, 아쉬버"
생각했던 것보다 괜찮았어요 두께도 나름 두껍고 손목 시보리도 너무 하지 않고 딱 적당해서 근데 저는 개인적으로 시보리가 완전 한 걸 좋아해서 밑단 시보리가 해서 살짝 아쉬웠어요 손목 시보리는 만족해요,"손목, 두껍다, 개인, 아쉽다, 두께"
일단 멜란지 마스터와의 큰 차이점 세 가지 핏이 다르다 토피가 더 기장 짧고 한 핏 지퍼가 다르다 멜란지는 얘네는 국산 원단 두께가 다르다 멜란지가 약간 더 두꺼움 핏 자체는 토피가 이상적이지만 지퍼 같은 부자재나 원단에 있어서는 멜란지가 아주 조금 더 나은 편 그렇다고 해서 후드 각이 안 잡히는 건 아님 멜란지만큼의 두께가 아닐 뿐 각은 잡힘 토피는 지 퍼 안쪽에 원단이 랑 맞물리는 곳에 마감을 해주긴 했지만 제대로 신경 쓰진 않은 듯,"멜란지, 다르다, 차이점, 만큼의, 토피"
아쁘다고 사라고 후기 뒤 말고 사라고 어차피 사면 잘 입는다고,"아쁘다, 사라, 사면, 후기, 말고, 어차피"
아우터와 이너 둘 다 입고 싶어 기모 없는 버전으로 구매했어요 두께감이 아우터와 이너 둘 다 적합하고 핏도 이 뻐서 만족입니다 무엇보다도 이 옷 입으면 고양이 관심을 끌 수 있어서 최고였어요,"고양이, 적합하다, 핏, 만족, 두께감, 최고"
데일리 셋업으로 입 기 너무 좋아요 사이즈는 그냥 정 사이즈로 가시는 걸 추천 드려요,"사이즈, 셋업, 그냥, 가시다, 드리다, 데일리, 추천"
새 옷 냄새 많이나요 이 뻐요 생각보다 안 커요 지금 입 기 딱 좋아요 팔은 겁나 길어요 대충 접고 다녀야 하나 근데 입고 다님 그렇게 신경 쓰이지 않아서 은 듯 색은 사진보다 밝아요,"사진, 색, 밝다, 팔, 크다"
사이즈 때문에 고민하실 다른 분들 때문에 오픈합니다 빅 사이즈 여자 사람에게도 핏 너무 귀여워요 사진보다 실물이 맘에 들어요,"귀엽다, 사이즈, 사진, 분들, 여자, 고민, 사람, 에게도, 때문"
좋습니다 질도 좋구 데일리하게 어디든 어울려서 좋아요 팔이 길어서 좋구 암튼 좋아요,"데일리, 어울리다, 팔이, 암튼, 질도"
시험기간 입고 다녔어요 하지만 시험은 잘 못 봤네요,"시험, 기간"
캐주얼에 너무 좋고 어 딜 가든 특히 한강에 제일 잘 어울리는 옷인 거 같아요,"캐주얼, 한강, 어울리다, 가든, 특히, 제일"
주로 남자분들이 입어서 어깡핏 나올까봐 걱정했는데 생각보다 둥글둥글한 핏이라 귀여워요 오버핏에 비해 총장은 살짝 짧은 편인데 이게 오히려 핏이 예뻐 보여 요 기준 엉덩이 반쯤 덮습니다 원래 반팔티 이상 선호하는 편이라 걱정했는데 나름 괜찮았아요 안에 반 팔이랑 입으면 강제 레이어드가 되긴 합니 당 도톰하고 신축성 없는 재질이예요 기 모 없습니 당 근데 지퍼가 잘 안 올라가요 그래서 별 뺌,"팔이, 팔, 티, 엉덩이, 귀엽다, 없다, 덮다"
패딩 안에 껴 입고 좋고 꾸안꾸로도 잘 어울려 요 자크가 두개라 편해요,"꾸안꾸, 편하다, 어울리다, 개, 자크, 패딩"
예쁜데 팔 통이 좀 커요 팔 통이 얼마나 큰 지 알려드리려고 사진을 찍었는데 처음 사진은 제 팔이고 두 번째는 이 옷의 팔이에 요 그리고 기 모가 있어서 따뜻해 요 봄 가을 겨울 다 입기에는 기 모 있는 게 좋을 것 같아 요 마지막으로 핏이 아방 동글 해요 밑이 동그란데 지퍼가 두개니까 뭔가 이 상해서 그냥 지 퍼 다 잠그고 입는 게 더 예쁜 거 같아 요 해도 충분히 크고 오버핏이 니 저랑 비슷한 체형이시면 고민 없이 하시길 추천 드립니다 마지막 사진은 귀여워서 올리려고 했는데 또렷하게 촬영해야 한다고 해서 다른 사진을 앞에 올리고 추가합니다 참고로 절 알아보신 분들은 모른 척 해주세요 천원 준다는데 후기를 안 쓸 수는 없잖아요,"팔이, 따뜻하다, 사진, 귀엽다, 개, 겨울"
저렴한 가격에 자주 손이 갈 교복템 구매했습니다 예약 배송이라 빠른 배송은 아니었지만 그래도 약속된 배송 일정대로 차질 없이 받아 볼 수 있었어요 사이즈는 랑 중에 고민했는데 사이즈가 저한테는 딱 예쁜 루즈핏 같아 요 라이더나 코트 안에 레이어드 하시기에는 가 나을 수 있는데 가오리 핏이라 사이즈 여도 레이어드하기에는 불편할 수도 있겠네요 재질은 기 모는 아니지만 그렇다고  얇거나 힘없는 재질은 아니라서 너무 맘에 들어 요 요즘 같은 간절기에 딱입니다 단점은 옷 두께에 비해 좀 무겁다는 거 들었을 땐 무거운데 입었을 때 어깨가 무거울 정도는 아닙니 당 그리고 새 옷 냄새가 너무 나는데 빨면 괜찮을 것 같네요 다른 색상으로 재구매 의사 있습니다,"얇다, 저렴하다, 코트, 교복, 사이즈, 무겁다, 힘없다, 배송"
와 너무 예뻐요 역시 토피 길이도 예쁘고 팔도 생각보다 안 길어서 좋고 저랑 체형 비슷하신 분들 사세요 최고,분들
회색에 빠져서 편하게 입을 회색 후드집업을 찾고 있었는데 만족했다는 후기가 많아서 구매하게 되었어요 진짜 구매 잘했다는 생각들 구요 요즘 거의 유니폼 마냥 자주 입고 있어요 짜임도 좋고 해서 늘어남도 적구요 다른 분들 후기처럼 기장은 쫌 짧은 편이에요,"유니폼, 회색, 만족하다, 후드, 집업, 늘어나다, 짧다"
야쓰 진짜 고민하다 샀는데 너무 이 뻐요 최고 맨날 입음 빨리 사세요 다들,"빨리, 고민, 쓰다, 최고"
옷은 너무 마음에 드는데요 옷이 담겨 있는 봉투 안에 벌레가 들어왔어요 겉에 택배 봉투도 한 겹 싸여 있는데다가 벌레 파편들이 옷 안팎으로 여기저기 붙어 있는 거 보니 배송 중에 들어간 건 절대 아닌 걸로 보이네요 너무 기분 더러웠는데 옷은 괜찮고 교환하자니 또 한참 걸릴 것 같아서 그냥 세탁해서 입으렵니 다 다들 세탁하고 입으세요,"세탁, 하고, 더럽다, 봉투, 배송, 교환"
팔통 넓고 기장은 짧아요 짧은데 이쁘네요 주름이 많이 갈 거 같긴 합니다,"짧다, 주름, 넓다, 기장, 많이, 팔, 통"
어깨선도 딱 제가 생각한 정도구요 사이즈는 샀는데 약간 세미오버하게 핏이 나오는 거 같아 요 팔 기장도 딱 이쁘게 떨어지는 거 같아서 좋아요 요즘 제일 자주 입고 나가는 아우터 인 거 같습니다,"어깨, 선도, 사이즈, 기장, 구"
제가 좋아하는 회색이고 시보리 하고 모자도 안 작고 흐물거리지 않고 요즘같이 비오는 날에 입 기 좋아요,"좋아하다, 모자, 회색, 이고, 작고, 날, 흐, 물다, 비다"
딱 제가 생각하고 원하던 후드 집업이에 요 후드가 하고 적당해서 겉옷이랑 입기 딱 예쁜 느낌 기장도 레이어드 티 적당히 나오는 정도로 완전 맘에 들어 요 셋업으로 사고 싶어서 샀는데 완존 만족 재질도 하고 완전 괜찮아요 저랑 비슷한 분들은 사는 거 추천 드려 요,"추천, 만족, 원하다, 겉옷, 분, 재질"
레이어드 하기 좋아요 제로 스웻팬츠랑 셋업 느낌으로 착용도 가능해서 활용도 굿입니다 제 스팩에 단품으로 입으시려면 라지 가셔요,"스웻팬츠, 굿, 착용, 스팩, 단, 품, 가능하다, 갈다, 활용"
너무 만족했어요 기장이 짧아서 좋았습니다 투웨이도 좋았고 자주 입을 후 집이에 옹,"만족하다, 지다, 기장, 짧다, 투"
기장이 길지 않아서 딱 좋았습니다 모자가 좀 작은 것 같기고 하고 무튼 무난하게 좋아요,"모자, 작다, 무, 틀다, 길다"
원래 후드집업 박시하게 입는데 적당하고 딱 맞아 용 투웨이라 활동하기 편하고 여름철에 에어컨이나 추운 곳에 있을 때 걸쳐도 좋을 듯 해용,"여름철, 추다, 편하다, 에어컨, 이나, 박다, 걸치다, 적당하다, 원래"
핏이 말이 필요 없슴니다 레이어드 하기 딱 조음 굿,"핏, 말, 레이어드, 필요, 없슴니, 조음"
사진 찍는데 와서 누워서 그냥 찍었어요 생각보다 크긴 한데 소매가 좀 긴 거 빼고는 핏은 좋습니당,"크다, 니당다, 찍다, 눕다, 그냥, 핏, 빼다"
이 뻐요 그리고 싸요 그리고 편해요 그래서 좋아요,"편하다, 싸다"
이너로 입기에도 좋고 아우터로 입기에도 좋네요 잘 샀어요,"이너, 아우터"
이쁜데 팔이 너무 김 개이쁨 개이쁨갤 이쁨 개이쁨,"개, 개다, 팔이"
루즈한 핏으로 누구에게나 잘 어 울릴 만한 후드 집업이에 요 촉감도 좋고 다 좋은데 지퍼가 부드럽지 못한 게 아쉽네요 중간에 걸릴 때가 있어요,"아쉽다, 걸리다, 울리다, 부드럽다, 중간, 지퍼, 못"
팔이 좀 기네 용 저만 그런지는 모르겠는데 아무튼 그래서 가끔 헤렐렝 다니면 긴 팔 원숭이 같아요,"모르다, 아무튼, 그렇다, 저만, 팔이, 헤렐렝, 원숭이, 기네"
흘러내리게 입으니 좋아요 조금만 더 지나면 입어도 될 것 같아 요 밖에서 입으면 아직은 좀 더워요,"흘러내리다, 덥다, 지나다, 밖, 아직"
그냥 진짜 무난해 요 뭐 하나 걸쳐야 될 때 막 입 기 좋습니다,"그냥, 걸치다, 하나"
밤에는 춥던데 간단하게 걸쳐 입기 딱 좋고 예뻐요,"추다, 간단하다, 밤, 에는, 걸치다"
팔 부분에 비해 기장이 약간 짧은 감이 있긴 한데 핏 예쁘구요 안이 살짝 까 끌 거칠다고 느낄 수도 있긴 한데 불편할 정도는 아니에 요 좀 무거운 느낌이에요 근데 조음,"불편하다, 느끼다, 이에요, 기장, 거치다, 아니다, 근데"
두께도 적당하고 단독으로 입거나 아우터 안에 입 기 좋아요 길이나 사이즈 다 마음에 들어오,"두께, 단독, 적당하다, 사이즈, 길이, 아우터, 들어오다"
오버핏인 줄은 알 앗는데 커요 아니 진짜 커요 엄청 큼 그냥 너무 큼 길이는 짧고 품만 엄청 큼 그래도 잘 입을 게요,"크다, 앗다, 그냥, 짧다, 줄, 오버핏"
진짜 제 교복 처음에는 크게 입고 싶어서 큰 맘 먹고 샀는데 와 이건 해도 해도 너무 크구나 했지만 너무 편하고 너무 예뻐서 맨날 입고 다니고 학교에서 여름 때는 에어컨 때문에 추울 때도 맨날 입고 있고 좋아요,"추다, 크다, 편하다, 맨날, 교복"
아 이쁘다 매일 입고 싶어서 기 모랑 논가 모 둘 다 삼 그냥 사 세요 어디든 무난무난함 후기 빠꾸시키기만 해봐 그럼 나 화나 용,"빠, 꾸다, 싶다, 그냥, 그렇다, 화나다, 후기"
