Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
글로니 말 모 말 모 글로니 핏 이 쁜 거 두말하면 입 아파요 허리 얇고 긴 체형 어깨 넓고 듬직한 편 아마도 개이 뻐요 근데 똥꼬치마 되는 건 알고 사셔야 합니당 샀다가 저의 태평양과 같은 어깨와 마치 개의 가슴 같은 부유방을 숨겨주지 못하길래 으로 바꿨더니 똔 꼬 치마도 덜하고 덜 여전히 똔 꼬치마는 맞음 개랑 태평양 어깨도 잘 가려 줍니다 요 아주 맘에 듦 검정색도 사고 파뇸,,"가슴, 개, 넓다, 덜하다, 듬직하다, 똥꼬, 말, 숨기다, 어깨, 치마, 태평양, 허리","가슴, 개, 개다, 건, 검정색, 넓다, 덜하다, 듬직하다, 똥꼬, 똥꼬치마, 말, 바꾸다, 부유방, 쁜, 숨기다, 아마도, 아프다, 알, 얇다, 어깨, 여전하다, 체형, 치마, 태평양, 파뇸, 편, 핏, 허리"
예약 배송이라 쇼룸에서 사이즈 입어보고 샀는데 좀 다른 거 같아 요 배송된 게 좀 더 타이트 한 느낌 바스트 있으면 좀 불편하실 거 같아 요 사세요 전 샀는데 좀 불편해요 그리고 너무 짧아서 단독으로 입기엔 조금 부담스러워용 대신 소재는 수영복 소재 같아서 스 판도 좋고 주름도 잘 안 가고 민소매가 부담스러운 분들에게도 괜찮을 거 같아용,,"민소매, 배송, 부담스럽다, 불편하다, 소재, 쇼룸, 수영복, 예약, 판도","단독, 대신, 민소매, 바스트, 배송, 부담스럽다, 분, 불편, 불편하다, 사이즈, 소재, 쇼룸, 수영복, 스, 에게도, 예약, 입어보다, 주름, 짧다, 타이트, 판도"
화사해 보이고 예쁘지만 기장이 조금만 더 길었느면 좋겠음 많이 짧아서 좀 부담스러울 수도," 기장,  화사하다,  수도","기장, 길었느, 보이, 부담스럽다, 수도, 짧다, 화사하다","기장, 길었느, 보이, 부담스럽다, 수도, 짧다, 화사하다"
두 겹이라 비치 지도 않고 완전 합니다 올해 원피스 중 제일 이쁜듯 요 너무 맘에 들어서 세칼라 구매했습니다, 원피스,"겹, 들어서다, 비치, 올해, 원피스","겹, 들어서다, 비치, 세칼라, 올해, 원피스, 제일, 칼라"
재질이 해서 흰색임에도 비침이 거의 없어서 좋았어요 노란 기나 푸른기 없이 깨끗한 화이트 컬러라 색깔도 맘에 들었습니닷 제가 흉통이랑 체구가 너무 작아서 딱 맞는 사이즈의 원피스가 잘 없는데 이건 제 몸에 딱 맞는 핏으로 예쁘게 떨어져서 만족해요 민소매 디자인이 부유방 쪽을 잘 커버해줘서 아우터 없이 입어도 핏이 예쁜 거 같아 요 다만 입었을 때는 기장이 딱  괜찮은데 계단 올라갈 때 나 허리 숙일 때는 좀 신경이 쓰이긴 합니다 딱 정석 기본템 느낌이라 하나쯤 가지고 있으면 여기저기 활용해서 입 기 좋을 것 같아요,,"기본, 깨끗하다, 디자인, 사이즈, 신경, 아우터, 재질, 정석, 흰색","기본, 기장, 깨끗하다, 노랗다, 디자인, 만족하다, 맞다, 민소매, 부유방, 비침, 사이즈, 색깔, 숙이다, 신경, 쓰이다, 아우터, 여기저기, 올라가다, 작다, 재질, 정석, 체구, 커버, 컬러, 푸른, 핏, 화이트, 활용, 흉통, 흰색"
바스트는 좀 타이트하지만 여성스럽고 예쁩니다 잘 산 거 같아요,,"바스트, 여성, 타이트","바스 틀다, 바스트, 산, 스럽다, 여성, 여성 스럽다, 타이 트, 타이트"
하게 핏을 잡아주는 약간은 수영장 재질 같은 옷입니다 무신사 블프 때 저렴하게 샀는데 예뻐서 잘 입고 있어요 벨트백이나 가디건 같이 포인트 되는 아이템이랑 매치해도 예뻐요," 수영장,  저렴하다","가디건, 매치, 물다, 벨트, 수영장, 아이템, 잡다, 재질, 저렴하다, 핏","가디건, 매치, 물다, 백, 벨트, 벨트백, 블프, 수영장, 아이템, 이나, 잡다, 재질, 저렴하다, 포인트, 핏"
진짜 너무 이 뻐요 살랑살랑거리는 핏 매장에서 입어 본 건데 화이트는 엠 멜란지는 에스 입었어요," 에스,  매장","거리, 건데, 매장, 멜란지, 살랑살랑, 에스, 화이트","거리, 건데, 매장, 멜란지, 살랑살랑, 살랑살랑거리, 에스, 엠, 핏, 화이트"
허리를 잘 잡아줘서 좋아요 기장이 짧은 편이기는 합니다 저보다 키 큰 분들은 사이즈 사셔야 될 것 같아요 완전 만족하고 검정색도 사고 싶어요 뱃살 부각 있어요," 사이즈,  잡다,  허리","검정색, 기장, 만족하다, 뱃살, 부각, 사이즈, 잡다, 편이, 허리","검정색, 기장, 만족, 만족하다, 뱃살, 부각, 분, 사고, 사이즈, 잡다, 짧다, 크다, 키, 편이, 허리"
운동복으로 레이어드해서 잘 입었어요 소재가 좋아서 비침 전혀 없지만 기장이 짧아요," 기장,  소재","기장, 레이어드, 비침, 소재, 없다, 운동복, 전혀, 짧다","기장, 레이어 드, 레이어드, 비치다, 비침, 소재, 없다, 운동복, 전혀, 짧다"
키가 작은 편인데도 짧은 편이긴 합니다 근데 재질도 되게 하고 스판이 좋아서 딱 붙는 핏이어도 그렇게 막 불편하진 않아 요 이번 여름에 잘 입고 다닐 것 같습니다, 재질,"불편하다, 붙다, 스판, 여름, 작다, 재질, 짧다, 키, 펴다","그렇게, 되게, 불편, 불편하다, 붙다, 스판, 여름, 이어도, 작다, 재질, 짧다, 키, 펴다, 핏"
글로니 핏 말해 머해 고 하게 딱 잡아줘서 완전 좋아요 입으면 백배 이 쁨 좀 짧긴 함, 짧다,"말, 백배, 잡다, 짧다","말, 머, 백배, 쁨, 잡다, 짧다, 핏, 함"
