Processed_Review,keyword
편하게 입으려고 산 건데 저한텐 오버핏을 넘어서 밀레니엄 힙합 보이핏이 긴 합니다 하지만 그건 제 문제이기 때문에 티샤쓰는 점 입니다 후줄근 방지용 목걸이도 차보았습니다,"문제 이기, 밀레니엄, 목걸이, 방지"
소버먼트 역시 맛집입니다 깔 별로 사고 싶을 만큼 핏 재질 색 감 너무 마음에 들어 요,"버먼 트, 별로, 재질, 사고, 맛집"
빼 입 하기에 제 스펙에 이 좋다고 보고 넣입 할 거면 이 이 쁠 것 같습니다 소재는 하고 생각보다 무겁단 생각은 안드는 것 같습니다 딱 스탠다드에 충실하면서 또 일반적인 소재 느낌은 아니라 꾸안 꾸 티셔츠네요 손이 많이 갈 것 같습니다,"소재, 충실하다, 아니다, 티셔츠, 일반, 무겁다, 손"
핏이 오버핏으로 나왔습니다 그래서 와이드 슬랙스 랑 빼 입으로 매칭했습니다 가장 큰 장점은 색감입니다 정말 이 뻐요 흔한 차콜 아니구 워싱된 느낌이라 더욱 좋았습니다,"색감, 더욱, 아니다, 슬랙스, 가장, 장점, 와이드"
워싱감이 딱 좋아서 여기저기 잘 묻네요 코디하기 편해요,"여기저기, 코디, 편하다, 워싱감, 묻다"
넘모 편하고 스타일 좋고 색깔도 예뻐서 자주 입게 되네요 파란색도 샀어요,"편하다, 파란색, 스타일, 넘다, 색깔"
좋어요 여러 상황에서 잘 매칭 되네요 부담 없이 스타일 잡을 수 있어서 좋았어요,"상황, 매칭, 스타일, 잡, 여러, 되다"
블루 색상 구매 후 너무 만족해서 더 구매했습니다 샌드 색상도 곧 코디 올릴게요 감사합니다,"만족하다, 색상, 색상, 올리다, 샌드, 코디, 블루"
킹 쁩니다 기대 안하고 샀는데 스트릿 한 핏감 제가 찾던 느낌이네요 다른 색상도 고민 중임다 제 스펙에 힙하게 입는 거 좋아하시면 하세여,"색상, 힙하, 중임, 고민, 기대, 스펙"
소버먼트 너무 좋아요 여름 반팔 겨울 맨투맨 다 여기서 살 거 같아 요 소버먼트 짱,"버먼 트, 투맨, 팔, 겨울, 여름"
옷 색 감 이쁘고 코디하기에도 편해 요 잘 입겠습니당,"코디, 편하다, 니당다"
피그먼트 워싱 입문으로 좋습니다 제 스펙이 오버사이즈로 잘 맞아요,"오버 사이즈, 피그먼트, 입문, 스펙, 워싱, 맞다"
피그먼트 색감 정말 예쁘게 빠졌고 재질도 하고 좋아요 근데 세탁하니까 살짝 돌아가네요,"피그먼트, 돌아가다, 재질, 색감, 세탁"
적당히 찌비침 없을 두께감에 과하지 않은 워싱감이 마음에 들었어요 특히 절묘하게 과하지 않은 오버핏 실측이 좋았어요,"적당하다, 실, 절묘하다, 워싱감, 찌 비치다, 오버핏"
티가 해서 너무 좋았어요 체형 보완도 되고 피그먼트 덕분에 흔하지 않아요,"피그먼트, 체형, 흔하다, 덕분, 보완, 티"
에 키로 평소 크게 입는 거 좋아해서 엑라 시켰어요 색감 핏 모두 좋아서 다른 컬러도 사고 싶어요,"컬러, 평소, 크게, 엑, 사고, 색감"
생각보다 무겁긴 한데 핏도 좋고 재질이 엄청 좋습니다 차콜이라 땀나면 자국 생길 것도 걱정됐는데 자국 티도 안 나고 좋아요,"무겁다, 생기다, 재질, 차콜, 나다, 자국, 티"
