Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
편하게 입으려고 산 건데 저한텐 오버핏을 넘어서 밀레니엄 힙합 보이핏이 긴 합니다 하지만 그건 제 문제이기 때문에 티샤쓰는 점 입니다 후줄근 방지용 목걸이도 차보았습니다,,"건데, 문제, 방지, 이기, 티샤, 후줄","건데, 그건, 근, 넘어서다, 목걸이, 문제, 문제 이기, 밀레니엄, 밀레니엄힙합보이핏, 방지, 방지목걸이, 보이핏, 쓰다, 오버핏, 이기, 차, 티샤, 티샤쓰, 편하다, 후줄, 후줄근, 힙합"
소버먼트 역시 맛집입니다 깔 별로 사고 싶을 만큼 핏 재질 색 감 너무 마음에 들어 요, 재질,"맛집, 버먼, 별로, 사고, 재질","깔다, 맛집, 버먼, 버먼 트, 별로, 사고, 색감, 소, 소버먼트, 싶다, 재질, 트, 핏"
빼 입 하기에 제 스펙에 이 좋다고 보고 넣입 할 거면 이 이 쁠 것 같습니다 소재는 하고 생각보다 무겁단 생각은 안드는 것 같습니다 딱 스탠다드에 충실하면서 또 일반적인 소재 느낌은 아니라 꾸안 꾸 티셔츠네요 손이 많이 갈 것 같습니다,,"무겁다, 소재, 손, 스펙, 일반, 충실하다","M, 갈다, 꾸다, 넣다, 무겁다, 보고, 소재, 손, 스탠다드, 스펙, 아니다, 일반, 충실하다, 티셔츠"
핏이 오버핏으로 나왔습니다 그래서 와이드 슬랙스 랑 빼 입으로 매칭했습니다 가장 큰 장점은 색감입니다 정말 이 뻐요 흔한 차콜 아니구 워싱된 느낌이라 더욱 좋았습니다,,"가장, 더욱, 색감, 슬랙스, 아니다, 와이드, 장점, 흔하다","가장, 더욱, 매칭, 빼입, 색감, 슬랙스, 아니다, 오버핏, 와이드, 와이드슬랙스, 워싱, 워싱된, 장점, 차콜, 흔하다"
워싱감이 딱 좋아서 여기저기 잘 묻네요 코디하기 편해요, 코디,"묻다, 여기저기, 워싱감, 코디, 편하다","묻다, 여기저기, 워싱감, 코디, 편하다"
넘모 편하고 스타일 좋고 색깔도 예뻐서 자주 입게 되네요 파란색도 샀어요, 색깔,"넘다, 색깔, 스타일, 파란색, 편하다","넘다, 색깔, 스타일, 파란색, 편, 편하다"
좋어요 여러 상황에서 잘 매칭 되네요 부담 없이 스타일 잡을 수 있어서 좋았어요,,"매칭, 상황, 스타일, 여러, 잡","되다, 매칭, 부담, 부담없이, 상황, 스타일, 없이, 여러, 여러상황, 잡"
블루 색상 구매 후 너무 만족해서 더 구매했습니다 샌드 색상도 곧 코디 올릴게요 감사합니다,,"만족하다, 블루, 색상, 샌드, 올리다, 코디","만족하다, 블루, 블루색상, 색상, 샌드, 샌드색상, 올리다, 코디"
킹 쁩니다 기대 안하고 샀는데 스트릿 한 핏감 제가 찾던 느낌이네요 다른 색상도 고민 중임다 제 스펙에 힙하게 입는 거 좋아하시면 하세여," 힙하,  스펙","기대, 느끼다, 쁩니, 색상, 스트릿, 스펙, 좋아하다, 찾다, 핏감, 힙하","xl, 고민, 고민중, 기대, 느끼다, 대안하고, 쁩니, 색상, 스트릿, 스펙, 좋아하다, 중임, 찾다, 킹쁩니, 핏감, 힙하"
소버먼트 너무 좋아요 여름 반팔 겨울 맨투맨 다 여기서 살 거 같아 요 소버먼트 짱,,"겨울, 버먼, 여름, 투맨, 팔","겨울, 맨, 맨투맨, 버먼, 버먼 트, 소, 소버먼트, 여름, 투맨, 트, 팔"
옷 색 감 이쁘고 코디하기에도 편해 요 잘 입겠습니당,,"니당다, 코디, 편하다","니당다, 색감, 코디, 편하다"
피그먼트 워싱 입문으로 좋습니다 제 스펙이 오버사이즈로 잘 맞아요, 워싱,"맞다, 사이즈, 스펙, 워싱, 입문, 피그먼트","맞다, 사이즈, 스펙, 오버, 오버 사이즈, 오버사이즈, 워싱, 입문, 피그먼트"
피그먼트 색감 정말 예쁘게 빠졌고 재질도 하고 좋아요 근데 세탁하니까 살짝 돌아가네요,,"돌아가다, 빠지다, 색감, 세탁, 재질, 피그먼트","근데, 돌아가다, 빠지다, 색감, 세탁, 재질, 피그먼트"
적당히 찌비침 없을 두께감에 과하지 않은 워싱감이 마음에 들었어요 특히 절묘하게 과하지 않은 오버핏 실측이 좋았어요, 오버핏,"두께감, 실측, 오버핏, 워싱감, 적당하다, 절묘하다","두께감, 비침, 실, 실측, 없다, 오버핏, 워싱감, 적당하다, 절묘하다, 찌 비치다"
티가 해서 너무 좋았어요 체형 보완도 되고 피그먼트 덕분에 흔하지 않아요,,"덕분, 보완, 체형, 티, 피그먼트, 흔하다","덕분, 보완, 체형, 탄탄, 티, 피그먼트, 흔하다"
에 키로 평소 크게 입는 거 좋아해서 엑라 시켰어요 색감 핏 모두 좋아서 다른 컬러도 사고 싶어요,,"사고, 색감, 엑, 좋아하다, 컬러, 크게, 평소","162, 48키로, 사고, 색감, 싶다, 엑, 좋아하다, 컬러, 크게, 키로, 평소, 핏"
생각보다 무겁긴 한데 핏도 좋고 재질이 엄청 좋습니다 차콜이라 땀나면 자국 생길 것도 걱정됐는데 자국 티도 안 나고 좋아요, 재질,"걱정, 돼다, 무겁다, 생기다, 자국, 재질, 차콜, 핏","걱정, 나다, 돼다, 따다, 무겁다, 생기다, 자국, 재질, 차콜, 티, 핏"
헬스 년차 입니다 운동 주 회 하는 사람으로써 정말 딱 마음에 드는 오버핏 티셔츠 입니다 색깔 마음에 드는 거 몇 장 더 살까 합니다 길이랑 다 너무 좋아요, 길이,"길이, 년차, 색깔, 오버핏, 운동, 티셔츠","길이, 년차, 사람, 살다, 색깔, 오버핏, 운동, 티셔츠, 헬스"
피그먼트는 소버먼트 그냥 모든 티들이 다 이쁘고 편하고 그러네 여 티셔츠 맛집이 네 여, 티셔츠,"그냥, 그렇다, 맛집, 멀다, 모든, 버먼, 틀다, 티, 티셔츠, 편하다","그냥, 그렇다, 맛집, 멀다, 모든, 모든티, 버먼, 버먼 트, 소, 소버먼트, 트, 틀다, 티, 티셔츠, 편하다, 피그, 피그 멀다 틀다"
두께감 좋고 착 핏도 이 뻐요 다른 분들한테도 추천합니다,,"두께감, 추천, 핏","두께, 두께감, 분, 착핏, 추천, 핏"
여행 때 입었는데 무난하게 입 기 너무 좋네요 사이즈는 오버입니다,,"사이즈, 여행, 오버","사이즈, 여행, 오버"
원단 매우 하고 좋습니다 워싱 덕분에 힙한 느낌에도 잘 붙습니다,,"덕분, 붙다, 워싱, 원단, 힙","덕분, 붙다, 워싱, 원단, 탄탄, 힙"
여러 옷 들 택할 때 피그먼트 처음 입문용으로 좋은 거 같습니다, 처음,"여러, 입문, 처음, 택할, 피그먼트","여러, 입문, 처음, 택할, 피그먼트"
이건 색감이 뒤지게 이 쁨 요긴하게 입고 다닙니다, 요긴,"뒤지다, 색감, 요긴, 이건","뒤지다, 색감, 요긴, 이건"
생각보다 얇고 시원하네요 워싱도 이 뻐요 근데 어깨 사이즈가 저한텐 살짝 더 오버했으면 좋았겠네요, 얇다,"근데, 사이즈, 시원하다, 얇다, 어깨, 오버, 워싱","근데, 사이즈, 시원하다, 얇다, 어깨, 어깨사이즈, 오버, 워싱"
지금부터 입 기 좋아요 편하고 이 쁘고 데일리 각 강 추강추,,"데일리, 편하다","강추, 강추강추, 데일리, 일리, 지금, 추, 추 강추, 편하다"
