Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
그래픽도 예쁜데 이 제품은 핏이 정말 너무 좋습니다 너무 길지 않은 스트릿 한 티셔츠를 찾고 있었는데 이 제품이 딱이네요 자주 입을 것 같습니다, 그래픽,"그래픽, 길다, 딱이다, 스트릿, 제품, 티셔츠, 핏","그래픽, 길다, 딱이다, 스트릿, 스트릿티셔츠, 제품, 찾다, 티셔츠, 핏"
디자인이 너무 예쁘고 그렇게 두껍지도 않아서 한 여름에도 입을 만 해요,,"두껍다, 디자인, 여름","그렇게, 두껍다, 두께, 디자인, 여름"
사이즈도 잘 맞고 디자인이랑 프린팅 다 너무 마음에 들어요, 프린팅,"디자인, 맞다, 사이즈, 프린팅","디자인, 맞다, 사이즈, 프린팅"
넘 예뻐요 프린팅이 안 유치해서 마음에 들어 요 잘 입을 게요,,"유치하다, 프린팅","유치, 유치하다, 프린팅"
커플티로 구매 했는데 너무 이 쁘고 흔하지 않아서 더 좋아요 색감도 잘 빠지고 프린팅도 잘 벗겨 않네요, 프린팅,"빠지다, 색감, 커플티, 프린팅, 흔하다","벗기다, 빠지다, 색감, 커플티, 프린팅, 흔하다"
세미오버 실루엣을 활용하기 좋으며 프린팅이 포인트가 되는 것 같습니다,,"세미, 실루엣, 오버, 포인트, 프린팅, 활용","되다, 세미, 세미 오버, 세미오버실루엣, 실루엣, 오버, 포인트, 프린팅, 활용"
프린팅도 포인트로 너무 이 쁘고 핏도 너무 잘 나와서 이 뻐요 그리고 재질도 오염에 강한 재질 같아서 오래오래 이 쁘게 입기 좋을 거 같아 요 여름에 포인트 옷 구매 하실 거면 이 거 추천 드려요," 추천,  오염","드리다, 여름, 오래오래, 오염, 재질, 추천, 포인트, 프린팅, 핏","강하다, 나오다, 드리다, 여름, 오래오래, 오염, 재질, 추천, 포인트, 프린팅, 핏"
프린팅 완전 이 쁘고 힙하게 오버핏 느낌도 조금 있음,,"오버핏, 프린팅, 힙하","오버핏, 프린팅, 힙하"
일단 그래픽이 이쁩니다 매종 미네드 써 있는데 그냥 이 쁨 무난하게 어떤 바지랑 도 잘 어울립니 다 좋아요 가격도 싸고, 그래픽,"가격, 그래픽, 바지, 싸다","가격, 그냥, 그래픽, 미네, 미네 드, 바지, 싸다, 써다, 어떻다, 어울리다, 종"
우선 가장 큰 장점은 체형을 잡아줍니다 옷을 입고 지인들에게 운동 했냐는 말을 제일 많이 들었어요 프린팅 색감 너무 선명하고 시원한 블루 그레이 조합으로 과하지 않고 무난했어요 너무 예쁩니다 개인적으로 진한 블루보다 그레이가 더 취향이네요 세탁 후 변형 및 실밥 트임 없고 변색이나 줄어드는 모습도 안 보였습니다 핏은 입었을 때 품이 넓어서 시원하게 입 을 수 있었고 또 여유롭다 해서 부하지 않습니다 남성분들 패치 없이 입을 수 있는 두깨로 나왔고 비침 없어서 편하게 입을 수 있어요 배송 너무 빠르게 잘 왔고 하게 잘 신경 써주셔서 항상 감사해요 벌써 미네드 제품만 개네요 미네드 너무 사랑합니다,,"그레이, 변형, 블루, 사랑, 색감, 운동, 제품, 줄어들다, 체형, 패치","개인, 그레이, 남성, 남성분, 모습, 미네, 미네드, 배송, 변색, 변형, 부하, 블루, 비치, 빠르다, 사랑, 색감, 선명하다, 세탁, 시원하다, 신경, 신경써주다, 여유롭다, 운동, 제품, 조합, 줄어들다, 체형, 취향, 트이다, 패치, 프린팅, 핏"
출시 때 품절이었다가 이번에 구매했어요 목 부분이 아주 하고 이너로도 그냥 입어도 프린팅이 멋져서 좋아요,,"멋지다, 부분, 출시, 품절, 프린팅","그냥, 멋지다, 목부분, 부분, 출시, 품절, 프린팅"
기장이 조금만 짧았으면 좋겠어요 그 외에는 괜춘합니다,,"괜춘합니, 기장, 외, 짧다","괜춘합니, 기장, 디자인, 스트레이트핏, 에는, 외, 짧다, 프린팅"
메종 미네드 티셔츠는 프린팅이 너무 매력적인 거 같아 요 종류별로 하나씩 구매 중입니다 사이즈는 오버사이즈이고 원단이나 핏이 너무 예쁘네요,,"매력, 메종, 별로, 사이즈, 오버, 원단, 티셔츠, 프린팅, 핏, 하나","매력, 메종, 미네, 미네 드, 별로, 사이즈, 오버, 오버 사이즈, 오버사이즈, 원단, 이고, 이나, 종류, 중, 티셔츠, 프린팅, 핏, 하나"
아조 이 뻐요 너무 얇지도 않고 더울 만큼 두껍지도 않아요, 두껍다,"덥다, 두껍다, 얇다","덥다, 두껍다, 아조, 얇다"
여름에 시원하게 입 기 좋고 프린트 색감도 맘에 듭니다, 색감,"색감, 시원하다, 여름, 프린트","듭니, 색감, 시원, 시원하다, 여름, 프린트"
블프로 싸게 구매했습니다 청바지에도 잘 어울리고 버뮤다 팬프에도 너무나 잘 어울립니다 두께는 보통입니다 체형 보완해줄 수 있는 정도입니다 메종 미네드 반팔 처음 사보는데 완전 귯입니다 따봉 봉,,"두께, 따다, 보통, 봉, 블프, 사보다, 싸다, 청바지, 체형, 팔, 팬프","귯, 귯입니, 너무나, 두께, 따다, 따다봉, 메종미네드, 미네 드, 버뮤다팬프, 보완, 보완 해주다, 보완해주다, 보통, 봉, 블프, 사보다, 싸다, 어울리다, 청바지, 체형, 팔, 팬프"
기다린 보람이 있는 녀석 내 마음을 저격 성공 넘옙흐네여," 저격,  기다리다","기다리다, 넘옙흐네, 녀석, 보람, 성공, 저격","기다리다, 내, 넘옙흐, 넘옙흐네, 녀석, 보람, 성공, 저격"
생각했던 것보다 핏이 괜찮아서 좋았고 프린팅이 진짜 이 뻐요,,"프린팅, 핏","프린팅, 핏"
두께 적당해서 비침 없을 듯 핏도 마음에 드는 게 왜인지는 모르겠는데 어깨가 넓어 보임 여름에 흰티 중엔 순위로 손 갈 듯 이쁩니당,,"두께, 모르다, 보임, 어깨, 여름, 왜인, 중, 지는, 핏, 희다","갈다, 넓다, 두께, 모르다, 보임, 비치, 비치다, 비침, 순위, 어깨, 여름, 왜인, 적당하다, 중, 지는, 티, 핏, 희다, 희다 티, 희다티"
앞에 프린팅이 너무 예쁘고 사이즈도 딱 잘 맞네요 최애 브랜드입니다, 프린팅,"맞다, 브랜드, 사이즈, 앞, 최애, 프린팅","맞다, 브랜드, 사이즈, 앞, 최애, 프린팅"
너무 예뻐서 보자마자 바로 구매 적당한 오버핏에 덩치도 좀 좋아 보이네요 클론맘 안 만났으면 좋겠더, 클론,"겠다, 만나다, 보이다, 오버핏, 적당하다, 클론","겠다, 덩, 덩 치도, 덩치, 만나다, 보이다, 오버핏, 적당하다, 치도, 클론"
예쁘네용 메종미네드 티셔츠 이 걸로 입문해서 여러 개 사는 중 이번 여름 자주 입고 다닐 게용,,"걸, 메종, 미네, 살다, 여러, 여름, 입문, 티셔츠","걸, 게용, 드, 메종, 메종 미네 드, 메종미네드, 미네, 살다, 여러, 여름, 입문, 티셔츠"
프린팅 자수 같단 말 있던데 자수 같진 않아 요 그냥 크고 예쁜 티셔츠 맘에 듭니다,,"그냥, 자수, 크다, 티셔츠, 프린팅","그냥, 듭니, 디자인, 자수, 크기, 크다, 티셔츠, 프린팅"
출시 때 품절이었다가 이번에 구매했어요 목 부분이 아주 타이트하고 이너로도 그냥 입어도 프린팅이 멋져서 좋아요,,"멋지다, 부분, 출시, 타이트, 품절, 프린팅","그냥, 멋지다, 부분, 출시, 타이트, 품절, 프린팅, 하고"
정말 많이 팔린 티셔츠 같내요 성수동 갔다 커플티만 번 됌,,"가다, 성수동, 커플티, 티셔츠, 팔리다","가다, 돼다, 많이, 성수동, 커플티, 티셔츠, 팔리다"
사이즈 살짝 크게 나온 것 같아 용 스몰 샀는데 괜찮네요 이쁩니다 올 여름 잘 입겠슴니다,,"나오다, 사이즈, 스몰, 여름, 입겠슴니, 크게","나오다, 사이즈, 스몰, 여름, 오다, 올여름, 입겠슴니, 크게, 크기"
저는 목쪽이 살짝 붕 뜨네요 왜 이러지 이 부분은 아쉽지만 이 뻐요, 부분,"목쪽, 부분, 아쉽다, 이르다","목, 목쪽, 부분, 붕뜨, 아쉽다, 이르다"
진짜 너무 귀얍고 잘 산 거 같아 요 엄청이 쁘네요 작년부터 고민했었는데 건졌는데 좋군 요 굿입니다, 귀얍,"건지다, 고민, 굿, 귀얍, 쁘네, 작년","건지다, 고민, 굿, 귀얍, 쁘네, 작년"
진나 너무너 무너무너무너무 이 뻐요특히 프린팅이 너무 이 뻐요,,"진나, 프린팅","무, 진나, 특히, 프린팅"
좋아하는 브랜드인데 할인하길래 얼른 샀습 다 단품으로 입어도 훌륭하고 이너로 입어도 전면 포인트 굿이에 요 배송 예정 날짜보다 일찍 받아서 좋았어요 감사합니다,,"받다, 브랜드, 이너, 전면, 품, 할인, 훌륭하다","감사, 굿, 날짜, 단, 단품, 받다, 배송, 배송예정, 브랜드, 얼른, 예정, 이너, 인데, 일찍, 전면, 포인트, 품, 할인, 훌륭하다"
이쁘게 잘 입었습니다 가성비 고 힙 한 무드 좋아요,,"가성비, 무드","가성비, 무드, 힙한무드"
