Review,keyword
저 날 술을 좀 마셔서 누워 있긴 한데 어깨부터 발 끝까지 전신 사진이 나오긴 했네요 바지 예쁘고 편합니다,"술, 나오다, 눕다, 편하다, 마시다, 사진"
옷 줄어든다는 후기 보고 큰 사이즈로 구매했는데 너무 길어서 기 장 줄였어요 여성분들은 제일 작은 사이즈 구매하시는 게 좋을 거 같아 요 핏은 진짜 마음에 듭니단,"여성, 분들, 사이즈, 줄어들다, 줄이다"
진짜 예뻐요 벌룬 핏이면서 힙하고 기장이 제가 키가 작아서 딱 맘에 들어요,"핏이면, 힙, 하고, 작다, 키, 기장"
아부지 강아지랑 산책 하실 때 입으실 편한 옷 사드렸어용,"강아지, 사, 드리다, 아부지, 편하다, 산책"
한껏 꾸밈없는 날 것 임에도 이렇게 나 멋지 다니 내 잘생긴 얼굴과 훌륭한 바디를 초라하게 만든 스웻트 판츠,"얼굴, 훌륭하다, 멋지다, 꾸밈, 없다, 바디, 잘생기다, 한껏, 스웻트, 초라하다"
회색 기본 츄리닝 오랫동안 찾고 있었는데 너무 좋아요 찾았다 내 사랑 내가 찾던 사랑,"찾다, 내, 오랫동안, 츄리닝, 사랑, 회색"
nan,nan
아메카지나 시티 보이룩 뭐 이런 느낌 좋아하구 핀 턱 와이드 팬츠 꾸안꾸로 입는 거 좋아하면 정말 만족하는 제품일 것 같아 요 고민 많이 하다가 구매했는데 배송 받고 입어 본 다음에 왜 일찍 안시켰는지 후회했어요 존 예입니다 깔별로 구매하고 싶어요 아 그리고 평소 크게 입으시는 분들도 그냥 정싸이즈 시켜도 될 것 같아 요 원래 입는데 품절되는 바람에 시켰는데 시켰으면 큰일  날 뻔 했습니 더,"팬츠, 받다, 분, 하고"
그레이도 예쁩니다 그냥 실루엣이 예뻐서 두루 두루 입어주기 좋네요,"실루엣, 그냥, 그레이"
제가 입으니까 그저 찐 모델들에게 속 지 마세요,"말다, 모델"
데일리로 입 기 괜찮은 제품인 것 같아 요 만족스럽습니다,"만족스럽다, 데일리, 제품"
처음에 입었을 때 생각했던 것보다 통이 엄청 넓어서 당황하긴 했는디 입 다 보니까 익숙해지고 핏 예뻐 여 글구 완전 편해 여 한 여름 아닌 이상은 계속 입을 수 있을 것 같은 두께입니 당 저랑 스펙 비슷하신 분들 엄청 오버핏 원하시는 거 아니면 사이즈가 적당할 것 같아요,"사이즈, 익숙해지다, 편하다, 넓다, 두께, 분들"
와핏 장난 없다 여러분 이 거 진짜 고민하시고 계시면 무조건 지르세요 미쳤습니다,"미치다, 계시, 와핏, 고민, 지르다, 장난, 무조건, 없다"
난 아재 다 청춘이고 싶어서 영옷을 입었다 하지만 난 아재다,"싶다, 청춘, 이고, 재다, 재"
너무 길어서 밑단이 밟히더라구 요 그걸 보신 저희 아버지께서 손수 제 바지를 걷어 올려주샸습니다 덕분에 멋쟁이 된 것 같아서 기분이 좋네욥,"아버지, 께서, 욥, 밟다, 구, 걷다, 기분, 덕분, 올려주다, 샸습, 멋쟁이, 밑단"
리뷰는 늘 뭔가 받으려고 형식상 썼는데 이건 못 참겠네요 일단 핏 미쳤습니다 요즘 와이드에 빠져서 트레닝 복 바지까지 와이드로 샀는데 성공했습니다 와이드 초심자한테 내가 바로 와이드 다 느낌이기에 참고하시어 도 전하시면 좋을 듯 합니다 저는 키 대비 다리가 굉장히 짧기 때문에 바지를 배꼽 위까지 끌어올린 상태라는 것도 참고하셔 요 바지 퀄리티는 이상이였고 적당 히 두꺼워서 가을 초겨울도 가능할 듯 해요 포장 상태며 제대로 된 곳에서 산 듯한 느낌이 참 좋았습니다 코디하지 않고 집에 있다가 택배 온 거 바로 입어 재낀 건데 이런 비주얼이니 제대로 코디하면 진짜 이 쁠 것 같아 요 적극 추천합니다,"바지, 다리, 리뷰, 추천, 짧다, 트레닝, 위"
nan,nan
맨날 입고 다니고 싶은데 나갈 데가 없네요 통이 넓고 길어서 크롭 상의 랑 입어야 더 예쁜 거 같습니당,"넓다, 니당다, 싶다, 상의, 통"
스웻 팬츠 처음 사봐서 기대도 하고 걱정도 했었는데 이 쁜 핏 나와서 너무 좋네요 기준 허리밴딩이 꽤 해서 작을 줄 알았는데 편하게 잘 맞아요 바지 통도 괜찮고 턱이 잡혀 있어서 더 이 쁜 핏이 나오는 거 같아 요 기장도 이 정도면 살짝 애매한 거 같기도 하지만 딱 발 등 덮는 정도라서 입을 만 한 거 같아 요 이거 저거 다 입을 수 있을 정도로 코디 범용 넓고 이 번 가을 겨울에  엄청 유용하게 쓰일 거 같아 요 스웻팬츠 처음 입문하시는 분들이라면 강추할게요,"바지, 팬츠, 기장, 편하다, 작, 잡히다, 통, 스웻"
키 몸무게 위 허벅지 둘레 아래 허벅지 둘레 다리 길이 약 참고하세유,"참고, 유, 몸무게, 허벅지, 다리, 둘레, 아래, 길이"
키가 여 자치곤 큰 편이라 길이 본다고 후기 히 봐가며 골라 샀는데 생각보다 짧네요 신발 좀 덮는 기장을 원했는데 그렇게 입으려면 골반 바지처럼 입어야 하더라구 요 아쉽긴 하지만 그 점만 빼면 재질도 괜찮고 허리도 끈이 해서 맞게 입을 수 있어요,"신발, 바지, 처럼, 허리, 짧다, 키, 기장"
돼지인데 잘 맞았어요 진짜 편한 건 오지게 편하면서도 핏도 괜찮고 결국 문제는 나의 몸뚱아리 일 뿐 바지 점박이들은 어 제 비 맞고 집 도착하자마자 찍은 거라 이 해 좀 용,"도착, 편하다, 바지, 돼지, 인데, 맞다, 몸뚱, 아리"
턱이 잡혀 있어서 포인트 주기 좋습니다 바지가 여유롭게 크니까 좋네요 스웻 팬츠는 제로에서 인기 있는 제품일만 합니다,"팬츠, 제품, 일만, 여유롭다, 제로, 크다, 잡히다, 턱"
제가 생각한 그런 츄리닝 핏이 딱 나와서 너무 좋아요 두께감도 적당하고 약간 진짜 자주 입을 수 있는 무릎 나오면 하나 더 사서 입으려구요 전투용으로 데일리용으로 너무 좋은 상품입니다,"상품, 구, 무릎, 두께감, 적당하다, 츄리닝, 데일리"
적당히 두께감이 있어서 가을 초겨울 시즌에 입 기 좋을 듯 합니 당 살짝 루즈 한 핏을 원했는데 사이즈도 길이도 딱 좋아요 편하고 예뻐서 아마 손이 자주 갈 거 같네요 닳을 때까지 입고 다닐 예정,"편하다, 두께감, 사이즈, 초겨울, 적당하다, 시즌"
옆면 실루엣도 이쁘게 나오고 기장도 신발 살짝 덮는 게 적당하네요 일단 올해의 신발인 오트리에 찰떡인 것만 봐도 살 가치가 았습니다,"신발, 찰떡, 적당하다, 가치, 기장, 올해, 옆면, 실루엣"
을 샀다 세탁기 돌리면 당연히 줄어들 줄 알았다 그 것은 나의 크나큰 착각 하나도 줄어들지 않았지 휴 애들이 나의 바지 핏을 조롱하기 시작 하지만 괜찮아 난 입을 수 있어 예뻐,"바지, 조롱, 세탁기, 줄어들다, 돌리다, 애"
진자 지금까지 산 추리닝 중에 제일 최고 최고 입니다 색깔별로 다 구매했어요 허리가 좀 조이지만 그래도 흘러내리고 보풀 생기고 이런 게 없어요 너무 편하고 예쁘네여,"색깔, 별로, 최고, 편하다, 허리, 진자, 흘러내리다, 중, 추리, 닝"
나이 살에 제로 조거 팬츠를 입으니 판매자님 덕분에 힙해졌습니다 대로 돌아간 기분입니다 감사합니다,"힙, 팬츠, 살, 덕분, 판매, 님, 대로, 돌아가다, 기분"
핏 미쳤다리 미쳤다 여기가 핀 턱 추리닝 맛집이라던데 맞말이었읍니다,"맛집, 던데, 미치다, 추리, 닝, 맞다, 읍니"
오빠도 탐 내서 입음 이 거 입으면 힙걸 될 수 이 써영,"힙걸, 오빠, 내다, 써다"
야레야레 이 바지를 입은 나 여자들한테 쫌 위험할지도,"여자, 야레야레, 위험하다, 바지"
너무 좋고요 너무 딱 맞고요 개꿀,"맞다, 개꿀"
멋져 보이고 싶은 아빠 나이 딸이 커갈수록 욱 젊어 보여야 딸과 더 많은 데이트를 할 수 있겠죠 그러기엔 무신사만한 곳도 없어 보입니다 고마워요 갓 신사,"딸, 젊다, 나이, 고맙다, 아빠, 데이트, 그렇다, 보이다"
첨엔 다리 두 개 들 갈 것 가 튼 크기에 아 조졌나 했는데 입 다 보니까 개편하고 개이 쁘고 힙해요 어디 입어도 이 쁘고 걍 최고,"개다, 다리, 첨, 크기, 개편, 하고, 최고, 힙해, 보"
인생와이드 스웻팬츠 찾았음 앞으로 와이드 스웻팬츠는 여기서 사려고요,"스웻팬츠, 찾다, 인생, 와이드, 앞, 스웻, 팬츠"
첨 스웨트 팬트 사봤는데 생각보다 만족하게 입네요,"사보다, 만족하다, 팬트, 스웨, 트"
너무 좋아서 하나 더 샀습니다 사이즈도 좋고 편안하게 입 기 편합니다,"편안하다, 편하다, 사이즈, 하나"
핀 턱 잡힌 게 너 무너무 멋스럽고 예뻐서 큰 거 감안하고 구매했어요 세탁하면 줄어든다길래 기장 수선은 안하고 통만 줄였습니다 사진은 허리 한번 접어 입었어요 두께감은 여름 빼고 다 입을 수 있을 것 같고 항아리 핏이네요 힙하고 아주 편합니다,"세탁, 사진, 편하다, 접다, 두께감, 허리, 멋, 스럽다"
꾸안꾸 느낌 주기 좋은 것 같아요 편하고 잘 입을 거 같네요,"꾸안꾸, 편하다, 주기"
저희 아빠예요 저보다 잘 어울리는 듯 딸도 분 발합니다,"아빠, 예요, 어울리다, 발, 딸도"
사이즈는 하구요 약간 크기는 한대 쪼금만 줄이면 이쁠거 같아여,"쪼금, 줄이다, 대, 사이즈, 크기"
진짜 편하구 길어서 너무너무 좋아 잉 두께감 좀 있어서 아직은 쫘끔 더울 수도,"편하다, 아직, 덥다, 두께감, 수도, 쫘끔"
기장하며 통하며 너무 맘에 들어 요 디자인도 앞 핀 턱 때문에 하지 않고 이 쁘네요 재입고 기다린 보람이 있네 욥,"쁘네, 보람, 기장, 때문, 재, 통, 디자인"
통도 적당히 크고 주름도 어색하지 않아서 아무 상의에 입어도 다 이 뻐요,"어색하다, 상의, 적당하다, 주름, 크다, 통"
바지는 사이즈 나와 있는 거보다 생각보다 훨씬 클거임 근데 무릎 튀어나 옴 없어서 좋고 스타일도 기본,"스타일, 없다, 근데, 튀어, 사이즈, 크다, 바지"
재구매 번째 입니다 편하고 어느 옷에 다 어울립니 다,"번째, 편하다, 어울리다, 재다"
웨 안 사 두께감 핏 활용도며 너무 다 좋아요 허벅지가 두꺼워 보이지 않을까 걱정했는데 절대 오히려 너무 예쁩니다 춤 출 때에 입는 바지로도 그냥 코트에 편안하게 꾸안 꾸룩으로도 모두 체 고 채 고,"코트, 허벅지, 편안하다, 두께감, 두껍다, 보이지"
샀으면 큰일 날 뻔 다른 분과 같이 알라딘의 도 적단 중 번째 도 적이 될 뻔 예쁨,"알라딘, 번째, 분과, 큰일, 적다"
우리 누나가 잠옷 같다고 이 상하다고 합니다 동생이 이 뻐 보일리가 없겠죠 개짜증나네,"개, 짜증나다, 동생, 상, 없다, 보이다, 리가, 누나, 잠옷"
아 거 참 좋습니다 산스장에서 웃 옷 벗고 운동하기 좋습니다,"벗다, 운동, 산스장"
기장 원하던 곱창 지는 기장이고 맘에 드네 여 감 삼다,"드, 기장, 이고, 원하다, 지다, 삼다, 곱창"
편하게 입고 다니기 좋네요 생각보다 눈 기장이 아주 쪼끔 짧았는데 이 뻐요,"짧다, 쪼끔, 편하다, 기장"
제 스펙에는 사이즈가 딱인 것 같아 요 길이 때문에 고민 많이 했는데 더 큰 사이즈 샀으면 통이 너무 컸을 듯 두 번째 사진 보시면 통 어느 정도인지 알기 쉬우 실 것 같아 요 딱 부담스럽지 않고 예쁩니 당 사진은 허리 아래쪽에 걸치게 입은 거고 번째는 배꼽 위까지 올려서 입은 건데 치켜 올려서 입는 거 좋아하시는 분들 참고하시면 좋을 듯 처럼 입으면 좀 부해 보이고 길이 도 짧아져요 저는 처럼 입으려고 샀습니다 어차피 허리 사이즈가 커서 처럼 못 입음 계속 흘러내려 여,"부담, 스럽지, 사이즈, 사진, 짧아지다, 아래쪽"
정말 이 뻐요 정말 정말 정말 정말 쩌 알요 저랑 키가 비슷한 분들은 엑스 에스 추천해요 막 입어도 핏살고 귀여워용 밴딩 있어서 편하고 아무 때나 입어도 좋아요,"귀엽다, 분, 밴딩, 편하다, 추천, 엑스"
클 거 알고 샀구 용 핏 커요 예뻐서 그냥 건조기 돌려서 입어 볼 생각이 구용 현실 핏입니당,"건조기, 그냥, 알, 크다, 핏, 돌리다, 구"
한여름에는 힘들 거 같네요 하지만 바지 핏은 매우 예쁩니다,"핏, 바지, 한여름, 에는, 힘들다"
진싐 바지 개이쁘고 길이 지립니다 길이 맞는 바지 못 찾아서 맨날 허우대 같은 바지 입다가 이 거입으니까 지려 요 덮바지,"바지, 덮다, 개, 지리다, 허우대, 맨날"
아주 아주 편하네 여 여름에는 조금 두꺼워서 더울 수도 있어요 무난합니다,"두껍다, 편하다, 덥다, 수도, 여름, 에는"
완전 오버핏입니다 맘에 들어 요 편하고 촉감도 좋아요 허리 밴딩 엄청 합니다,"편하다, 오버핏, 밴딩, 허리"
이 프리 입는 다길래 따라 삿는데 배바지해야 댐 님들은 라지 사세요,"길, 삿는데, 님들, 배, 바지, 따르다, 라지, 프리"
사이즈랑 같이 주문했어요 사이즈 세탁했을 때 수축되면 입으려고 샀는데 사이즈도 벌룬 핏 느낌나고 이쁜 거 같아서 그냥 같이 돌려가면서 입으려고 요 사이즈는 허리가 쪼이지 않아서 좋네요,"사이즈, 세탁, 수축, 주문"
크지만 큰 핏을 원해서 너무 맘에 들어 요 다들 고민 없이 사 세용,"핏, 크다, 원하다, 없이, 세용, 고민"
사이즈 때 매 젤 걱정했는데 사이즈 딱 예쁜 오버핏으로 맞아요 담엔 오트밀색도 살 거에 여 통이 크니까 허리가 얇아 보이는 효과 배송도 빠르고 다아 좋아 용,"오트밀, 색도, 크다, 맞다, 얇다, 빠르다, 오버핏, 걱정, 통"
저와 비슷한 체형이면 바로 가셔도 됩니다 덩치가 있는 편인데도 사진처럼 흘러내리는 듯한 핏 연출이 되네요,"사진, 처럼, 체형, 펴다, 흘러내리다, 갈다, 덩, 치가"
남자친구 꺼랑 같이 샀는데 더울 때 샀어서 아직 같이 입고 찍은 사진은 없네 용 은 좀 크고 여성분들은 사셔도 돼 유 사진 찍는데 저희 집 강아지 뭉치가 바지 이쁘다고 보러 온 거 같아 용 저히 집 뭉치 보구가 세 여 같이 산지 햇수로 년 됐어요,"강아지, 사진, 바지, 남자친구, 크다"
세탁 후 건조돌리니 생각보다 기장이 많이 줄어 듬 잠옷으로 입는 중,"잠옷, 건조, 돌리다, 줄다, 기장, 세탁, 많이"
턱 디테일 깊게 들어가서 너무 마음에 듭니다 통도 넓찍하니 좋네요,"넓다, 찍다, 들어가다, 깊다, 통, 디테일"
