Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
가성비가 좋고 디자인이 예뻐요 유행 없이 입을 수 있어요,,"가성비, 디자인, 유행","가성비, 디자인, 없이, 유행"
진짜 완전 이 뻐요 핏도 완전 이쁘고 사이즈도 괜찮구 제 최애 티,,"사이즈, 최애, 핏","사이즈, 최애, 핏"
옷 가볍고 목 부근 이 한 거 같아서 좋아요 디자인도 심플해서 입 기 좋은 것 같습니다, 디자인,"가볍다, 디자인, 부근, 심플","가볍다, 디자인, 목, 부근, 심플, 심플함"
날씨가 갑자기 더워져서 구매 했는데 역시 디자인 최고네여,,"갑자기, 날씨, 더워지다, 디자인, 최고","갑자기, 날씨, 더워지다, 디자인, 최고"
운동할 때 입을 려고 삿어요 그냥 저냥 입기 좋은 핏입니다,,"그냥, 려고, 삿어, 운동, 핏입니","그냥, 냥, 려고, 삿어, 운동, 절, 핏, 핏입니"
핏이랑 디자인 다 맘에 들어 요 재질도 여러 번 빨았는데도 하고 프린팅도 선명해요 그냥 휘뚜루마 뚜루 입을 수 있어서 손이 자주가는 옷입니다, 재질,"가다, 디자인, 선명하다, 손, 여러, 재질, 프린팅","가다, 디자인, 뚜루, 빨다, 선명, 선명하다, 손, 여러, 재질, 프린팅, 핏, 휘뚜루, 휘뚜루마뚜루"
재질도 좋고 깔끔해서 무난하게 잘 입을 수 있을 것 같아요,,"깔끔하다, 재질","깔끔하다, 깔다끄다, 재질"
착용감 좋고 짅자 무슨 색깔 입지 고민하다가 검정으로 삿어용 생각보다 맘에 들고 다른 색으로 하나 더 살까 고민즁이 애여,,"검정, 고민, 살다, 삿어용, 색, 색깔, 입지, 착용","검정, 고민, 고민 즁, 살다, 삿어용, 색, 색깔, 애, 입지, 즁, 짅자, 착용, 하나"
아들이 입고 싶다고 해서 주문했는데 맘에 들어 하네요 여름 면 티치고 좀 도 톰한 편이고 스판끼가 좀 있는 느낌이예요 폴리가 조금 섞여 있어 으면 하는 바램이 드네요,,"섞이다, 아들, 여름, 주문, 톰, 편이, 폴리","도톰, 면티, 바램, 섞이다, 스판끼, 스팔, 아들, 여름, 으면, 주문, 치고, 톰, 티, 편이, 폴리"
배송 빠르게 왔습니다 재질 디자인 마음에 들어 요," 배송,  재질","디자인, 배송, 빠르다, 오다, 재질","디자인, 배송, 빠르기, 빠르다, 오다, 재질"
아니 일단 포장부터 로고 너무 이 쁘고 내 스펙에 가 진짜 찰떡 스투시 하위 호환 가 태요,,"로고, 스펙, 아니다, 찰떡, 태, 투시, 포장, 하위, 호환","가다, 로고, 스, 스 투시, 스텝, 스펙, 아니다, 찰떡, 태, 투시, 포장, 하위, 호환"
