Review,keyword
진짜 기 본티 찾고 있었는데 좋아요 심플 이즈 베스트 넘흐예브 내형,"넘흐예브, 내형, 심플, 베스트, 티, 찾다, 이즈"
예일 티셔츠 너무 조아 요 천도 너무 좋고 맘에 들어 요 편하게 잘 입을 것 같아 요,"편하다, 예일, 티셔츠, 조아, 천"
그냥 기 본티로 입 기 무난합니다 재질도 좋고 사이즈도 괜찮고 만족합니다,"만족하다, 사이즈, 그냥, 티, 재질"
개인적으로 티셔츠는 세탁 후 변형 정도가 중요하다고 생각해서 후기 작성까지 좀 기다렸어요 사진은 달 착용한 후 모습 구매일 작성일 약 달 착용하면서 세탁도 거의 번 넘게 한 것 같은데 목 부분 주름지는 거 거의 없고 처음 상태랑 비슷해 요 전 키에 비해서 상체가 긴 편인데 특히 팔 제 기준 팔꿈치 위 정도에서 소매가 끝나요 사이즈 특정할 때 참고하세요,"세탁, 티셔츠, 팔꿈치, 사이즈, 구, 매일, 사진, 개인, 기다리다"
제 몸에 제 몸무게가 흔하지 않지만 혹시 계시면 보고 도움이 되면 좋겠습니다 얇기도 적당히 얇아서 더워지면 딱 입기 좋고 비침도 없어요 이렇게 편한 옷을 심지어 두장을 이 가격에 사게 돼서 놀랍네요 진짜 만족 중에 대 만족입니다,"몸무게, 더워지다, 편하다, 만족, 얇다"
처음에 으로 구입했는데 몸통 둘레가 어벙하게 커서 로 재구입 했어요 약간 오버핏으로 사이즈 딱이에요 다음 페이지로 넘기시면 사이즈 착용 올린 사진 있으니 비교해 보세요 저와 키 몸무게 비슷하신 분 추천합니다,"사이즈, 커서, 몸무게, 페이지, 사진, 몸통, 착용, 추천"
사이즈 구매했는데 생각보다 큼 흰색 컬러 생각보다 두꺼워 안에 나 시 입어도 잘 안비침 팔소매 부분 지름이 다른 옷보다 커 팔이 얇아 보임 안에 넣어 입어도 되고 밖으로 빼서 입어도 이쁨,"팔이, 얇다, 두껍다, 팔, 소매, 사이즈, 컬러"
옷감이 좋고 편하고 동네 산책할 때나 스타일 내기 무난합니다 살이 비치지도 않고 정말 편하네요,"옷감, 편하다, 산책, 스타일, 비치다, 살이"
제 동생 사줬는데 키로는 는 정핏 같고 은 살짝 오버핏 느낌입니다 참고하세요,"사주다, 정핏, 참고, 오버핏, 키, 로는, 동생"
너무 조 하용 많이 클 까봐 걱정했는데 괜찮았어요,"걱정, 까봐, 하용, 많이"
큼직하고 별로 안 두꺼운 옷이어서 자켓 안에 가볍게 입을 만 해요,"가볍다, 큼직하다, 별로, 두껍다, 자켓"
생각보다 사이즈가 작은 것 같아요 감 안하시고 평소 사이즈보다 한 치수 큰 거 선택하시는 게 좋을 듯 저는 좀 작네요,"작다, 사이즈, 선택, 평소"
너무 맘에 들어 용 무난하고 깔끔하고 재질도 만족합니당,"깔끔하다, 만족하다, 하고, 재질"
목이 찡겨요 이 정도면 암살 시도 각 긐데 목 나중에 늘어날 거 샹각하면 뭐,"늘어나다, 샹각하, 찡, 겨, 목, 긐데, 나중, 암살, 시도"
꾸안꾸로 가볍게 입 기 좋아요 로고할 디자인도 너무너무 깔끔하고 여름에 운동할 때도 편합니다 다들 여름 기본템 요거 강추,"여름, 깔끔하다, 가볍다, 디자인, 편하다, 운동, 꾸안꾸, 기본, 로고"
완전 재질이 시원하고 원플원이라 가성비 좋아요,"원플원, 재질, 시원하다, 가성비"
으로 판매하길래 구매하였습니다 가성비도 좋고 기본에 포인트 주기에 좋아 구매하였습니다 추천합니다,"추천, 판매, 주기, 기본, 가성비, 포인트"
예일반팔티가 젖툭 튀가 없어서 진짜 좋은 거 같아요,"일, 팔, 티, 없다, 젖툭, 튀다"
음 한 번 빨자마자 옷이 한 사이즈 줄었어요 다들 사지 마세요,"말다, 사지, 빨다, 줄다, 사이즈"
괜히 했나 고민했는데 로 하길 너무 잘한 거 같아 요 길이감이 약간 애매해 보이긴 한데 그래도 무난무난하게 잘 입을 거 같아 요 네이비 색깔로 사고 싶었는데 사이즈가 없어서 검정으로 걍 했는데 기 본템 느낌이어서 좋아요 로고도 포인트만 준 느낌이라 자주 입을 거 같습니당,"색깔, 로고, 검정, 사이즈, 니당다, 길이감, 보이다"
딱 제가 원하는 재질이 고 스타일인데 쵸큼 짧네 여 그래 두 좋아요 내 스탈,"스타일, 인데, 그렇다, 재질, 쵸, 크다, 원하다, 스탈, 짧다"
사이즈는 정 사이즈 구매하시면 될 거 같습니다 정 사이즈 구매해도 예쁘게 떨어지는 오버핏 입니다 이다 보니까 가격 대비 너무 좋습니다,"사이즈, 보"
일반 예일 티셔츠와 두께와 질감 모두 동일합니다 잘 입을 거 같아요,"티셔츠, 두께, 예일, 동일하다, 일반, 질감"
팔이랑 전체 기장이 생각보다 길어요 한 번 접고 입었어요 이 뻐요 굿,"팔이, 기장, 접다, 전체"
후리한 게 아주 이쁘네요 흰티가 구멍 나서 왔는데 바로 교환해 주셔서 기분이 좋아요 오늘부터 예일만 살게요,"오늘, 예일, 살다, 오다, 나서다, 교환, 주다, 기분"
사이즈 하게 맞아요 로고가 깔끔하게 적당한 사이즈로 박혀 있어 좋아요 소재는 기존 다른 면티보다 하고 목 늘어짐도 없어서 만족해요 이미 여 회 세태한 후의 리뷰인데 색 감소 재 한결 같아서 큰 사이즈로 오빠도 구입한 다 하네요 사진상으로는 잘 안 느껴지는데 소재 감 단정한 라인이 소재가 흐물 대지 않는 두툼한 면티인데도 하거나 더운 느낌 없어 좋아요 사진은 강아지  안고 찍었더니 개털이 많이 묻어 있네요 가을에도 이너로 입을 생각입니다 대 개의 여름 소재 흐물거리는 싼티 느낌 안 나서 좋을 듯해요 흰색이 더 예쁜데 얼룩 묻으면 뜨거운 물에 과 탄산소 다 넣어 담가둬요 깜짝 깨끗해집니다,"소재, 사진, 면티, 인데, 티보, 늘어지다, 찍다, 개털, 사이즈"
색상이 선명하고 사이즈가 오버핏이라 마음에 듭니다,"색상, 사이즈, 오버핏, 선명하다"
이너로 입기에 정말 좋습니다 자주 입을 것 같네요,이너
일단 세미오버핏 느낌으로 떨어지고 원단이 도 톰한 게 흰색 옷이 여도 비치는 감이 적습니다 핏도 오버핏인데도 몸이 살짝 커 보이게 해주는 듯한 느낌도 주네요 로 입으면 더 오버하게 박시하게 입을 수 있고 로 입으시면 어느 정도 핏하면서도 세미오버핏으로 입을 수 있네요 무난해서 좋습니다,"흰색, 몸, 핏, 박다"
운동하러 갈 때 레깅스 위에 입으려고 구매했는데 궁둥이 가려주고 좋네요 면도 좋아요,"운동, 가다, 궁둥이, 레깅스, 위, 면도"
몸무게가 에서 왔다 갔다 합니다 대한민국 표준체형입니다 사이즈가 약간 크게 나온 듯합니다 구매하실 때 참고하세요 으로 넣입 빼 입 사진 첨부합니다,"사이즈, 표준, 체형, 몸무게, 대한민국, 첨부, 참고, 사진, 넣다"
평범한 티셔츠입니다 사이즈는 조금 크게 나온 거 같네요,"티셔츠, 나오다, 사이즈, 크게, 평범하다"
진짜 싸게 티셔츠 개 구입했네요 이번 여름에 많이 입어야겠네요,"여름, 싸다, 티셔츠, 많이"
배송은 느려 요 상품 받고 원했던 한 재질이라 마음에 들었고 제 실수로 건조기 돌렸다가 사이즈가 조금 줄었어요 사실 오버핏 느낌보단 슬림핏을 좋아하는 저로 선 괜찮아요 한 재질이라 늘어날 염려없고 절대 건조기는 돌리지 마세요,"건조기, 느리다, 줄다, 배송, 슬림핏, 재질, 원하다, 받다"
세탁하고 나니까 무슨 아기 옷이 되 버려서 한 번 입고버리네요,"버리다, 세탁, 하고, 아기"
두툼하고 베이직하게 잘 활용해서 입을 수 있습니당,"활용, 베이직, 두툼, 하고, 니당다"
개인적인 리뷰입니다 정말 제가 샀던 반팔 중 베스트 템으로 뽑히고 있어요 먼저 면 재질이 너무 만족스럽습니다 약간 두꺼운 느낌이 있어 월까지 코디해서 입으려고 요 요즘은 이 거 하나 입고 반 바지 입고 맨날 다녀 요 다만 건조기 돌리실 분은 저도 돌리니까 작아져서 한 사이즈 크게 구매하시는 거 추천 드려 요 아무튼 무신사에서 너무 잘 산 거 같고 나중에 한 사이즈 크게 재구매 계 획입니다 너무 만족합니다,"바지, 추천, 건조기, 리뷰, 작아지다, 사이즈, 팔"
