Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
진짜 기 본티 찾고 있었는데 좋아요 심플 이즈 베스트 넘흐예브 내형, 심플,"베스트, 심플, 이즈, 찾다, 티","기본티, 내형, 넘흐예브, 베스트, 심플, 이즈, 이즈베스트, 찾다, 티"
예일 티셔츠 너무 조아 요 천도 너무 좋고 맘에 들어 요 편하게 잘 입을 것 같아 요,,"예일, 티셔츠, 편하다","예일, 조아, 천, 천도, 티셔츠, 편하다, 편하다자다"
그냥 기 본티로 입 기 무난합니다 재질도 좋고 사이즈도 괜찮고 만족합니다, 재질,"그냥, 만족하다, 사이즈, 재질, 티","그냥, 기본티, 만족, 만족하다, 사이즈, 재질, 티"
개인적으로 티셔츠는 세탁 후 변형 정도가 중요하다고 생각해서 후기 작성까지 좀 기다렸어요 사진은 달 착용한 후 모습 구매일 작성일 약 달 착용하면서 세탁도 거의 번 넘게 한 것 같은데 목 부분 주름지는 거 거의 없고 처음 상태랑 비슷해 요 전 키에 비해서 상체가 긴 편인데 특히 팔 제 기준 팔꿈치 위 정도에서 소매가 끝나요 사이즈 특정할 때 참고하세요,,"개인, 기다리다, 변형, 사이즈, 사진, 세탁, 중요하다, 착용, 특정하다","개인, 구, 구매일, 기다리다, 끝나다, 매일, 모습, 변형, 사이즈, 사진, 상체, 상태, 세탁, 소매, 약, 작성, 작성 일, 작성일, 중요하다, 지는, 착용, 참고, 특정하다, 티셔츠, 팔, 팔꿈치, 후기"
제 몸에 제 몸무게가 흔하지 않지만 혹시 계시면 보고 도움이 되면 좋겠습니다 얇기도 적당히 얇아서 더워지면 딱 입기 좋고 비침도 없어요 이렇게 편한 옷을 심지어 두장을 이 가격에 사게 돼서 놀랍네요 진짜 만족 중에 대 만족입니다,,"더워지다, 도움, 만족, 몸무게, 얇다, 흔하다","가격, 계시, 대다, 더워지다, 도움, 만족, 몸무게, 보고, 비치, 비치다, 얇다, 이렇게, 적당하다, 편하다, 흔하다"
처음에 으로 구입했는데 몸통 둘레가 어벙하게 커서 로 재구입 했어요 약간 오버핏으로 사이즈 딱이에요 다음 페이지로 넘기시면 사이즈 착용 올린 사진 있으니 비교해 보세요 저와 키 몸무게 비슷하신 분 추천합니다,,"넘기다, 몸무게, 벙하다, 비교, 사이즈, 사진, 착용, 커서, 페이지","M, S, 넘기다, 둘레, 몸무게, 몸통, 벙하다, 비교, 사이즈, 사진, 오버핏, 올리다, 재, 착용, 처음, 추천, 커서, 페이지"
사이즈 구매했는데 생각보다 큼 흰색 컬러 생각보다 두꺼워 안에 나 시 입어도 잘 안비침 팔소매 부분 지름이 다른 옷보다 커 팔이 얇아 보임 안에 넣어 입어도 되고 밖으로 빼서 입어도 이쁨,,"보임, 사이즈, 소매, 컬러, 팔이","1174cm77kg2L크다3흰색컬러두껍다날다다비치4팔소부분지름보다크팔이얇다보임5넣다되다밖빼다, 넣다, 두껍다, 보임, 부분, 비치다, 빼다, 사이즈, 소매, 얇다, 지름, 컬러, 크다, 팔, 팔이, 흰색"
옷감이 좋고 편하고 동네 산책할 때나 스타일 내기 무난합니다 살이 비치지도 않고 정말 편하네요,,"내기, 동네, 비치다, 산책, 살이, 스타일, 옷감, 편하다","내기, 동네, 동네산책, 비치, 비치다, 산책, 살, 살이, 스타일, 스타일내기, 옷감, 편, 편하다"
제 동생 사줬는데 키로는 는 정핏 같고 은 살짝 오버핏 느낌입니다 참고하세요, 오버핏,"동생, 사주다, 오버핏, 정핏, 참고, 키","m, s, 늘다, 동생, 로는, 사주다, 오버핏, 정핏, 참고, 키"
너무 조 하용 많이 클 까봐 걱정했는데 괜찮았어요,,"걱정, 까봐, 크다, 하용","걱정, 까봐, 많이, 조하용, 크다, 하용"
