Review,keyword
사이즈 잘 맞구 요 스타일도 좋아서 자주 입는 옷이에요,"스타일, 맞다, 사이즈"
예쁘고 무낭하네요 사이즈 한 치수 크게 해도 될 듯해요,"무낭, 해도, 치수, 크게, 사이즈"
제 체형에서 는 확실히 크고 은 딱 붙습니다 흰 옷은 요즘 입기엔 적당한 두께이나 비침이 있고요 얼룩 사이즈의 이 유로 재구매 의사는 없습니다,"유로, 얼룩, 확실하다, 붙다, 의사, 재다, 늘다, 체형, 비침, 희다"
편하고 이쁘게 입으려고 샀습니다 두깨도 너무 두껍지 않고 디자인도 너무 튀지 읺아서 손이 자주 가네요,"읺아, 튀다, 두껍다, 가다, 편하다, 디자인"
한번 빨았는데 목이 완전 늘어나서 이제 못 입어요,"빨다, 늘어나다"
핏이 정핏보다 조금 큰 정도에 요 오버핏이라기에는 조금 아쉽지만 디자인은 예뻐요 흰색은 살짝 비칠 수 있으니 조심하세요,"조심하다, 이라기, 정핏, 비치다, 아쉽다, 흰색, 크다, 오버핏, 디자인"
청바지하고 잘 어울립니다 위에 황색 잠바 걸쳐도 어울리고 깔끔하고 멋진 옷 입고 싶으시면 추천합니다,"어울리다, 황색, 잠바, 걸치다, 청바지, 멋지다, 추천, 깔끔하다"
사이즈 적당하고 예쁘고 가볍게 입기 좋은 거 같습니다,"가볍다, 적당하다, 사이즈"
좋네요 후기가 없어 걱정했는데 너무 얇지도 않고 가성비 최고입니다,"후기, 최고, 걱정, 가성비, 얇다"
사이즈랑 핏은 생각한 느낌 그대로라 이 쁜데 저는 검은색 검은색 선택했는데 검은색 흰색이 왔어요 근데 귀찮아서 입으려고여,"검은색, 선택, 쁜데, 귀찮다, 그대로, 오다, 흰색, 사이즈"
배송도 아주 빠르고 더운 날에도 입기 괜찮네요 굿,"덥다, 빠르다, 배송"
기장이 생각보다 길어서 넣입하기 괜찮습니다 프린팅도 과 하지 않아서 무난무난하게 데일리룩으로 입 기 좋아요,"데일리룩, 넣다, 기장, 프린팅"
기장이랑 사이즈 오버핏이라기엔 생각보다 작아서 한 치수 크게 교환하니 딱 생각하던 핏 나옵니다,"이라기, 교환, 치수, 나오다, 크게, 기장, 작다, 오버핏, 사이즈"
제일 작은 사이즈로 샀지만 조금 긴 건 제 키 때문에 어쩔 수 없는 거라 크게 신경은 안 써요 소매는 롤업해서 입는 거랑 그냥 입는 거랑 느낌이 달라서 그때그때 다르게 코디하고 있어요 앞면은 조금 하지만 뒷면 포인트가 너무 예뻐서 주면 사람들 모두 티셔츠 예쁘다고 칭찬해줘요 저도 너무 마음에 듭니 당 원쁠원으로 잘 산 것 같아요,"롤업, 칭찬, 때문, 해주다, 소매, 신경, 어쩔, 달라, 다르다, 써다"
품질도 좋고 기장감도 마음에 듭니다 깔끔하네요 재구매 의사 있습니다,"기장감, 의사, 재다, 품질, 깔끔하다"
아들 래미랑 하나씩 주문했는데 뒷프린트가 맘에 들어 요 재질도 만족하고 넘 두껍지 않아 좋아요,"래미, 프린트, 하나, 두껍다, 주문, 아들, 만족하다, 재질"
남성 여름 반팔티 샀어요 인데도 가격도 좋고 생각보다 크지만 프린팅도 예쁜 거 같아서 맘에 들어 요,"남성, 크다, 프린팅, 여름, 가격"
엄청 얇아서 여름에 입기는 좋은 듯 합니다 잘못 시켜서 작은 걸로 받긴 했는데 그냥 머슬핏 느낌으로 입으니 나쁘지 않은 거 같아요,"머슬핏, 나쁘다, 잘못, 받다, 작다, 얇다, 여름"
티 예뻐요 얇고 신원할 듯합니다 부드럽고 대신 세탁하면 줄어들까 걱정이긴 합니다,"신원, 대신, 이기다, 걱정, 줄어들다, 부드럽다, 세탁, 얇다"
옷이 두께감도 좋고 하다고 해야 하나 느낌도 좋네요,"두께감, 하나"
