Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
사이즈 잘 맞구 요 스타일도 좋아서 자주 입는 옷이에요,,"맞다, 사이즈, 스타일","맞다, 사이즈, 스타일, 이에요, 자다"
예쁘고 무낭하네요 사이즈 한 치수 크게 해도 될 듯해요," 사이즈, 무낭","무낭, 사이즈, 치수, 크게, 해도","무낭, 사이즈, 치수, 크게, 크다, 해도"
제 체형에서 는 확실히 크고 은 딱 붙습니다 흰 옷은 요즘 입기엔 적당한 두께이나 비침이 있고요 얼룩 사이즈의 이 유로 재구매 의사는 없습니다,,"두께, 붙다, 비침, 사이즈, 얼룩, 의사, 재다, 체형, 크다, 확실하다","늘다, 두께, 붙다, 비치다, 비침, 사이즈, 얼룩, 유로, 의사, 이나, 재다, 적당하다, 체형, 크다, 확실하다, 희다"
편하고 이쁘게 입으려고 샀습니다 두깨도 너무 두껍지 않고 디자인도 너무 튀지 읺아서 손이 자주 가네요,,"가다, 두껍다, 디자인, 손, 읺아, 튀다, 편하다","가다, 깨, 두껍다, 디자인, 손, 손가다, 읺아, 튀다, 편하다"
한번 빨았는데 목이 완전 늘어나서 이제 못 입어요,,"늘어나다, 목, 빨다, 이제, 한번","늘어나다, 목, 목늘어나다, 못, 번빨다, 빨다, 이제, 한번"
핏이 정핏보다 조금 큰 정도에 요 오버핏이라기에는 조금 아쉽지만 디자인은 예뻐요 흰색은 살짝 비칠 수 있으니 조심하세요," 오버핏,  정핏","디자인, 비치다, 오버핏, 이라기, 정핏, 조심하다, 핏, 흰색","디자인, 비치다, 비침, 아쉽다, 에는, 오버핏, 이라기, 정핏, 조심하다, 크다, 핏, 흰색"
청바지하고 잘 어울립니다 위에 황색 잠바 걸쳐도 어울리고 깔끔하고 멋진 옷 입고 싶으시면 추천합니다,,"걸치다, 깔끔하다, 멋지다, 싶다, 어울리다, 위, 잠바, 청바지, 추천, 황색","걸치다, 깔끔하다, 깔다끄다, 멋지다, 싶다, 어울리다, 위, 자다어울림, 잠바, 청바지, 추천, 하고, 황색, 황색잠바"
사이즈 적당하고 예쁘고 가볍게 입기 좋은 거 같습니다, 사이즈,"가볍다, 사이즈, 적당하다","가볍다, 사이즈, 적당, 적당하다"
좋네요 후기가 없어 걱정했는데 너무 얇지도 않고 가성비 최고입니다, 걱정,"가성비, 걱정, 얇다, 없다, 최고, 후기","가성비, 가성비최고, 걱정, 얇다, 없다, 최고, 후기"
사이즈랑 핏은 생각한 느낌 그대로라 이 쁜데 저는 검은색 검은색 선택했는데 검은색 흰색이 왔어요 근데 귀찮아서 입으려고여," 사이즈,  흰색","검은색, 귀찮다, 그대로, 쁜데, 사이즈, 선택, 오다, 핏, 흰색","검은색, 귀찮다, 그대로, 려고, 쁜데, 사이즈, 선택, 오다, 핏, 흰색"
배송도 아주 빠르고 더운 날에도 입기 괜찮네요 굿, 빠르다,"덥다, 배송, 빠르다","굿, 날, 덥다, 덥다다날, 배송, 빠르다"
기장이 생각보다 길어서 넣입하기 괜찮습니다 프린팅도 과 하지 않아서 무난무난하게 데일리룩으로 입 기 좋아요,,"기장, 넣다, 데일리룩, 프린팅","기장, 길다, 넣다, 데일리룩, 일리, 프린팅"
기장이랑 사이즈 오버핏이라기엔 생각보다 작아서 한 치수 크게 교환하니 딱 생각하던 핏 나옵니다," 기장,  사이즈,  크게","교환, 기장, 나오다, 사이즈, 오버핏, 작다, 치수, 크게","교환, 기장, 나오다, 사이즈, 오버핏, 이라기, 작다, 치수, 크게, 핏"
제일 작은 사이즈로 샀지만 조금 긴 건 제 키 때문에 어쩔 수 없는 거라 크게 신경은 안 써요 소매는 롤업해서 입는 거랑 그냥 입는 거랑 느낌이 달라서 그때그때 다르게 코디하고 있어요 앞면은 조금 하지만 뒷면 포인트가 너무 예뻐서 주면 사람들 모두 티셔츠 예쁘다고 칭찬해줘요 저도 너무 마음에 듭니 당 원쁠원으로 잘 산 것 같아요,,"다르다, 달라, 롤업, 사이즈, 소매, 칭찬, 티셔츠","다르다, 달라, 뒷, 때문, 롤업, 사람, 사이즈, 소매, 신경, 써다, 앞, 어쩔, 원쁠원, 작다, 칭찬, 칭찬 해주다, 코디, 크다, 키, 티셔츠, 포인트, 해주다"
품질도 좋고 기장감도 마음에 듭니다 깔끔하네요 재구매 의사 있습니다, 품질,"기장감, 깔끔하다, 의사, 재다, 품질","기장 감다, 기장감, 깔끔하다, 깔다끄다, 듭, 듭니, 의사, 재다, 재다의사, 품질"
아들 래미랑 하나씩 주문했는데 뒷프린트가 맘에 들어 요 재질도 만족하고 넘 두껍지 않아 좋아요," 아들,  재질","두껍다, 래미, 만족하다, 아들, 재질, 주문, 프린트, 하나","두껍다, 두께, 뒷, 뒷프린트, 래미, 만족하다, 아들, 재질, 주문, 프린트, 하나"
남성 여름 반팔티 샀어요 인데도 가격도 좋고 생각보다 크지만 프린팅도 예쁜 거 같아서 맘에 들어 요,,"가격, 남성, 여름, 크다, 티, 프린팅","가격, 남성, 여름, 크다, 티, 팔, 팔티, 프린팅"
엄청 얇아서 여름에 입기는 좋은 듯 합니다 잘못 시켜서 작은 걸로 받긴 했는데 그냥 머슬핏 느낌으로 입으니 나쁘지 않은 거 같아요,,"나쁘다, 머슬핏, 받다, 얇다, 여름, 작다","걸, 나쁘다, 머슬핏, 받다, 얇다, 여름, 작다, 잘못"
티 예뻐요 얇고 신원할 듯합니다 부드럽고 대신 세탁하면 줄어들까 걱정이긴 합니다," 부드럽다,  줄어들다,  대신","걱정, 대신, 부드럽다, 세탁, 신원, 얇다, 이기다, 줄어들다","걱정, 걱정 이기다, 걱정이기, 대신, 부드럽다, 세탁, 신원, 얇다, 이기다, 줄어들다, 티"
옷이 두께감도 좋고 하다고 해야 하나 느낌도 좋네요,,"두께감, 하나","두께 감다, 두께감, 하나"
오빠꺼 여름 반팔티 샀어요 인데도 가격도 좋고 생각보다 크지만 프린팅도 예쁜 거 같아서 맘에 들어요,,"가격, 여름, 오빠, 크다, 프린팅","가격, 꺼, 여름, 오빠, 오빠꺼여름팔티, 크다, 티, 프린팅"
사이즈 시켰다가 너무 작아서 사이즈 오 교환했는데 딱 좋아요,,"교환, 사이즈, 작다","교환, 사이즈, 작다, 크다"
옷기장이 조긍 더 길었음 하는 바램이 있어요 오버핏이라 해서 샀더니 기장이 짧은 듯해요," 오버핏,  짧다","기장, 바램, 오버핏, 옷기장, 조긍, 짧다","기장, 길다, 바램, 오버핏, 옷기장, 조긍, 짧다"
옷은 너무 예쁜데 제가 아들 체형을 무시했네요 아들한테 사이즈가 애매한 감이 있어서 한 치수 큰 걸로 새로 구입하고 키로 누나한테 너 무너무 예쁘게 잘 맞아서 누나가 입기로 했어요 하얀색이 좀 더 얇고 부드러운 느낌이고 검정은 살짝 한 재질입니다 옷은 진짜 예뻐요,,"검정, 누나, 부드럽다, 사이즈, 아들, 애매하다, 하얀색","검정, 누나, 무, 무시, 부드럽다, 사이즈, 새롭다, 아들, 애매하다, 얇다, 재질, 체형, 치수, 키, 키로, 하얀색"
핏도 적당하고 두께감도 여릅에 맞게 적당해서 아무 때나 입고 나가기 좋은 거 같아 요 뒤에 레터링도 멋있어요,,"두께감, 맞다, 멋있다, 여릅, 적당하다, 핏","두께감, 레터, 레터 링, 레터링, 맞다, 멋있다, 여름, 여릅, 적당, 적당하다, 핏"
여름에 무난무난하고 가성비로 입기 좋아 여 쫌 얇은 편이라 시원합니다," 여름,  얇다,  가성비","가성비, 시원하다, 얇다, 여름, 편이","가성비, 시원, 시원하다, 얇다, 여름, 쫌, 편, 편이, 하고"
한번 주문량 폭발로 인해서 배송이 늦어진다길래 잊고 있었는데 늦어진다고 문자 오고 일 만에 와서 엄청 놀랐어요 그리고 바로 한 번 입어봤는데 엄청 이 뻤어요 근데 옷 길이가 제 키에 비해서 쫌 짧더라고요 옆 기장은 하고 디자인도 엄청 이쁜데 클 거 생각하고 제일 큰 사이즈 골랐는데 친구들도 너 키에 비해서 쫌 짧다고 할 정도로 쫌 짧은 게 아쉬웠어요 그래도 디자인 이쁘 고 핏도 좋아서 만족합니다,,"기장, 디자인, 만에, 문자, 배송, 사이즈, 오다, 인하다, 짧다, 크다","근데, 기장, 길이, 늦어지다, 디자인, 량, 만에, 만족하다, 문자, 배송, 번, 비, 뻤어, 사이즈, 옆, 오다, 인하다, 일, 입어보다, 잊다, 주문, 주문량, 짧다, 쫌, 크다, 키, 폭발"
사이즈는 좋습니다 하지만 옷이 넘 얇고 주름이 잘지는 재질이네요 가성비 있어서 샀는데 좀 더 주고 다른 브랜드 살 거 그랬습니다, 브랜드,"가성비, 브랜드, 사이즈, 얇다, 재다, 주다, 주름","가성비, 그렇다, 브랜드, 사이즈, 얇다, 자다, 재다, 재질, 주다, 주름"
장점 여자한테 오버사이즈로 편하게 입을 수 있다 가격이 저렴하다 스트릿 감성이 있다 단점 세탁을 하면 목이 늘어난다," 장점,  여자,  저렴하다","가격, 감성, 늘어나다, 단점, 목, 세탁, 스트릿, 여자, 장점, 저렴하다, 편하다","가격, 감성, 늘어나다, 단점, 목, 세탁, 스트릿, 여자, 오버, 오버 사이즈, 오버사이즈, 장점, 저렴하다, 편하다"
팩 저렴하게 구매했습니다 핏은 적당히 오버해서 맘에 듭니다 두께는 보통이에 요 흰티는 살짝 비칩니다 가볍게 입 기 좋습니다, 가볍다,"가볍다, 두께, 보통, 비치다, 오버, 저렴하다, 적당하다, 핏","가볍다, 두께, 듭니, 보통, 비치다, 비침, 오버, 저렴, 저렴하다, 적당, 적당하다, 티, 팩, 핏, 희다, 희다 티, 희다티"
사이즈가 생각보다 작아서 아쉽지만 나머지는 생각했던 그대로예요," 아쉽다,  그대로,  작다","그대로, 나머지, 사이즈, 아쉽다, 작다","그대로, 나머지, 사이즈, 아쉽다, 예요, 작다"
