Review,keyword
이너티로 입을 려고 샀는데 단독으로 입어도 이 뻐서 완전 맘에 쏙 후기에 사이즈도 길다는 분이 계셔서 로 샀는데 제 현명한 선택이였어요 제 기준 엉덩이 반 정도 오는 기장이에요 재질도 너무 좋구요 이 제품은 특히 넥라인이 목에 딱 맞는 스타일이라 늘어나 지 않을 것 같아 요 해요 로고도 심플하니 너무 예쁩니다,"현명하다, 계시다, 넥라인, 선택, 이너티, 기준, 후기, 지다, 심플, 스타일"
이너티로도 되게 하고 여름에 그냥 이 거 하나만 입기에도 시웡하고 이쁜 거 같아요,"시웡, 이너티, 하나, 여름"
옷이 되게 크게 나왔나 봐요 평소에 아니면 으로 사는 편인데 다른 후기들 보고 로 샀습니다 근데 그러길 너무 잘한 거 같아 요 인데도 엉덩이를 다 가릴 정도로 깁니다 재질도 좋고 목도 잘 안 늘어날 것 같아 요,"가리다, 목도, 후기, 보고, 엉덩이, 그렇다, 살다, 나오다, 크게, 아니다"
휘뚜루 마 뚜루 입기에는 커버낫 기본이 최고예요,"뚜루, 최고, 휘뚜루, 커버, 기본"
두 번째 주문 편함 재질 부드러움 박 음질 함 흰색은 아주 약간 노란끼 있지만 깔끔함 사이즈 약간 한 편 만족도 높음,"부드러움, 만족도, 노랗다, 높다, 음질, 주문, 흰색, 깔끔하다, 재질, 편하다"
옷 재질이 여름에 입 기 너무 좋아요 목 둘레가 여유롭고 스판 기 있어서 입고 벗기 너무 편합니다 적당히 얇은 재질이라 가볍고 여름에 입 기 시원해 요 면 재질이 부드러워서 착용 감도 겁나 좋네요 어깨선도 딱 맞고 팔 길이도 적당해서 핏이 예뻐요 총 길이도 적당해서 넣입했을 때 잘 안 빠지고 빼서 입었을 때도 괜찮아요 기본 티라서 코디 가리지 않고 다 잘 어울리는  편이라 활용도가 좋네요 꼭 필요한 흰 검 조합에 가격도 저렴하니 가성비 대박입니다 반팔티 고민하고 계시다면 꼭 구매하세요,"적당하다, 길이, 재질, 선도, 조합, 벗기다, 둘레, 겁나다, 계시다, 롭고"
포장 안쪽에 기름 같은 게 묻어서 오긴 했는데 내용물는 다행이 괜찮습니다 이 너나 단독으로 입 기 젤 무난할 듯 하네요,"기름, 안쪽, 내용물, 다행, 늘다, 묻다, 단독, 포장, 오다"
부드러운 원단이긴 한데 많이 얇아 요 흰색은 안이 다비치네요 이너로 입어야겠네요 많이 아쉬워요,"다비치, 이기다, 안이, 아쉽다, 이너, 부드럽다, 흰색, 원단, 얇다"
가격도 저렴하고 잘 입을 것 같요 포장도 깔끔해서 맘에 듭니댱,"듭니댱, 포장, 저렴하다, 깔끔하다, 가격"
입고 등산 갔는데 땀 흡수도 잘 되고 좋았 습니다 사이즈도 적당해요,"등산, 흡수, 가다, 적당하다, 사이즈"
소재가 시원해서 저같이 땀 많이 흘리는 사람들 한테 좋은 거 같아요,"흘리다, 사람, 소재, 시원하다"
커버낫 기본템 좋네요 다른 브랜드 기본템은 너무 얇거나 아니면 목 마감이 안 좋아서 금방 늘어나던데 요건 많이 입을 수 있을 것 같아 요 가볍고 편해서 아주 맘에 듭니다,"요건, 금방, 브랜드, 마감, 가볍다, 아니다, 늘어나다, 커버, 기본, 얇다"
색상이랑 사이즈 다 좋아요 옷감도 적당해서 여름에 잘 입을 것 같아요,"옷감, 색상, 적당하다, 여름, 사이즈"
진짜 얇아요 얇은 데 합니다 아직 세탁은 안 해봐서 목이 잘 늘어나는 지 아닌지는 모르는데 여름엔 이런 반팔이 꼭 필요한 것 같아요,"팔이, 얇다, 모르다, 아직, 지다, 필요하다, 아니다, 늘어나다, 세탁, 여름"
사이즈 좋고 핏 매우 괜찮아요 다른 색상도 있었으면 좋겠네요,"색상, 사이즈"
심플 로고 하나로 가볍게 포인트 주기 좋아요 사이즈 기준 평상시 느낌나고 사이즈 입으면 느낌날 것 같아요,"하나로, 주기, 평상시, 포인트, 느끼다, 기준, 심플, 사이즈, 로고, 가볍다"
가성비 매년 사고 있습니다 하니 너무 좋으요,"매년, 사고, 가성비"
년전에 사서 잘 입고 있고 사이즈 업해서 구매했어요 구김 없고 반팔티 중에 재질이 제일 좋아요 세탁 후 건조도 빠르고 이건 모,"년전, 건조, 이건, 구김, 사서, 세탁, 빠르다, 재질, 사이즈"
나쁘지 않아 요 운동할 때나 집 앞에 마실 나갈 때 가볍게 입 기 좋은 티셔츠입니 당 재질 시원해서 마음에 드네요,"말다, 나쁘다, 운동, 가볍다, 티셔츠, 시원하다, 재질"
팔꿈치 위에 가 아예 안 보일 정도의 핏은 아니에 요 디자인 이 뻐요,"팔꿈치, 보이다, 가다, 아니다, 디자인"
여름에 입 기 딱 좋은 두께에 요 부 드러워서 피부에 거슬리는 것도 없고 아주 만족합니다,"피부, 드럽다, 거슬리다, 두께, 만족하다, 여름"
사이즈 하고 소재도 괜찮아요 학교에서 교복 대용으로 입을 거라서 무난하고 좋습니다,"대용, 학교, 교복, 라서, 소재, 사이즈"
재질도 나쁘지 않고 티 자체도 예쁘고 좋아요 다만 옷이 훨씬 시원한 것 같아 요 이 티셔츠는 하나도 시원하지 않음,"자체, 나쁘다, 시원하다, 하나, 티셔츠, 재질"
시원합니닷 꾸안꾸 깔끔 어디든 어울리고 이너로도 좋아요 여자 인데 에스 딱 좋네욥 하나 더 사러 갑니다 쿨 코튼 중에 갑이에요,"꾸안꾸, 에스, 여자, 깔다, 끄다, 어울리다, 가다, 하나, 코튼, 시원하다"
배송도 빠르고 잘 입고 있습니다 요즘에 입기에 정말 좋습니다,"빠르다, 배송"
사이즈 하니 편하게 입 기 좋아요 딱 기 본티에 요 재질 좋고 길이는 엉덩이 다 덮어줍니다 배송도 빨랐어요,"줍다, 덮다, 엉덩이, 길이, 빠르다, 배송, 재질, 편하다, 사이즈"
살짝 오버핏이라 커 보였는데 입어보니 괜찮네요 원단도 너무 얇지 않고 한 원단이라 좋아요 저렴한 가격에 두 벌이라니 횡재했네요,"원단, 횡재, 라니, 벌이, 보이다, 입어보다, 오버핏, 크다, 저렴하다, 얇다"
요즘 커버낫 핫해서 기본 티로 두 장 사봤는데 목 시보리하고 일자로 떨어지는 핏이라 밈에 듭니다,"일자, 시보리, 떨어지다, 사보다, 커버, 기본"
입는데 맞네요 재질은 매끄럽고 가벼워요 얇은 편이나 비침은 없어요 구김도 적고요 추전합니다,"매끄럽다, 추다, 적다, 구김, 편이, 비침, 가볍다, 맞다, 얇다, 재질"
