Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
이너티로 입을 려고 샀는데 단독으로 입어도 이 뻐서 완전 맘에 쏙 후기에 사이즈도 길다는 분이 계셔서 로 샀는데 제 현명한 선택이였어요 제 기준 엉덩이 반 정도 오는 기장이에요 재질도 너무 좋구요 이 제품은 특히 넥라인이 목에 딱 맞는 스타일이라 늘어나 지 않을 것 같아 요 해요 로고도 심플하니 너무 예쁩니다,,"기준, 넥라인, 단독, 사이즈, 선택, 스타일, 심플, 엉덩이, 오다, 이너티, 재질, 후기","S사이즈, XS, 계시, 계시다, 기장, 기장이에요, 기준, 넥라인, 늘어나다, 단독, 로고, 목, 분, 사이즈, 선택, 스타일, 심플, 쏙, 엉덩이, 오다, 이너티, 재질, 제품, 지다, 짱짱하다, 특히, 티, 현명하다, 후기"
이너티로도 되게 하고 여름에 그냥 이 거 하나만 입기에도 시웡하고 이쁜 거 같아요,,"그냥, 시웡, 여름, 이너티, 하나","그냥, 단단, 되게, 시웡, 여름, 이너티, 티, 하고, 하나"
옷이 되게 크게 나왔나 봐요 평소에 아니면 으로 사는 편인데 다른 후기들 보고 로 샀습니다 근데 그러길 너무 잘한 거 같아 요 인데도 엉덩이를 다 가릴 정도로 깁니다 재질도 좋고 목도 잘 안 늘어날 것 같아 요,,"그렇다, 늘어나다, 목도, 살다, 아니다, 엉덩이, 크게","xs, 가리다, 그렇다, 나오다, 늘어나다, 목, 목도, 보고, 살다, 아니다, 엉덩이, 인데, 자다, 재질, 크게, 편, 후기"
휘뚜루 마 뚜루 입기에는 커버낫 기본이 최고예요,,"기본, 뚜루, 최고, 커버, 휘뚜루","기본, 낫, 뚜루, 마뚜루, 예요, 최고, 최고예요, 커버, 커버 낫, 커버낫, 휘뚜루"
두 번째 주문 편함 재질 부드러움 박 음질 함 흰색은 아주 약간 노란끼 있지만 깔끔함 사이즈 약간 한 편 만족도 높음, 재질,"깔끔하다, 노랗다, 만족도, 부드러움, 사이즈, 음질, 재질, 주문, 편하다, 흰색","깔끔하다, 끼, 노랗다, 높다, 두번째주문, 만족도, 박음질, 부드러움, 사이즈, 음질, 재질, 주문, 튼튼하다, 편하다, 흰색"
옷 재질이 여름에 입 기 너무 좋아요 목 둘레가 여유롭고 스판 기 있어서 입고 벗기 너무 편합니다 적당히 얇은 재질이라 가볍고 여름에 입 기 시원해 요 면 재질이 부드러워서 착용 감도 겁나 좋네요 어깨선도 딱 맞고 팔 길이도 적당해서 핏이 예뻐요 총 길이도 적당해서 넣입했을 때 잘 안 빠지고 빼서 입었을 때도 괜찮아요 기본 티라서 코디 가리지 않고 다 잘 어울리는  편이라 활용도가 좋네요 꼭 필요한 흰 검 조합에 가격도 저렴하니 가성비 대박입니다 반팔티 고민하고 계시다면 꼭 구매하세요,,"가볍다, 롭고, 벗기다, 여름, 재질, 적당하다","가격저렴하다, 가볍다, 가성비, 겁나다, 계시다, 고민, 기본티, 길이, 대박, 둘레, 롭고, 벗기다, 부드럽다, 선도, 스판기, 얇다, 어울리다, 여름, 여유, 여유롭고, 재질, 저렴하다, 적당하다, 조합, 착용, 착용감다, 총길이, 티, 팔, 팔티, 편하다, 핏, 활 용도"
포장 안쪽에 기름 같은 게 묻어서 오긴 했는데 내용물는 다행이 괜찮습니다 이 너나 단독으로 입 기 젤 무난할 듯 하네요, 단독,"기름, 다행, 단독, 안쪽, 오다, 포장","기름, 내용물, 내용물 늘다, 늘다, 다행, 단독, 묻다, 안쪽, 오다, 이너, 포장"
부드러운 원단이긴 한데 많이 얇아 요 흰색은 안이 다비치네요 이너로 입어야겠네요 많이 아쉬워요," 부드럽다,  흰색","다비치, 부드럽다, 아쉽다, 안이, 얇다, 원단, 이기다, 이너, 흰색","다비치, 부드럽다, 아쉽다, 안이, 얇다, 원단, 원단 이기다, 이기다, 이너, 흰색"
가격도 저렴하고 잘 입을 것 같요 포장도 깔끔해서 맘에 듭니댱,,"가격, 깔끔하다, 듭니댱, 저렴하다, 포장","가격, 깔끔하다, 듭니댱, 저렴하다, 포장"
입고 등산 갔는데 땀 흡수도 잘 되고 좋았 습니다 사이즈도 적당해요,,"가다, 등산, 사이즈, 적당하다, 흡수","가다, 되다, 등산, 땀흡수, 사이즈, 적당하다, 흡수"
소재가 시원해서 저같이 땀 많이 흘리는 사람들 한테 좋은 거 같아요," 사람,  소재","사람, 소재, 시원하다, 흘리다","땀, 많이, 사람, 소재, 시원, 시원하다, 흘리다"
