Review,keyword
실기시험 칠 때 입었는데 땀에 옷이 붙지 않아 좋아요 적극 추천,"시험, 실기, 적극, 붙다, 추천"
운동복 소재 느낌이라 여름에 시원하게 입 기 좋습니다,"운동복, 소재, 여름, 시원하다"
운동할 때 입어도 좋고 잘 때 입어도 좋아요 너무 편해요 색깔 구성도 마음대로 할 수 있어서 좋네용,"구성, 색깔, 편하다, 운동"
시원하고 입고 다니기 편하네요 여름에 입 기 좋아요,"여름, 편하다, 시원하다"
적당한 두께랑 까칠한 소재감으로 여름엔 시원할 듯,"까칠하다, 두께, 적당하다, 소재, 여름, 시원하다"
헬스 꾸준히 한 건장한 체격이라는 점 참고하세요 편하고 좋습니다 운동할 때도 일상복 이너로도 활용하기 좋아요 세탁 번째인가 번째에 소매 쪽 올이 나갔지만 가격대 생각해보면 아쉬울 건 없는 것 같네요,"꾸준하다, 인가, 소매, 건장하다, 이라는, 상복, 헬스, 체격, 활용, 참고"
울강쥐도 이 옷을 좋아하는 거 같아 요 넘 편해요 하핳,"강쥐, 좋아하다, 편하다"
깔끔하고 운동할 때 입 기 좋아요 여름에 잘 입을 게요,"깔끔하다, 여름, 운동"
일할 때 입으려고 사 서 편하게 잘 입고 있어요 몇 개 더 사놓을 예정입니다,"예정, 서다, 편하다"
운동할 때 입으랴 고샀는데 좋아요 이뿝니다 베리굿,"베리, 이뿌다, 운동"
운동할 때 입으려 구 샀어용 시원하고 좋아 여 가격도 저렴해서 좋네 여,"저렴하다, 가격, 시원하다, 운동"
이게 진짜 이 가격에 기능성이라 목도 안 늘어나고 진짜 좋아요 살짝 아쉬운 건 사이즈를 총장 보고 살짝 크롭 한 느낌을 바라고 샀는데 생각보다 많이 길더라구 요 근데도 이 가격이 개라는 게 진짜 말이 안 돼서 완전 만족 중 입니다,"바라다, 크롭, 라는, 총장, 보고, 목도, 만족, 가격, 돼다, 아쉽다"
메쉬 소재라 시원하고 운동할 때 입기 좋을 거 같아 요 딱 헬스장 운동복 소재 같네요 제의 눈이 보여 요 물론 제 몸이 문제겠죠,"소재, 제의, 겠다, 메쉬, 문제, 헬스장, 보이다, 운동복, 시원하다, 운동"
가격도 저렴하고 너무 만족스러워요 적극 추천합니다,"적극, 만족스럽다, 추천, 저렴하다, 가격"
사이즈 파란 선까지와요 운동할려구 샀습니다 저랑 키 비슷하신 분들은 추천 크지 않고 살짝 엉덩이 반 조금 넘게 가리는 정도입니다 좋아요,"까지와, 파란, 가리다, 엉덩이, 크다, 추천, 사이즈, 운동"
와 가성비 대박이구 운동할 때도 입고 평소에도 이너로 입고 있어요 아주 좋아요,"이구, 대박, 오다, 이너, 가성비, 운동"
세탁 후 목 늘어짐 없고 소재가 해서 운동할 때 도 복안에 입 기 좋아요 여자치고 어깨가 좀 있으니 핏 보실 때 참고 해주세요 사이즈는 아주 조금 여유 있게 딱 맞아요,"복안, 여자, 치고, 늘어지다, 여유, 해주다, 참고, 어깨, 세탁, 맞다"
시원하고 색 갈도 무난해서 아무 옷에 입고 다닙니다,"갈도, 시원하다"
핼스장에서 운동하려고 샀는데 싸고 운동할 때 입으면 아주 좋아요,"핼스장, 운동, 싸다"
체형 기준 좀 타이트 합니다 정핏에서 타이트한 정도 입니다 제가 생각한 후들 흐들 거리는 소재가 아니라 까끌 가리면서 두께가 있는 제품이였어요 운동할 때 안에 받쳐 입 기 좋네요,"타이트, 흐들, 가리다, 정핏, 거리, 기준, 체형, 받치다, 두께, 끄다"
진짜 편해요 운동할 때도 한 느낌 없이 시원합니다 가성비 갑 또 주문했져 여,"주문, 가성비, 편하다, 시원하다, 운동"
운동할 때 편하게 휘뚤마뚤 입고 있습니다 요즘에는 입기 조금 춥지만 운동 마칠 때는 또 그렇게 춥진 않더라구요,"추다, 마치다, 휘뚤마뚤, 그렇게, 운동, 편하다"
기장이 약간 긴 편이라 저는 레이어드 용도로 같이 입으려고 구매했어요 비침이 심하지는 않지만 단독으로 입기에는 비쳐서 단독은 어려울 것 같네요 비칩니다 참고하세요 그 외 기능성이나 상품은 아주 좋아요,"단독, 비치다, 어리다, 심하다, 용도, 레이어드, 기장, 참고, 편이, 상품"
요즘 교복처럼 입고 다니는데 왠만한 바지는 다 매치되 구 슬랙스 랑 입으면 꾸안꾸 가능,"매치다, 바지, 꾸안꾸, 왠만하다, 슬랙스, 가능, 교복"
목요일 아침에 주문했는데 출고 월요일 오후에 됐음,"오후, 목요일, 월요일, 출고, 아침, 돼다, 주문"
운동할 때 입으려고 샀어요 에어쿨링 이라고 해서 얇지 않을까 했는데 생각보다 엄청 얇진 않고 살짝 두툼한 감이 있어요 남여 공용인 거 같아서 로 했는데 또 엄청 큰 편도 아니라서 박스티 같지도 않아 요 약간 생각과 다른 부분이 엄청 많은데 또 엄청 마음에 안 들 지도 않는 요상한 옷입니다 대신 땀은 잘 말라용,"얇다, 공용, 편도, 박스, 남여, 상한, 두툼, 대신, 이라고, 에어"
딱 그 가격에 맞는 옷 같네요 살짝 두껍 긴 한데 나름 굿,"나름, 두껍다, 맞다, 가격"
제가 입 다가 살이 좀 빠져서 로 구매했는데 아주 만족해요 사이즈 비교해서 사진 올렸어요 아주 미세하지만 차이 있음,"미세하다, 차이, 비교, 다가, 올리다, 빠지다, 살이, 사진, 만족하다, 사이즈"
가볍고 편하고 너무 좋아요 운동할 때 입으려고 샀는데 만족해요,"가볍다, 만족하다, 편하다, 운동"
사이즈 정 사이즈로 가면 될 꺼 같고 얇고 금방 마를 꺼 같은 소재여서 일할 때나 운동할 때 맘 편히 입을 수 있을 듯,"끄다, 가면, 사이즈, 마르다, 금방, 소재, 얇다, 편하다, 운동"
아빠 잠옷으로 쓰신다고 해서 구매했어요 재질 색깔 다 만족하는데 처음에 엄마가 따로 손 빨래 안 하고 다른 옷이랑 섞어서 세탁했으면 큰일 날 뻔 했어요 물 엄청 빠지네요,"아빠, 섞다, 큰일, 엄마, 쓸다, 빠지다, 색깔, 처음, 잠옷, 빨래"
정말 너무너무 좋아요 벌써 두 번째 구입해서 입고 있어요 운동할 때 통풍이 잘 되어서 너무 좋아요 평소에 그냥 입기도 괜찮고 핏도 괜찮아요 가슴 운동할 때 아니면 튀어나와 볼 일이 없어요 정말 정말 좋아요,"튀어나오다, 일이, 가슴, 벌써, 되어다, 통풍, 아니다, 운동"
시원시원하고 너무 좋네요 땀도 금방 마르고요굿입니다,"시원시원하다, 금방, 마르고"
제가 딱 원하던 기능성 티라 만족합니다 운동할 때 입으려고 싸게 샀는데 정말 좋아요 살짝 끼게 입으려고 샀는데 딱 좋네요 제 스펙에 살짝 여유 있게 입으려면 이 좋을 것 같습니다,"스펙, 여유, 원하다, 기능, 싸다, 만족하다, 운동"
