Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
기준 여자가 입었을 때 많이 커요 오버핏으로 입으려고 했는데 핏으로 크게 입은 게 아니라 그냥 큰 느낌 체구 작으신 분들 사실 때 참고하시면 좋을 것 같아 요 저는 디자인이랑 색감 재질 모든 면에서 완벽하게 제 취향이라 사이즈 무시하고 입었습니다 아주 아주 만족해요,,"디자인, 무시, 사이즈, 색감, 완벽하다, 참고, 취향, 크다","기준, 디자인, 디자인이랑, 만족하다, 무시, 분들, 사실, 사이즈, 색감, 여자, 오버핏, 완벽하다, 작다, 참고, 체구, 취향, 크게, 크다"
배송은 예약 배송이라 조금 걸렸지만 얇아서 지금 입기에도 적당하고 핏도 예뻐서 만족스럽습니다,,"걸리다, 만족스럽다, 배송, 얇다, 예약, 적당하다, 핏","걸리다, 만족스럽다, 배송, 얇다, 예약, 예약배송, 적당하다, 지금, 핏"
옷이 얇고 가볍고 한 핏이라 편하고 시원해서 손이 자주 가네요, 얇다,"가다, 가볍다, 손, 시원하다, 얇다, 편하다, 핏","가다, 가볍다, 낭낭, 손, 시원하다, 얇다, 편하다, 핏"
주머니 이인 불량 상품 예약 배송으로 받았는데 기다린 만큼 바로 입으려고 세탁하고 발견했습니다 애초에 불량인 상품인데 교불 안 해주겠다네요 쪽 팔려서 입지도 못하겠어요 다시는 파르 티멘토 안 살 거 같아 요 여러분도 구매하실 때 다시 생각해보세요 불량 받아도 환불 못 받으니까요,,"받다, 배송, 불량, 상품, 세탁, 애초, 입지, 주머니, 팔다, 환불","교불, 교환환불, 기다리다, 다시, 다시다, 못, 받다, 발견, 배송, 불량, 상품, 세탁, 애초, 예약배송, 이인, 인데, 입지, 주머니, 짝짝이, 쪽팔리다, 팔다, 하고, 환불"
각 잡힌 셔츠가 안 어울리는 편인데 이거는 후들 후들한 소재 감 덕분인지 잘 어울리더라구요 단 추 풀어서 입으나 잠가서 입으나 핏 다 예쁩니다 활용도가 엄청 높은 셔츠,,"덕분, 셔츠, 잠그다, 풀다, 후","높다, 단추, 덕분, 셔츠, 소재, 어울리다, 용도, 인데, 인지, 잠그다, 잡히다, 편, 풀다, 핏, 활 용도, 활용, 후, 후후"
왜 안사요 얼른 사 세요 다들 너무 이 뻐요 여름에도 이쁜 옷 입어 보아요,,"보아, 얼른, 여름","보아, 세요, 얼른, 여름, 여름입어보다"
겨울에도 패딩 안에 반 팔 입고 다니는 열 많은 인간이라 여름옷이 아주 골아팠던 터였다 죠 그러던 중 이걸 샀는데 개얇고 나 풀나풀한데 후 줄 그레하진 않고 너무 좋은 겁니다 여름옷의 숙명 시원하면 후 줄 그레 단정하면 개더움 여름옷의 숙명을 드디어 벗어던졌어요 괜찮은 다른 컬러 있으면 바로 살 겁니다, 숙명,"개다, 숙명, 시원하다, 여름","개, 개다, 걸, 겁니다, 겨울, 골다, 그레, 나풀나풀, 단정하다, 벗다, 숙명, 시원하다, 얇다, 여름, 인간, 컬러, 파다, 패딩, 풀다, 하진, 후줄그레"
원하던 반팔 셔츠라 기대하고 구매했는데 딱 원하는 스타일이네요,,"기대하다, 셔츠, 스타일, 원하다, 팔","기대하다, 셔츠, 스타일, 원하다, 팔, 팔셔츠"
약간 까슬한 면이 고 두께는 얇아 요 그치만 엄청 시원한 소재까지는 아닌 것 같아 요 딱 원하던 핏이어서 맘에 듭니다,,"그치다, 까슬하다, 두께, 시원하다, 아니다, 얇다, 원하다, 핏","그치다, 까슬하다, 까지는, 두께, 듭니, 소재, 시원하다, 아니다, 얇다, 원하다, 핏"
요즘 체크 패턴 셔츠 정말 가지고 싶었는데 에 구머니나 마침 이렇게 이쁜 제품 발견 한 여름에도 입을 수 있는 얇기에 요 안에 이너 없이 맨 살에 입는 거 추천 추천 막 추천,,"니나, 마침, 발견, 셔츠, 얇다, 여름, 제품, 체크, 추천","가지, 구, 니나, 마침, 맨살, 머, 머 니나, 발견, 살, 셔츠, 얇다, 여름, 이너, 이렇게, 제품, 체크, 체크패턴, 추천, 패턴"
