Review,keyword
세미 오버핏 블레이저 찾고 있었는데 때 마침 할인 행사도 하고 이전에 겨울에 넌 블랭크 코트 입고 만족했어서 이번에도 구매하게 되었습니다 착용했을 때 어깨랑 팔 쪽이 여 유로워서 정말 편했고 바지도 허리 쪽에 밴딩 처리되어 있어서 편했습니다,"되어다, 편하다, 유로, 코트, 이전, 마침, 처리, 행사, 블랭크, 할인"
이쁜 그레이 셋업을 찾고 있었는데 이게 눈에 딱 들어왔어요 너무 이쁘네여,"들어오다, 찾다, 그레이, 셋업"
사이즈도 적당하고 핏도 적당하거 좋네요 면접 룩 하객 룩 해요,"적당하다, 하객, 면접, 사이즈"
셋업은 핏이 생명인데 제가 찾던 실루엣이 나왔어요 너무 오버핏이면 캐주얼 스러워서 싫고 너무 정핏이면 평소에 있긴 과한 듯해서 싫었는데 편하고 이쁘게 잘 나왔어요,"싫다, 나오다, 생명, 정핏이, 실루엣, 찾다, 캐주얼, 편하다, 오버핏, 셋업"
바지 사이즈는 한 사이즈 업해서 사야 입을 때 편할 거 같아 요 나머지는 다 만족스럽습니다,"나머지, 사이즈, 만족스럽다, 편하다, 바지"
깔끔하고 스타일 나게 셋업 입기에 좋아요 상의 하의 구매했습니다,"스타일, 하의, 상의, 깔끔하다, 셋업"
사이즈 딱 맞고요 저렴하게 셋업 맞춰서 만족해요,"맞추다, 저렴하다, 만족하다, 맞다, 셋업, 사이즈"
두껍지 않고 얇은 소재입니다 봄에 입 기 좋아요 세미오버한 핏이에요,"두껍다, 오버, 소재, 세미, 얇다"
편하고 잘 맞아요 다만 바지 기준 사이즈로 허리는 여유 있지만 허벅지 종아리가 딱 떨어져서 좀 더 두꺼우신 분들은 가도 좋을 거 같아요,"종아리, 가도, 기준, 두껍다, 여유, 허리, 허벅지, 떨어지다, 편하다, 맞다"
결혼식 가볍게 갈 때 입으려고 구매했는데 아주 좋은 거 같습니다 꾸안 꾸 스타일로 추천합니다,"꾸다, 가볍다, 스타일, 갈다, 추천, 결혼식"
자켓은 여름에 입기는 살짝 더울 거 같은데 그래도 얇은 편이고 바지가 하늘하늘한 재질이라 얇고 시원해요 적당한 세미 오버핏이라 체형이 부각되지 않아서 더 좋은 것 같습니다 기장이 살짝 길어서 수선을 해야 할 거 같은데 대 만족 입니다,"하늘하늘하다, 부각, 얇다, 대다, 체형, 시원하다, 수선, 덥다, 만족, 자켓"
