Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
여름에 꼭 가지고 있어야 템 중 하나 입니다 원플원임에도 불구하고 퀄리티랑 핏이 너무 괜찮아요 어디 가서 이런 가격으로 이런 퀄리티 내기 쉽지 않습니 닿 재질도 부드러운 니트 소재라 안에 아 무것도 안 입어도 피부가 자극을 받지 않아 요 사이즈는 정 사이즈로 구매하시거나 제 체형 참고하고 구매하시면 될 것 같아 요 배송은 나쁘지 않았고 포장도 잘 되어 있어서 기분  좋게 받을 수 있었답니다,,"배송, 사이즈, 쉬다, 재질, 퀄리티, 포장, 피부","가격, 가지, 기분, 내기, 닿다, 받다, 배송, 부드럽다, 불구, 사이즈, 쉬다, 여름, 원, 원플원, 자극, 재질, 퀄리티, 포장, 피부, 핏"
여름에 입 기 딱 좋은 두께에 요 부 드러워서 맨 몸에 입어도 괜찮아요,,"두께, 드럽다, 몸, 여름","두께, 드럽다, 맨몸, 몸, 부드러움, 여름"
시원한 느낌이라 좋습니다 부드러워 편하네요 카라와 단추 라인이 예쁘게 잘 나왔습니다 적당히 풀고 닫고 하기 좋아요," 부드럽다,  라인","나오다, 단추, 닫다, 라인, 부드럽다, 시원하다, 적당하다, 카라, 편하다","나오다, 단추, 닫다, 라인, 부드럽다, 시원하다, 적당하다, 카라, 편하다"
무신사 매장까지 방문해서 재질확인 후 이 구매하였습니다 여름에 입 기 좋은 두께 감입니다 핏도 몸통 밑으로 갈수록 좁아져서 몸에 촥 감깁니 다 너무 맘에 들어요, 몸통,"두께, 몸통, 여름, 좁다, 핏","갈수록, 두께, 두께감, 매장, 몸, 몸통, 물다, 밑, 방문, 여름, 재질, 재질 확인, 좁다, 핏, 확인"
최고에 요 사이즈 살짝 오버핏인데 그냥 너무 좋야 요 제 스펙이랑 비슷하시면 사세요, 최고,"그냥, 사이즈, 스펙, 오버핏, 최고","그냥, 사이즈, 스펙, 오버핏, 인데, 최고"
색감이 너무 취향이라 구매했습니다 하늘색을 좋아하는데 실물이 더 예뻤어요 가성비 좋은 반팔 니트입니다 한 계절 무난하게 입고 다니기 좋을 것 같아 요 마른 편이라 체형이 드러나는 얇고 붙는 옷을 선호하지 않는데 입었을 때 괜찮았어요 저는 안에 여름용 나 시 입었습니다 아직 계절이 안 풀려서 자켓 안에 입었는데 괜찮았어요,,"드러나다, 마르다, 색감, 선호, 실물, 자켓, 취향, 하늘색","가성비, 계절, 나시, 니트, 드러나다, 마르다, 붙다, 색감, 선호, 실물, 아직, 얇다, 여름, 자켓, 체형, 취향, 팔, 풀다, 하늘색"
키 몸무게에 비해 운동을 해서 상체가 조금 두께감이 있는 편입니다 저스트하게 맞는 듯합니다 조금 헐렁하게 너프하게 입고 싶은 분들은 한 치수 업해도 이 쁠꺼 같아요,,"너프, 몸무게, 상체, 업, 운동, 저스트, 편입, 헐렁하다","너프, 두께감, 몸무게, 비다, 쁠꺼, 상체, 업, 운동, 저스트, 치수, 키몸무게, 편입, 헐렁하다"
니트의 색감이 내가 생각한 것과 좀 다르면 어쩌지 생각했었는데 막상 받아서 입어보니 핏도 너무 예쁘고 색감도 제가 생각한 대로라서 너무 만족스러워요 사이즈도 딱 좋고 가 벼워서 여름에 입고 다니기 좋을 것 같아 요 시보리 디테일도,,"대로, 막상, 벼워, 사이즈, 색감, 입어보다","가다, 니트, 다르다, 대로, 디테, 디테 일도, 디테일, 라서, 막상, 만족스럽다, 벼워, 사이즈, 색감, 시보리, 어쩌지, 일도, 입어보다, 핏"
촉감도 부드럽고 색감도 이 쁘네요 사이즈는 한 사이즈 작은 게 맞을 듯요, 촉감,"맞다, 부드럽다, 쁘네, 사이즈, 색감, 작다, 촉감","맞다, 부드럽다, 쁘네, 사이즈, 색감, 작다, 촉감"
작년에도 사고 또 사서 너무 만족스럽네요 카라 없는 것도 구매 예정입니다, 사고,"만족스럽다, 사고, 사서, 없다, 예정, 작년, 카라","만족스럽다, 사고, 사서, 없다, 예정, 작년, 카라, 카라없다"
