Review,keyword
우선 저는 여잔 데 크게 입을 각오하고 주문했어요 예상대로 크긴 큽니 당 엄청 커요 소매가 긴데 소매 걷어 입으면 안쪽에 코듀로이로 되어 있어서 귀여워요 주머니도 무려 개나 달려 있어요 쓰진 않겠지만 양쪽 다 크게 개씩 총 포켓이라 귀여워요 단추는 똑딱이 단추라 입고 벗기도 편하고 빈티지한 골드 버튼이라 멋스러워요 색감은 물 빠진 색감일 줄 알았는데 예상보단 선명했어 요 폭이 엄청 해서 안에 아무리 껴 입어도 충분할 거 같아 요 여성분들은 그냥 고민 없이 하시면 될 거 같아 요 짧은 바지나 치마랑 코디하면 제가 원했던 느낌이 나와서 만족합니다 남자분들이 자켓으로 입기엔 기장이 길고 코트 느낌이라기엔 또 짧은 느낌이에요 오히려 박시한 아우터 좋아하시는 여성분들께 추천 드리고 싶어요 와이드 팬츠랑 입으면 힙한 무드 연출 가능하고  짧은 옷은 여성스럽고 귀여워질 수 있어요,"크다, 주머니, 포켓, 귀엽다, 똑, 딱이다"
포인트 되는 부분들이 귀여워서 샀어요 자켓 느낌으로 입어도 예쁘고 남방 입은 것처럼 입어도 예뻐요,"귀엽다, 처럼, 자켓"
실측 엄청 크길래 사이즈 다운했습니다 사이즈 다운 해도 될 듯 다 좋은데 충격인 건 버전 나오고 나서야 드디어 배송이 옴,"드디어, 나서다, 배송, 나오다, 다운, 크다, 실측, 충격"
생각보다 색이 어둡습니다 네이비보다 거의 블랙처럼 보여 요 입을까 반품할까 고민하다가 입기로 했네요,"블랙, 처럼, 색, 어둡다, 반품, 고민, 네이비"
디자인 정말 이 뻐요 에 키 초 사이즈인데 약간 오버하게 맞아요,"사이즈, 인데, 오버, 맞다, 디자인"
우선 가성비가 정말 좋아요 이 가격에 워크 자켓이라니 얇은 데 오히려 요즘 날씨에 반 팔에 입고 벗기 딱 좋습니다 색감이 어둡고 사이즈는 오버핏이라 커요,"자켓, 이라니, 색감, 얇다, 사이즈, 팔, 어둡다, 날씨, 크다, 벗기다"
저렴한 가격에 워크자켓을 살 수 있어서 좋네요 배송은 예약 배송이라 다소 느렸고 생각보다 꽤나 얇은 두께였지만 오히려 더워지고 있는 날씨에 지금 입기에 딱이에요,"더워지다, 저렴하다, 느리다, 얇다, 예약, 가격, 배송, 날씨"
워크자켓 대 유행으로 데일리 착용을 위해 구입해봤습니다 라퍼지스토어 역시 가성비 최고입니다 특히 앞 주머니 디테일 대박입니다,"주머니, 퍼지다, 스토어, 워, 크다, 자켓, 해봤다, 데일리, 최고, 대박, 디테일, 특히, 착용"
에 키로 기준 사이즈가 정 사이즈에서 약간 오버핏으로 잘 맞아요 제가 딱 원한 사이즈감이네요,"사이즈, 가다, 맞다, 오버핏, 원한, 키로, 기준"
완전 최고맘에 듭니다 주머니 상표 등 디테일이 너무 과하지 않고 적당히 절제되어 들어갔으나 아메카지 특유의 야상 자켓 느낌이 합쳐 저 코디 범용성이 넖을 것 같습니다 좋은 소재의 웰메이드 옷 저렴하게 만났네요 카키색도 정말이쁩니다,"주머니, 자켓, 저렴하다, 최고, 카키색, 소재"
딱 지금 시기에 입 기 좋은 두께에 요 사이즈는 엄청 크다는 후기 보고 구매했는데 두 약간 긴 편이네요 소매는 한번 접어서 입으니 딱입니다 원하는 핏입니다,"사이즈, 접다, 핏입니, 크다, 딱이다, 보고"
이쁩니다 주머니도 많아서 용이 하고 목 부분 손목 부분 골지 패턴도 접었을 때 유니크해요,"손목, 주머니, 패턴, 유니크, 많다, 접다, 골지, 부분"
에스입으세영 여자분들 너무 이뻐용 박시핏에 기여워 재질도 진짜 너무 좋궁 여기 옷 마니잇는 데 살 때마다 품질이 죠아,"박시핏, 기여, 워, 말다, 잇다, 품질, 여자, 분들, 마다, 죠"
너무 예뻐용 여자 박시핏으로 에스 가능 반 바지에 반팔에 입으면 너무 날씬해 보이고 조아용 이 거 사진은 안에 기 모맨투맨을 입아서 그런 거구 용 강,"사진, 여자, 맨, 투맨, 팔, 바지, 보이, 거구, 날씬하다"
배송빨리 오고 만족합니다 사진과 동일한 제품이네요,"제품, 만족하다, 오다, 동일하다, 사진, 배송, 빨리"
데일리룩으로 입 기 좋아요 착용 감도 편하고 핏도 예쁩니다 어느 옷에 든 다 잘 어울려서 마음에 듭니다,"편하다, 데일리룩, 핏, 착용, 어울리다"
남편이 평소 사이즈 입고 가슴이 발달된 체형인데 핏 여유롭게 맞네요 인터넷 쇼핑으로 성공 확률 프로 될까 말까 인데 이번엔 성공이에 요 아우터 너무 무거우면 안입게 되고 너무 가벼워도 없어 보이는데 무게 감 딱 적당해서 봄 가을 아우터로 아주 만족입니다 여행가서 저도 한 번씩 뺏어 입었는데 물론 크지만 보기 싫을 정도는 아니였네요 라퍼지스토어 아우터 두 번째 구매인데  이제 믿음이 가네요 가성비 좋은 브랜드인 것 같아요,"인데, 쇼핑, 무게, 크다, 퍼지다, 스토어, 만족, 사이즈"
생각보다 두께감이 앏 고 사이즈가 컸지만 디자인 디테일 전부 만족합니다,"사이즈, 디자인, 크다, 만족하다, 두께감, 디테일"
정말 예쁜 자켓입니다 원단도 하고 아주 좋아요 어디에나 다 어울려 요 한 느낌입니다 치노 청바지에 다 굿이요,"청바지, 굿, 자켓, 에나, 어울리다, 원단"
바늘질 마감이 너무 안 좋아서 한 번 교환했지만 이것도 그다지 마음엔 들 진 않네요 다른 라퍼지 옷들에 비해서 바늘 질 마감 상당히 안 좋습니다 보세 옷 퀄리티보다 아주 살짝 좋은 정도네요 디자인 디테일 핏감 모두 마음에 들지만 마감이 다 말아 먹는 느낌의 옷입니다,"바늘, 질, 퀄리, 티보, 핏감, 마감"
사진으로 볼 땐 이 뻤는데 직접 받아보니 이게 무슨 옷인지 사실 좀 갸우뚱하게 됩니다 디자인도 그렇지만 핏 때문에 더 그런 것 같아 요 많이 커서 바로 세탁 건조기 코스로 좀 줄였는데 여전히 좀 부한 감이 있습니다 구매한 가격 대비 퀄리티는 괜찮아서 그 점은 만족합니다 더위가 일찍 찾아와서 요즘 입기는 힘들겠네요,"세탁, 인지, 디자인, 건조기, 사진, 퀄리티, 만족하다, 더위"
남친 선물로 구매했어요 옷 너무 예뻐요 잘 구매한 거 같아요,"선물, 남친"
딱 요즘 걸치기 좋네요 길이감이 좀 있구요 주머니 다섯 개 귀여워요 청바지랑 입어도 잘 어울리네요,"청바지, 귀엽다, 걸치다, 어울리다, 주머니, 길이감"
제품 무난해서 여러 스타일의 코디에도 잘 매치될 거 같아서 좋아요,"매치, 코디, 스타일, 여러, 제품"
사이즈가 꽤 크게 나왔네요 소매가 조금 길고 기장은 많이 깁니다,"길다, 사이즈, 나오다, 기장, 많이, 크게, 소매"
합리적인 가격에 디자인 좋은 옷을 구매해서 좋아요,"가격, 합리, 디자인"
사이즈 상당히 해요 사이즈 하나 내려서 구매하시는 걸 추천 드려요,"사이즈, 드리다, 하나, 내다, 상당하다, 추천"
너무 좋아요 여자가 입어도 잘 어울리는 옷이예요 가을 준비해 놓으려 구요 그런데 왜 한쪽 주머이는 밑에 튿어져 있죠,"예요, 튿어져, 여자, 밑, 놓다, 준비, 주, 머"
가볍게 입 기 좋은 아우터입니다 사이즈는 크게 나왔어요,"아우터, 가볍다, 나오다, 사이즈, 크게"
인데도 불구하고 오버하게 잘 맞습니다 참고하면 좋을 듯함니다,"맞다, 참고, 오버, 불구, 하고"
제품 자체는 마음에 듭니다 다 만 비닐 포장에 떼 다 남은 스티커 자국과 라벨은 옷과 분리된 상태로 들어 있어 새 상품이 아닌 것 같은 느낌이 들더군 요 이런 부분 신경 써 주셨으면 합니다,"제품, 비닐, 포장, 스티커, 상품, 분리, 자체, 남다"
에 키로 사이즈가 정말 딱입니다 부터는 너무 큽니다 강력 추천합니다,"크다, 사이즈, 추천, 강력, 딱이다, 부터는, 키로"
사길 잘한 것 같아 요 디자인이 예쁘고 핏도 예쁘네요,"자다, 디자인, 핏"
빠른 배송 너무 좋았습니다 옷은 사이즈 해서 루즈하게 입 기 좋네요,"루즈, 사이즈, 빠르다, 배송"
원하던 핏과 기장감입니다 간절기에 입으면 딱일 것 같고 멋스러운 워크 자켓이네요,"자켓, 기장감, 원하다, 핏, 딱이다, 멋, 스러운, 간절기, 워, 크다"
다른 제품들은 세탁하고 나면 색상이 쉽게 빠지는 단점이 있던 반면에 여기 제품은 색상이 세탁하고 나서 빠 않아서 정말 좋네요 주변 지인들에게도 추천 많이 했는데 다들 좋아하네요,"색상, 세탁, 하고, 제품, 쉬다, 추천, 좋아하다, 지인, 에게도"
편한 거 같아서 일 단 좋아요 편하게 입고 다닐 게요,편하다
한 사이즈 다운 추천합니다 많이 크지 않아서 좋아요,"크다, 추천, 사이즈, 많이, 다운"
스타일링 하기 너무 좋고 툭 걸치기만 해도 멋 납니다,"걸치다, 나다, 스타, 일링, 해도"
오버핏이라 크게 나오네요 평소 사이즈인데도 크네요,"사이즈, 인데, 크다, 나오다, 크게, 오버핏, 평소"
이뿝니다 이 뿌구여 이 뻐요 배송도 빠르고 실뭉이 더 이 부네요,"실뭉, 부다, 뿌구, 이뿌다, 배송, 빠르다"
디자인이 단조롭지 않으면서 너무 튀지도 않는 것이 정말 좋습니다 제 신체 사이즈에도 잘 맞구 요 좋은 옷 감사합니다,"사이즈, 디자인, 단조롭다, 맞다, 신체"
생각보다 크긴 큽니다 작은 체격은 아닌데 사이즈도 살짝 오버핏이네요 소매는 접으면 딱 맞네요 가볍게 입 기 좋을 것 같습니다 이쁘네요 근데 군대군대 마감이 살짝 아쉽습니다,"군대, 마감, 크다, 사이즈, 맞다, 접다"
간편하게 걸쳐 입기 좋을 거 같아 요 아직 입을 시기가 아니지만 미리 구매했어요 좋으면 나중에 린넨 버전도 구입 예정 입니다,"간편하다, 버전, 아니다, 나중, 시기"
많이 커서 스몰로 주문했고 잘 맞습니다 민족합니다,"주문, 맞다, 스몰, 커서, 민족, 많이"
키에 전체 기장이 기나 폭 싸이는 편안한 느낌을 원해서 전 만족합니다,"만족하다, 편안하다, 원하다, 키, 기장, 전체, 싸이다"
너무 마음에 들어 요 편해요 잘 구매 한 것 같아 요 또 구매 의사 있어요,"편하다, 의사"
배송이 빠르고 너무 좋아요 품은 좀 큰 편이에 요,"편이, 배송, 품다, 빠르다"
워크 자켓답게 살짝 원단에 힘이 있으며 활동하기에도 편하게 부드러움이 갖춰져 있습니다 감사합니다,"편하다, 자다, 활동, 원단, 부드러움, 갖추다, 힘"
첨부된 사진의 색감보다 더 진 한 남색입니다 워크 자켓답게 살짝 원단에 힘이 있으며 활동하기에도 편하게 부드러움이 갖춰져 있습니다 감사합니다,"편하다, 남색, 색감, 부드러움, 활동, 사진, 자다"
색상도 이 쁘고 사이즈도 좋고 포장도 하고 만족합니다,"색상, 만족하다, 사이즈, 포장"
봄 가을에 입 기 좋아요 좀 크긴 큰데 오버핏으로 딱입니다,"오버핏, 크다, 가을, 딱이다"
할인해서 가을에 입을 거 미리 샀어요 생각보다 길이가 긴데 뭐 사진과 동일해요,"사진, 길이, 할인, 동일하다, 가을, 미리"
배송 너무 빠르고요 오버핏으로 편하게 입기 좋을 거 같아요,"오버핏, 편하다, 빠르다, 배송"
아직 입어 보진 않았지만 라퍼지스토오 옷은 뭐 이 쁘죠,"죠, 퍼지다, 스토, 오, 아직"
워크자켓 사고 싶었는데 세일하면서 득 템했습니다 착용 감 좋고 가을에 걸쳐서 입기 딱 좋은 것 같아 요 프렌치한 느낌의 워크 자켓 찾으신다면 강 추드립니다 사이즈 오버한 느낌이라 안에 어느 정도 두께감 있는 옷을 입으면 딱 좋을 것 같아요,"자켓, 워, 크다, 착용, 가을, 두께감, 찾다, 신다"
봄 가을 초겨울 입기 좋은 워크자켓 가성비 좋고 오버핏이라 사이즈가 잘 맞네요,"워, 크다, 자켓, 오버핏, 사이즈, 맞다, 가성비, 초겨울, 가을"
