Review,keyword
바지가 통도 크고 길이 감도 마음에 듭니다 위에 티셔츠 아무거나 입어도 다 멋있네요,"거나, 멋있다, 티셔츠, 길이, 크다, 바지"
힙하게 여름에 잘 입고 다닐 것 같습니다 좋아요 잘 삿습니다,"삿습니, 힙하, 여름"
요즘 날씨에 입 기 딱 좋아요 색감도 이 쁘네요 만족합니다,"날씨, 쁘네, 만족하다, 색감"
우선 허리가 생각보다 큽니 다 쫄지 마시고 애매하다 싶으면 사이즈 구매 추천 드립니다 생각보다 합니다 두께감 보통 청바지 보다는 얇구요 그렇다고 흐물 흐물 하지는 않고 여름 가을에 적당합니다 무엇보다 편안함이 최고인 거 같습니다,"흐물, 그렇다고, 편안함, 말다, 보통, 애매하다, 최고, 가을, 두께감, 드리다"
기준 허리가 많이 컸지만 기장이나 통이 가장 이상적이라 허리는 옷 핀으로 고 정 후 입었습니다 마음에 드네요,"가장, 기준, 허리, 기장, 크다"
색깔 넘 예믑니다 근데 사이즈가 정말 커서 하마 더 작게 시켜도 괜찮았을 것 같아 여,"예믑니, 하마, 색깔, 커서, 작다, 사이즈"
버뮤다 느낌이 너무 이쁩니 당 근데 저는 버뮤다 느낌도 주고 롤업해서 입어봤는데 조금 더 짧으면서 다리가 길어 보이고 이 쁜 느낌도 줄 수 있더라고요 버뮤다 짧게 롤업해도 이쁜 팬츠 잘 구매 한 거 같습니다,"롤업, 짧다, 버뮤다, 주다, 보이, 해도, 다리, 길다, 입어보다, 팬츠"
리뉴얼로 워싱했다고 써져 있긴 한데 판매 사진은 리뉴얼 전 껄로 올려놓아서 뭔가 속은 느낌 사진과 달리 훨씬 색깔이 짙고 워싱이 허벅지 전체를 덮고 있는데 이 정도면 다른 제품 아닐까 싶네요,"리뉴얼, 사진, 올려놓다, 워싱했다, 달리, 써다, 판매, 짙다, 전체, 덮다"
핏 제가 생각했던 그대로입니다 너무 만족스러워요,"그대로, 만족스럽다"
핏도 좋고 기장도 알맞게 떨어지니 이번 여름에는 이것만 입고 다닐 거 같습니다,"알맞다, 떨어지다, 기장, 여름"
이바지 요즘 저의 교복입니다 일부러 골반에 걸쳐 크게 입으려고 한 사이즈 업햤는 데 제가 원하는 핏이에 요 많이 두껍지 않고 통이 넓어서 통풍도 잘 되고 한 여름인데도 덥지 않게 입고 다니고 있어요 칠부 느낌으로 다가 옛날 느낌으로 힙하게 입고 싶옸는데 넘 귀엽고 예뻐서 대 만족 입니당,"옛날, 싶옸는데, 이바지, 업햤는, 통풍, 교복, 힙하, 다가, 핏이, 일부러"
핏 이랑 재질은 괜찮습니다 디자인도 좋구요 색감은 제품 사진보단 파란 끼가 덜하고 탁한 느낌 그리고 워싱과정에서 나온 가루들이 덜 제거되어서 뒤집어 털고 입어야 했네요 그래도 이 뻐서 입습니다,"털다, 덜하다, 제거, 워싱과정, 파란, 뒤지다, 가루, 탁하다, 보단, 되어다"
핏 죽여줍니다 허리는 커서 벨트 메야 하지만 핏 하나로 단점 커버 가능합니다 사세요 그냥,"죽여주다, 하나로, 커버, 메다, 단점, 가능하다, 커서, 벨트, 허리"
검은색 살까 고민하다가 청으로 했어 용 너무 클까봐 걱정했는데 원하던 핏이 에 용 할 인해서 샀어요,"인하다, 검은색, 살다, 걱정, 고민, 원하다, 크다"
버뮤다 스타일의 데님 팬츠를 찾고 있었는데 적당한 가격대에 스타일 좋은 제품이라 바로 구입하였습니다 딱 사진에서 보는 그대로의 컬러감에 부드러운 재질감까지 매우 만족스러웠는데요 허리 사이즈나 전체적인 풍성함은 그리 크게 나온 편은 아니기 때문에 오버하게 착용하고 싶으신 분들은 꼭 한 사이즈 업 하시길 추천 드립니다 사이즈로 했으면 좀 더 모델 같은 느낌이 났을 거 같은데 사 이즈는 딱 맞는 핏의 실루엣이 나오네 여 이점이 조금 아쉽지만 그래도 재질이나 컬러감 디테일적인 부분은 거의 만점이라 할 수 있을 거 같습니다 구입하고 블프 세일이라 조금 속이 쓰리지만 올 여름 멋진 버뮤다 팬츠 찾으시는 다른 분들은 빨리 구매하시길 추천 드립니다,"컬러, 스타일, 드리다, 찾다, 추천, 나오다, 사이즈, 재질감, 이점, 쓰리다"
받자마자 짝 입었는데 핏이 너무 이 쁘고 어떤 옷에 매칭이을 하든 너무 잘 어울립니다,"하든, 매칭, 어떻다, 받다, 어울리다"
클 거 예상하고 시키긴 했는데 증 말 많이 커요 그래서 좋아 용 허리는 벨트하면 된 답미댱,"답미댱, 예상, 크다, 벨트, 허리"
색깔이 훨씬 짙고 워싱도 엄청 많이 들어갔네요 모델 사진과는 완전 다른 제품 이에요,"과는, 짙다, 모델, 들어가다, 색깔, 사진, 제품, 워싱"
너무 이쁜데 허리가 좀 커서 벨트 안 하면 골반에 걸쳐요,"골반, 걸치다, 커서, 벨트, 허리"
여자친구는 싫어하지만 저는 기장감이 딱 좋아요 예쁩니다,"싫어하다, 여자친구, 기장감"
핏감 너무 좋습니다 사이즈도 딱 적당하고 착용 감 좋아요,"핏감, 착용, 적당하다, 사이즈"
키가 크지 않아서 너무 길면 어쩌나 했는데 다행스럽게도 기장감과 핏 전부 만족스러워요,"어쩌나, 스럽게, 다행, 기장감, 길다, 만족스럽다, 크다"
통 큰 바지 찾고 있었는데 딱 무릎까지 내려오고 허리는 벨트 안했을 때 골반 하면 허리 정도로 내려와 요 원래 바지 사이즈 아니면 입습니다,"내려오다, 바지, 허리, 골반, 찾다, 아니다, 벨트, 무릎, 크다, 사이즈"
바지 완전 귀요미 허리가 좀 많이 크긴 한데 그것 빼곤 다 대 만족이 엿어요 하얀 반팔이랑 입으면 완전 청량 그 자체 색은 생각보다 좀 진한데 진해서 더 만족이였어요 완전 최고 기장은 허리 꽉 맸을 때 무릎 밑 정도 왔고 허리 그대로 냅두면 정강이까지 왔어요 완전 예쁨 번창하세요,"만족, 오다, 허리, 정강이, 청량, 어요, 하얗다, 팔이, 번창, 귀요미"
이쁜 상품가성비 좋게 잘 구매했습니다 어디든 잘 어 울릴 것 같습니다 후에 재구매 의 향 또한 있습니다,"울리다, 재다, 상품, 가성비"
와 너무 시원하고 이 뻐여 일단 다리튼실해서 무릎 밑 기장 찾았는데 너무 맘에 들어 요 여름 이랑 가을 봄에 자주 입을 것 같아 여 기장 핏 완전 취향 저격입니다,"취향, 튼실하다, 기장, 저격, 가을, 다리, 시원하다, 찾다, 오다, 무릎"
허리가 좀 큰데 기장이나 핏 색감이 너무 예뻐서 자주 입을 것 같아 요 디테일도 좋음 완전 만족합니다,"일도, 디테, 만족하다, 기장, 색감, 크다, 허리"
크게 입고 싶어서 사이즈 큰 걸로 샀습니다 딱 원하던 루즈 한 핏이라 여름에 짱 잘 입었어요 하지만 아쉬운 점은 허리 쪽이 까슬까슬해서 가려웠습니다 이 부분 빼고는 가성비도 좋고 좋았습니다,"웠습, 까슬까슬, 루즈, 빼다, 부분, 가다, 아쉽다, 크게, 가성비, 원하다"
평소에 입는데 골반에 걸쳐 입으니 잘 맞아 용 딱 원하던 핏입니다,"핏입니, 골반, 걸치다, 원하다, 맞다"
세일하길래 생각 없이 구매했는데 생각보다 핏이 너무 좋고 색감도 이 뻐서 놀랐어요 아무 데나 입어도 잘 어울려서 좋습니다 활용도 높은 새깅하기 좋은 바지,"활용, 높다, 세일, 어울리다, 색감, 바지"
저 정도 키를 가진 분이라면 충분히 원하는 핏 나올 것 같아 요 서 있을 때 무릎을 살짝 덮습니다,"불다, 가지다, 충분하다, 서다, 덮다, 나오다, 원하다, 무릎"
여름 대비 버뮤다 팬츠 구매하던 차에 마침 타임 세일이라 구매하게 되었네요 카펜터 디테일이 들어간 데님 버뮤다입니다 반 바지답게 무게감은 가 벼운 편이었고 재질도 부드러운 편이었어요 제 스펙 기준 사이즈가 무릎을 덮는 기장이라 좋았습니다 하리는 살짝 여유 있어요 스타일링 할 때는 위에 가볍게 오버핏 셔츠를 걸쳐주는 것만으로도 귀엽게 매치가 가능합니다 다 만 아쉬 운 점이 있긴 하네요 망치걸이 디자인을 해둔 부분의 원단이 힘이 없어서 모양이 유지가 안 되고 봉제 마감이 다소 아쉬웠어요 여러 부분에 실이 튀어나와 있어서 한동안 가위와 라이터로 손질했네요 그래도 가격대를 생각한다면 충분히 납득가는 수준이 긴 합니다 옷 자체의 색감이나 핏 등은 예쁩니다 가성비로 추천이요,"펴다, 부분, 가다, 아쉽다, 손질, 가위, 하리, 납득, 라이터, 일링"
오버핏으로 너무너무 이 뻐요 이번 여름 시즌 동안 정말 이쁘게 잘 입을 거 같네요,"시즌, 오버핏, 여름"
블프세일로 저렴하게 구매했어요 핏도 색감도 맘에 들어 요 기여움,"블프세일, 기여, 저렴하다, 색감"
타임세일로 가성비 최강 바지 얻었네 용 감사합니동,"타임세일, 최강, 얻다, 가성비, 바지"
너무 예쁜데 많이 커요 골반에 걸쳐도 걍 큰 게 보여 요 바지에서 냄새도 많이 납니다 그래도 귀엽고 예뻐요,"크다, 보이다, 냄새, 골반, 귀엽다, 걸치다, 바지"
사이즈 하고 핏 너무 이쁩니다 여름에 시원하게 입 기 좋을 거 같아용,"시원하다, 여름, 사이즈"
무릎 밑까지 예쁘게 떨어지는 반 바지입니다 처음에는 기장이 너무 긴 거 아닌가 걱정했는데 입으니깐 생각보다는 안길어요 예쁜 데님 쇼츠 가성비 있게 잘 샀어요,"안다, 쇼츠, 걱정, 데님, 떨어지다, 처음, 아니다, 가성비, 무릎, 기장"
여름에 어떤 상의에도 어울리는 만능 바지라 할 수 있습니다 적당한 기장감으로 다리 두껍거나 얇은 것이 커버됩니다,"만능, 커버, 바지라, 어떻다, 다리, 상의, 기장감, 얇다, 어울리다, 두껍다"
일단 핏이랑 기장 너무 마음에 들었습니다 색감도 너무 예뻤구요 다만 아쉬운 점은 제품이 오고 바로 열어봤을 때 구겨짐이 좀 심한 채로 왔었고 냄새도 썩 좋진 않았아요 그리고 단 추랑 지 퍼도 손을 좀 써야 돼서 아쉬웠습니다,"오다, 아쉽다, 구기다, 열다, 써다, 지다, 돼다, 심하다, 냄새, 제품"
완전 얇고 여름에 딱입니다 기장도 너무 길지 않아서 입문하기 좋아요,"입문, 딱이다, 길다, 얇다, 기장, 여름"
바지 너무 예뻐요 사이즈도 정 사이즈로 가면 될 거 같아요,"가면, 사이즈, 바지"
딱 원하던 색감이라 바로 구매했어요 사진과 똑같은 색감이고 정말 맘에 드는 버뮤다핏에 요 약간 여름 팬츠에 비해 두꺼운 감이 있지만 못 입을 정돈 아니라 좋았어요,"정돈, 색감, 비다, 똑같다, 사진, 두껍다, 아니다, 원하다, 팬츠, 여름"
아 진짜 너무 만족하는 바지입니다 너무 예쁘네요,"만족하다, 바지"
생각보다 워싱이 진해서 놀랐고 허리도 조금 작은 느낌이었어요 그래도 어떻개 잘 내려서 입으면 생각했던 기장이라 만족합니당,"어떻, 진하다, 느끼다, 내다, 작다, 워싱, 만족하다, 기장, 허리"
