Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
생각보다 늦게 왔지만 맘에 드는 체크무늬랑 색감이 고 크기도 적당해요 재질도 여름에 입어도 될 것 같아 용 남자가 입음 좀 짧을 수도, 재질,"남자, 무늬, 색감, 수도, 재질, 적당하다, 짧다, 체크, 크기","남자, 늦다, 무늬, 색감, 수도, 여름, 오다, 재질, 적당하다, 짧다, 체크, 체크 무늬, 체크무늬, 크기"
기장이랑 핏이 아주 좋네요 가성비 훌륭한 셔츠인 것 같아요,,"가성비, 기장, 셔츠, 핏, 훌륭하다","가성비, 기장, 셔츠, 핏, 훌륭하다"
편하게 입기도 좋고 웨이트하는 사람이 입어도 충분히 잘 맞네요,,"맞다, 사람, 충분하다, 편하다","맞다, 사람, 운동, 웨이트, 충분하다, 트, 편하다"
안흔한 체크 셔츠 찾다가 괜찮아 보이길 랴 구매했어요 색감이 쁘고 핏도 좋고 재질도 부드럽고 좋은데 단추가 너무 하얀색인 게 좀 아쉬웠지만 만족합니다,,"단추, 만족하다, 보이다, 부드럽다, 색감, 아쉽다, 재질, 찾다, 하얀색, 흔하다","단추, 만족하다, 보이다, 부드럽다, 색감, 색깔, 셔츠, 아쉽다, 재질, 찾다, 체크, 체크패턴, 핏, 하얀색, 흔하다"
이 색상의 체크가 예뻐서 샀는데 유행인지 돌아 다니면 하루에 명은 마주 침 근데 예뻐서 포기할 수가 없음 여름에 햇빛 때문에 셔츠를 많이 입는데 부드럽고 가 벼워서 계속 입고 출근하러 갑니다 가격이 아쉽긴 하지만 그래도 만족합니다, 유행,"마주, 벼워, 색상, 셔츠, 유행, 출근, 햇빛","가격, 가다, 가볍다부드럽다재질, 계속, 돌다, 때문, 마주, 만족하다, 벼워, 부드럽다, 색상, 셔츠, 여름, 유행, 인지, 체크, 출근, 포기, 하루, 햇빛"
원단이 얇아 여름에 입 기 좋고 색감과 체크무늬가 마음에 듭니다 총장도 크게 길지 않은 점도 좋습니다, 여름,"길다, 무늬, 색감, 얇다, 여름, 원단, 체크, 총장, 크게","길다, 듭니, 무늬, 색감, 얇다, 여름, 원단, 점도, 체크, 체크 무늬, 체크무늬, 총장, 크게"
마감은 너무 별로예요 좀 충격적 일 정도로 실밥이 팔 접어서 올리는 데 깜짝 놀랐네요 크롭 한 기장과 두께감 모두 좋은데 마감은 좀 신경 쓰셔야 할 것 같아 요,,"기장, 깜짝, 마감, 별로, 신경, 실밥, 올리다, 접다, 충격, 크롭","기장, 깜짝, 두껍다, 두께감, 마감, 별로, 신경, 실밥, 쓸다, 예요, 올리다, 접다, 충격, 크롭, 크롭기장, 팔접힌상태"
잠궈서 입으면 뭔가 덩치가 커 보이는 핏이여서 오픈해서 이쁘게 입고 다닐 거 같습니다,,"보이다, 오픈, 잠그다, 핏이","덩, 덩 치가, 덩치크다보임, 뭔가, 보이다, 여서, 오픈, 잠그다, 치가, 크다, 핏이"
평소 착용 약간 딱 맞음 세탁 한번 했는데 구김이 잘 생기고 카라가 말림 핏과 색상 맘에 들어 요 다만 가격이 좀 쌘편 만 원 초반대였으면 여러 벌 사서 돌려 입어도 좋을 듯,,"가격, 대다, 돌리다, 말림, 색상, 생기, 여러, 카라, 핏","105착용, 가격, 구김, 구김많이생기, 대다, 돌리다, 말림, 사서, 색상, 생기, 세탁, 쌘편, 여러, 착용, 초반, 카라, 카라말림, 평소, 핏"
에어컨 많이 가동하는 곳에서 가끔 입는데 너무 이 쁘고 적당히 얇아서 좋아요," 에어컨,  가동","가동, 곳, 얇다, 에어컨, 적당하다","가끔, 가동, 곳, 많이, 얇다, 에어컨, 적당하다, 적당하다두께, 편하다"
막 입을 셔츠 치 고 가격이 높아서 고민했는데 입어보고 너무너무 만족스러웠습니다 다른 색상으로도 또 갖고 싶네요, 셔츠,"가격, 고민, 높다, 만족스럽다, 색상, 셔츠, 싶다, 으로도, 입어보다","가격, 갖다, 고민, 높다, 만족감, 만족스럽다, 색상, 셔츠, 싶다, 으로도, 입어보다, 편하다"
색깔은 괜찮은데 실밥 마감이 좀 아쉬워요 그래도 얇아서 좋아요, 색깔,"마감, 색깔, 실밥, 아쉽다, 얇다","마감, 색깔, 실밥, 실밥마감, 아쉽다, 얇다"
안흔한 체크 셔츠 찾다가 괜찮아 보이길 랴 구매했어요 색감이 쁘고 핏도 좋고 재질도 부드럽고 좋은데 단추가 너무 하얀색인 게 좀 미쓰인 것 같아요,,"단추, 보이다, 부드럽다, 셔츠, 재질, 찾다, 체크, 핏, 하얀색, 흔하다","단추, 밉다, 밉다 쓰이다, 보이다, 부드럽다, 색감, 색깔, 셔츠, 쓰이다, 재질, 찾다, 체크, 체크패턴, 핏, 하얀색, 흔하다"
빈티지한 오버셔츠 찾다가 눈에 확 들어와서 특가에 들인 후크의 네이비 셔츠 이번에 눈팅하다가 후크란 브랜드를 접하고 쭉 둘러보며 겟한 친구 중에 하나 실물 봤을 때 딱 든 생각이 오케이 색감 패턴 워싱 빈티지함 모두 성공 내가 원하는 느낌으로 스타일링 할 수 있겠다 하지만 딱 착용하는데 깜짝 놀랬다 생각보다 엄청 커서 인 분들도 세미오버나올 듯 품이 엄청나 다  그레도 그 하고 툭 떨어지는 맛에 원하는 느낌 내기가 용이 할 거 같지만 원단은 얇아서 부담 없이 걸치기 좋을 거 같다 두꺼우면 계절을 더 신경 써야 되니깐 무튼 너무 잘 구매했고 예쁘게 스타일링해서 입어보겠습니다 후크 무서운 신성이네요,,"브랜드, 신성, 일링","걸치다, 내기, 네이비셔츠, 놀래다, 둘러보다, 들어오다, 무섭다, 부담, 브랜드, 빈티, 색감, 성공, 세미 오버 나오다, 셔츠, 스타, 스타 일링, 신성, 오버, 오버 셔츠, 오버셔츠, 원하다, 일링, 착용, 틀다, 후, 후크"
색상도 좋고 봄 가을에 입 기 좋아요 다만 기장감이 생각보다 더 짧긴 합니당, 색상,"가을, 색상, 짧다","가을, 기장, 기장감, 봄가을, 색상, 짧다"
생각보다 체크 배색이 남색보다 베이지 비중이 더 큰 거 같아 요 좀 더 어두운 톤의 체크라고 생각했는데 실제로는 좀 화사하고 확 튀네요 그래도 빈티지하고 흔한 체크 색상이 아니라서 만족합니다 꽤 가벼워서 여름에도 입기 좋을 거 같아요,,"가볍다, 남색, 두운, 라고, 만족하다, 배색, 비중, 색상, 체크, 톤","가볍다, 남색, 두운, 라고, 만족하다, 배색, 베이지, 비중, 빈티 지하, 빈티지, 색깔, 색상, 아니다, 여름, 지하, 체크, 체크배색, 톤, 튀다, 화사하다, 흔하다"
무더위가 좀 풀리면 입기 좋을 거 같습니다 디자인이 이쁩니다,,"디자인, 무더위, 풀리다","디자인, 무더위, 풀리다, 풀림"
기장은 짧은데 오히려 좋고 좋은 가격에 잘 샀어요,,"가격, 기장, 짧다","가격, 기장, 짧다"
평소 입는데 커 보여서 시켰는데 잘 시킨 것 같아요,,,"L사이즈, M사이즈, 보, 여서, 크다, 평소"
사이즈가 딱 좋습니다 옷이 두껍지도 않아서 팔 접어서 입으면 좋습니다 날씨가 좀 더 해지면 티에 입어도 좋을 것 같아 요, 사이즈,"날씨, 사이즈, 접다, 해지","날씨, 두껍다, 두께, 사이즈, 접다, 티, 티셔츠, 팔접기, 해지"
