Review,keyword
굿 확실히 듣던 대로 시보리가 자기 주장이 강 하네요 어릴 때 이 져지를 입은 형한테 삥 뜯긴 기 억이 납니다,"억이, 듣다, 주장, 어리다, 뜯다, 대로, 확실하다, 져지, 시보리"
사이즈 정 사이즈로 딱 맞고 시보리도 해서 좋아요 크게 사도 이 뻤겠지만 만족합니당 입고 다니면 너무 자주 보이는 게 단점,"뻤겠, 사도, 단점, 보이다, 사이즈, 만족하다, 크게, 맞다, 시보리"
사이즈 구매했다가 너무 커서 사이즈로 교환했어요 만족합니다 사이즈도 해요 이번 옷이 크게 나온 거 같아 요 착용감은 부드럽고 좋아요 입고 싶었던 거라 좋아요,"사이즈, 교환, 착용, 부드럽다, 커서, 나오다, 만족하다, 크게"
파이어버드 갖고 싶었는데 매일 입고 다닐 것 같어용,"파이어버드, 갖다"
사이즈도 좀 큰 가 했는데 하니 너무 좋구 핏도 이 뻐요,"가다, 크다, 사이즈"
입기 편합니다 좋아요 가성비 좋구요 디자인 좋습니다,"가성비, 디자인, 편하다"
역시 아디다스는 항상 실망시키질 않아서 좋아요 엄청 예쁘고 마감도 좋아요,"실망, 마감, 아디다스"
갔다가 로 교환했는데 교환하길 잘 함 흰티에 입어도 묻어나는 거 딱히 없는 것 같음 시보리 많이 조임,"교환, 묻다, 딱하다, 조이다, 희다, 가다, 시보리"
갑자기 트랙 위 아래로 입고 다니고 싶어서 샀어요 편하다,"갑자기, 아래, 트랙, 편하다"
대박 예쁨 그냥 근본 그 자체 크게 입으니까 넘 예쁨,"대박, 자체, 근본, 크게"
평소에 휘뚜루 마뚜루 입기도 좋고 포인트 주기도 좋습니다 재질이 흐물거려서 핏이 이 쁜데 밑단 시보리 때 매 배 부분이 좀 뜨는 게 아쉽네요 기장은 좀 긴 편입니다,"흐물거려, 쁜데, 주기도, 포인트, 마뚜루, 편입, 부분, 아쉽다, 휘뚜루, 밑단"
깔끔한 기 본 아디다스 져 지입니다 총기장이랑 소매 길이도 적당하고 마음에 들어요,"총기장, 소매, 깔끔하다, 길이, 적당하다, 아디다스"
키 인데 도 입어봤거든요 근데 이 핏이 더 맘에 들더라구 요 도 오버핏인데 시보리 접어 입으니 품도 그렇고 기장감이 뭔가 맘에 안 들어서 으로 바꿨어요 는 오버핏인데 뭔가 딱 맞는 오버핏 느낌 길이는 나이나 지 퍼 열먼 겁나 긴데 차피 접어 입을 거라 상관 안 하고 걍 으로 바꿈 시보리 접어 입으면 기 장 안길어요 밑에 시보리가 길고 쪼여서 접어도 절대 안 내려옴 근데 팔 이 겁나 길어요 줄넘기 가능할 듯 이상 팔다리 짧고 상체 긴 호빗의 후기 비슷한 분들 참고하셈,"접다, 겁나다, 오버핏, 시보리, 참다, 안다, 차피, 바꿈, 나이, 팔다리"
가을에 입 기 좋고 천 질감 디자인 다 괜찮네요 만족합니다,"질감, 가을, 디자인, 만족하다"
배송은 일반 배송이랑 똑같이 왔어요 한 사이즈 작게 입으면 더 좋을 거 같긴 한데 기다리기 귀찮아서 걍 입어요 너무 귀여움,"똑같이, 일반, 기다리다, 귀찮다, 배송, 작다, 오다, 사이즈"
초등학생 때 이후로 다시 처음 사네요 그때랑 비슷한 거 같습니다 핏은 훨씬 트렌디하게 나왔네요 야무지게 아무 데나 걸쳐도 예쁜 템입니다 같은 옷 입은 사람 하루에 스 무 명 이상 마주치지만 요,"초등학생, 이후, 마주치다, 트렌디, 야무지다, 사람, 처음, 하루, 걸치다, 나오다"
매장에서 입어보고 무신사에서 저렴하게 구입했어요 너무 맘에 듭니다,"무신, 매장, 저렴하다, 입어보다"
아디다스 트랙탑 다시 유행이여서 매장 사려 했더니 가격이 너무 비싸서 무신사로 시켰는데 매장에서 사는 거보다 만 원이나 아껴서 좋았습니 당 사고 싶었던 옷인 만큼 학원 갈 때나 놀러 갈 때 자주 입어요 아직 아침에 입으면 조금 얇아서 춥고 학교나 학원에서 입고 다니면 아주 딱 알맞아 용 제가 평소에도 사이즈 입어서 사이즈 샀는데 작을 줄 알았는데 생각보다 컸어용 안에 맨 투맨 입고 위에 트랙탑 입으면 아주 딱 알맞습니 당 저랑 키 비슷하고 몸무게 비슷하신 분들은 사이즈가 제격입니다 아디다스 트랠탑 꼭 사세요 안 사면 후회해요,"학원, 알맞다, 매장, 갈다, 트랙, 아끼다, 트랠탑, 제격, 몸무게, 사이즈"
리뷰 보니깐 많이 크다고 해서 걱정했었는데 하게 잘 맞아요 안에 얇은 기 모도 있어서 따뜻하 구 좋아요,"모도, 니깐, 리뷰, 따뜻하다, 걱정, 얇다, 맞다, 크다"
사이즈 젤 작은 건데 기장이 길어서 더 큰 사이즈하면 안 될 거 같아 요 첨엔 애매하게 길까봐 걱정했는데 밑에 시보리 땜에 저절로 올라가서 괜찮아요 예쁩니다,"저절로, 올라가다, 건데, 애매하다, 걱정, 사이즈, 작다, 기장, 시보리, 크다"
갑자기 파이어 버드 꽂혀서 샀는데 길이랑 품 다 괜찮아요 아래 쪼리가 너무 해서 잠그면 핏이 좀 이상한 데 늘어나겠죠 머,"쪼리, 이상하다, 늘어나다, 꽂히다, 갑자기, 아래, 잠그다, 길이, 버드, 파이어"
안의 살짝 기 모 같은 내용이 있어서 따뜻하고 재질은 뭠가 보풀이 잘 일어날 것 같은 재질이에요,"재질, 내용, 일어나다, 따뜻하다, 보풀"
가 정사이즈였던 거 같습니다 좀 오버핏이네요 제 생각엔 져지는 레귤러 핏으로 입어야 이쁩니다 여긴 다들 오버핏 매니아들만 있나 봅니다 저와 비슷한 신체 사이즈이신 분 가세요 너무 해요 상체 근육형인데도요,"매니아, 여기다, 정사이즈, 레귤러, 오버핏, 이신, 가세, 근육, 신체, 상체"
얇게 기 모 같은 게 있는 듯 하지만 얆 고 겨울 빼고는 어찌 저찌 입을 수 있을 거 같은 디 밑단이 너무 해서 지 퍼 잠그면 핏이 이 상해서 풀어서 입어야 되는 게 단점이고 팔 부분이 김,"풀다, 상해, 단점, 빼다, 겨울, 부분, 잠그다, 밑단, 얇다"
파이어버드 갖고 싶어서 택배만 기다렸는데 포장이 하지 않았는지 비에 박스랑 옷도 다 젖었네 영 건조기 돌리는 중입니 덩 좀 아숩 네여,"젖다, 아숩, 박스, 건조기, 기다리다, 택배, 돌리다, 포장, 파이어버드, 갖다"
무난합니다 핏 예뻐 영 지퍼 잠구면 크롭 한 기장이라서 좋아요,"크롭, 잠구, 지퍼, 기장"
배송이 일단 개 빠릅니다 안에 후드 레이어드하려고 폼 히 샀는데 그냥 입어도 사이즈 적당합니다,"레이어드, 후드, 적당하다, 빠르다, 배송, 사이즈"
편하고 가 벼움 조금 비싼 가 싶다가도 입어보면 맛도 리임,"가다, 벼움, 리임, 비싸다, 입어보다, 편하다"
너무 너무 좋아요 제가 딱 생각한 느낌에 생각한 핏입니다 겨울에도 이너로 입 기 좋아용,"핏입니, 이너, 겨울"
