Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
굿 확실히 듣던 대로 시보리가 자기 주장이 강 하네요 어릴 때 이 져지를 입은 형한테 삥 뜯긴 기 억이 납니다, 주장,"나다, 대로, 듣다, 뜯다, 시보리, 어리다, 져지, 주장, 형","굿, 나다, 대로, 듣다, 뜯다, 보리, 삥뜯다, 시보리, 어리다, 억이, 져지, 주장, 형, 확실하다"
사이즈 정 사이즈로 딱 맞고 시보리도 해서 좋아요 크게 사도 이 뻤겠지만 만족합니당 입고 다니면 너무 자주 보이는 게 단점,,"단점, 만족하다, 맞다, 보이다, 뻤겠, 사이즈, 시보리","단점, 만족하다, 맞다, 보리, 보이다, 뻤겠, 사도, 사이즈, 시보리, 크게, 크게사도"
사이즈 구매했다가 너무 커서 사이즈로 교환했어요 만족합니다 사이즈도 해요 이번 옷이 크게 나온 거 같아 요 착용감은 부드럽고 좋아요 입고 싶었던 거라 좋아요,,"만족하다, 부드럽다, 사이즈, 착용, 커서","L사이즈, S사이즈, 감다, 교환, 나오다, 만족하다, 부드럽다, 사이즈, 착용, 착용 감다, 커서, 크게"
파이어버드 갖고 싶었는데 매일 입고 다닐 것 같어용,,"갖다, 매일, 파이어버드","갖다, 매일, 싶다, 파이어버드"
사이즈도 좀 큰 가 했는데 하니 너무 좋구 핏도 이 뻐요,,"사이즈, 핏","가다, 넉넉, 사이즈, 크다, 핏"
입기 편합니다 좋아요 가성비 좋구요 디자인 좋습니다,,"가성비, 디자인, 편하다","가성비, 디자인, 편하다"
역시 아디다스는 항상 실망시키질 않아서 좋아요 엄청 예쁘고 마감도 좋아요, 마감,"마감, 실망, 아디다스, 항상","마감, 실망, 아디다스, 항상"
갔다가 로 교환했는데 교환하길 잘 함 흰티에 입어도 묻어나는 거 딱히 없는 것 같음 시보리 많이 조임,,"가다, 교환, 딱하다, 묻다, 시보리, 없다, 조이다, 희다","L, XL, 가다, 교환, 딱하다, 묻다, 보리, 시보리, 없다, 조이다, 티, 희다, 희다 티, 희다티"
갑자기 트랙 위 아래로 입고 다니고 싶어서 샀어요 편하다, 편하다,"갑자기, 아래, 트랙, 편하다","갑자기, 싶다, 아래, 트랙, 편하다"
대박 예쁨 그냥 근본 그 자체 크게 입으니까 넘 예쁨," 크게,  근본","근본, 대박, 자체, 크게","그냥, 근본, 넘다, 대박, 자체, 크게"
평소에 휘뚜루 마뚜루 입기도 좋고 포인트 주기도 좋습니다 재질이 흐물거려서 핏이 이 쁜데 밑단 시보리 때 매 배 부분이 좀 뜨는 게 아쉽네요 기장은 좀 긴 편입니다,,"밑단, 부분, 쁜데, 아쉽다, 재질, 주기도, 편입, 평소, 포인트, 흐물거려","기장, 마뚜루, 밑단, 보리, 부분, 쁜데, 시보리, 아쉽다, 재질, 주기도, 편입, 평소, 포인트, 핏, 휘뚜루, 휘뚜루마뚜루, 흐물거려"
깔끔한 기 본 아디다스 져 지입니다 총기장이랑 소매 길이도 적당하고 마음에 들어요," 깔끔하다,  길이,  소매,  아디다스","길이, 깔끔하다, 소매, 아디다스, 적당하다, 지다, 총기장","기본, 길이, 깔끔하다, 소매, 아디다스, 적당하다, 져지, 지다, 총기, 총기장"
키 인데 도 입어봤거든요 근데 이 핏이 더 맘에 들더라구 요 도 오버핏인데 시보리 접어 입으니 품도 그렇고 기장감이 뭔가 맘에 안 들어서 으로 바꿨어요 는 오버핏인데 뭔가 딱 맞는 오버핏 느낌 길이는 나이나 지 퍼 열먼 겁나 긴데 차피 접어 입을 거라 상관 안 하고 걍 으로 바꿈 시보리 접어 입으면 기 장 안길어요 밑에 시보리가 길고 쪼여서 접어도 절대 안 내려옴 근데 팔 이 겁나 길어요 줄넘기 가능할 듯 이상 팔다리 짧고 상체 긴 호빗의 후기 비슷한 분들 참고하셈,,"오버핏, 접다","m, s, 겁나다, 기장감, 길다, 나이, 들어서다, 뭔가, 바꾸다, 바꿈, 보리, 상관, 시보리, 안다, 열 멀다, 오버핏, 접다, 줄넘기, 짧다, 차피, 참다, 팔다리"
가을에 입 기 좋고 천 질감 디자인 다 괜찮네요 만족합니다, 디자인,"가을, 디자인, 만족하다, 질감","가을, 디자인, 만족, 만족하다, 질감, 천"
배송은 일반 배송이랑 똑같이 왔어요 한 사이즈 작게 입으면 더 좋을 거 같긴 한데 기다리기 귀찮아서 걍 입어요 너무 귀여움,,"귀찮다, 기다리다, 배송, 사이즈, 오다, 일반, 작다","귀, 귀찮다, 기다리다, 똑같이, 배송, 사이즈, 오다, 일반, 작다"
초등학생 때 이후로 다시 처음 사네요 그때랑 비슷한 거 같습니다 핏은 훨씬 트렌디하게 나왔네요 야무지게 아무 데나 걸쳐도 예쁜 템입니다 같은 옷 입은 사람 하루에 스 무 명 이상 마주치지만 요,,"걸치다, 마주치다, 야무지다, 이후, 처음, 초등학생, 트렌디","걸치다, 나오다, 마주치다, 사람, 스무, 야무지다, 이후, 처음, 초등학생, 트렌디, 핏, 하루"
매장에서 입어보고 무신사에서 저렴하게 구입했어요 너무 맘에 듭니다, 입어보다,"듭니, 매장, 사, 입어보다, 저렴하다","듭니, 매장, 무신, 물다, 사, 입어보다, 저렴하다"
아디다스 트랙탑 다시 유행이여서 매장 사려 했더니 가격이 너무 비싸서 무신사로 시켰는데 매장에서 사는 거보다 만 원이나 아껴서 좋았습니 당 사고 싶었던 옷인 만큼 학원 갈 때나 놀러 갈 때 자주 입어요 아직 아침에 입으면 조금 얇아서 춥고 학교나 학원에서 입고 다니면 아주 딱 알맞아 용 제가 평소에도 사이즈 입어서 사이즈 샀는데 작을 줄 알았는데 생각보다 컸어용 안에 맨 투맨 입고 위에 트랙탑 입으면 아주 딱 알맞습니 당 저랑 키 비슷하고 몸무게 비슷하신 분들은 사이즈가 제격입니다 아디다스 트랠탑 꼭 사세요 안 사면 후회해요, 매장,"가격, 매장, 몸무게, 비싸다, 사이즈, 제격","가격, 갈다, 매장, 맨투맨, 몸무게, 물다, 비슷, 비싸다, 사, 사면, 사이즈, 아끼다, 아디다스, 알맞다, 위, 유행, 제격, 추다, 키, 탑, 트랙, 트랙탑, 트랠탑, 학교, 학원, 후회"
리뷰 보니깐 많이 크다고 해서 걱정했었는데 하게 잘 맞아요 안에 얇은 기 모도 있어서 따뜻하 구 좋아요,,"걱정, 니깐, 리뷰, 맞다, 보, 얇다, 크다","걱정, 넉넉, 니깐, 따다뜻, 따뜻하다, 리뷰, 맞다, 모도, 보, 얇다, 크기, 크다"
사이즈 젤 작은 건데 기장이 길어서 더 큰 사이즈하면 안 될 거 같아 요 첨엔 애매하게 길까봐 걱정했는데 밑에 시보리 땜에 저절로 올라가서 괜찮아요 예쁩니다,,"걱정, 건데, 기장, 사이즈, 시보리, 애매하다, 올라가다, 작다, 저절로","걱정, 건데, 기장, 보리, 사이즈, 시보리, 애매하다, 올라가다, 작다, 저절로, 크다"
갑자기 파이어 버드 꽂혀서 샀는데 길이랑 품 다 괜찮아요 아래 쪼리가 너무 해서 잠그면 핏이 좀 이상한 데 늘어나겠죠 머,,"갑자기, 길이, 꽂히다, 늘어나다, 버드, 아래, 이상하다, 잠그다, 쪼리, 파이어, 핏","갑자기, 길이, 꽂히다, 늘어나다, 버드, 아래, 이상하다, 잠그다, 쪼기, 쪼리, 파이어, 파이어버드, 품, 핏"
안의 살짝 기 모 같은 내용이 있어서 따뜻하고 재질은 뭠가 보풀이 잘 일어날 것 같은 재질이에요, 보풀,"내용, 따뜻하다, 뭠, 보풀, 일어나다, 재질","기모, 내용, 따뜻하다, 뭠, 보풀, 이에요, 일어나다, 재질"
가 정사이즈였던 거 같습니다 좀 오버핏이네요 제 생각엔 져지는 레귤러 핏으로 입어야 이쁩니다 여긴 다들 오버핏 매니아들만 있나 봅니다 저와 비슷한 신체 사이즈이신 분 가세요 너무 해요 상체 근육형인데도요,,"근육, 레귤러, 매니아, 사이즈, 상체, 신체, 여기다, 오버핏, 이신, 정사이즈","가세, 근육, 레귤러, 레귤러핏, 매니아, 사이즈, 상체, 상체근육, 신체, 신체사이즈, 여기다, 오버핏, 이신, 인데, 정사이즈, 져지, 형"
얇게 기 모 같은 게 있는 듯 하지만 얆 고 겨울 빼고는 어찌 저찌 입을 수 있을 거 같은 디 밑단이 너무 해서 지 퍼 잠그면 핏이 이 상해서 풀어서 입어야 되는 게 단점이고 팔 부분이 김,,"겨울, 단점, 부분, 상해, 얇다, 잠그다, 풀다","겨울, 기모, 김, 단점, 밑단, 부분, 빼다, 상해, 얇다, 이고, 잠그다, 지퍼, 팔부분, 풀다, 핏"
파이어버드 갖고 싶어서 택배만 기다렸는데 포장이 하지 않았는지 비에 박스랑 옷도 다 젖었네 영 건조기 돌리는 중입니 덩 좀 아숩 네여," 택배,  건조기","건조기, 기다리다, 돌리다, 박스, 비, 아숩, 젖다, 택배, 파이어버드, 포장","갖다, 건조기, 기다리다, 돌리다, 박스, 비, 싶다, 아숩, 젖다, 중, 택배, 파이어버드, 포장"
무난합니다 핏 예뻐 영 지퍼 잠구면 크롭 한 기장이라서 좋아요," 잠구,  지퍼","기장, 잠구, 지퍼, 크롭","기장, 잠구, 지퍼, 크롭, 핏"
배송이 일단 개 빠릅니다 안에 후드 레이어드하려고 폼 히 샀는데 그냥 입어도 사이즈 적당합니다," 적당하다,  사이즈","그냥, 레이어드, 배송, 빠르다, 사이즈, 적당하다, 후드","개빠르다, 그냥, 넉넉하다, 레이어 드하 려고, 레이어드, 배송, 빠르다, 사이즈, 적당하다, 폼, 후드"
편하고 가 벼움 조금 비싼 가 싶다가도 입어보면 맛도 리임, 비싸다,"리임, 맛, 벼움, 비싸다, 입어보다, 편하다","가다, 가볍다, 리임, 맛, 맛도리, 벼움, 비싸다, 싶다, 입어보다, 편하다"
너무 너무 좋아요 제가 딱 생각한 느낌에 생각한 핏입니다 겨울에도 이너로 입 기 좋아용,,"겨울, 이너, 핏입니","겨울, 이너, 핏, 핏입니"
역쉬 아디다스 져 지 넘 예쁩니다 져 지 유행이 살짝 저물 긴 했는데 그래도 너무 갖고 싶어서 샀어요 일단 사이즈는 길이는 되게 긴데 지퍼 올리면 바로 크롭 해져서 상관 그 대신 사진 보면 배가 좀 튀어나와서 배불뚝이 같아 짐 그래도 예뻐서 봐줄 만 하게 튀어나 옴 완전 저의 휘뚜루 마 뚜루템입니댜 존 예 무조건 사십쇼,,"대신, 무조건, 사십, 쇼, 크롭, 튀어나오다","갖다, 대신, 뚜루템입니댜, 무조건, 배, 배불뚝이, 사십, 사십쇼, 사진, 상관, 쇼, 아디다스, 역쉬, 올리다, 유행, 저물다, 져지, 크롭, 튀어, 튀어나오다, 휘뚜루마뚜루"
배송이 좀 느렸지만 상품은 맘에 듭니다 선물용이였는데 작을까봐 걱정했는데 길이도 품도 딱이였어요 받는 사람도 맘에 들어 해서 기 분 좋았어요, 상품,"길이, 딱이다, 받다, 배송, 사람, 상품, 선물, 작다, 품다","걱정, 길이, 느리다, 듭니, 딱이다, 받다, 배송, 사람, 상품, 선물, 용다, 작다, 품, 품다"
