Review,Keyword
사려다 샀는데 살 걸 우선 다른 피케 원피스보다 기장이 길었고 시원한 재질이여서 손이 잘 가요 단정한 느낌도 줘서 굿,"S, 피케원피스, 재질, XS, 단정, 기장"
키가 매우 매우 크기 때 무네 저에게는 미니 기장이 긴 한데 짧을 건 이 미 예상하고 구매했습니다 근데도 너무 예뻐요상체 이인데 팔뚝살 잘 감춰주고 단추 오픈해서 입으면 그나마 덜 이로 보여서 너무 좋아요 얇아서 좀 비치 긴 하지만 속 바지 속 치마 입으면 갠춘합니당 다른 색도 살까 고민중이에 요 너무 예뻐,"미니, 얇다, 색, 퉁퉁이, 팔뚝, 퉁퉁, 오픈, 속치마, 짧다, 속바지, 덜, 키, 단추"
네이비랑 블랙 고 밈하다가 블랙 구매했어요 허리 잘록하게 잘 들어가고 핏이 뻐요 다만 많이 비치는 거 같아서 신경 써야 할 거 같아요,"허리, 핏, 블랙, 고밈, 비치, 네이비"
처음에 살까 살까 고민하다가 샀어요 질도 좋고 예뻐요 네이비도 살까봐 여,"네이비, xs, 질"
많이 짧지도 않고 깔끔한 핏에 허리 라인이 살짝 들어가서 예뻐요 옷감이 얇아서 밝은 데서 보면 원피스 속 다리 라인이 비쳐 보여서 속 치마를 입는 게 좋을 듯 해요 다른 컬러도 살 예정,"원피스, 컬러, 핏, 속치마, 허리라인"
한 편인데 엠사이즈 잘 맞아요 딱 기 본 스타일이라서 매우 맘에 듭니다,"통통, 스타일, 엠사이즈"
키가 있어서 살지 살 지 고민했는데 후기 보고 샀어요 제 체형이라면 은 사진 참고하시면 될 거 같아 요 딱 깔끔하게 예쁜 느낌이고 앞태가 진짜 예뻐요,"허리, 핏, 블랙, 고밈, 비치, 네이비"
소재가 얇고 시원해서 땀도 잘 흡수해줘요 근데 단점은 허벅지 부분이 다 비쳐 요 속 바지보다는 속 치마 입어야 좀 안 비칠 것 같아 요 저도 리뷰 하게 봤는데 이렇게까지 비칠 줄 몰랐어요 햇빛 비치면 그냥 다 보입니다 주의하시고 예쁜 옷 사세요,"네이비, xs, 질"
반 에게 타이트하게 맞아요 이 쁘고 핏하고 시원하지만 계속 숨 참고 있어야 한다는 게 단점입니다 그래도 잘 입고 다니고 있어요 키는 입니다,"원피스, 컬러, 핏, 속치마, 허리라인"
요즘 나오는 피케이 원피스들은 너무 달라붙거나 짧아서 입지를 못하는데 이건 제 키 기준 딱 이쁜 길이에 요 허리도 적당히 라인이 들어가서 날씬해 보입니다 약간 비침이 있어서 속 바지는 입는 게 좋아요,"통통, 스타일, 엠사이즈"
동생 사줬는데 키에 비해 기 장 짧지도 않고 스판끼 있어서 편하다고 하네 여 다른 색상도 있으면 좋겠대요,"후기, 앞태, 사진, L, 깔다끄다, 키, M"
편하게 입고 나가기 좋을 거 같아 요 기장은 저는 짧은 걸 더 선호해서 수선할 예정입니다,"시원, 허벅지, 소재, 땀, 비치, 속치마, 속바지, 햇빛"
허리에 라인이 살짝 들어가 있어 하지 않고 편안한 원피스에 여성스러움까지 느낄 수 있어요 기장도 괜찮고 어깨가 넓은 편인데 어깨도 딱 맞았어요 만족스러운 소비입니다,"시원, 타이트, 키, 핏, 숨참고"
초딩딸에게 사이즈 딱 예쁘게 맞아요 두껍지 않아 시원하다 구 합니다,"원피스, 비침, 허리, 피케, 속바지"
귀여워 귀여웡 이고 예쁘게 맞아 용 어깨 넓은 편인데 괜 차나 용 가슴도 좀 있는데 괜 차나 용 다른 색 마니 왔으면 조 켔어 여 딸기 우유색 같은 거 글구 가슴팍에 로고 하나 박아도 예쁠듯 무탠다드 로고 기 깔나게 함 뽑아봐용,"편하다, 스판끼, 동생, 색상"
너무 너무 마음에 들어 요 저랑 비슷한 스펙이시면 추천 드립니당,"편하다, 수선, 기장"
뱃살이 좀 있는 편이라 허리 라인이 들어간 원피스 찾고 있었는데 진짜 맘이 들어 요 스타일 후기도 올려봅니다 핏 참고하세요 정도입니다,"원피스, 여성스럽다, 허리, 만족스럽다소비, 라인, 어깨, 기장"
